,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-20 11:28:22,2021-08-18,A,Grau Dominique,SVP,S - Sale+OE,$165.06,"-9,033","81,420",-10%,"-$1,490,942",,,,
2,D,2021-08-09 15:54:09,2021-08-05,A,Grau Dominique,SVP,S - Sale+OE,$155.00,"-9,033","81,420",-10%,"-$1,400,115",,,,
3,D,2021-06-21 17:18:15,2021-06-17,A,Grau Dominique,SVP,S - Sale+OE,$145.10,"-1,968","81,420",-2%,"-$285,563",,,,
4,DM,2021-06-17 12:16:36,2021-06-15,A,Grau Dominique,SVP,S - Sale+OE,$145.02,"-7,065","81,420",-8%,"-$1,024,571",,,,
5,D,2021-06-17 12:13:23,2021-06-14,A,Ancher-Jensen Henrik,SVP,S - Sale+OE,$143.66,"-43,731","76,902",-36%,"-$6,282,527",,,,
6,,2021-06-14 12:18:35,2021-06-10,A,Thaysen Jacob,SVP,S - Sale,$142.90,"-16,289","83,423",-16%,"-$2,327,698",,,,
7,,2021-06-01 18:19:03,2021-05-28,A,McDonnell Padraig,SVP,S - Sale,$138.42,"-1,000","16,916",-6%,"-$138,420",,,,
8,,2021-06-01 18:18:10,2021-05-27,A,Tang Michael,"SVP, GC,, Sec.",S - Sale,$136.15,"-13,465","39,579",-25%,"-$1,833,351",,,,
9,,2021-04-26 17:59:27,2021-04-23,A,Tang Michael,"SVP, GC,, Sec.",S - Sale,$137.00,-500,"53,030",-1%,"-$68,500",,,,
10,,2021-04-26 17:58:20,2021-04-22,A,McMullen Michael R.,"CEO, Pres",S - Sale,$135.00,"-9,053","261,105",-3%,"-$1,222,155",,,,
11,,2021-04-15 18:47:24,2021-04-13,A,McMullen Michael R.,"CEO, Pres",S - Sale,$132.50,"-8,966","270,158",-3%,"-$1,187,995",,,,
12,,2021-04-12 19:01:19,2021-04-08,A,McMullen Michael R.,"CEO, Pres",S - Sale,$130.26,"-15,095","279,124",-5%,"-$1,966,275",,,,
13,,2021-04-01 17:48:06,2021-03-31,A,Raha Samraat S.,SVP,S - Sale,$127.50,"-1,000","53,936",-2%,"-$127,500",,,,
