,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-10 19:19:55,2021-09-08,HWM,Giacobbe Ken,"EVP, CFO",S - Sale+OE,$31.08,"-4,386","258,284",-2%,"-$136,317",,,,
2,,2020-03-02 16:32:08,2020-02-27,ARNC,Ramundo Katherine H,"EVP, CLO, Corp Secretary",S - Sale,$30.57,"-32,733","123,209",-21%,"-$1,000,533",,,,
3,D,2019-11-27 18:40:28,2019-11-25,ARNC,Myers Timothy Donald,EVP,S - Sale+OE,$30.82,"-29,849","64,319",-32%,"-$919,902",,,,
4,,2019-11-21 14:28:18,2019-11-20,ARNC,Myron W Paul,"VP, Controller",S - Sale,$30.67,"-10,188","102,991",-9%,"-$312,494",,,,
5,,2019-11-13 15:53:48,2019-11-12,ARNC,Albaugh James F,Dir,P - Purchase,$29.50,"+5,000","29,486",+20%,"+$147,523",,,,
6,DM,2019-08-28 19:51:02,2019-08-26,ARNC,"Elliott International, L.P.",10%,S - Sale+OE,$25.06,"-4,208,518","29,903,797",-12%,"-$105,452,032",,,,
7,DM,2019-08-28 19:48:24,2019-08-26,ARNC,"Elliott Associates, L.P.",10%,S - Sale+OE,$25.06,"-1,890,784","27,949,514",-6%,"-$47,377,013",,,,
8,D,2019-08-27 21:45:21,2019-08-23,ARNC,"Elliott International, L.P.",10%,S - Sale+OE,$24.51,"-1,181,135","34,112,315",-3%,"-$28,949,619",,,,
9,D,2019-08-27 21:44:22,2019-08-23,ARNC,"Elliott Associates, L.P.",10%,S - Sale+OE,$24.51,"-1,282,860","15,325,823",-8%,"-$31,442,899",,,,
10,,2019-08-22 16:00:45,2019-08-21,ARNC,Myers Timothy Donald,EVP,S - Sale,$25.33,"-10,000","62,864",-14%,"-$253,272",,,,
11,M,2019-08-08 16:36:30,2019-08-06,ARNC,Plant John C,"COB, CEO",P - Purchase,$24.13,"+30,463","328,745",+10%,"+$735,056",,,,
12,,2019-05-06 16:18:16,2019-05-02,ARNC,Plant John C,"COB, CEO",P - Purchase,$22.14,"+50,000","298,282",+20%,"+$1,106,930",,,,
13,,2019-05-06 16:17:46,2019-05-02,ARNC,Gupta Rajiv,Dir,P - Purchase,$22.10,"+22,603","38,420",+143%,"+$499,447",,,,
14,M,2019-03-12 17:00:53,2019-03-08,ARNC,Plant John C,"COB, CEO",P - Purchase,$18.67,"+105,000","248,282",+73%,"+$1,960,298",,,,
