,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-13 14:26:03,2021-09-10,AAP,Cushing Robert B,"EVP, Professional",S - Sale,$202.15,"-3,500","15,752",-18%,"-$707,525",,,,
2,,2021-06-21 10:35:30,2021-06-16,AAP,Bailo Carla Jean,Dir,P - Purchase,$197.80,+400,"1,964",+26%,"+$79,119",,,,
3,,2021-06-09 18:10:08,2021-06-08,AAP,Schechtman Natalie,EVP HR,S - Sale,$197.58,"-3,200","5,545",-37%,"-$632,256",,,,
4,,2020-06-16 16:10:23,2020-06-15,AAP,Greco Thomas,"Pres, CEO",P - Purchase,$136.13,"+7,285","132,473",+6%,"+$991,707",,,,
5,D,2020-06-09 17:53:42,2020-06-05,AAP,Finley Tammy M,"EVP, GC, Corp Sec",S - Sale+OE,$146.52,-88,"13,137",-1%,"-$12,894",,,,
6,,2020-06-09 17:51:32,2020-06-04,AAP,Page Andrew E,"SVP, Controller, CAO",S - Sale,$141.38,-720,"7,008",-9%,"-$101,794",,,,
7,,2018-11-19 13:53:34,2018-11-16,AAP,Dias Fiona P,Dir,S - Sale,$177.54,"-1,048","11,693",-8%,"-$186,066",,,,
8,,2018-08-17 13:38:23,2018-08-17,AAP,Travis Nigel,Dir,P - Purchase,$159.70,"+1,250","1,250",New,"+$199,625",,,,
9,,2018-03-23 10:46:33,2018-03-21,AAP,Greco Thomas,"Pres, CEO",P - Purchase,$115.77,"+8,640","135,081",+7%,"+$1,000,253",,,,
10,D,2018-03-05 15:45:13,2018-03-02,AAP,Finley Tammy M,"EVP, GC, Corp Sec",S - Sale+OE,$116.35,-342,"10,391",-3%,"-$39,792",,,,
11,,2018-02-26 15:47:16,2018-02-23,AAP,Brouillard John C.,Dir,S - Sale,$116.08,"-1,745","26,184",-6%,"-$202,560",,,,
12,M,2017-06-05 16:06:12,2017-06-01,AAP,Karaboutis Adriana,Dir,P - Purchase,$135.28,+367,"3,168",+13%,"+$49,648",,,,
13,,2017-06-01 16:22:48,2017-05-31,AAP,Slone Reuben E,Dir,P - Purchase,$134.87,+500,"3,060",+20%,"+$67,435",,,,
