,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-21 18:30:48,2021-10-19,AAPL,Maestri Luca,"SVP, CFO",S - Sale,$148.62,"-165,829","110,501",-60%,"-$24,645,506",,,,
2,D,2021-10-19 18:31:45,2021-10-18,AAPL,O'Brien Deirdre,SVP,S - Sale+OE,$146.35,"-18,247","136,118",-12%,"-$2,670,391",,,,
3,D,2021-10-05 18:44:42,2021-10-04,AAPL,Williams Jeffrey E,COO,S - Sale+OE,$138.83,"-165,829","489,490",-25%,"-$23,022,040",,,,
4,D,2021-10-05 18:43:32,2021-10-04,AAPL,O'Brien Deirdre,SVP,S - Sale+OE,$138.83,"-89,437","136,118",-40%,"-$12,416,539",,,,
5,D,2021-08-26 18:30:46,2021-08-25,AAPL,Cook Timothy D,CEO,S - Sale+OE,$148.58,"-2,386,440","3,279,726",-42%,"-$354,568,479",,,,
6,D,2021-08-09 18:30:51,2021-08-06,AAPL,O'Brien Deirdre,SVP,S - Sale+OE,$145.99,"-14,877","136,118",-10%,"-$2,171,893",,,,
7,,2021-08-04 18:30:53,2021-08-02,AAPL,Adams Katherine L.,"SVP, GC, Secretary",S - Sale,$145.89,"-17,000","307,164",-5%,"-$2,480,048",,,,
8,,2021-05-05 18:31:41,2021-05-03,AAPL,Maestri Luca,"SVP, CFO",S - Sale,$132.81,"-121,072","110,501",-52%,"-$16,079,338",,,,
9,,2021-05-05 18:30:33,2021-05-03,AAPL,Adams Katherine L.,"SVP, GC, Secretary",S - Sale,$132.80,"-17,000","328,174",-5%,"-$2,257,631",,,,
10,D,2021-04-19 18:31:41,2021-04-16,AAPL,O'Brien Deirdre,SVP,S - Sale+OE,$134.01,"-18,216","136,118",-12%,"-$2,441,126",,,,
11,D,2021-04-05 18:36:12,2021-04-05,AAPL,Williams Jeffrey E,COO,S - Sale+OE,$125.74,"-133,867","489,490",-21%,"-$16,832,437",,,,
12,D,2021-02-03 18:36:19,2021-02-02,AAPL,Levinson Arthur D,Dir,S - Sale+OE,$135.60,"-3,416","4,588,724",0%,"-$463,210",,,,
