,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-25 16:37:50,2021-08-23,ABMD,Minogue Michael R,"COB, Pres, CEO",S - Sale+OE,$350.00,"-3,492","495,000",-1%,"-$1,222,200",,,,
2,,2021-08-19 16:17:18,2021-08-18,ABMD,Thomas Paul,Dir,S - Sale,$330.77,-663,"6,908",-9%,"-$219,301",,,,
3,M,2021-08-19 16:16:06,2021-08-17,ABMD,Sutter Martin P,Dir,S - Sale,$329.82,"-7,500","160,890",-4%,"-$2,473,622",,,,
4,DM,2021-08-10 17:07:18,2021-08-06,ABMD,Minogue Michael R,"COB, Pres, CEO",S - Sale+OE,$350.00,"-31,508","495,000",-6%,"-$11,027,800",,,,
5,D,2021-08-06 16:16:05,2021-08-05,ABMD,Minogue Michael R,"COB, Pres, CEO",S - Sale+OE,$341.18,"-25,000","495,000",-5%,"-$8,529,582",,,,
6,D,2021-06-23 16:05:36,2021-06-21,ABMD,Minogue Michael R,"COB, Pres, CEO",S - Sale+OE,$325.35,"-25,000","495,000",-5%,"-$8,133,702",,,,
7,M,2021-05-20 16:28:29,2021-05-18,ABMD,Sutter Martin P,Dir,S - Sale,$267.08,"-7,500","169,010",-4%,"-$2,003,100",,,,
8,DM,2021-05-05 16:28:02,2021-05-03,ABMD,Weber David M,COO,S - Sale+OE,$309.20,"-13,000","140,429",-8%,"-$4,019,635",,,,
9,M,2021-02-18 16:11:25,2021-02-16,ABMD,Sutter Martin P,Dir,S - Sale,$322.34,"-7,500","176,510",-4%,"-$2,417,550",,,,
10,,2021-02-03 17:03:32,2021-02-01,ABMD,Puhy Dorothy E,Dir,S - Sale,$349.47,"-5,000","14,204",-26%,"-$1,747,347",,,,
11,D,2021-02-01 17:14:43,2021-01-28,ABMD,Greenfield Andrew J,"VP, Chief Commercial Officer",S - Sale+OE,$366.00,"-5,000","43,962",-10%,"-$1,830,000",,,,
12,AD,2021-02-01 17:04:07,2020-12-29,ABMD,Greenfield Andrew J,"VP, Chief Commercial Officer",S - Sale+OE,$321.00,"-5,000","43,962",-10%,"-$1,605,000",,,,
13,D,2020-12-31 16:03:23,2020-12-29,ABMD,Greenfield Andrew J,"VP, Chief Commercial Officer",S - Sale+OE,$321.00,"-5,000","38,962",-11%,"-$1,605,000",,,,
14,DM,2020-12-23 16:04:06,2020-12-21,ABMD,Greenfield Andrew J,"VP, Chief Commercial Officer",S - Sale+OE,$295.87,"-7,156","43,962",-14%,"-$2,117,276",,,,
15,M,2020-11-19 18:16:47,2020-11-17,ABMD,Sutter Martin P,Dir,S - Sale,$268.94,"-1,500","184,010",-1%,"-$403,403",,,,
16,DM,2020-08-24 17:45:44,2020-08-20,ABMD,Minogue Michael R,"COB, Pres, CEO",S - Sale+OE,$309.12,"-100,000","494,111",-17%,"-$30,911,922",,,,
17,M,2020-08-20 16:40:15,2020-08-18,ABMD,Sutter Martin P,Dir,S - Sale,$312.19,"-1,500","185,510",-1%,"-$468,278",,,,
18,,2020-08-11 16:07:15,2020-08-10,ABMD,Thomas Paul,Dir,S - Sale,$303.41,"-2,000","6,530",-23%,"-$606,820",,,,
19,,2020-07-17 16:02:29,2020-07-15,ABMD,Puhy Dorothy E,Dir,S - Sale,$275.00,"-7,500","18,987",-28%,"-$2,062,500",,,,
20,,2020-06-09 16:04:06,2020-06-05,ABMD,Puhy Dorothy E,Dir,S - Sale,$250.00,"-7,500","26,487",-22%,"-$1,875,000",,,,
21,D,2020-05-06 16:02:49,2020-05-04,ABMD,Sutter Martin P,Dir,S - Sale+OE,$180.58,"-12,000","188,939",-6%,"-$2,166,928",,,,
22,,2020-03-04 16:23:53,2020-03-02,ABMD,Thomas Paul,Dir,S - Sale,$151.78,"-2,000","8,920",-18%,"-$303,561",,,,
23,,2020-02-12 17:14:11,2020-02-10,ABMD,Thomas Paul,Dir,S - Sale,$181.13,"-2,000","10,920",-15%,"-$362,250",,,,
24,D,2019-08-07 16:15:22,2019-08-05,ABMD,Weber David M,COO,S - Sale+OE,$206.26,"-8,095","140,315",-5%,"-$1,669,693",,,,
25,D,2019-05-10 16:10:16,2019-05-08,ABMD,Sutter Martin P,Dir,S - Sale+OE,$259.97,"-4,664","187,886",-2%,"-$1,212,494",,,,
26,DM,2019-02-15 16:37:33,2019-02-13,ABMD,Sutter Martin P,Dir,S - Sale+OE,$360.16,"-20,000","180,491",-10%,"-$7,203,110",,,,
27,DM,2019-02-06 17:24:13,2019-02-04,ABMD,Sutter Martin P,Dir,S - Sale+OE,$350.09,"-30,000","200,491",-13%,"-$10,502,635",,,,
28,D,2019-01-29 17:31:06,2019-01-25,ABMD,Weber David M,COO,S - Sale+OE,$351.47,"-24,000","163,339",-13%,"-$8,435,192",,,,
29,D,2018-09-26 16:25:57,2018-09-25,ABMD,Howley Michael G,"VP, Global Sales, Marketing",S - Sale+OE,$432.50,"-10,000","52,992",-16%,"-$4,325,000",,,,
30,D,2018-09-26 16:24:32,2018-09-24,ABMD,Greenfield Andrew J,VP Healthcare Solutions,S - Sale+OE,$420.00,"-5,000","50,924",-9%,"-$2,100,000",,,,
31,D,2018-08-31 16:09:26,2018-08-29,ABMD,Greenfield Andrew J,VP Healthcare Solutions,S - Sale+OE,$395.00,"-4,440","50,924",-8%,"-$1,753,800",,,,
32,D,2018-08-01 16:37:50,2018-07-30,ABMD,Weber David M,COO,S - Sale+OE,$356.77,"-19,282","163,339",-11%,"-$6,879,302",,,,
33,D,2018-06-25 17:03:02,2018-06-21,ABMD,Minogue Michael R,"COB, Pres, CEO",S - Sale+OE,$439.69,"-105,000","544,764",-16%,"-$46,166,971",,,,
34,D,2018-06-19 17:37:36,2018-06-18,ABMD,Weber David M,COO,S - Sale+OE,$442.63,"-46,500","171,621",-21%,"-$20,582,164",,,,
35,D,2018-05-09 19:26:47,2018-05-08,ABMD,Sutter Martin P,Dir,S - Sale+OE,$343.50,"-21,890","1,436,215",-2%,"-$7,519,226",,,,
36,D,2018-05-09 19:21:51,2018-05-07,ABMD,Howley Michael G,"VP, Global Sales, Marketing",S - Sale+OE,$348.11,"-17,500","46,757",-27%,"-$6,091,997",,,,
37,D,2018-05-09 19:21:04,2018-05-07,ABMD,Bolt William J,"SVP, QA, Regulatory Affairs",S - Sale+OE,$348.03,"-22,790","57,624",-28%,"-$7,931,660",,,,
38,D,2018-05-09 19:17:55,2018-05-07,ABMD,Puhy Dorothy E,Dir,S - Sale+OE,$348.04,"-13,500","33,168",-29%,"-$4,698,566",,,,
39,D,2018-02-22 16:15:43,2018-02-20,ABMD,Greenfield Andrew J,VP Healthcare Solutions,S - Sale+OE,$270.36,"-20,000","49,087",-29%,"-$5,407,282",,,,
