,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-08 10:54:58,2021-09-07,CB,Wayland Joseph F,EVP and*,S - Sale,$181.92,"-5,277","73,811",-7%,"-$959,992",,,,
2,,2021-09-02 09:05:10,2021-08-31,CB,Greenberg Evan G,"COB, CEO",S - Sale,$185.03,"-30,145","768,045",-4%,"-$5,577,729",,,,
3,,2021-09-01 11:20:32,2021-08-30,CB,Greenberg Evan G,"COB, CEO",S - Sale,$185.14,"-7,177","798,190",-1%,"-$1,328,750",,,,
4,DM,2021-08-25 16:22:43,2021-08-23,CB,Greenberg Evan G,"COB, CEO",S - Sale+OE,$186.10,"-115,542","805,367",-13%,"-$21,502,310",,,,
5,,2021-08-25 10:11:55,2021-08-23,CB,Boroughs Timothy Alan,EVP*,S - Sale,$186.61,"-30,000","146,532",-17%,"-$5,598,300",,,,
6,,2021-08-20 09:24:34,2021-08-18,CB,Atieh Michael G,Dir,S - Sale,$186.20,"-2,944","37,556",-7%,"-$548,173",,,,
7,,2021-08-13 13:27:35,2021-08-11,CB,Ortega Juan Luis,EVP*,S - Sale,$180.92,"-3,650","31,786",-10%,"-$660,358",,,,
8,D,2021-08-13 08:04:41,2021-08-11,CB,Lupica John J,"Vice Chrm, Chubb Group*",S - Sale+OE,$180.00,"-10,140","230,632",-4%,"-$1,825,200",,,,
9,,2021-06-03 09:00:44,2021-06-01,CB,Shasta Theodore,Dir,S - Sale,$171.46,-290,"16,100",-2%,"-$49,723",,,,
10,,2021-05-17 08:56:54,2021-05-13,CB,Boroughs Timothy Alan,EVP*,S - Sale,$168.76,"-2,450","181,326",-1%,"-$413,462",,,,
11,D,2021-05-14 09:18:28,2021-05-12,CB,Ringsted Sean,"EVP, Chief Risk Officer and*",S - Sale+OE,$166.54,"-10,220","201,222",-5%,"-$1,702,035",,,,
12,,2021-05-12 08:27:17,2021-05-10,CB,Wayland Joseph F,EVP and*,S - Sale,$175.66,"-4,000","83,683",-5%,"-$702,640",,,,
