,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-27 16:57:01,2021-09-24,ADBE,Warnock John E,Dir,S - Sale,$628.03,"-3,000","433,842",-1%,"-$1,884,097",,,,
2,,2021-09-27 16:56:37,2021-09-24,ADBE,Narayen Shantanu,"COB, Pres, CEO",S - Sale,$620.26,"-40,000","329,792",-11%,"-$24,810,482",,,,
3,,2021-09-27 16:55:13,2021-09-24,ADBE,Chen Gloria,"EVP, Chief People Officer",S - Sale,$628.00,-42,"12,569",0%,"-$26,376",,,,
4,,2021-09-27 16:53:49,2021-09-24,ADBE,Belsky Scott,"EVP, CPO, Creative Cloud",S - Sale,$628.00,"-2,750","23,648",-10%,"-$1,727,000",,,,
5,,2021-08-26 17:54:05,2021-08-25,ADBE,Chen Gloria,"EVP, Chief People Officer",S - Sale,$659.63,-42,"12,498",0%,"-$27,704",,,,
6,,2021-07-28 17:05:20,2021-07-27,ADBE,Rao Dana,"EVP, Gen. Counsel, Secretary",S - Sale,$621.71,-488,"14,579",-3%,"-$303,394",,,,
7,D,2021-07-27 17:10:44,2021-07-23,ADBE,Chen Gloria,"EVP, Chief People Officer",S - Sale+OE,$625.76,-43,"12,540",0%,"-$26,908",,,,
8,,2021-06-28 16:08:55,2021-06-28,ADBE,Belsky Scott,"EVP, CPO, Creative Cloud",S - Sale,$582.71,"-2,750","25,665",-10%,"-$1,602,453",,,,
9,,2021-06-28 16:07:06,2021-06-25,ADBE,Chen Gloria,"EVP, Chief People Officer",S - Sale,$578.64,-43,"12,241",0%,"-$24,882",,,,
10,,2021-06-23 16:25:38,2021-06-22,ADBE,Parasnis Abhay,"EVP, CTO, Document Cloud",S - Sale,$574.00,"-5,000","31,455",-14%,"-$2,870,000",,,,
11,,2021-06-22 16:25:25,2021-06-22,ADBE,Warnock John E,Dir,S - Sale,$568.40,"-6,000","436,942",-1%,"-$3,410,391",,,,
12,D,2021-06-22 16:25:23,2021-06-21,ADBE,Rao Dana,"EVP, Gen. Counsel, Secretary",S - Sale+OE,$563.12,"-2,833","14,527",-16%,"-$1,595,306",,,,
13,,2021-06-16 16:23:59,2021-06-14,ADBE,Parasnis Abhay,"EVP, CTO, Document Cloud",S - Sale,$549.00,"-4,000","36,455",-10%,"-$2,196,000",,,,
14,,2021-05-26 16:34:17,2021-05-25,ADBE,Chen Gloria,"EVP, Chief People Officer",S - Sale,$499.02,-43,"12,171",0%,"-$21,458",,,,
15,,2021-05-06 17:13:52,2021-05-05,ADBE,Rao Dana,"EVP, Gen. Counsel, Secretary",S - Sale,$495.34,"-4,692","14,527",-24%,"-$2,324,118",,,,
16,D,2021-04-27 16:31:41,2021-04-26,ADBE,Murphy John Francis,"EVP, CFO",S - Sale+OE,$512.78,"-3,250","19,475",-14%,"-$1,666,528",,,,
17,D,2021-04-27 16:23:49,2021-04-26,ADBE,Chen Gloria,"EVP, Chief People Officer",S - Sale+OE,$513.57,-43,"12,214",0%,"-$22,084",,,,
18,D,2021-04-21 16:26:44,2021-04-19,ADBE,Warnock John E,Dir,S - Sale+OE,$517.25,"-2,500","442,942",-1%,"-$1,293,124",,,,
19,,2021-04-16 16:56:35,2021-04-15,ADBE,Parasnis Abhay,"EVP, CTO, Document Cloud",S - Sale,$524.00,"-4,000","39,746",-9%,"-$2,096,000",,,,
20,,2021-03-26 17:58:28,2021-03-25,ADBE,Chen Gloria,"EVP, Chief People Officer",S - Sale,$447.66,-43,"11,968",0%,"-$19,249",,,,
21,,2021-03-26 17:57:40,2021-03-25,ADBE,Belsky Scott,"EVP, CPO, Creative Cloud",S - Sale,$448.64,-600,"27,757",-2%,"-$269,181",,,,
