,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-07 17:42:26,2021-10-06,ADI,Evans Bruce R,Dir,P - Purchase,$164.98,"+8,001","100,464",+9%,"+$1,319,957",,,,
2,D,2021-10-04 16:17:28,2021-10-01,ADI,Roche Vincent,"Pres, CEO",S - Sale+OE,$168.09,"-10,000",0,-100%,"-$1,680,900",,,,
3,D,2021-09-02 16:14:56,2021-09-01,ADI,Roche Vincent,"Pres, CEO",S - Sale+OE,$163.77,"-10,000",0,-100%,"-$1,637,700",,,,
4,D,2021-06-16 16:09:28,2021-06-15,ADI,Henderson Gregory N.,"SVP, Atmtve, Comm, ArSpc, Def",S - Sale+OE,$168.43,"-6,078","5,847",-51%,"-$1,023,718",,,,
5,D,2021-06-02 16:10:03,2021-06-01,ADI,Roche Vincent,"Pres, CEO",S - Sale+OE,$164.20,"-10,000","27,598",-27%,"-$1,642,000",,,,
6,D,2021-05-28 16:10:30,2021-05-27,ADI,Mahendra-Rajah Prashanth,"SVP, Finance, CFO",S - Sale+OE,$165.18,"-6,750","15,162",-31%,"-$1,114,989",,,,
7,D,2021-05-04 16:27:40,2021-05-03,ADI,Roche Vincent,"Pres, CEO",S - Sale+OE,$154.06,"-10,000","27,598",-27%,"-$1,540,600",,,,
8,M,2021-04-20 16:32:09,2020-12-21,ADI,Henderson Gregory N.,"SVP, Atmtve, Comm, ArSpc, Def",P - Purchase,$143.47,+21,"5,847",0%,"+$3,013",,,,
9,D,2021-04-06 16:19:58,2021-04-05,ADI,Henderson Gregory N.,"SVP, Atmtve, Comm, ArSpc, Def",S - Sale+OE,$162.16,"-6,058","5,826",-51%,"-$982,365",,,,
10,D,2021-04-02 16:40:30,2021-04-01,ADI,Mahendra-Rajah Prashanth,"SVP, Finance, CFO",S - Sale+OE,$159.63,"-6,500","15,162",-30%,"-$1,037,576",,,,
11,,2021-04-02 16:27:19,2021-04-01,ADI,Henderson Gregory N.,"SVP, Atmtve, Comm, ArSpc, Def",S - Sale,$160.00,"-2,341","5,826",-29%,"-$374,560",,,,
12,,2021-04-02 16:21:19,2021-04-01,ADI,Cotter Martin,"SVP, Ind, Consr, Multi-Markets",S - Sale,$157.38,-864,"5,908",-13%,"-$135,976",,,,
13,D,2021-04-02 16:12:50,2021-04-01,ADI,Roche Vincent,"Pres, CEO",S - Sale+OE,$157.38,"-10,000","27,598",-27%,"-$1,573,800",,,,
14,D,2021-03-31 17:07:15,2021-03-29,ADI,Henderson Gregory N.,"SVP, Atmtve, Comm, ArSpc, Def",S - Sale+OE,$155.03,"-5,928","8,167",-42%,"-$919,018",,,,
15,D,2021-03-23 16:36:15,2021-03-22,ADI,Henderson Gregory N.,"SVP, Atmtve, Comm, ArSpc, Def",S - Sale+OE,$154.60,"-14,557","7,382",-66%,"-$2,250,548",,,,
16,,2021-03-23 16:20:49,2021-03-22,ADI,Champy James,Dir,S - Sale,$153.50,"-4,245","44,687",-9%,"-$651,608",,,,
17,,2021-03-18 16:23:58,2021-03-17,ADI,Cotter Martin,"SVP, Ind, Consr, Multi-Markets",S - Sale,$150.42,"-1,557","5,908",-21%,"-$234,204",,,,
18,,2021-03-17 17:27:38,2021-03-16,ADI,Glimcher Laurie H M.D.,Dir,S - Sale,$154.07,-460,600,-43%,"-$70,874",,,,
19,D,2021-03-10 16:24:43,2021-03-09,ADI,Mahendra-Rajah Prashanth,"SVP, Finance, CFO",S - Sale+OE,$148.89,"-8,700","11,694",-43%,"-$1,295,343",,,,
20,D,2021-03-02 17:08:02,2021-03-01,ADI,Roche Vincent,"Pres, CEO",S - Sale+OE,$157.08,"-10,000","16,957",-37%,"-$1,570,800",,,,
21,D,2021-02-22 17:17:39,2021-02-19,ADI,Sondel Michael,CAO (principal acct. officer),S - Sale+OE,$163.79,"-2,210","3,948",-36%,"-$361,976",,,,
22,D,2021-02-02 16:33:42,2021-02-01,ADI,Roche Vincent,"Pres, CEO",S - Sale+OE,$148.34,"-10,000","16,957",-37%,"-$1,483,400",,,,
23,,2021-01-14 09:10:37,2021-01-13,ADI,Champy James,Dir,S - Sale,$160.00,"-3,124","46,722",-6%,"-$499,840",,,,
24,,2021-01-07 09:16:58,2021-01-06,ADI,Pietkiewicz Steve,"SVP, Power Products",S - Sale,$150.85,"-1,750","35,268",-5%,"-$263,988",,,,
25,,2021-01-05 09:25:19,2021-01-04,ADI,Champy James,Dir,S - Sale,$150.00,"-3,334","49,846",-6%,"-$500,100",,,,
26,,2020-12-29 08:34:19,2020-12-28,ADI,Mahendra-Rajah Prashanth,"SVP, Finance, CFO",S - Sale,$146.75,"-1,700","11,694",-13%,"-$249,475",,,,
