,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-07-29 17:10:09,2021-07-29,ADM,Luciano Juan R,"Pres, CEO",P - Purchase,$59.54,"+16,790","1,259,793",+1%,"+$999,700",,,,
2,,2021-03-12 17:46:36,2021-03-12,ADM,Weber Jennifer L,SVP,P - Purchase,$58.40,"+5,095","69,301",+8%,"+$297,551",,,,
3,D,2021-02-16 17:29:16,2021-02-12,ADM,Taets Joseph D.,SVP,S - Sale+OE,$55.40,"-43,711","219,077",-17%,"-$2,421,726",,,,
4,,2020-11-17 10:41:06,2020-11-16,ADM,Taets Joseph D.,SVP,S - Sale,$50.15,"-30,000","191,503",-14%,"-$1,504,500",,,,
5,D,2020-11-10 19:22:58,2020-11-09,ADM,Stott John P,"Group VP, Finance, Controller",S - Sale+OE,$50.09,"-15,000","34,295",-30%,"-$751,275",,,,
6,DM,2020-10-23 09:48:24,2020-10-21,ADM,Taets Joseph D.,SVP,S - Sale+OE,$51.30,"-6,807","221,503",-3%,"-$349,183",,,,
7,D,2020-10-22 09:22:32,2020-10-20,ADM,Taets Joseph D.,SVP,S - Sale+OE,$51.11,"-8,135","221,503",-4%,"-$415,739",,,,
8,DM,2020-10-20 12:03:02,2020-10-16,ADM,Luciano Juan R,"Pres, CEO",S - Sale+OE,$50.54,"-136,590","1,010,786",-12%,"-$6,903,836",,,,
9,D,2020-10-20 12:02:57,2020-10-16,ADM,Young Ray G,CFO,S - Sale+OE,$50.00,"-31,357","399,978",-7%,"-$1,567,913",,,,
10,D,2020-10-20 12:02:52,2020-10-19,ADM,Taets Joseph D.,SVP,S - Sale+OE,$51.22,"-5,260","221,503",-2%,"-$269,417",,,,
11,D,2020-10-14 11:01:39,2020-10-12,ADM,Young Ray G,CFO,S - Sale+OE,$50.02,"-49,020","399,978",-11%,"-$2,451,784",,,,
12,D,2020-10-14 11:01:34,2020-10-12,ADM,Morris Gregory A,SVP,S - Sale+OE,$50.00,"-21,939","164,957",-12%,"-$1,096,950",,,,
13,D,2020-10-14 11:00:25,2020-10-12,ADM,Luciano Juan R,"Pres, CEO",S - Sale+OE,$50.01,"-57,424","1,010,786",-5%,"-$2,871,602",,,,
14,D,2020-10-13 11:13:17,2020-10-09,ADM,Taets Joseph D.,SVP,S - Sale+OE,$49.06,"-21,979","221,503",-9%,"-$1,078,378",,,,
15,,2020-09-10 09:17:28,2020-09-09,ADM,Dufour Pierre,Dir,P - Purchase,$46.10,"+1,025","20,895",+5%,"+$47,252",,,,
16,D,2020-09-08 09:40:20,2020-09-03,ADM,Morris Gregory A,SVP,S - Sale+OE,$46.00,"-5,263","164,952",-3%,"-$242,098",,,,
17,,2020-08-25 16:25:03,2020-08-25,ADM,Dufour Pierre,Dir,P - Purchase,$44.75,"+11,100","19,870",+127%,"+$496,725",,,,
18,,2020-08-20 15:09:55,2020-08-19,ADM,Morris Gregory A,SVP,S - Sale,$44.46,"-20,000","164,952",-11%,"-$889,100",,,,
19,D,2020-08-11 09:27:52,2020-08-07,ADM,Morris Gregory A,SVP,S - Sale+OE,$44.00,"-4,491","184,952",-2%,"-$197,604",,,,
20,D,2020-06-08 12:20:33,2020-06-05,ADM,Cuddy Christopher M,SVP,S - Sale+OE,$42.76,"-1,929","169,925",-1%,"-$82,491",,,,
21,D,2020-06-04 14:22:26,2020-06-03,ADM,Morris Gregory A,SVP,S - Sale+OE,$40.00,"-3,114","184,947",-2%,"-$124,560",,,,
22,,2020-05-13 11:32:52,2020-05-12,ADM,Dufour Pierre,Dir,P - Purchase,$35.20,"+1,070","8,770",+14%,"+$37,664",,,,
23,D,2020-03-06 16:26:00,2020-03-06,ADM,Sanchez Francisco J,Dir,P - Purchase,$36.95,"+1,370","4,370",+46%,"+$50,622",,,,
24,D,2020-02-07 10:57:28,2020-02-06,ADM,D Ambrose Michael,SVP,S - Sale+OE,$46.13,"-6,635","205,861",-3%,"-$306,086",,,,
25,,2020-02-06 11:28:03,2020-02-05,ADM,D Ambrose Michael,SVP,S - Sale,$46.00,"-11,500","205,861",-5%,"-$529,043",,,,
26,D,2019-12-18 14:35:31,2019-12-17,ADM,Taets Joseph D.,SVP,S - Sale+OE,$47.00,"-25,503","191,436",-12%,"-$1,198,641",,,,
27,D,2019-12-17 17:25:18,2019-12-16,ADM,Stott John P,"Group VP, Finance, Controller",S - Sale+OE,$46.00,"-6,673","32,768",-17%,"-$306,958",,,,
28,,2019-11-15 12:35:32,2019-11-14,ADM,Stott John P,"Group VP, Finance, Controller",S - Sale,$42.66,"-2,500","32,763",-7%,"-$106,640",,,,
29,,2019-08-06 17:30:41,2019-08-06,ADM,Luciano Juan R,"Pres, CEO",P - Purchase,$36.65,"+5,457","893,556",+1%,"+$199,990",,,,
30,,2019-08-06 13:39:19,2019-08-06,ADM,Young Ray G,CFO,P - Purchase,$36.74,"+3,400","353,181",+1%,"+$124,899",,,,
31,,2019-04-29 12:44:56,2019-04-29,ADM,Young Ray G,CFO,P - Purchase,$42.76,"+6,000","349,743",+2%,"+$256,542",,,,
32,,2019-04-29 12:44:52,2019-04-29,ADM,Luciano Juan R,"Pres, CEO",P - Purchase,$42.30,"+23,657","888,099",+3%,"+$1,000,691",,,,
33,,2019-02-07 18:08:31,2019-02-07,ADM,Felsinger Donald E,Dir,P - Purchase,$41.80,"+60,000","60,000",New,"+$2,508,000",,,,
34,,2018-11-07 10:20:12,2018-11-07,ADM,Young Ray G,CFO,P - Purchase,$47.35,"+2,100","310,191",+1%,"+$99,429",,,,
35,,2018-10-10 10:05:29,2018-10-08,ADM,Stott John P,"Group VP, Finance, Controller",S - Sale,$52.00,"-2,500","33,429",-7%,"-$130,000",,,,
36,,2018-08-28 11:45:15,2018-08-27,ADM,Taets Joseph D.,SVP,S - Sale,$51.00,"-2,153","170,095",-1%,"-$109,803",,,,
37,,2018-08-21 10:17:43,2018-08-20,ADM,Taets Joseph D.,SVP,S - Sale,$51.01,"-3,847","172,248",-2%,"-$196,235",,,,
38,D,2018-08-03 11:12:37,2018-08-02,ADM,Taets Joseph D.,SVP,S - Sale+OE,$49.00,"-8,406","176,095",-5%,"-$411,928",,,,
39,D,2018-08-02 13:48:47,2018-08-01,ADM,D Ambrose Michael,SVP,S - Sale+OE,$48.34,"-100,151","199,385",-33%,"-$4,840,899",,,,
40,,2018-08-02 10:41:51,2018-07-31,ADM,Stott John P,"Group VP, Finance, Controller",S - Sale,$49.40,"-4,243","35,926",-11%,"-$209,604",,,,
41,D,2018-08-02 10:41:48,2018-07-31,ADM,Taets Joseph D.,SVP,S - Sale+OE,$49.10,"-3,218","180,434",-2%,"-$158,017",,,,
42,D,2018-07-11 09:44:05,2018-07-09,ADM,Stott John P,"Group VP, Finance, Controller",S - Sale+OE,$47.03,"-1,294","40,169",-3%,"-$60,857",,,,
43,,2018-06-25 10:50:18,2018-06-22,ADM,Stott John P,"Group VP, Finance, Controller",S - Sale,$46.50,"-2,133","40,169",-5%,"-$99,185",,,,
44,D,2018-04-16 14:38:03,2018-04-12,ADM,D Ambrose Michael,SVP,S - Sale+OE,$45.00,"-20,762","199,379",-9%,"-$934,290",,,,
45,,2018-03-14 12:00:00,2018-03-12,ADM,Cuddy Christopher M,SVP,S - Sale,$44.48,-399,"118,587",0%,"-$17,749",,,,
46,D,2017-03-02 09:18:50,2017-02-28,ADM,Taets Joseph D.,SVP,S - Sale+OE,$47.02,"-13,319","151,434",-8%,"-$626,273",-2,-5,-1,
47,,2016-11-02 16:09:41,2016-11-02,ADM,Stott John P,"Group VP, Finance, Controller",S - Sale,$47.74,"-2,418","35,113",-6%,"-$115,436",0,+1,-6,-9
48,D,2016-11-02 13:41:59,2016-11-01,ADM,D Ambrose Michael,SVP,S - Sale+OE,$47.16,"-20,762","157,228",-12%,"-$979,117",+1,+2,-5,-8
49,D,2016-08-01 16:09:03,2016-07-29,ADM,D Ambrose Michael,SVP,S - Sale+OE,$45.00,"-41,525","157,223",-21%,"-$1,868,625",-2,0,-2,+1
50,D,2016-05-26 15:53:14,2016-05-26,ADM,Taets Joseph D.,SVP,S - Sale+OE,$43.00,"-3,867","131,721",-3%,"-$166,281",+1,+2,-5,+4
51,D,2016-05-24 10:09:52,2016-05-23,ADM,D Ambrose Michael,SVP,S - Sale+OE,$40.09,"-28,432","157,218",-15%,"-$1,139,898",+4,+6,+4,+9
52,,2016-05-18 09:49:28,2016-05-17,ADM,Sanchez Francisco J,Dir,P - Purchase,$37.44,+500,"3,000",+20%,"+$18,720",0,+12,+12,+16
53,,2016-05-17 16:22:44,2016-05-17,ADM,Stott John P,"Group VP, Finance, Controller",S - Sale,$37.68,"-1,756","37,524",-4%,"-$66,171",0,+8,+12,+12
54,,2016-02-05 14:57:32,2016-02-05,ADM,Sanchez Francisco J,Dir,P - Purchase,$34.35,"+1,000","2,500",+67%,"+$34,350",-1,-7,+9,+30
55,,2015-11-30 15:54:01,2015-11-24,ADM,Sanchez Francisco J,Dir,P - Purchase,$36.13,"+1,500","1,500",New,"+$54,200",0,-1,+2,+19
56,,2015-11-24 15:46:12,2015-11-23,ADM,Taets Joseph D.,SVP,P - Purchase,$36.24,"+3,000","94,419",+3%,"+$108,706",-2,0,0,+18
57,,2015-11-20 14:48:59,2015-11-20,ADM,Luciano Juan R,"Pres, CEO",P - Purchase,$36.03,"+2,772","374,160",+1%,"+$99,872",-2,0,-3,+13
58,,2015-11-04 15:27:57,2015-11-04,ADM,Young Ray G,CFO,P - Purchase,$42.77,"+2,500","183,374",+1%,"+$106,919",0,-6,-17,-10
59,,2015-11-04 15:27:53,2015-11-04,ADM,Luciano Juan R,"Pres, CEO",P - Purchase,$42.36,"+4,715","371,388",+1%,"+$199,706",0,-6,-17,-10
60,,2015-10-09 13:24:53,2015-10-08,ADM,Stott John P,"Group VP, Finance, Controller",S - Sale,$45.00,"-1,000","22,424",-4%,"-$45,000",+1,+1,-7,-19
61,,2015-08-18 10:42:57,2015-08-17,ADM,Stott John P,"Group VP, Finance, Controller",S - Sale,$46.48,"-2,313","24,665",-9%,"-$107,508",0,-8,-7,-29
