,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-05 17:59:02,2021-10-01,ADSK,Hope Stephen W.,"VP, Chief Accounting Officer",S - Sale,$283.06,-86,"4,321",-2%,"-$24,343",,,,
2,,2021-09-09 21:03:47,2021-09-08,ADSK,Clifford Deborah,"EVP, CFO",S - Sale,$289.81,"-5,481","22,646",-19%,"-$1,588,449",,,,
3,,2021-09-09 21:02:29,2021-09-08,ADSK,Hope Stephen W.,"VP, Chief Accounting Officer",S - Sale,$286.46,-262,"4,321",-6%,"-$75,053",,,,
4,,2021-09-07 20:22:53,2021-09-02,ADSK,Anagnost Andrew,"Pres, CEO",S - Sale,$286.18,"-2,434","72,220",-3%,"-$696,562",,,,
5,,2021-08-30 19:50:25,2021-08-26,ADSK,Anagnost Andrew,"Pres, CEO",S - Sale,$315.44,"-23,957","74,654",-24%,"-$7,557,097",,,,
6,M,2021-04-02 17:26:33,2021-03-31,ADSK,Hope Stephen W.,"VP, Chief Accounting Officer",S - Sale,$270.88,-705,"3,690",-16%,"-$190,968",,,,
7,,2021-04-02 17:23:55,2021-03-31,ADSK,Di Fronzo Pascal W,"EVP, Corp Affairs, CLO, Sec",S - Sale,$275.39,"-4,976","7,211",-41%,"-$1,370,345",,,,
8,,2021-04-02 17:10:57,2021-03-31,ADSK,Blum Steven M,Chief Revenue Officer,S - Sale,$275.92,"-9,195","34,541",-21%,"-$2,537,048",,,,
9,,2021-03-30 18:16:17,2021-03-30,ADSK,Di Fronzo Pascal W,"EVP, Corp Affairs, CLO, Sec",S - Sale,$268.18,-64,"12,063",-1%,"-$17,164",,,,
10,M,2021-03-26 17:53:02,2021-03-24,ADSK,Anagnost Andrew,"Pres, CEO",S - Sale,$264.07,"-43,735","50,988",-46%,"-$11,549,142",,,,
11,,2021-03-23 19:39:16,2021-03-23,ADSK,Hope Stephen W.,"VP, Chief Accounting Officer",S - Sale,$268.91,-593,"3,690",-14%,"-$159,464",,,,
12,,2021-03-23 19:37:24,2021-03-23,ADSK,Di Fronzo Pascal W,"EVP, Corp Affairs, CLO, Sec",S - Sale,$268.91,"-3,790","7,151",-35%,"-$1,019,169",,,,
13,,2021-03-23 19:35:28,2021-03-23,ADSK,Blum Steven M,Chief Revenue Officer,S - Sale,$268.90,"-6,772","34,422",-16%,"-$1,821,002",,,,
14,,2020-12-15 18:10:39,2020-12-11,ADSK,Hope Stephen W.,"VP, Chief Accounting Officer",S - Sale,$280.25,-79,"2,950",-3%,"-$22,140",,,,
15,,2020-10-05 17:45:18,2020-10-01,ADSK,Hope Stephen W.,"VP, Chief Accounting Officer",S - Sale,$232.76,-83,"3,072",-3%,"-$19,319",,,,
16,,2020-09-23 19:02:37,2020-09-21,ADSK,Norrington Lorrie M,Dir,S - Sale,$220.80,"-2,475","14,112",-15%,"-$546,480",,,,
17,,2020-09-16 19:41:05,2020-09-15,ADSK,Hope Stephen W.,"VP, Chief Accounting Officer",S - Sale,$234.31,-312,"3,153",-9%,"-$73,105",,,,
18,A,2020-09-16 19:31:54,2020-09-08,ADSK,Hope Stephen W.,"VP, Chief Accounting Officer",S - Sale,$224.16,-263,"3,630",-7%,"-$58,954",,,,
19,,2020-09-10 20:20:33,2020-09-08,ADSK,Hope Stephen W.,"VP, Chief Accounting Officer",S - Sale,$224.16,-236,"3,630",-6%,"-$52,902",,,,
20,,2020-09-01 20:11:12,2020-08-28,ADSK,McDowell Mary T,Dir,S - Sale,$245.64,"-8,236","42,279",-16%,"-$2,023,099",,,,
21,,2020-07-07 21:47:33,2020-07-02,ADSK,Galvin Carmel,"SVP, CHRO",S - Sale,$242.30,"-4,587","19,081",-19%,"-$1,111,444",,,,
22,,2020-07-06 18:17:17,2020-07-02,ADSK,Blum Steven M,"SVP, WW Field Operations",S - Sale,$242.28,"-6,884","37,634",-15%,"-$1,667,869",,,,
23,,2020-06-23 19:46:25,2020-06-19,ADSK,Anagnost Andrew,"Pres, CEO",S - Sale,$241.04,"-22,639","113,894",-17%,"-$5,456,949",,,,
24,,2020-06-22 21:43:54,2020-06-18,ADSK,Blum Steven M,"SVP, WW Field Operations",S - Sale,$237.67,"-7,490","44,518",-14%,"-$1,780,152",,,,
25,,2020-05-28 20:23:49,2020-05-26,ADSK,Herren Richard Scott,CFO,S - Sale,$200.00,"-11,531","81,804",-12%,"-$2,306,200",,,,
26,,2020-05-21 19:45:25,2020-05-19,ADSK,Di Fronzo Pascal W,"SVP, Corp Affairs, CLO, Sec",S - Sale,$195.00,"-8,186","13,305",-38%,"-$1,596,270",,,,
