,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-20 16:18:23,2021-08-19,AEE,Moehn Michael L,"EVP, CFO",S - Sale,$89.89,"-10,000","141,732",-7%,"-$898,900",,,,
2,,2021-05-28 16:14:07,2021-05-27,AEE,Diya Fadi M,SVP & CNO of Subsidiary,S - Sale,$83.91,"-8,000","86,563",-8%,"-$671,280",,,,
3,,2021-04-02 16:11:45,2021-03-31,AEE,Mark Richard J,Chmn & President of Subsidiary,S - Sale,$81.17,"-6,000","161,943",-4%,"-$487,020",,,,
4,,2021-03-12 16:42:45,2021-03-11,AEE,Moehn Michael L,"EVP, CFO",S - Sale,$76.10,"-10,000","151,056",-6%,"-$761,000",,,,
5,,2021-03-12 16:42:08,2021-03-11,AEE,Birk Mark C,SVP of Subsidiary,S - Sale,$76.10,"-2,000","77,551",-3%,"-$152,200",,,,
6,,2021-03-02 16:41:00,2021-03-01,AEE,Lyons Martin J,Chmn & President of Subsidiary,S - Sale,$71.15,"-16,242","194,628",-8%,"-$1,155,618",,,,
7,,2021-03-02 16:38:41,2021-03-01,AEE,Baxter Warner L,"COB, Pres, CEO",S - Sale,$71.24,"-33,014","422,426",-7%,"-$2,351,917",,,,
8,,2021-03-02 16:36:50,2021-03-01,AEE,Steinke Bruce A,"SVP, Finance, CAO",S - Sale,$71.07,"-4,279","56,570",-7%,"-$304,109",,,,
9,,2021-03-02 16:36:25,2021-03-01,AEE,Lindgren Mark C,SVP & Chief HR Officer of Sub,S - Sale,$71.10,"-2,455","43,234",-5%,"-$174,551",,,,
10,,2021-03-02 16:34:58,2021-03-01,AEE,Schukar Shawn E,Chmn & President of Subsidiary,S - Sale,$71.03,"-1,622","50,929",-3%,"-$115,211",,,,
11,,2021-03-01 16:37:55,2021-02-25,AEE,Nwamu Chonda J,"SVP, GC, Secretary",S - Sale,$72.00,"-2,300","16,354",-12%,"-$165,600",,,,
12,,2020-11-23 20:33:52,2020-11-19,AEE,Mark Richard J,Chmn & President of Subsidiary,S - Sale,$78.00,"-6,300","159,466",-4%,"-$491,400",,,,
13,,2020-11-23 20:32:01,2020-11-19,AEE,Lyons Martin J,Chmn & President of Subsidiary,S - Sale,$78.00,"-3,800","197,683",-2%,"-$296,400",,,,
14,,2020-03-16 16:16:32,2020-03-13,AEE,Lindgren Mark C,SVP & Chief HR Officer of Sub,S - Sale,$73.85,"-3,650","39,356",-8%,"-$269,553",,,,
15,,2020-03-16 16:16:11,2020-03-12,AEE,Birk Mark C,SVP of Subsidiary,S - Sale,$73.07,"-5,000","71,503",-7%,"-$365,350",,,,
16,,2020-03-09 16:24:41,2020-03-05,AEE,Nwamu Chonda J,"SVP, GC, Secretary",S - Sale,$86.00,"-1,693","11,930",-12%,"-$145,598",,,,
17,,2020-03-03 16:20:09,2020-03-02,AEE,Baxter Warner L,"COB, Pres, CEO",S - Sale,$79.68,"-26,901","400,745",-6%,"-$2,143,472",,,,
18,,2020-03-03 16:19:48,2020-03-02,AEE,Schukar Shawn E,Chmn & President of Subsidiary,S - Sale,$79.36,"-1,587","44,305",-3%,"-$125,944",,,,
19,,2020-03-03 16:19:26,2020-03-02,AEE,Steinke Bruce A,"SVP, Finance, CAO",S - Sale,$79.60,"-4,571","55,813",-8%,"-$363,852",,,,
20,,2020-03-03 16:18:43,2020-03-02,AEE,Lindgren Mark C,SVP & Chief HR Officer of Sub,S - Sale,$79.68,"-2,392","43,006",-5%,"-$190,595",,,,
21,,2020-03-03 16:18:00,2020-03-02,AEE,Lyons Martin J,Chmn & President of Subsidiary,S - Sale,$79.61,"-11,605","184,126",-6%,"-$923,874",,,,
22,,2019-06-14 16:15:20,2019-06-13,AEE,Heger Mary P,SVP of Subsidiary,S - Sale,$76.02,"-3,000","59,579",-5%,"-$228,060",,,,
23,,2019-05-28 16:30:45,2019-05-23,AEE,Schukar Shawn E,Chmn & President of Subsidiary,S - Sale,$75.27,"-1,200","36,072",-3%,"-$90,324",,,,
24,,2019-03-08 16:25:37,2019-03-07,AEE,Moehn Michael L,Chmn & President of Subsidiary,S - Sale,$71.18,"-12,000","103,984",-10%,"-$854,160",,,,
25,,2019-03-08 16:21:42,2019-03-07,AEE,Diya Fadi M,SVP & CNO of Subsidiary,S - Sale,$71.18,"-15,000","65,159",-19%,"-$1,067,700",,,,
26,,2019-03-04 17:33:31,2019-03-01,AEE,Steinke Bruce A,"SVP, Finance, CAO",S - Sale,$70.84,"-6,441","44,243",-13%,"-$456,280",,,,
27,,2019-03-04 17:29:21,2019-03-01,AEE,Nelson Gregory L,"SVP, GC, Secretary",S - Sale,$70.84,"-29,548","43,153",-41%,"-$2,093,180",,,,
28,,2019-03-04 17:24:47,2019-03-01,AEE,Lyons Martin J,"EVP, CFO",S - Sale,$70.82,"-17,794","162,366",-10%,"-$1,260,171",,,,
29,,2019-03-04 17:23:55,2019-03-01,AEE,Lindgren Mark C,SVP & Chief HR Officer of Sub,S - Sale,$71.42,"-2,442","35,986",-6%,"-$174,408",,,,
30,,2019-03-04 17:19:08,2019-03-01,AEE,Baxter Warner L,"COB, Pres, CEO",S - Sale,$70.77,"-41,090","336,829",-11%,"-$2,907,939",,,,
31,,2018-11-16 16:59:15,2018-11-15,AEE,Moehn Michael L,Chmn & President of Subsidiary,S - Sale,$69.00,"-8,000","84,714",-9%,"-$552,000",,,,
32,,2018-11-16 16:55:59,2018-11-15,AEE,Nelson Gregory L,"SVP, GC, Secretary",S - Sale,$69.00,"-10,000","46,482",-18%,"-$690,000",,,,
33,,2018-06-18 16:00:26,2018-06-14,AEE,Birk Mark C,SVP of Subsidiary,S - Sale,$56.21,"-3,500","52,306",-6%,"-$196,735",,,,
34,,2018-06-08 16:23:41,2018-06-07,AEE,Steinke Bruce A,"SVP, Finance, CAO",S - Sale,$56.66,"-3,000","73,891",-4%,"-$169,980",,,,
35,,2018-05-25 16:10:57,2018-05-24,AEE,Lindgren Mark C,SVP & Chief HR Officer of Sub,S - Sale,$58.68,"-5,500","25,401",-18%,"-$322,740",,,,
36,,2018-03-02 16:43:14,2018-03-01,AEE,Steinke Bruce A,"SVP, Finance, CAO",S - Sale,$54.28,"-1,952","40,874",-5%,"-$105,955",,,,
37,,2018-03-02 16:41:32,2018-03-01,AEE,Nelson Gregory L,"SVP, GC, Secretary",S - Sale,$54.28,"-1,462","56,482",-3%,"-$79,357",,,,
38,,2018-03-02 16:38:47,2018-03-01,AEE,Lyons Martin J,"EVP, CFO",S - Sale,$54.52,"-13,111","141,483",-8%,"-$714,812",,,,
39,,2018-03-02 16:37:52,2018-03-01,AEE,Lindgren Mark C,SVP & Chief HR Officer of Sub,S - Sale,$54.28,"-1,923","30,851",-6%,"-$104,380",,,,
40,,2017-11-22 16:43:29,2017-11-22,AEE,Nelson Gregory L,"SVP, GC, Secretary",S - Sale,$62.68,"-12,000","35,955",-25%,"-$752,160",,,,
41,,2017-06-13 16:17:33,2017-06-09,AEE,Baxter Warner L,"COB, Pres, CEO",S - Sale,$56.23,"-13,310","159,476",-8%,"-$748,421",,,,
42,,2017-03-02 16:01:07,2017-03-01,AEE,Steinke Bruce A,"SVP, Finance, CAO",S - Sale,$54.31,"-1,392","31,216",-4%,"-$75,600",0,-2,0,
43,,2017-03-02 16:00:05,2017-03-01,AEE,Nelson Gregory L,"SVP, GC, Secretary",S - Sale,$54.33,"-1,834","61,144",-3%,"-$99,641",0,-2,0,
44,,2017-03-02 15:57:17,2017-03-01,AEE,Lyons Martin J,"EVP, CFO",S - Sale,$54.32,"-1,320","103,428",-1%,"-$71,702",+1,-1,+1,
45,,2017-03-02 15:56:16,2017-03-01,AEE,Lindgren Mark C,SVP & Chief HR Officer of Sub,S - Sale,$54.24,"-1,024","21,698",-5%,"-$55,542",+1,-1,+1,
46,,2017-01-18 16:03:48,2017-01-17,AEE,Borkowski Maureen A,Chmn & President of Subsidiary,S - Sale,$52.08,"-3,850","35,227",-10%,"-$200,508",-1,-1,0,
47,,2016-11-28 16:26:28,2016-11-23,AEE,Moehn Michael L,Chmn & President of Subsidiary,S - Sale,$49.05,"-7,500","41,719",-15%,"-$367,875",0,-3,+4,
48,,2016-09-09 14:12:47,2016-09-07,AEE,Galvin Walter J,Dir,S - Sale,$49.94,"-36,989","22,477",-62%,"-$1,847,231",-4,-2,-5,+10
49,,2016-08-15 14:12:30,2016-08-11,AEE,Steinke Bruce A,"SVP, Finance, CAO",S - Sale,$50.82,"-3,000","26,210",-10%,"-$152,460",-1,-1,-5,+6
50,,2016-06-13 11:58:36,2016-06-09,AEE,Lindgren Mark C,SVP & Chief HR Officer of Sub,S - Sale,$50.34,"-3,500","31,115",-10%,"-$176,190",0,+1,+3,-1
51,,2016-06-06 15:46:41,2016-06-02,AEE,Mark Richard J,Chmn & President of Subsidiary,S - Sale,$48.89,"-9,300","53,103",-15%,"-$454,677",0,+3,+8,0
52,,2014-06-03 14:37:18,2014-05-30,AEE,Galvin Walter J,Dir,P - Purchase,$39.18,"+9,188","43,426",+27%,"+$359,986",+1,+1,+6,+13
53,,2014-05-16 14:54:20,2014-05-15,AEE,Diya Fadi M,SVP & CNO of Subsidiary,S - Sale,$39.26,"-2,000","9,514",-17%,"-$78,520",0,-2,0,+11
54,,2014-05-16 14:03:18,2014-05-15,AEE,Naslund Charles D,Executive VP of Subsidiary,S - Sale,$39.26,"-1,920","46,494",-4%,"-$75,379",0,-2,0,+11
