,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-16 16:07:33,2021-09-14,AES,Shaughnessy Maura,Dir,P - Purchase,$23.79,"+30,000","73,153",+70%,"+$713,823",,,,
2,D,2021-08-12 19:59:35,2021-08-10,AES,Gluski Andres,"Pres, CEO",S - Sale+OE,$24.43,"-245,665","1,172,986",-17%,"-$6,001,596",,,,
3,D,2021-08-12 19:57:24,2021-08-10,AES,Mendoza Tish,"EVP, CHRO",S - Sale+OE,$24.38,"-32,028","151,853",-17%,"-$780,843",,,,
4,D,2021-08-12 19:53:44,2021-08-10,AES,Da Santos Bernerd,"EVP, COO",S - Sale+OE,$24.33,"-51,941","230,970",-18%,"-$1,263,725",,,,
5,,2020-06-15 17:10:01,2020-06-11,AES,Ubben Jeffrey W,See Remarks,P - Purchase,$12.22,"+500,000","5,346,500",+10%,"+$6,110,000",,,,
6,,2020-05-19 18:08:12,2020-05-15,AES,Ubben Jeffrey W,See Remarks,P - Purchase,$11.67,"+500,000","4,846,500",+12%,"+$5,835,000",,,,
7,,2020-03-23 16:24:12,2020-03-20,AES,Khanna Tarun,Dir,P - Purchase,$11.27,"+4,300","4,300",New,"+$48,461",,,,
8,,2020-03-23 16:22:26,2020-03-19,AES,Rubiolo Juan Ignacio,"SVP, MCAC SBU Pres",P - Purchase,$9.12,"+5,300","33,718",+19%,"+$48,317",,,,
9,,2020-03-23 07:27:33,2020-03-19,AES,Moreno Leonardo,"SVP, Corporate Strategy",P - Purchase,$9.52,"+2,500","28,326",+10%,"+$23,800",,,,
10,,2020-03-23 07:25:04,2020-03-19,AES,Mendoza Tish,"SVP, CHRO",P - Purchase,$9.28,"+3,240","136,141",+2%,"+$30,067",,,,
11,,2020-03-23 07:18:26,2020-03-19,AES,Pimenta Gustavo,"EVP, CFO",P - Purchase,$9.50,"+5,230","56,168",+10%,"+$49,685",,,,
12,,2020-03-20 07:07:20,2020-03-19,AES,Da Santos Bernerd,"EVP, COO",P - Purchase,$9.63,"+4,000","210,605",+2%,"+$38,538",,,,
13,,2020-03-20 07:03:10,2020-03-19,AES,Nebreda Julian,"SVP, Andes SBU Pres",P - Purchase,$9.50,"+3,000","78,155",+4%,"+$28,500",,,,
14,,2020-03-20 06:58:47,2020-03-19,AES,Freedman Paul L,"SVP, GC",P - Purchase,$9.50,"+2,650","32,627",+9%,"+$25,169",,,,
15,,2020-03-20 06:54:10,2020-03-19,AES,Krueger Lisa,"SVP, US SBU Pres",P - Purchase,$9.50,"+3,000","15,078",+25%,"+$28,500",,,,
16,,2020-03-20 06:52:13,2020-03-19,AES,Gluski Andres,"Pres, CEO",P - Purchase,$9.50,"+9,523","1,601,356",+1%,"+$90,469",,,,
17,,2020-03-16 06:22:32,2020-03-13,AES,Morse John B Jr,Dir,P - Purchase,$12.99,"+10,000","11,000",>999%,"+$129,900",,,,
18,D,2019-09-04 16:03:45,2019-08-30,AES,Nebreda Julian,"SVP, Andes SBU Pres",S - Sale+OE,$15.24,"-18,864","60,598",-24%,"-$287,547",,,,
