,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-04 17:12:03,2021-10-01,AFL,Moskowitz Joseph L,Dir,S - Sale,$52.28,-100,"18,711",-1%,"-$5,228",,,,
2,,2021-09-03 09:21:49,2021-09-01,AFL,Moskowitz Joseph L,Dir,S - Sale,$56.86,-100,"18,811",-1%,"-$5,686",,,,
3,,2021-08-19 07:32:26,2021-08-17,AFL,Fukuzawa Toshihiko,Dir,S - Sale,$57.30,"-2,000","11,473",-15%,"-$114,600",,,,
4,,2021-08-03 17:07:30,2021-08-02,AFL,Moskowitz Joseph L,Dir,S - Sale,$55.31,-100,"18,894",-1%,"-$5,531",,,,
5,,2021-08-02 17:18:57,2021-07-30,AFL,Lloyd Karole,Dir,P - Purchase,$55.21,"+1,000","37,535",+3%,"+$55,213",,,,
6,,2021-07-02 09:10:40,2021-07-01,AFL,Moskowitz Joseph L,Dir,S - Sale,$54.03,-100,"18,994",-1%,"-$5,403",,,,
7,,2021-07-02 09:07:08,2021-06-30,AFL,Lake Charles D II,"COB, Rep. Dir, ALIJ",S - Sale,$53.58,"-27,550","40,071",-41%,"-$1,476,212",,,,
8,,2021-06-30 09:20:24,2021-06-28,AFL,Lake Charles D II,"COB, Rep. Dir, ALIJ",S - Sale,$53.58,"-12,324","67,621",-15%,"-$660,320",,,,
9,D,2021-06-30 09:08:23,2021-06-28,AFL,Rimer Barbara K,Dir,S - Sale+OE,$53.38,"-11,026","31,311",-26%,"-$588,590",,,,
10,,2021-06-04 09:12:07,2021-06-03,AFL,Kiser Georgette D.,Dir,P - Purchase,$57.34,+50,"10,016",+1%,"+$2,867",,,,
11,,2021-06-04 08:54:47,2021-06-02,AFL,Kenny Thomas J,Dir,S - Sale,$57.32,"-5,000","16,394",-23%,"-$286,575",,,,
12,,2021-06-03 08:44:26,2021-06-01,AFL,Moskowitz Joseph L,Dir,S - Sale,$57.15,-100,"19,094",-1%,"-$5,715",,,,
13,,2021-05-07 09:03:10,2021-05-05,AFL,Fukuzawa Toshihiko,Dir,S - Sale,$54.94,"-2,230","13,457",-14%,"-$122,516",,,,
14,,2021-05-05 16:10:55,2021-05-03,AFL,Moskowitz Joseph L,Dir,S - Sale,$54.29,-100,"19,178",-1%,"-$5,429",,,,
15,,2021-04-05 09:10:17,2021-04-01,AFL,Moskowitz Joseph L,Dir,S - Sale,$50.96,-100,"16,435",-1%,"-$5,096",,,,
16,D,2021-03-31 08:57:40,2021-03-29,AFL,Daniels James Todd,"EVP, CFO Aflac Japan",S - Sale+OE,$51.10,"-4,118","34,247",-11%,"-$210,434",,,,
17,,2021-03-26 09:10:08,2021-03-24,AFL,Daniels James Todd,"EVP, CFO Aflac Japan",S - Sale,$50.43,"-30,000","32,365",-48%,"-$1,512,816",,,,
18,,2021-03-03 09:00:42,2021-03-01,AFL,Moskowitz Joseph L,Dir,S - Sale,$48.67,-100,"16,535",-1%,"-$4,867",,,,
19,,2021-02-26 09:18:43,2021-02-24,AFL,Tillman Audrey B,EVP,S - Sale,$49.72,"-3,040","160,549",-2%,"-$151,156",,,,
20,,2021-02-17 09:26:53,2021-02-16,AFL,Kirsch Eric M,EVP,S - Sale,$46.68,"-26,725","201,673",-12%,"-$1,247,389",,,,
21,,2021-02-17 09:12:05,2021-02-16,AFL,Lake Charles D II,"COB, Rep. Dir, ALIJ",S - Sale,$46.55,"-45,804","79,795",-36%,"-$2,132,176",,,,
22,,2021-02-17 09:04:50,2021-02-16,AFL,Koide Masatoshi,"Pres, Rep. Dir, ALIJ",S - Sale,$46.55,"-14,704","56,226",-21%,"-$684,471",,,,
23,,2021-02-12 17:17:57,2021-02-11,AFL,Fukuzawa Toshihiko,Dir,S - Sale,$47.00,"-1,000","12,814",-7%,"-$47,000",,,,
24,,2021-02-11 09:24:41,2021-02-09,AFL,White Teresa L,"Pres, Aflac U.S.",S - Sale,$46.09,"-17,716","104,498",-14%,"-$816,553",,,,
25,,2021-02-02 16:59:58,2021-02-01,AFL,Moskowitz Joseph L,Dir,S - Sale,$45.39,-100,"16,620",-1%,"-$4,539",,,,
26,,2021-01-06 08:51:05,2021-01-04,AFL,Moskowitz Joseph L,Dir,S - Sale,$44.60,-100,"16,720",-1%,"-$4,460",,,,
27,D,2020-12-31 16:59:48,2020-12-30,AFL,Kenny Thomas J,Dir,S - Sale+OE,$43.87,"-29,470","30,107",-49%,"-$1,292,849",,,,
28,,2020-12-16 08:29:38,2020-12-11,AFL,Rimer Barbara K,Dir,S - Sale,$44.62,"-1,005","28,409",-3%,"-$44,843",,,,
29,,2020-12-10 09:06:57,2020-12-08,AFL,Rimer Barbara K,Dir,S - Sale,$45.33,-100,"29,414",0%,"-$4,533",,,,
30,,2020-12-09 09:27:57,2020-12-07,AFL,Lake Charles D II,"COB, Rep. Dir, ALIJ",S - Sale,$45.64,"-5,070","79,795",-6%,"-$231,410",,,,
31,D,2020-12-02 07:25:58,2020-11-30,AFL,Daniels James Todd,"EVP, CFO Aflac Japan",S - Sale+OE,$44.61,"-6,809","42,944",-14%,"-$303,763",,,,
32,D,2020-11-25 16:59:47,2020-11-24,AFL,Tillman Audrey B,EVP,S - Sale+OE,$45.52,"-11,954","131,820",-8%,"-$544,147",,,,
33,,2020-11-25 09:28:11,2020-11-23,AFL,Rimer Barbara K,Dir,S - Sale,$44.38,-932,"29,468",-3%,"-$41,362",,,,
34,,2020-11-25 09:08:49,2020-11-23,AFL,Fukuzawa Toshihiko,Dir,S - Sale,$44.65,"-2,000","13,786",-13%,"-$89,300",,,,
35,,2020-08-20 08:57:06,2020-08-18,AFL,Lake Charles D II,"COB, Rep. Dir, ALIJ",S - Sale,$37.32,"-16,392","84,684",-16%,"-$611,684",,,,
36,,2020-08-18 09:00:12,2020-08-14,AFL,Lloyd Karole,Dir,P - Purchase,$38.13,"+1,000","33,585",+3%,"+$38,125",,,,
37,D,2020-05-05 16:06:11,2020-05-01,AFL,Rimer Barbara K,Dir,S - Sale+OE,$36.23,"-11,026","30,292",-27%,"-$399,505",,,,
38,,2020-03-24 10:54:31,2020-03-23,AFL,Crawford Frederick John,"Pres, COO",P - Purchase,$26.29,"+25,000","247,828",+11%,"+$657,340",,,,
39,,2020-02-19 13:18:44,2020-02-18,AFL,Lake Charles D II,"COB, Rep. Dir",S - Sale,$51.81,"-16,530","100,132",-14%,"-$856,414",,,,
40,,2020-02-19 13:18:31,2020-02-18,AFL,Koide Masatoshi,"Pres,, Rep. Dir",S - Sale,$51.75,"-1,467","40,898",-3%,"-$75,917",,,,
41,,2020-02-07 16:29:39,2020-02-06,AFL,Lake Charles D II,"COB, Rep. Dir",S - Sale,$52.68,"-22,642","83,602",-21%,"-$1,192,887",,,,
42,,2019-12-10 14:45:07,2019-12-09,AFL,Beaver Steven Kent,"SVP, CFO, Aflac US",S - Sale,$53.03,"-5,660","15,013",-27%,"-$300,157",,,,
43,D,2019-12-10 14:44:54,2019-12-06,AFL,Howard June P,SVP,S - Sale+OE,$53.25,-960,"61,231",-2%,"-$51,120",,,,
44,,2019-12-06 15:34:13,2019-12-05,AFL,Williams Richard Jr,Exec VP,S - Sale,$52.62,"-1,900","10,919",-15%,"-$99,984",,,,
45,D,2019-12-04 16:58:19,2019-12-03,AFL,Tillman Audrey B,EVP,S - Sale+OE,$51.81,"-24,000","112,840",-18%,"-$1,243,445",,,,
46,,2019-11-08 15:19:15,2019-11-07,AFL,Lloyd Karole,Dir,P - Purchase,$54.08,"+1,000","28,181",+4%,"+$54,080",,,,
47,,2019-10-01 10:00:57,2019-09-27,AFL,Fukuzawa Toshihiko,Dir,S - Sale,$52.00,"-1,500","11,349",-12%,"-$78,000",,,,
48,D,2019-08-06 15:38:50,2019-08-02,AFL,Howard June P,SVP,S - Sale+OE,$52.35,"-4,000","60,893",-6%,"-$209,406",,,,
49,D,2019-07-30 11:24:58,2019-07-26,AFL,Rimer Barbara K,Dir,S - Sale+OE,$53.74,"-4,728","25,857",-15%,"-$254,087",,,,
50,D,2019-07-30 11:24:46,2019-07-29,AFL,Daniels James Todd,Exec. VP,S - Sale+OE,$52.98,"-5,552","18,999",-23%,"-$294,164",,,,
51,D,2019-06-04 08:30:23,2019-06-03,AFL,Riggieri Albert,"SVP, Corporate Actuary",S - Sale+OE,$52.39,"-5,247","5,451",-49%,"-$274,889",,,,
