,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-20 13:58:11,2021-09-16,AJG,Cary Richard C,"Controller, CAO",S - Sale+OE,$150.32,"-4,583","35,281",-11%,"-$688,917",,,,
2,D,2021-06-17 16:51:00,2021-06-15,AJG,Ziebell William F,VP,S - Sale+OE,$144.71,"-13,200","19,483",-40%,"-$1,910,172",,,,
3,,2021-06-17 16:41:06,2021-06-15,AJG,Hudson Scott R,VP,S - Sale,$143.93,"-9,500","34,873",-21%,"-$1,367,335",,,,
4,D,2021-03-04 18:09:33,2021-03-02,AJG,Hudson Scott R,VP,S - Sale+OE,$122.11,-416,"35,308",-1%,"-$50,798",,,,
5,M,2021-02-26 20:44:49,2021-02-24,AJG,Johnson David S,Dir,S - Sale,$123.61,-840,"45,498",-2%,"-$103,832",,,,
6,,2021-02-25 18:52:11,2021-02-23,AJG,Pietrucha Susan E,CHRO,S - Sale,$123.13,-121,"1,654",-7%,"-$14,911",,,,
7,D,2021-02-10 18:20:49,2021-02-09,AJG,Hudson Scott R,VP,S - Sale+OE,$117.06,"-6,234","35,187",-15%,"-$729,752",,,,
8,D,2020-12-15 17:35:18,2020-12-14,AJG,Hudson Scott R,VP,S - Sale+OE,$121.09,"-6,650","35,187",-16%,"-$805,215",,,,
9,D,2020-12-11 17:26:22,2020-12-10,AJG,Bay Walter D.,GC,S - Sale+OE,$119.23,"-12,600","20,422",-38%,"-$1,502,298",,,,
10,D,2020-12-03 17:25:23,2020-12-02,AJG,Pietrucha Susan E,CHRO,S - Sale+OE,$116.71,"-24,950","1,654",-94%,"-$2,911,915",,,,
11,,2020-11-10 16:21:18,2020-11-09,AJG,Johnson David S,Dir,S - Sale,$113.31,-840,"46,338",-2%,"-$95,180",,,,
12,D,2020-11-06 16:24:05,2020-11-04,AJG,Howell Douglas K,"VP, CFO",S - Sale+OE,$112.30,"-60,000","54,983",-52%,"-$6,738,000",,,,
13,,2020-11-04 17:16:03,2020-11-04,AJG,English Frank E. Jr.,Dir,S - Sale,$111.78,"-1,000","7,360",-12%,"-$111,780",,,,
14,D,2020-11-04 17:12:35,2020-11-02,AJG,Gallagher Thomas Joseph,VP,S - Sale+OE,$106.04,"-60,813","518,262",-11%,"-$6,448,611",,,,
15,,2020-08-25 16:10:38,2020-08-24,AJG,McCurdy Kay W,Dir,S - Sale,$103.00,"-1,830","30,252",-6%,"-$188,490",,,,
