,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-07-30 16:07:32,2021-07-30,AKAM,Blumofe Robert,CTO,S - Sale,$118.54,"-6,000","13,906",-30%,"-$711,240",,,,
2,,2021-07-27 18:09:21,2021-07-23,AKAM,McConnell Rick M,"Pres, GM Security",S - Sale,$120.00,"-3,605","26,171",-12%,"-$432,600",,,,
3,,2021-07-27 18:07:07,2021-07-23,AKAM,Blumofe Robert,CTO,S - Sale,$120.00,"-3,000","19,906",-13%,"-$360,000",,,,
4,,2021-07-27 18:06:16,2021-05-13,AKAM,Ahola Aaron,"EVP, GC",P - Purchase,$111.04,+2,"8,032",0%,+$222,,,,
5,,2021-06-21 16:11:05,2021-06-16,AKAM,Williams Anthony P,"EVP, CHRO",S - Sale,$116.59,-850,"6,817",-11%,"-$99,102",,,,
6,,2021-06-21 16:10:34,2021-06-17,AKAM,Sundaram Mani,"EVP GSS, CIO",S - Sale,$116.13,"-9,820","5,189",-65%,"-$1,140,397",,,,
7,,2021-06-15 17:35:41,2021-06-14,AKAM,McGowan Edward J,CFO,S - Sale,$117.41,"-16,124","8,977",-64%,"-$1,893,119",,,,
8,,2021-06-09 16:12:47,2021-06-08,AKAM,Ford Monte E,Dir,S - Sale,$117.29,"-9,550","12,637",-43%,"-$1,120,120",,,,
9,,2021-05-26 16:51:55,2021-05-25,AKAM,McConnell Rick M,"Pres, GM Security",S - Sale,$115.01,"-10,000","36,995",-21%,"-$1,150,100",,,,
10,,2021-05-25 16:05:52,2021-05-24,AKAM,Sundaram Mani,"EVP GSS, CIO",S - Sale,$115.00,"-3,229","14,889",-18%,"-$371,335",,,,
11,,2021-05-21 16:14:00,2021-05-19,AKAM,Greenthal Jill A,Dir,S - Sale,$112.32,"-5,045","34,217",-13%,"-$566,654",,,,
12,,2021-05-10 16:33:17,2021-05-07,AKAM,McConnell Rick M,"Pres, GM Security",S - Sale,$110.30,"-14,920","46,995",-24%,"-$1,645,676",,,,
13,,2021-04-30 16:10:32,2021-04-30,AKAM,Blumofe Robert,CTO,S - Sale,$108.72,"-9,000","22,786",-28%,"-$978,480",,,,
14,,2021-04-27 17:29:20,2021-04-26,AKAM,Sundaram Mani,"EVP GSS, CIO",S - Sale,$110.01,"-2,000","18,118",-10%,"-$220,020",,,,
15,,2021-04-27 17:28:11,2021-04-26,AKAM,Karon Adam,"COO, GM Edge Technology Group",S - Sale,$110.01,"-10,000","10,433",-49%,"-$1,100,100",,,,
16,M,2021-04-13 17:29:26,2021-04-12,AKAM,Karon Adam,"COO, GM Edge Technology Group",S - Sale,$104.39,"-15,000","20,433",-42%,"-$1,565,850",,,,
17,,2021-03-18 17:21:21,2021-03-17,AKAM,Williams Anthony P,"EVP, CHRO",S - Sale,$99.52,"-2,300","7,056",-25%,"-$228,896",,,,
18,,2021-03-10 18:04:34,2021-03-09,AKAM,Karon Adam,"COO, GM Edge Technology Group",S - Sale,$98.40,"-5,000","35,433",-12%,"-$492,000",,,,
19,,2021-03-10 18:04:04,2021-03-09,AKAM,Blumofe Robert,CTO,S - Sale,$98.53,"-10,000","31,786",-24%,"-$985,300",,,,
20,,2021-03-08 16:45:24,2021-03-04,AKAM,Ahola Aaron,"EVP, GC",S - Sale,$92.92,"-1,668","8,030",-17%,"-$154,991",,,,
21,D,2021-03-03 18:38:18,2021-03-01,AKAM,Ahola Aaron,"EVP, GC",S - Sale+OE,$95.50,"-12,170","9,698",-56%,"-$1,162,235",,,,
22,,2021-02-24 16:53:51,2021-02-23,AKAM,Bonner Monique,"EVP, CMO",S - Sale,$96.64,"-10,000","12,096",-45%,"-$966,400",,,,
23,D,2021-02-22 16:46:04,2021-02-19,AKAM,Williams Anthony P,"EVP, CHRO",S - Sale+OE,$100.27,"-1,005","7,436",-12%,"-$100,771",,,,
24,,2021-02-17 17:17:56,2021-02-16,AKAM,Ahola Aaron,"EVP, GC",S - Sale,$102.25,"-1,920","3,885",-33%,"-$196,320",,,,
25,,2020-12-07 17:15:32,2020-12-03,AKAM,Ranganathan Madhu,Dir,S - Sale,$104.09,"-1,675",0,-100%,"-$174,351",,,,
26,,2020-10-30 16:19:00,2020-10-30,AKAM,Blumofe Robert,"EVP Platform, GM Enterprise",S - Sale,$95.23,"-6,089","17,154",-26%,"-$579,855",,,,
27,,2020-08-25 19:08:29,2020-08-24,AKAM,McConnell Rick M,"Pres, GM Web Division",S - Sale,$112.50,"-3,409","20,007",-15%,"-$383,513",,,,
28,,2020-08-20 16:17:48,2020-08-20,AKAM,Ahola Aaron,"EVP, GC",S - Sale,$108.73,"-2,761","3,885",-42%,"-$300,204",,,,
29,,2020-08-17 16:25:47,2020-08-14,AKAM,Williams Anthony P,"EVP, CHRO",S - Sale,$107.85,"-3,440","3,139",-52%,"-$370,990",,,,
30,,2020-08-04 17:18:58,2020-07-31,AKAM,Blumofe Robert,"EVP Platform, GM Enterprise",S - Sale,$111.17,"-5,000","18,243",-22%,"-$555,850",,,,
31,,2020-07-08 16:51:40,2020-07-06,AKAM,McGowan Edward J,CFO,S - Sale,$116.00,"-2,516","5,129",-33%,"-$291,856",,,,
32,,2020-07-02 16:10:45,2020-07-02,AKAM,McGowan Edward J,CFO,S - Sale,$110.00,"-1,194","7,645",-14%,"-$131,340",,,,
33,,2020-07-01 17:23:20,2020-06-30,AKAM,McGowan Edward J,CFO,S - Sale,$107.01,"-4,758","8,839",-35%,"-$509,140",,,,
34,,2020-06-09 17:15:05,2020-06-08,AKAM,Wagner William Raymond,Dir,S - Sale,$101.38,"-3,000","6,628",-31%,"-$304,140",,,,
35,,2020-06-01 16:27:08,2020-05-29,AKAM,McGowan Edward J,CFO,S - Sale,$105.00,-797,"13,597",-6%,"-$83,685",,,,
36,,2020-05-26 16:11:54,2020-05-26,AKAM,McConnell Rick M,"Pres, GM Web Division",S - Sale,$102.00,"-5,331","23,416",-19%,"-$543,762",,,,
37,D,2020-05-26 16:10:18,2020-05-21,AKAM,McGowan Edward J,CFO,S - Sale+OE,$101.00,"-3,208","14,251",-18%,"-$324,008",,,,
38,,2020-05-21 16:45:27,2020-05-20,AKAM,McConnell Rick M,"Pres, GM Web Division",S - Sale,$100.00,"-5,000","28,747",-15%,"-$500,000",,,,
39,M,2020-05-18 17:55:12,2020-05-14,AKAM,McConnell Rick M,"Pres, GM Web Division",S - Sale,$96.62,"-16,120","33,747",-32%,"-$1,557,520",,,,
40,,2020-05-18 17:54:46,2020-05-15,AKAM,McGowan Edward J,CFO,S - Sale,$98.00,"-4,068","17,459",-19%,"-$398,664",,,,
41,,2020-05-11 16:59:38,2020-05-07,AKAM,Williams Anthony P,"EVP, CHRO",S - Sale,$101.28,"-2,650","5,654",-32%,"-$268,392",,,,
42,,2020-05-04 16:28:34,2020-05-01,AKAM,Blumofe Robert,"EVP Platform, GM Enterprise",S - Sale,$96.31,"-7,100","23,100",-24%,"-$683,801",,,,
43,,2020-04-15 16:07:39,2020-04-14,AKAM,Karon Adam,"EVP, GM Media Division",S - Sale,$100.00,"-5,000","8,260",-38%,"-$500,000",,,,
44,,2020-03-20 16:11:17,2020-03-18,AKAM,Karon Adam,"EVP, GM Media Division",S - Sale,$95.00,"-15,000","13,260",-53%,"-$1,425,000",,,,
45,,2020-02-21 16:27:47,2020-02-21,AKAM,Salerno Frederic V,Dir,S - Sale,$100.11,"-10,922","5,522",-66%,"-$1,093,401",,,,
46,,2020-02-19 18:27:42,2020-02-18,AKAM,Blumofe Robert,"EVP Platform, GM Enterprise",S - Sale,$99.29,"-8,389","11,509",-42%,"-$832,944",,,,
47,,2020-02-19 18:27:22,2020-02-19,AKAM,Greenthal Jill A,Dir,S - Sale,$102.41,"-5,000","33,039",-13%,"-$512,050",,,,
48,,2020-02-14 16:33:30,2020-02-14,AKAM,Ahola Aaron,"EVP, GC",S - Sale,$99.77,"-1,916","4,109",-32%,"-$191,159",,,,
49,,2019-12-09 16:20:22,2019-12-06,AKAM,Ahola Aaron,"EVP, GC",S - Sale,$84.87,-678,"4,109",-14%,"-$57,542",,,,
50,D,2019-11-25 18:16:56,2019-11-25,AKAM,Verwaayen Bernardus Johannes Maria,Dir,S - Sale+OE,$87.74,"-25,062",0,-100%,"-$2,198,940",,,,
51,,2019-11-15 16:09:34,2019-11-15,AKAM,Gemmell James,"EVP, CHRO",S - Sale,$85.80,"-10,065","1,439",-87%,"-$863,577",,,,
52,,2019-11-01 16:05:55,2019-10-31,AKAM,Blumofe Robert,"EVP Platform, GM Enterprise",S - Sale,$86.87,"-9,000","11,874",-43%,"-$781,830",,,,
53,,2019-10-01 16:16:04,2019-09-30,AKAM,Ahola Aaron,"EVP, GC",S - Sale,$90.24,"-3,117","4,109",-43%,"-$281,278",,,,
54,,2019-08-02 17:06:11,2019-07-31,AKAM,Karon Adam,"EVP, GM Media Division",S - Sale,$85.00,"-3,500","9,418",-27%,"-$297,500",,,,
55,,2019-08-02 17:05:52,2019-07-31,AKAM,McGowan Edward J,CFO,S - Sale,$89.08,"-3,247","8,795",-27%,"-$289,243",,,,
56,,2019-08-02 17:05:31,2019-08-01,AKAM,Blumofe Robert,"EVP Platform, GM Enterprise",S - Sale,$88.12,"-5,000","21,290",-19%,"-$440,600",,,,
57,,2019-06-11 16:20:03,2019-06-10,AKAM,Karon Adam,"EVP, GM Media Division",S - Sale,$80.00,"-3,500","12,918",-21%,"-$280,000",,,,
58,,2019-06-06 16:03:39,2019-06-05,AKAM,Karon Adam,"EVP, GM Media Division",S - Sale,$77.00,"-8,000","16,418",-33%,"-$616,000",,,,
59,D,2019-06-03 17:07:50,2019-05-23,AKAM,Salerno Frederic V,Dir,S - Sale+OE,$77.74,"-3,000","72,864",-4%,"-$233,220",,,,
60,M,2019-05-02 16:11:38,2019-04-30,AKAM,McGowan Edward J,CFO,S - Sale,$80.18,"-2,170","11,114",-16%,"-$173,982",,,,
61,,2019-05-02 16:10:54,2019-04-30,AKAM,Wheaton William,Chief Strategy Officer,S - Sale,$80.00,"-6,000","28,417",-17%,"-$480,000",,,,
62,,2019-05-02 16:10:11,2019-05-02,AKAM,Blumofe Robert,"EVP Platform, GM Enterprise",S - Sale,$80.95,"-5,000","26,109",-16%,"-$404,750",,,,
63,,2019-04-25 18:25:01,2019-04-24,AKAM,McConnell Rick M,"Pres, GM Web Division",S - Sale,$78.00,"-1,362","20,031",-6%,"-$106,236",,,,
64,,2019-04-12 16:36:57,2019-04-10,AKAM,McGowan Edward J,CFO,S - Sale,$75.12,"-2,150","12,984",-14%,"-$161,508",,,,
65,,2019-04-12 16:36:15,2019-04-12,AKAM,Wheaton William,Chief Strategy Officer,S - Sale,$75.18,"-6,000","34,417",-15%,"-$451,080",,,,
66,,2019-04-12 16:35:33,2019-04-12,AKAM,McConnell Rick M,"Pres, GM Web Division",S - Sale,$76.00,"-1,376","21,393",-6%,"-$104,576",,,,
67,,2019-04-08 16:04:18,2019-04-05,AKAM,McConnell Rick M,"Pres, GM Web Division",S - Sale,$74.00,"-1,500","22,769",-6%,"-$111,000",,,,
68,D,2019-03-15 16:28:02,2019-03-14,AKAM,Ford Monte E,Dir,S - Sale+OE,$72.41,"-24,721","16,291",-60%,"-$1,790,048",,,,
69,,2019-03-14 16:01:38,2019-03-12,AKAM,McConnell Rick M,"Pres, GM Web Division",S - Sale,$72.00,"-2,264","24,269",-9%,"-$163,008",,,,
70,,2019-03-14 16:00:55,2019-03-12,AKAM,McGowan Edward J,CFO,S - Sale,$72.40,"-5,520","15,134",-27%,"-$399,648",,,,
71,,2019-03-08 16:04:44,2019-03-07,AKAM,McConnell Rick M,"Pres, GM Web Division",S - Sale,$70.88,"-22,775","26,533",-46%,"-$1,614,292",,,,
72,,2019-02-21 16:11:52,2019-02-19,AKAM,Blumofe Robert,"EVP Platform, GM Enterprise",S - Sale,$69.73,"-10,000","18,112",-36%,"-$697,300",,,,
73,,2019-02-15 16:14:27,2019-02-14,AKAM,Ahola Aaron,"SVP, GC",S - Sale,$70.16,"-2,157","4,035",-35%,"-$151,335",,,,
74,,2019-02-15 16:13:56,2019-02-14,AKAM,Gemmell James,"EVP, CHRO",S - Sale,$70.16,"-9,579","11,504",-45%,"-$672,063",,,,
