,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-04 17:07:19,2021-10-01,ALK,Tilden Bradley D,COB,S - Sale,$60.74,"-4,875","114,000",-4%,"-$296,098",,,,
2,,2021-09-01 18:35:09,2021-09-01,ALK,Tilden Bradley D,COB,S - Sale,$57.08,"-4,875","118,875",-4%,"-$278,268",,,,
3,D,2021-07-26 18:21:10,2021-07-26,ALK,Schneider Andrea L,SVP PEOPLE,S - Sale+OE,$59.36,-40,"12,154",0%,"-$2,374",,,,
4,,2021-06-09 19:42:09,2021-06-08,ALK,Knight Jessie J Jr,Dir,P - Purchase,$66.26,"+1,200","4,987",+32%,"+$79,511",,,,
5,,2021-06-01 17:28:14,2021-06-01,ALK,Tilden Bradley D,COB,S - Sale,$69.85,"-6,500","133,500",-5%,"-$454,017",,,,
6,,2021-05-17 16:49:11,2021-05-14,ALK,Tilden Bradley D,COB,S - Sale,$69.75,"-8,266","140,000",-6%,"-$576,591",,,,
7,,2021-05-17 12:21:09,2021-05-14,ALK,Schneider Andrea L,SVP PEOPLE,S - Sale,$70.00,"-2,100","12,154",-15%,"-$147,000",,,,
8,M,2021-05-11 18:56:11,2021-05-07,ALK,Tilden Bradley D,COB,S - Sale,$68.09,"-10,800","148,266",-7%,"-$735,394",,,,
9,,2021-05-03 18:56:18,2021-04-30,ALK,Tilden Bradley D,COB,S - Sale,$69.42,"-4,200","159,066",-3%,"-$291,568",,,,
10,,2021-05-03 17:14:18,2021-04-29,ALK,Harrison Andrew R,"EVP, CCO",S - Sale,$68.96,"-5,800","12,999",-31%,"-$399,996",,,,
11,D,2021-04-26 17:21:15,2021-04-23,ALK,Tilden Bradley D,"COB, Pres, CEO",S - Sale+OE,$69.12,"-33,796","173,266",-16%,"-$2,335,919",,,,
12,D,2021-03-26 19:07:09,2021-03-25,ALK,Minicucci Benito,"Pres,ALASKA AIRLINES",S - Sale+OE,$66.82,"-14,402","91,909",-14%,"-$962,288",,,,
13,D,2021-03-15 21:42:18,2021-03-12,ALK,Tilden Bradley D,"COB, Pres, CEO",S - Sale+OE,$66.82,"-23,360","173,266",-12%,"-$1,560,818",,,,
14,,2021-03-09 20:07:15,2021-03-08,ALK,Levine Kyle B,SVP LEGAL,S - Sale,$68.00,"-2,000","7,699",-21%,"-$136,000",,,,
15,,2021-03-09 20:07:09,2021-03-08,ALK,Thompson J Kenneth,Dir,S - Sale,$68.66,"-2,500","34,995",-7%,"-$171,647",,,,
16,,2021-03-09 20:00:11,2021-03-09,ALK,Tackett Shane R,"EVP FINANCE, CFO",S - Sale,$67.22,"-3,000","10,669",-22%,"-$201,671",,,,
17,,2021-02-19 19:14:17,2021-02-19,ALK,Berry Christopher Michael,VP & CONTROLLER,S - Sale,$62.14,-963,"4,703",-17%,"-$59,841",,,,
