,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-20 14:11:19,2021-09-08,AMCR,Roegner Eric V,"Pres,Amcor Rigid Plastics",S - Sale+OE,$12.30,"-303,000","150,735",-67%,"-$3,726,900",,,,
2,D,2021-09-10 16:31:42,2021-09-09,AMCR,Delia Ronald Stephen,CEO,S - Sale+OE,$12.18,"-1,591,380","1,454,346",-52%,"-$19,386,538",,,,
3,,2021-09-07 15:36:18,2021-09-02,AMCR,Zacka Michael J,"Pres, Amcor Flex Europe",S - Sale,$12.66,"-8,440","179,864",-4%,"-$106,841",,,,
4,,2021-09-07 15:20:45,2021-09-02,AMCR,Roegner Eric V,"Pres,Amcor Rigid Plastics",S - Sale,$12.66,"-3,287","150,735",-2%,"-$41,610",,,,
5,,2021-09-07 15:18:36,2021-09-02,AMCR,Sorrells Julie Marie,"VP, Corporate Controller",S - Sale,$12.66,-124,"43,407",0%,"-$1,570",,,,
6,D,2021-08-30 14:39:03,2021-08-26,AMCR,Casamento Michael,"EVP, Finance, CFO",S - Sale+OE,$12.70,"-659,300","351,052",-65%,"-$8,372,451",,,,
7,,2021-08-24 14:54:45,2021-08-20,AMCR,Zacka Michael J,"Pres, Amcor Flex Europe",S - Sale,$12.33,"-73,000","162,881",-31%,"-$900,090",,,,
8,D,2021-06-16 16:21:27,2021-06-14,AMCR,Delia Ronald Stephen,CEO,S - Sale+OE,$12.15,"-464,045","1,200,583",-28%,"-$5,638,147",,,,
9,,2021-05-19 12:51:10,2021-05-17,AMCR,Nayar Arun,Dir,S - Sale,$12.35,"-50,000",0,-100%,"-$617,500",,,,
10,D,2021-05-11 16:46:19,2021-05-07,AMCR,Wilson Ian,EVP,S - Sale+OE,$12.36,"-195,200",0,-100%,"-$2,412,672",,,,
11,M,2021-03-22 16:16:58,2019-08-26,AMCR,Long Nicholas T.,Dir,S - Sale,$9.58,-275,"8,302",-3%,"-$2,636",,,,
12,M,2021-03-22 16:16:58,2020-10-14,AMCR,Long Nicholas T.,Dir,P - Purchase,$9.71,+546,"8,302",+7%,"+$5,304",,,,
13,D,2020-08-31 12:53:52,2020-08-27,AMCR,Konieczny Peter,"Pres, Amcor Flexibles",S - Sale+OE,$11.06,"-111,241","293,829",-27%,"-$1,230,058",,,,
14,D,2020-08-25 17:58:52,2020-08-21,AMCR,Konieczny Peter,"Pres, Amcor Flexibles",S - Sale+OE,$11.25,"-48,989","236,505",-17%,"-$551,126",,,,
15,,2020-03-18 11:18:05,2020-03-16,AMCR,Roegner Eric V,"Pres,Amcor Rigid Plastics",P - Purchase,$5.93,"+31,600","71,600",+79%,"+$187,393",,,,
16,,2020-03-17 17:42:43,2020-03-16,AMCR,Wilson Ian,EVP,P - Purchase,$6.60,"+72,000","128,609",+127%,"+$475,200",,,,
17,,2020-03-16 17:21:31,2020-03-16,AMCR,Delia Ronald Stephen,CEO,P - Purchase,$10.64,"+50,000","1,081,573",+5%,"+$532,145",,,,
18,,2019-09-16 17:05:18,2019-09-13,AMCR,Stephan Louis Fred,"Pres, Amcor Flexibles NA",S - Sale,$10.27,"-69,787","89,046",-44%,"-$716,712",,,,
