,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-30 18:47:23,2021-08-26,AMP,Truscott William F,"CEO, Global Asset Management",S - Sale+OE,$271.39,"-19,522","45,167",-30%,"-$5,298,109",,,,
2,D,2021-08-11 16:25:43,2021-08-09,AMP,Sweeney Joseph Edward,"Pres-AWM Products, Services",S - Sale+OE,$265.52,"-11,210","15,011",-43%,"-$2,976,503",,,,
3,D,2021-05-03 17:22:27,2021-04-29,AMP,Smyth Gerard P.,"EVP Technology, CIO",S - Sale+OE,$259.64,-970,"10,605",-8%,"-$251,853",,,,
4,D,2021-05-03 17:22:03,2021-04-29,AMP,Woerner John Robert,"Pres Ins, Chief Strat Officer",S - Sale+OE,$258.76,"-13,956","27,557",-34%,"-$3,611,300",,,,
5,,2021-05-03 16:52:40,2021-04-29,AMP,Thissen Karen Wilson,"EVP, GC",S - Sale,$259.85,"-1,560","11,903",-12%,"-$405,366",,,,
6,D,2021-02-19 16:35:30,2021-02-17,AMP,Thissen Karen Wilson,"EVP, GC",S - Sale+OE,$219.21,"-2,055","13,463",-13%,"-$450,465",,,,
7,D,2021-02-16 17:02:09,2021-02-11,AMP,Sweeney Joseph Edward,"Pres-AWM Products, Services",S - Sale+OE,$215.22,"-9,500","17,007",-36%,"-$2,044,550",,,,
8,,2021-02-12 16:33:19,2021-02-10,AMP,Hutt John R.,"Sr Vice Pres, Controller",S - Sale,$216.07,-77,"2,259",-3%,"-$16,637",,,,
9,,2021-02-12 16:31:19,2021-02-10,AMP,Cracchiolo James M,"COB, CEO",S - Sale,$215.26,"-52,197","173,499",-23%,"-$11,235,945",,,,
10,,2021-02-09 17:43:58,2021-02-09,AMP,Berman Walter Stanley,"EVP, CFO",S - Sale,$212.09,"-19,000","15,685",-55%,"-$4,029,721",,,,
11,D,2021-02-03 17:05:06,2021-02-03,AMP,Moore Colin,"EVP, Global CIO",S - Sale+OE,$202.60,"-44,068","57,775",-43%,"-$8,928,040",,,,
12,D,2021-02-03 17:04:57,2021-02-03,AMP,Thissen Karen Wilson,"EVP, GC",S - Sale+OE,$204.94,"-1,307","14,323",-8%,"-$267,850",,,,
13,D,2021-02-03 17:04:38,2021-02-03,AMP,Truscott William F,"CEO, Global Asset Management",S - Sale+OE,$203.61,"-12,002","46,662",-20%,"-$2,443,754",,,,
14,,2020-12-07 16:32:18,2020-12-03,AMP,Hutt John R.,"Sr Vice Pres, Controller",S - Sale,$196.12,-302,"1,978",-13%,"-$59,229",,,,
15,D,2020-12-07 16:31:37,2020-12-03,AMP,Sweeney Joseph Edward,"Pres-AWM Products, Services",S - Sale+OE,$195.30,"-6,974","18,287",-28%,"-$1,362,017",,,,
16,D,2020-12-02 16:47:08,2020-11-30,AMP,Berman Walter Stanley,"EVP, CFO",S - Sale+OE,$186.69,"-6,633","18,102",-27%,"-$1,238,316",,,,
17,,2020-12-02 16:46:43,2020-11-30,AMP,Truscott William F,"CEO, Global Asset Management",S - Sale,$188.00,"-21,005","43,739",-32%,"-$3,948,940",,,,
18,,2020-12-01 15:16:45,2020-11-25,AMP,Thissen Karen Wilson,"EVP, GC",S - Sale,$189.66,"-1,132","13,277",-8%,"-$214,689",,,,
19,,2020-11-13 16:00:42,2020-11-11,AMP,Moore Colin,"EVP, Global CIO",S - Sale,$181.86,"-12,322","55,051",-18%,"-$2,240,846",,,,
20,D,2020-11-12 18:14:20,2020-11-09,AMP,Cracchiolo James M,"COB, CEO",S - Sale+OE,$184.39,"-52,402","181,557",-22%,"-$9,662,526",,,,
21,D,2020-11-12 18:13:54,2020-11-09,AMP,Berman Walter Stanley,"EVP, CFO",S - Sale+OE,$182.95,"-15,514","18,103",-46%,"-$2,838,305",,,,
22,DM,2020-11-06 16:18:32,2020-11-04,AMP,Cracchiolo James M,"COB, CEO",S - Sale+OE,$172.20,"-74,539","206,673",-27%,"-$12,835,822",,,,
