,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,M,2021-10-19 20:07:17,2021-10-15,ANET,Ullal Jayshree,"Pres, CEO",S - Sale,$394.40,"-33,500","3,091,457",-1%,"-$13,212,330",,,,
2,M,2021-10-15 18:35:36,2021-10-13,ANET,Ullal Jayshree,"Pres, CEO",S - Sale,$383.54,"-29,500","3,124,957",-1%,"-$11,314,435",,,,
3,D,2021-10-13 20:42:51,2021-10-11,ANET,Duda Kenneth,"CTO, SVP Software Eng.",S - Sale+OE,$376.32,"-14,534","398,523",-4%,"-$5,469,368",,,,
4,D,2021-10-12 20:47:50,2021-10-07,ANET,Sadana Anshul,"SVP, COO",S - Sale+OE,$360.39,"-4,234","3,266",-56%,"-$1,525,892",,,,
5,D,2021-10-05 19:37:50,2021-10-01,ANET,Taxay Marc,"SVP, GC",S - Sale+OE,$345.00,-501,0,-100%,"-$172,845",,,,
6,D,2021-10-05 19:37:36,2021-10-01,ANET,Mather Ann,Dir,S - Sale+OE,$345.00,-417,586,-42%,"-$143,865",,,,
7,,2021-10-05 19:37:25,2021-10-01,ANET,Giancarlo Charles H,Dir,S - Sale,$344.89,"-1,665","61,959",-3%,"-$574,242",,,,
8,D,2021-09-14 20:39:28,2021-09-10,ANET,Duda Kenneth,"CTO, SVP Software Eng.",S - Sale+OE,$355.67,"-14,532","403,057",-3%,"-$5,168,583",,,,
9,D,2021-09-09 19:16:39,2021-09-07,ANET,Bechtolsheim Andreas,"Chief Development Officer, 10%",S - Sale+OE,$359.74,"-30,888","12,200,367",0%,"-$11,111,768",,,,
10,DM,2021-09-07 21:07:23,2021-09-02,ANET,Bechtolsheim Andreas,"Chief Development Officer, 10%",S - Sale+OE,$363.16,"-100,000","12,222,120",-1%,"-$36,315,744",,,,
11,D,2021-09-03 20:44:09,2021-09-01,ANET,Taxay Marc,"SVP, GC",S - Sale+OE,$364.10,"-1,588",0,-100%,"-$578,197",,,,
12,D,2021-09-03 20:43:57,2021-09-01,ANET,Sadana Anshul,"SVP, COO",S - Sale+OE,$363.33,"-4,234","3,266",-56%,"-$1,538,338",,,,
13,D,2021-09-03 20:43:39,2021-09-01,ANET,Mather Ann,Dir,S - Sale+OE,$369.54,-417,586,-42%,"-$154,098",,,,
14,,2021-09-03 20:43:21,2021-09-01,ANET,Giancarlo Charles H,Dir,S - Sale,$363.57,"-1,685","63,624",-3%,"-$612,609",,,,
15,DM,2021-09-02 19:51:26,2021-08-31,ANET,Bechtolsheim Andreas,"Chief Development Officer, 10%",S - Sale+OE,$365.40,"-100,000","12,272,120",-1%,"-$36,539,958",,,,
16,DM,2021-08-31 20:05:33,2021-08-27,ANET,Bechtolsheim Andreas,"Chief Development Officer, 10%",S - Sale+OE,$372.01,"-100,000","12,322,120",-1%,"-$37,200,759",,,,
17,DM,2021-08-27 20:11:06,2021-08-25,ANET,Bechtolsheim Andreas,"Chief Development Officer, 10%",S - Sale+OE,$372.68,"-100,000","12,372,120",-1%,"-$37,267,759",,,,
18,,2021-08-27 20:10:40,2021-08-25,ANET,Sadana Anshul,"SVP, COO",S - Sale,$376.06,"-1,845","3,266",-36%,"-$693,823",,,,
19,,2021-08-27 20:10:30,2021-08-25,ANET,Ullal Jayshree,"Pres, CEO",S - Sale,$375.75,"-13,500","3,154,457",0%,"-$5,072,625",,,,
20,M,2021-08-25 21:22:32,2021-08-23,ANET,Ullal Jayshree,"Pres, CEO",S - Sale,$371.72,"-11,937","3,167,957",0%,"-$4,437,222",,,,
21,DM,2021-08-25 21:22:21,2021-08-23,ANET,Bechtolsheim Andreas,"Chief Development Officer, 10%",S - Sale+OE,$371.85,"-100,000","12,422,120",-1%,"-$37,184,726",,,,
22,D,2021-08-24 21:31:45,2021-08-20,ANET,Mather Ann,Dir,S - Sale+OE,$367.26,-220,586,-27%,"-$80,797",,,,
23,D,2021-08-16 20:22:48,2021-08-12,ANET,Brennan Ita M,"SVP, CFO",S - Sale+OE,$366.65,"-3,700","4,009",-48%,"-$1,356,600",,,,
24,,2021-08-13 20:46:54,2021-08-11,ANET,Ullal Jayshree,"Pres, CEO",S - Sale,$371.72,"-1,563","3,178,093",0%,"-$580,998",,,,
25,D,2021-08-12 19:39:34,2021-08-10,ANET,Duda Kenneth,"CTO, SVP Software Eng.",S - Sale+OE,$371.96,"-14,534","410,579",-3%,"-$5,406,040",,,,
26,M,2021-08-11 19:23:25,2021-08-09,ANET,Ullal Jayshree,"Pres, CEO",S - Sale,$375.69,"-27,000","3,179,656",-1%,"-$10,143,630",,,,
27,D,2021-08-04 18:17:34,2021-08-02,ANET,Ullal Jayshree,"Pres, CEO",S - Sale+OE,$378.05,"-2,375","3,206,656",0%,"-$897,878",,,,
28,D,2021-08-04 18:17:15,2021-08-02,ANET,Taxay Marc,"SVP, GC",S - Sale+OE,$381.00,-498,0,-100%,"-$189,738",,,,
29,D,2021-08-04 18:16:56,2021-08-02,ANET,Sadana Anshul,"SVP, COO",S - Sale+OE,$378.45,"-4,232","2,421",-64%,"-$1,601,581",,,,
30,D,2021-08-04 18:16:42,2021-08-02,ANET,Mather Ann,Dir,S - Sale+OE,$381.00,-416,586,-42%,"-$158,496",,,,
31,D,2021-07-14 19:25:47,2021-07-12,ANET,Duda Kenneth,"CTO, SVP Software Eng.",S - Sale+OE,$372.57,"-14,532","415,113",-3%,"-$5,414,171",,,,
32,D,2021-07-08 20:16:20,2021-07-06,ANET,Ullal Jayshree,"Pres, CEO",S - Sale+OE,$371.93,"-1,375","3,206,656",0%,"-$511,409",,,,
33,,2021-07-08 20:16:06,2021-07-06,ANET,Giancarlo Charles H,Dir,S - Sale,$371.40,"-1,665","65,089",-2%,"-$618,379",,,,
34,M,2021-07-08 20:13:22,2021-07-06,ANET,Duda Kenneth,"CTO, SVP Software Eng.",S - Sale,$375.31,"-6,072","419,645",-1%,"-$2,278,892",,,,
35,D,2021-07-06 19:47:34,2021-07-01,ANET,Ullal Jayshree,"Pres, CEO",S - Sale+OE,$364.09,"-2,375","3,206,656",0%,"-$864,701",,,,
36,D,2021-07-06 19:47:21,2021-07-01,ANET,Taxay Marc,"SVP, GC",S - Sale+OE,$363.39,-501,0,-100%,"-$182,058",,,,
37,D,2021-07-06 19:47:12,2021-07-01,ANET,Sadana Anshul,"SVP, COO",S - Sale+OE,$364.13,"-4,234","2,421",-64%,"-$1,541,730",,,,
38,D,2021-07-06 19:46:58,2021-07-01,ANET,Mather Ann,Dir,S - Sale+OE,$363.39,-417,586,-42%,"-$151,534",,,,
39,D,2021-06-14 20:00:45,2021-06-10,ANET,Duda Kenneth,"CTO, SVP Software Eng.",S - Sale+OE,$364.78,"-14,534","425,717",-3%,"-$5,301,636",,,,
40,D,2021-06-09 19:38:38,2021-06-07,ANET,Ullal Jayshree,"Pres, CEO",S - Sale+OE,$350.52,"-1,375","3,206,656",0%,"-$481,965",,,,
41,,2021-06-08 20:00:07,2021-06-04,ANET,Giancarlo Charles H,Dir,S - Sale,$348.11,"-1,665","66,754",-2%,"-$579,606",,,,
42,,2021-06-08 19:59:32,2021-06-04,ANET,Duda Kenneth,"CTO, SVP Software Eng.",S - Sale,$350.04,"-6,070","430,251",-1%,"-$2,124,763",,,,
43,D,2021-06-07 19:35:54,2021-06-03,ANET,Sadana Anshul,"SVP, COO",S - Sale+OE,$340.14,"-4,234","2,421",-64%,"-$1,440,165",,,,
44,D,2021-06-03 20:06:45,2021-06-01,ANET,Ullal Jayshree,"Pres, CEO",S - Sale+OE,$336.38,"-2,375","3,206,656",0%,"-$798,902",,,,
45,D,2021-06-03 20:04:42,2021-06-01,ANET,Taxay Marc,"SVP, GC",S - Sale+OE,$337.15,"-1,586",0,-100%,"-$534,713",,,,
46,D,2021-06-03 20:04:02,2021-06-01,ANET,Mather Ann,Dir,S - Sale+OE,$338.63,-417,586,-42%,"-$141,209",,,,
47,D,2021-06-03 20:03:37,2021-06-01,ANET,Brennan Ita M,"SVP, CFO",S - Sale+OE,$336.50,"-3,930","4,009",-50%,"-$1,322,445",,,,
48,DM,2021-06-01 20:34:11,2021-05-27,ANET,Sadana Anshul,"SVP, COO",S - Sale+OE,$340.21,"-8,357","2,421",-78%,"-$2,843,089",,,,
49,D,2021-05-27 18:21:02,2021-05-26,ANET,Sadana Anshul,"SVP, COO",S - Sale+OE,$338.10,"-2,345","2,421",-49%,"-$792,834",,,,
50,D,2021-05-24 21:12:53,2021-05-21,ANET,Ullal Jayshree,"Pres, CEO",S - Sale+OE,$333.28,"-1,670","3,206,656",0%,"-$556,573",,,,
51,DM,2021-05-24 21:12:12,2021-05-20,ANET,McCool John F,Chief Platform Officer,S - Sale+OE,$332.37,"-1,595",265,-86%,"-$530,132",,,,
52,D,2021-05-24 20:25:42,2021-05-20,ANET,Mather Ann,Dir,S - Sale+OE,$324.48,-219,586,-27%,"-$71,061",,,,
53,D,2021-05-24 20:25:18,2021-05-20,ANET,Battles Kelly Bodnar,Dir,S - Sale+OE,$325.11,-200,419,-32%,"-$65,022",,,,
54,D,2021-05-14 18:41:23,2021-05-12,ANET,Duda Kenneth,"CTO, SVP Software Eng.",S - Sale+OE,$317.64,"-10,000","442,266",-2%,"-$3,176,377",,,,
55,,2021-05-12 18:20:33,2021-05-10,ANET,Duda Kenneth,"CTO, SVP Software Eng.",S - Sale,$329.30,"-4,532","442,266",-1%,"-$1,492,372",,,,
56,D,2021-05-10 19:09:16,2021-05-06,ANET,Ullal Jayshree,"Pres, CEO",S - Sale+OE,$321.96,"-1,375","3,206,524",0%,"-$442,694",,,,
57,,2021-05-10 19:09:05,2021-05-06,ANET,Duda Kenneth,"CTO, SVP Software Eng.",S - Sale,$325.12,"-5,505","446,798",-1%,"-$1,789,810",,,,
58,,2021-05-06 20:16:33,2021-05-04,ANET,Giancarlo Charles H,Dir,S - Sale,$306.17,"-1,665","68,200",-2%,"-$509,771",,,,
59,D,2021-05-05 19:51:53,2021-05-03,ANET,Ullal Jayshree,"Pres, CEO",S - Sale+OE,$314.18,"-2,375","3,206,524",0%,"-$746,188",,,,
