,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-06 16:30:36,2021-10-05,ANSS,Emswiler Shane,"SVP, Products",S - Sale,$335.65,-436,"22,840",-2%,"-$146,343",,,,
2,,2021-09-02 18:59:46,2021-09-01,ANSS,Dorchak Glenda,Dir,S - Sale,$369.64,-700,"3,736",-16%,"-$258,745",,,,
3,,2021-09-01 16:15:19,2021-08-31,ANSS,Dorchak Glenda,Dir,S - Sale,$364.98,-300,"4,436",-6%,"-$109,495",,,,
4,,2021-08-11 19:27:20,2021-08-10,ANSS,Gopal Ajei,"Pres, CEO",S - Sale,$364.07,"-63,726","121,476",-34%,"-$23,200,623",,,,
5,,2021-07-12 17:02:20,2021-07-09,ANSS,Gallimore Alec D.,Dir,S - Sale,$351.84,-625,"4,113",-13%,"-$219,900",,,,
6,,2021-06-09 16:45:16,2021-06-08,ANSS,Scherer Barbara Vaughn,Dir,S - Sale,$330.00,-250,"11,344",-2%,"-$82,500",,,,
7,,2021-06-08 17:00:36,2021-06-04,ANSS,Scherer Barbara Vaughn,Dir,S - Sale,$338.40,-750,"11,594",-6%,"-$253,802",,,,
8,,2021-04-28 16:30:39,2021-04-26,ANSS,Mahoney Richard S.,"SVP, WORLDWIDE SALES, SUPPORT",S - Sale,$369.16,"-3,467","35,944",-9%,"-$1,279,875",,,,
9,,2021-04-09 17:20:14,2021-04-07,ANSS,Lee Janet,"VP, GC, Secretary",S - Sale,$356.18,"-3,000","18,111",-14%,"-$1,068,539",,,,
10,,2021-03-09 19:45:42,2021-03-08,ANSS,Emswiler Shane,"SVP, Products",S - Sale,$307.47,"-1,130","23,613",-5%,"-$347,441",,,,
11,,2021-03-05 19:20:38,2021-03-04,ANSS,Emswiler Shane,"SVP, Products",S - Sale,$315.96,"-3,254","25,613",-11%,"-$1,028,137",,,,
12,,2021-02-22 21:21:18,2021-02-19,ANSS,Emswiler Shane,"SVP, GM",S - Sale,$392.69,"-5,549","24,563",-18%,"-$2,179,024",,,,
13,,2021-02-18 18:15:24,2021-02-16,ANSS,Mahoney Richard S.,"SVP, WORLDWIDE SALES, SUPPORT",S - Sale,$409.00,"-3,224","37,736",-8%,"-$1,318,620",,,,
14,D,2021-01-06 18:00:15,2021-01-04,ANSS,Shields Maria T,"CFO, SVP Finance, Admin.",S - Sale+OE,$367.87,"-14,296","127,981",-10%,"-$5,259,109",,,,
15,D,2021-01-04 19:45:13,2021-01-04,ANSS,Mahoney Richard S.,"SVP, WORLDWIDE SALES, SUPPORT",S - Sale+OE,$365.17,"-7,500","38,257",-16%,"-$2,738,781",,,,
