,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-19 16:14:26,2021-08-17,AON,Losh J Michael,Dir,S - Sale,$279.62,"-9,000","25,809",-26%,"-$2,516,558",,,,
2,,2021-08-09 11:45:56,2021-08-04,AON,Knight Lester B,Dir,P - Purchase,$263.96,"+10,000","256,349",+4%,"+$2,639,545",,,,
3,DM,2021-02-17 19:01:13,2021-02-12,AON,Davies Christa,CFO,S - Sale+OE,$227.54,"-48,419","199,571",-20%,"-$11,017,358",,,,
4,,2020-11-12 17:03:39,2020-11-10,AON,Andersen Eric,Pres,S - Sale,$197.46,"-5,000","96,467",-5%,"-$987,295",,,,
5,,2020-11-10 19:28:41,2020-11-06,AON,Bruno John G,COO,P - Purchase,$186.46,"+1,000","69,685",+1%,"+$186,460",,,,
6,,2020-11-09 18:03:30,2020-11-05,AON,Knight Lester B,Dir,P - Purchase,$186.55,"+10,000","244,629",+4%,"+$1,865,526",,,,
7,,2020-06-01 16:54:40,2020-05-28,AON,Andersen Eric,Pres,S - Sale,$199.13,"-1,500","101,424",-1%,"-$298,695",,,,
8,,2020-05-29 17:09:45,2020-05-27,AON,Woo Carolyn Y,Dir,S - Sale,$197.80,-600,"25,687",-2%,"-$118,679",,,,
9,,2020-05-18 19:45:17,2020-05-14,AON,Neller Michael,Principal Accounting Officer,S - Sale,$190.50,-750,"3,459",-18%,"-$142,875",,,,
10,,2020-05-15 17:16:51,2020-05-13,AON,Knight Lester B,Dir,P - Purchase,$195.00,"+70,000","287,482",+32%,"+$13,650,000",,,,
11,D,2020-03-17 19:30:19,2020-03-16,AON,Neller Michael,Principal Accounting Officer,S - Sale+OE,$160.68,"-1,250","4,209",-23%,"-$200,850",,,,
12,,2020-02-20 21:21:58,2020-02-18,AON,O'Connor Michael J,Co-Pres,S - Sale,$234.59,"-25,250","123,885",-17%,"-$5,923,423",,,,
13,,2020-02-19 19:19:42,2020-02-18,AON,Davies Christa,CFO,S - Sale,$233.77,"-2,354","219,571",-1%,"-$550,286",,,,
14,,2020-02-19 19:10:54,2020-02-18,AON,Goland Anthony R,Chief Innovation Officer,S - Sale,$235.00,"-15,040","16,757",-47%,"-$3,534,400",,,,
15,D,2020-02-18 17:01:59,2020-02-14,AON,Davies Christa,CFO,S - Sale+OE,$235.06,"-32,762","221,925",-13%,"-$7,701,116",,,,
16,,2019-11-07 16:48:16,2019-11-06,AON,Losh J Michael,Dir,S - Sale,$193.60,"-5,000","34,569",-13%,"-$968,000",,,,
17,,2019-11-07 16:38:58,2019-11-05,AON,Goland Anthony R,Chief Innovation Officer,S - Sale,$194.79,"-1,703","15,589",-10%,"-$331,727",,,,
18,,2019-09-05 17:34:49,2019-09-03,AON,Neller Michael,Principal Accounting Officer,S - Sale,$193.29,-750,"2,192",-25%,"-$144,968",,,,
19,M,2019-09-03 16:32:28,2019-08-29,AON,Bruno John G,COO,S - Sale,$192.30,"-7,600","45,152",-14%,"-$1,461,468",,,,
20,,2019-06-04 17:37:08,2019-05-31,AON,Lieb Peter M,GC,S - Sale,$180.69,"-11,645",1,-100%,"-$2,104,090",,,,
21,,2019-05-09 17:23:20,2019-05-09,AON,Andersen Eric,Co-Pres,S - Sale,$178.50,"-7,500","80,941",-8%,"-$1,338,750",,,,
22,,2019-05-01 17:02:04,2019-04-30,AON,Lieb Peter M,GC,S - Sale,$178.39,"-5,200","11,646",-31%,"-$927,613",,,,
23,,2019-02-21 16:47:20,2019-02-19,AON,Lieb Peter M,GC,S - Sale,$172.77,"-15,068","16,846",-47%,"-$2,603,282",,,,
24,AM,2019-02-21 16:40:20,2019-02-14,AON,Davies Christa,CFO,S - Sale,$171.57,"-12,482","219,571",-5%,"-$2,141,472",,,,
25,DM,2019-02-20 08:34:52,2019-02-14,AON,Davies Christa,CFO,S - Sale+OE,$170.91,"-58,152","210,571",-22%,"-$9,938,466",,,,
26,D,2019-02-19 21:19:41,2018-05-24,AON,Andersen Eric,Co-Pres,S - Sale+OE,$142.39,"-5,000","88,441",-5%,"-$711,950",,,,
27,D,2019-02-19 21:13:28,2019-02-19,AON,Neller Michael,Principal Accounting Officer,S - Sale+OE,$171.66,"-1,250","2,626",-32%,"-$214,575",,,,
28,,2018-11-09 16:12:55,2018-11-07,AON,Grace Caroline,"CEO, Global Retirement, Inves",S - Sale,$160.00,"-4,000","41,796",-9%,"-$640,000",,,,
29,,2018-09-21 16:31:05,2018-09-19,AON,Grace Caroline,"CEO, Global Retirement, Inves",S - Sale,$155.00,"-4,000","45,796",-8%,"-$620,000",,,,
30,,2018-09-10 16:39:29,2018-09-06,AON,Grace Caroline,"CEO, Global Retirement, Inves",S - Sale,$150.00,"-4,000","49,796",-7%,"-$600,000",,,,
31,,2018-08-22 17:43:12,2018-08-20,AON,Neller Michael,Principal Accounting Officer,S - Sale,$143.58,-750,787,-49%,"-$107,683",,,,
32,,2018-08-08 17:26:32,2018-08-06,AON,Campbell Jeffrey C,Dir,P - Purchase,$143.84,"+5,550","7,084",+362%,"+$798,290",,,,
33,,2018-05-18 16:03:42,2018-05-16,AON,Neller Michael,Principal Accounting Officer,S - Sale,$140.93,"-1,000","1,217",-45%,"-$140,930",,,,
34,,2018-03-13 16:37:50,2018-03-09,AON,Lieb Peter M,GC,S - Sale,$145.00,"-14,772","15,973",-48%,"-$2,141,940",,,,
35,,2018-03-13 16:30:04,2018-03-09,AON,O'Connor Michael J,"CEO, Aon Risk Solutions",S - Sale,$145.00,"-9,855","123,660",-7%,"-$1,428,975",,,,
36,,2018-03-05 16:25:02,2018-03-01,AON,Neller Michael,Principal Accounting Officer,S - Sale,$140.12,"-1,500","1,876",-44%,"-$210,180",,,,
37,,2018-02-22 18:06:40,2018-02-20,AON,O'Connor Michael J,"CEO, Aon Risk Solutions",S - Sale,$140.23,"-1,411","133,515",-1%,"-$197,865",,,,
38,,2018-02-22 18:02:53,2018-02-20,AON,Meissner Laurel G.,Global Controller,S - Sale,$140.23,"-7,940","12,314",-39%,"-$1,113,426",,,,
39,,2018-02-22 17:47:13,2018-02-20,AON,Davies Christa,CFO,S - Sale,$140.99,"-3,237","231,687",-1%,"-$456,372",,,,
40,,2018-02-22 17:40:27,2018-02-21,AON,Goland Anthony R,CHRO,S - Sale,$141.16,"-2,124",261,-89%,"-$299,824",,,,
41,M,2018-02-22 17:37:39,2018-02-20,AON,Lieb Peter M,GC,S - Sale,$141.24,"-1,611","30,933",-5%,"-$227,536",,,,
42,D,2018-02-20 21:00:11,2018-02-16,AON,Davies Christa,CFO,S - Sale+OE,$140.92,"-96,570","234,924",-29%,"-$13,608,393",,,,
43,,2018-02-08 17:00:51,2018-02-06,AON,Knight Lester B,Dir,P - Purchase,$138.42,"+60,000","403,556",+17%,"+$8,305,300",,,,
44,,2018-02-06 18:51:07,2018-02-02,AON,Zern John,"CEO, Aon Global Health",S - Sale,$147.00,"-14,747","12,948",-53%,"-$2,167,809",,,,
45,D,2018-02-06 18:25:31,2018-02-02,AON,O'Connor Michael J,"CEO, ARS",S - Sale+OE,$145.00,"-12,824","113,805",-10%,"-$1,859,480",,,,
46,,2018-02-02 16:37:51,2018-01-31,AON,Lieb Peter M,"EVP, GC",S - Sale,$141.39,"-4,200","16,161",-21%,"-$593,838",,,,
47,,2017-12-04 17:35:35,2017-11-30,AON,Zern John,"CEO, Global Health, Benefits",S - Sale,$139.79,"-17,680","27,695",-39%,"-$2,471,487",,,,
48,,2017-12-04 17:27:44,2017-11-30,AON,Meissner Laurel G.,"SVP, Global Controller",S - Sale,$141.20,"-4,000","12,314",-25%,"-$564,800",,,,
49,,2017-11-16 16:17:34,2017-11-14,AON,Andersen Eric,"CEO, Aon Benfield",S - Sale,$143.52,"-10,000","51,741",-16%,"-$1,435,200",,,,
50,,2017-11-13 16:33:07,2017-11-09,AON,Bruno John G,"EVP, CIO",S - Sale,$143.24,"-10,000","10,471",-49%,"-$1,432,400",,,,
51,D,2017-09-21 17:17:07,2017-09-19,AON,O'Connor Michael J,"CEO, ARS",S - Sale+OE,$145.00,"-10,000","113,805",-8%,"-$1,450,000",,,,
52,D,2017-09-08 16:30:50,2017-09-06,AON,O'Connor Michael J,"CEO, ARS",S - Sale+OE,$140.28,"-10,000","113,805",-8%,"-$1,402,800",,,,
53,,2017-05-30 16:17:56,2017-05-25,AON,Lieb Peter M,"EVP, GC",S - Sale,$130.40,"-2,000","20,216",-9%,"-$260,800",,,,
54,,2017-05-22 16:28:36,2017-05-18,AON,Meissner Laurel G.,"SVP, Global Controller",S - Sale,$126.19,"-4,000","16,314",-20%,"-$504,760",,,,
55,,2017-04-03 17:12:23,2017-03-30,AON,Lieb Peter M,"EVP, GC",S - Sale,$117.29,"-16,683","22,216",-43%,"-$1,956,749",0,+1,+2,
56,,2017-03-02 17:01:33,2017-02-28,AON,Lieb Peter M,"EVP, GC",S - Sale,$116.11,"-18,017","38,899",-32%,"-$2,091,954",0,-1,+2,
57,,2017-02-23 17:44:19,2017-02-21,AON,O'Connor Michael J,"CEO, ARS",S - Sale,$116.70,"-13,591","113,805",-11%,"-$1,586,039",0,+1,+1,
58,M,2017-02-23 17:41:40,2017-02-21,AON,Case Gregory C,"Pres, CEO",S - Sale,$115.58,"-520,000","768,612",-40%,"-$60,102,963",0,+1,+1,
