,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-06-03 16:33:27,2021-06-02,AOS,Wolf Idelle K,Dir,S - Sale+OE,$71.35,"-1,985","50,593",-4%,"-$141,630",,,,
2,D,2021-06-02 09:17:24,2021-05-28,AOS,Rajendra Ajita G,Dir,S - Sale+OE,$71.10,"-50,000","255,390",-16%,"-$3,555,220",,,,
3,D,2021-05-19 10:38:28,2021-05-18,AOS,Smith Bruce M,Dir,S - Sale+OE,$69.65,"-5,226","18,292",-22%,"-$363,999",,,,
4,AD,2021-05-13 12:07:58,2021-05-03,AOS,Stern James F,"EVP, GC, Sec",S - Sale+OE,$70.15,"-44,300","151,115",-23%,"-$3,107,742",,,,
5,A,2021-05-12 17:07:40,2021-05-05,AOS,Heideman Robert J,SVP CTO,S - Sale,$70.71,"-6,142","9,366",-40%,"-$434,324",,,,
6,A,2021-05-12 16:39:49,2021-05-04,AOS,Gurholt Helen E,"VP, Controller",S - Sale,$71.31,"-1,400","1,503",-48%,"-$99,832",,,,
7,D,2021-05-12 16:10:54,2021-05-11,AOS,Warren David R,"SVP, Pres, GM",S - Sale+OE,$70.79,"-30,392","6,094",-83%,"-$2,151,386",,,,
8,AD,2021-05-11 17:02:31,2021-05-03,AOS,Goodwin Wallace E,"SVP; Pres, GM, Lochinvar, LLC",S - Sale+OE,$69.80,"-1,595","16,850",-9%,"-$111,331",,,,
9,,2021-05-11 15:38:11,2021-05-10,AOS,Ackerman Patricia K,"SVP, IR, Treasurer, CRS",S - Sale,$72.55,"-2,300","1,209",-66%,"-$166,857",,,,
10,D,2021-05-05 11:25:11,2021-05-04,AOS,Gurholt Helen E,"VP, Controller",S - Sale+OE,$71.31,"-1,400","1,498",-48%,"-$99,832",,,,
11,,2021-05-05 09:29:15,2021-05-04,AOS,Wolf Idelle K,Dir,S - Sale,$71.48,"-2,000","52,578",-4%,"-$142,966",,,,
12,D,2021-05-05 09:28:20,2021-05-04,AOS,Petrarca Mark A,"Senior Vice Pres- H.R., P.A.",S - Sale+OE,$70.49,"-33,410","89,979",-27%,"-$2,355,174",,,,
13,,2021-05-04 16:52:17,2021-05-03,AOS,Stern James F,"EVP, GC, Sec",S - Sale,$70.15,"-44,300","110,199",-29%,"-$3,107,742",,,,
14,,2021-05-04 16:49:32,2021-05-03,AOS,Goodwin Wallace E,"SVP; Pres, GM, Lochinvar, LLC",S - Sale,$69.80,"-1,595","15,255",-9%,"-$111,331",,,,
