,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2020-01-29 14:49:20,2020-01-29,APD,Monser Edward L,Dir,P - Purchase,$237.60,+200,200,New,"+$47,519",,,,
2,,2019-07-26 11:48:41,2019-07-26,APD,Ghasemi Seifi,"COB, Pres, CEO",P - Purchase,$227.16,"+20,000","453,984",+5%,"+$4,543,200",,,,
3,,2019-05-22 09:21:19,2019-05-21,APD,Flugel Russell A,"VP, Controller, PAO",S - Sale,$207.01,"-2,970","7,183",-29%,"-$614,830",,,,
4,,2018-11-14 13:04:37,2018-11-13,APD,Cogut Charles I,Dir,P - Purchase,$159.75,+200,"1,200",+20%,"+$31,951",,,,
5,,2018-11-13 08:26:09,2018-11-12,APD,Ghasemi Seifi,"COB, Pres, CEO",P - Purchase,$160.11,"+20,000","408,853",+5%,"+$3,202,200",,,,
6,D,2016-08-26 09:34:12,2016-08-25,APD,Stanley John D.,"SVP, GC",S - Sale+OE,$155.39,"-17,247","19,194",-47%,"-$2,680,011",-1,0,-5,-2
7,,2016-08-16 09:19:09,2016-08-15,APD,Flugel Russell A,Principal Accounting Officer,S - Sale,$151.54,"-2,050","1,924",-52%,"-$310,657",+1,+3,-3,+3
8,D,2016-08-15 10:18:05,2016-08-12,APD,Stanley John D.,"SVP, GC",S - Sale+OE,$150.00,"-9,597","19,194",-33%,"-$1,439,550",+1,+4,-1,+3
9,D,2016-08-08 15:06:17,2016-08-05,APD,Stanley John D.,"SVP, GC",S - Sale+OE,$150.00,"-8,720","19,194",-31%,"-$1,308,000",0,0,+5,+2
10,,2016-08-05 08:57:00,2016-08-04,APD,Novo Guillermo,Exec VP,S - Sale,$148.94,"-2,447","12,991",-16%,"-$364,456",0,0,+5,+3
11,D,2016-08-02 10:38:01,2016-07-29,APD,Novo Guillermo,Exec VP,S - Sale+OE,$149.58,"-7,997","15,438",-34%,"-$1,196,191",-1,0,+5,+3
12,,2016-05-25 14:33:40,2016-05-24,APD,Stanley John D.,"SVP, GC",S - Sale,$143.40,"-2,478","19,194",-11%,"-$355,343",0,0,+2,+7
13,,2016-02-01 10:24:18,2016-02-01,APD,Ghasemi Seifi,"COB, Pres, CEO",P - Purchase,$126.35,"+50,000","314,918",+19%,"+$6,317,668",+4,+7,+6,+19
14,,2015-11-23 08:02:02,2015-11-20,APD,Ghasemi Seifi,"COB, Pres, CEO",P - Purchase,$139.93,"+20,000","244,740",+9%,"+$2,798,600",+1,-2,-6,+4
15,,2015-08-26 12:02:59,2015-08-25,APD,Stanley John D.,"SVP, GC",P - Purchase,$134.81,+223,"18,538",+1%,"+$30,001",+2,+1,-4,0
16,,2015-08-26 08:20:07,2015-08-25,APD,Cogut Charles I,Dir,P - Purchase,$137.17,+400,"1,000",+67%,"+$54,868",+2,+1,-4,0
17,,2015-08-25 08:18:50,2015-08-24,APD,Ghasemi Seifi,"COB, Pres, CEO",P - Purchase,$134.71,"+20,000","229,171",+10%,"+$2,694,280",+2,+5,-1,+1
18,,2015-08-25 08:17:40,2015-08-24,APD,Painter Corning F.,Exec VP,P - Purchase,$132.84,"+1,000","23,114",+5%,"+$132,840",+2,+5,-1,+1
19,,2015-08-24 09:43:18,2015-08-21,APD,Painter Corning F.,Exec VP,P - Purchase,$138.38,"+1,000","22,114",+5%,"+$138,380",-4,+2,-4,-3
20,,2015-08-03 08:15:13,2015-07-31,APD,Ghasemi Seifi,"COB, Pres, CEO",P - Purchase,$143.26,"+20,000","209,171",+11%,"+$2,865,144",+2,+3,-2,-7
21,,2015-05-04 08:16:58,2015-05-01,APD,Ghasemi Seifi,"COB, Pres, CEO",P - Purchase,$145.68,"+20,000","189,171",+12%,"+$2,913,564",+1,+1,+1,-5
22,,2015-02-24 15:02:06,2015-02-23,APD,Stanley John D.,"SVP, GC",S - Sale,$157.36,-858,"18,315",-4%,"-$135,015",+1,+1,-3,-11
23,,2015-02-19 08:44:14,2015-02-18,APD,Ghasemi Seifi,"COB, Pres, CEO",P - Purchase,$153.27,"+27,000","169,171",+19%,"+$4,138,405",+1,+2,-1,-4
24,D,2015-02-09 10:42:39,2015-02-06,APD,Stanley John D.,"SVP, GC",S - Sale+OE,$151.27,"-2,756","19,173",-13%,"-$416,900",0,+2,+1,-2
25,D,2015-02-02 10:59:54,2015-01-30,APD,Stanley John D.,"SVP, GC",S - Sale+OE,$146.69,"-6,050","19,173",-24%,"-$887,475",+1,+3,+7,-1
26,,2014-11-26 10:30:01,2014-11-25,APD,Stanley John D.,"SVP, GC",S - Sale,$145.35,-82,"18,735",0%,"-$11,919",0,0,+3,+2
27,,2014-11-24 20:48:24,2014-11-24,APD,Ghasemi Seifi,"COB, Pres, CEO",P - Purchase,$144.67,"+30,000","130,026",+30%,"+$4,340,055",0,0,+3,+3
28,,2014-11-19 08:43:15,2014-11-18,APD,Ghasemi Seifi,"COB, Pres, CEO",P - Purchase,$138.97,"+23,000","100,026",+30%,"+$3,196,310",+2,+5,+4,+8
29,D,2014-11-05 15:57:39,2014-11-05,APD,Smith Lawrence S,Dir,S - Sale+OE,$133.84,"-2,000","9,850",-17%,"-$267,669",0,+1,+9,+11
30,D,2014-11-03 14:42:44,2014-10-31,APD,Painter Corning F.,Exec VP,S - Sale+OE,$134.60,"-16,284","18,566",-47%,"-$2,191,826",+1,0,+7,+9
31,,2014-08-01 16:23:32,2014-08-01,APD,Ghasemi Seifi,"COB, Pres, CEO",P - Purchase,$132.84,"+25,000","77,026",+48%,"+$3,320,968",+2,-1,0,+11
32,DM,2014-07-28 14:24:29,2014-07-24,APD,Stanley John D.,"SVP, GC",S - Sale+OE,$135.53,"-11,721","18,753",-38%,"-$1,588,511",0,-2,-2,+6
33,D,2014-07-28 14:24:27,2014-07-24,APD,Mattimore Patricia A,SVP,S - Sale+OE,$136.10,"-10,000","8,333",-55%,"-$1,360,970",0,-2,-2,+6
34,D,2014-07-28 14:24:25,2014-07-24,APD,Jones Stephen J,SVP,S - Sale+OE,$135.64,"-36,373","33,691",-52%,"-$4,933,634",0,-2,-2,+6
35,,2014-02-24 14:04:24,2014-02-21,APD,Mattimore Patricia A,SVP,S - Sale,$118.38,-721,"8,333",-8%,"-$85,353",0,+3,+2,+14
36,D,2014-02-19 09:23:43,2014-02-18,APD,Stanley John D.,"SVP, GC",S - Sale+OE,$118.62,"-1,144","22,074",-5%,"-$135,701",-1,+1,+3,+15
37,D,2014-02-12 14:09:23,2014-02-12,APD,Stanley John D.,"SVP, GC",S - Sale+OE,$111.84,"-3,431","22,074",-13%,"-$383,723",0,+5,+7,+19
38,,2013-12-02 13:48:57,2013-11-27,APD,Donahue Michael J,Dir,S - Sale,$108.90,"-2,000","2,000",-50%,"-$217,796",-1,+1,+3,+13
39,D,2013-11-26 11:10:21,2013-11-25,APD,Painter Corning F.,Senior VP,S - Sale+OE,$111.11,"-7,000","16,023",-30%,"-$777,770",-1,-2,+4,+11
40,,2013-11-25 14:10:30,2013-11-22,APD,McGlade John E,"COB, Pres, CEO",S - Sale,$111.17,"-15,614","235,955",-6%,"-$1,735,808",-1,-3,+1,+8
41,,2013-11-22 10:07:14,2013-11-21,APD,Paull Matthew H,Dir,P - Purchase,$109.71,"+3,645","3,645",New,"+$399,893",+1,-1,+3,+10
42,D,2013-11-20 09:40:18,2013-11-18,APD,Stanley John D.,"SVP, GC",S - Sale+OE,$110.54,"-1,525","19,163",-7%,"-$168,574",0,-1,+1,+9
43,D,2013-11-12 08:38:02,2013-11-08,APD,McGlade John E,"COB, Pres, CEO",S - Sale+OE,$109.48,"-27,000","251,041",-10%,"-$2,956,033",-1,+1,-2,+11
44,D,2013-11-07 14:20:22,2013-11-06,APD,McGlade John E,"COB, Pres, CEO",S - Sale+OE,$109.51,"-25,000","251,041",-9%,"-$2,737,688",-2,-2,0,+9
45,,2013-11-07 14:20:20,2013-11-05,APD,Baeza Mario,Dir,S - Sale,$108.75,"-1,380",620,-69%,"-$150,075",-2,-2,0,+9
46,D,2013-11-01 14:52:50,2013-10-31,APD,McGlade John E,"COB, Pres, CEO",S - Sale+OE,$109.09,"-74,000","251,041",-23%,"-$8,072,660",-1,-1,-1,+11
47,D,2013-10-31 13:06:17,2013-10-30,APD,Ford W Douglas,Dir,S - Sale+OE,$107.94,"-4,000",0,-100%,"-$431,760",+2,+3,+2,+12
48,,2013-10-31 13:06:15,2013-10-30,APD,Ghasemi Seifi,Dir,P - Purchase,$108.09,"+15,000","15,000",New,"+$1,621,332",+2,+3,+2,+12
49,D,2013-08-08 14:20:16,2013-08-08,APD,Baeza Mario,Dir,S - Sale+OE,$107.25,"-2,000",0,-100%,"-$214,500",0,-4,-4,+2
50,D,2013-08-05 09:06:29,2013-08-01,APD,Jones Stephen J,SVP,S - Sale+OE,$110.00,"-7,000","30,237",-19%,"-$770,000",+1,0,-4,-2
51,D,2013-07-29 14:51:31,2013-07-26,APD,Marsland John W,SVP,S - Sale+OE,$106.70,"-12,000","11,399",-51%,"-$1,280,359",0,+3,-1,+3
52,D,2013-07-29 14:51:29,2013-07-26,APD,Stanley John D.,"SVP, GC",S - Sale+OE,$106.56,"-4,200","19,163",-18%,"-$447,552",0,+3,-1,+3
53,,2013-05-23 15:07:01,2013-05-22,APD,Stanley John D.,"SVP, GC",S - Sale,$95.12,-526,"19,163",-3%,"-$50,000",-1,0,-1,+17
54,D,2013-05-23 15:06:49,2013-05-22,APD,Jones Stephen J,SVP,S - Sale+OE,$96.00,"-8,000","30,237",-21%,"-$768,000",-1,0,-1,+17
55,D,2013-05-22 13:57:31,2013-05-22,APD,Fairbairn Ursula F,Dir,S - Sale+OE,$95.02,"-4,000","1,135",-78%,"-$380,076",0,0,-1,+18
56,D,2013-05-21 14:54:32,2013-05-21,APD,Stanley John D.,"SVP, GC",S - Sale+OE,$95.26,"-1,400","19,689",-7%,"-$133,366",0,0,+1,+18
57,,2013-05-14 10:43:59,2013-05-13,APD,Stanley John D.,"SVP, GC",S - Sale,$90.80,"-3,407","19,689",-15%,"-$309,356",+1,+4,+4,+22
58,D,2013-05-06 08:39:53,2013-05-03,APD,Stanley John D.,"SVP, GC",S - Sale+OE,$90.00,"-3,000","23,096",-11%,"-$270,000",0,+2,+6,+23
59,D,2013-05-03 10:21:09,2013-05-02,APD,Painter Corning F.,Senior VP,S - Sale+OE,$89.01,"-8,000","16,023",-33%,"-$712,080",+1,+2,+6,+22
60,D,2013-05-03 10:21:07,2013-05-02,APD,Jones Stephen J,SVP,S - Sale+OE,$90.50,"-5,100","30,237",-14%,"-$461,550",+1,+2,+6,+22
61,D,2013-01-30 14:11:21,2013-01-29,APD,Stanley John D.,"SVP, GC",S - Sale+OE,$88.80,"-3,500","23,096",-13%,"-$310,800",-1,-2,-3,+21
62,,2013-01-30 14:11:20,2013-01-29,APD,Marsland John W,SVP,S - Sale,$88.85,"-4,209","11,399",-27%,"-$373,972",-1,-2,-3,+21
63,D,2013-01-29 14:23:14,2013-01-28,APD,Marsland John W,SVP,S - Sale+OE,$88.04,"-12,000","15,608",-43%,"-$1,056,466",+1,-1,-3,+21
64,D,2012-11-16 10:24:25,2012-11-16,APD,Fairbairn Ursula F,Dir,S - Sale+OE,$79.89,"-2,000","1,135",-64%,"-$159,779",0,+4,+4,+21
