,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-08 09:10:27,2021-09-07,APH,D'Amico Lance E,"SVP, Secretary, GenCounsel",S - Sale+OE,$76.25,"-27,500","25,700",-52%,"-$2,096,958",,,,
2,D,2021-09-03 09:02:43,2021-09-02,APH,Gavelle Jean-Luc,SVP,S - Sale+OE,$76.58,"-60,000",0,-100%,"-$4,595,034",,,,
3,D,2021-08-30 15:14:30,2021-08-27,APH,Booker Martin,"VP, Grp General Mgr, AIPG",S - Sale+OE,$76.29,"-140,000","1,200",-99%,"-$10,680,852",,,,
4,DM,2021-08-17 10:32:49,2021-08-13,APH,Silverman David M,"SVP, HR",S - Sale+OE,$74.03,"-113,000","7,000",-94%,"-$8,365,908",,,,
5,D,2021-08-09 13:25:10,2021-08-06,APH,Walter Luc,"SVP, GGM MIL, AERO OPS",S - Sale+OE,$73.59,"-82,400","211,412",-28%,"-$6,063,576",,,,
6,D,2021-08-03 10:23:28,2021-08-02,APH,D'Amico Lance E,"SVP, Secretary, GenCounsel",S - Sale+OE,$72.61,"-40,000","13,200",-75%,"-$2,904,492",,,,
7,D,2021-05-24 09:54:30,2021-05-21,APH,Gavelle Jean-Luc,SVP,S - Sale+OE,$66.10,"-150,000",0,-100%,"-$9,914,730",,,,
8,DE,2021-05-10 12:15:28,2021-05-07,APH,Lampo Craig A,"SVP, CFO",S - Sale+OE,$68.22,"-144,000","119,000",-55%,"-$9,823,781",,,,
9,D,2021-05-10 11:53:15,2021-05-07,APH,D'Amico Lance E,"SVP, Secretary, GenCounsel",S - Sale+OE,$68.01,"-14,867","13,200",-53%,"-$1,011,070",,,,
10,D,2021-05-10 11:41:01,2021-05-07,APH,Gu Richard,"VP,Grp GM Mobile Consumer Prod",S - Sale+OE,$68.01,"-60,000","2,000",-97%,"-$4,080,870",,,,
11,DM,2021-05-05 17:08:38,2021-05-03,APH,Norwitt Richard Adam,"Pres, CEO",S - Sale+OE,$66.48,"-1,150,000","1,000,326",-53%,"-$76,448,585",,,,
12,,2021-05-04 18:29:23,2021-05-04,APH,Livingston Robert,Dir,P - Purchase,$65.92,"+20,000","42,214",+90%,"+$1,318,474",,,,
13,D,2021-05-04 18:27:29,2021-05-03,APH,D'Amico Lance E,"SVP, Secretary, GenCounsel",S - Sale+OE,$67.54,"-15,133","13,200",-53%,"-$1,022,101",,,,
14,D,2020-11-30 14:21:39,2020-11-30,APH,Gu Richard,"VP,Grp GM Mobile Consumer Prod",S - Sale+OE,$131.06,"-18,000","1,000",-95%,"-$2,359,156",,,,
15,D,2020-11-16 15:07:28,2020-11-16,APH,Gavelle Jean-Luc,SVP,S - Sale+OE,$125.53,"-27,400",0,-100%,"-$3,439,508",,,,
16,D,2020-11-12 18:10:32,2020-11-11,APH,Walter Luc,"SVP, GGM MIL, AERO OPS",S - Sale+OE,$123.77,"-101,315","113,285",-47%,"-$12,540,065",,,,
