,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-25 17:05:24,2021-08-23,ARE,Ryan Daniel J,Co-Chief Investment Officer,S - Sale,$206.90,"-10,000","119,814",-8%,"-$2,068,966",,,,
2,,2021-08-11 17:22:24,2021-08-09,ARE,Marcus Joel S,Exec COB,S - Sale,$207.61,"-7,500","302,097",-2%,"-$1,557,075",,,,
3,M,2021-08-10 17:25:29,2021-08-06,ARE,Moglia Peter M,Co-CEO,S - Sale,$208.64,"-25,000","168,291",-13%,"-$5,216,000",,,,
4,,2021-08-04 17:02:41,2021-08-02,ARE,Marcus Joel S,Exec COB,S - Sale,$202.63,"-5,000","309,597",-2%,"-$1,013,150",,,,
5,,2021-08-03 16:41:15,2021-07-30,ARE,Clem Jackie B.,"GC, Secretary",S - Sale,$201.58,"-2,450","16,489",-13%,"-$493,871",,,,
6,,2021-08-03 16:39:26,2021-07-30,ARE,Ciruzzi Vincent,Chief Development Officer,S - Sale,$202.13,"-6,016","42,248",-12%,"-$1,216,014",,,,
7,,2021-08-03 16:37:08,2021-07-30,ARE,Richardson Stephen,Co-CEO,S - Sale,$201.83,"-15,000","171,599",-8%,"-$3,027,450",,,,
8,,2021-08-02 16:46:58,2021-07-29,ARE,Nemeth Terezia C,EVP - Regional Market Dir,S - Sale,$199.94,"-1,400","21,881",-6%,"-$279,916",,,,
9,,2021-08-02 16:45:33,2021-07-29,ARE,Diamond Lawrence J,Co-COO,S - Sale,$200.58,"-1,500","82,320",-2%,"-$300,870",,,,
10,M,2021-07-30 16:42:32,2021-07-28,ARE,Marcus Joel S,Exec COB,S - Sale,$200.01,"-20,000","314,597",-6%,"-$4,000,100",,,,
11,,2021-07-30 16:42:02,2021-07-28,ARE,Cunningham John H,EVP - Regional Market Dir,S - Sale,$198.75,"-8,000","45,084",-15%,"-$1,590,000",,,,
12,,2021-07-30 16:41:43,2021-07-28,ARE,Binda Marc E,"EVP - Finance, Treasurer",S - Sale,$200.00,"-5,230","45,822",-10%,"-$1,046,000",,,,
13,,2021-05-05 16:24:50,2021-05-03,ARE,Nemeth Terezia C,EVP - Regional Market Dir,S - Sale,$180.03,"-1,000","23,281",-4%,"-$180,030",,,,
14,M,2021-05-05 16:22:10,2021-05-03,ARE,Marcus Joel S,Exec COB,S - Sale,$180.35,"-20,000","334,597",-6%,"-$3,607,000",,,,
15,,2021-05-04 16:21:59,2021-04-30,ARE,Cunningham John H,EVP - Regional Market Dir,S - Sale,$180.17,"-1,882","53,084",-3%,"-$339,080",,,,
16,,2021-05-03 16:33:09,2021-04-29,ARE,Ciruzzi Vincent,Chief Development Officer,S - Sale,$179.21,"-1,865","50,248",-4%,"-$334,227",,,,
17,,2021-05-03 16:30:39,2021-04-29,ARE,Richardson Stephen,Co-CEO,S - Sale,$179.93,"-10,000","193,971",-5%,"-$1,799,300",,,,
18,,2021-05-03 16:29:02,2021-04-29,ARE,Gavinet Andres,Chief Accounting Officer,S - Sale,$180.00,"-3,000","54,906",-5%,"-$540,000",,,,
19,,2021-04-30 16:55:15,2021-04-28,ARE,Dean Gary D.,"EVP, Real Estate Legal Affairs",S - Sale,$177.61,"-4,000","18,265",-18%,"-$710,440",,,,
