,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-07-26 16:32:02,2021-07-23,ANTM,Schneider Ryan M.,Dir,P - Purchase,$384.36,"+1,300","4,714",+38%,"+$499,668",,,,
2,,2021-05-26 16:31:49,2021-05-24,ANTM,Peru Ramiro G,Dir,S - Sale,$398.02,"-1,308","9,462",-12%,"-$520,610",,,,
3,D,2021-05-26 16:31:05,2021-05-24,ANTM,Gallina John E,"EVP, CFO",S - Sale+OE,$394.89,"-46,444","51,019",-48%,"-$18,340,425",,,,
4,,2021-05-24 16:31:21,2021-05-20,ANTM,Hill Julie A,Dir,S - Sale,$394.00,"-1,308","31,213",-4%,"-$515,352",,,,
5,,2021-05-24 16:30:59,2021-05-21,ANTM,Dixon Robert L Jr,Dir,S - Sale,$392.87,-590,"8,978",-6%,"-$231,793",,,,
6,,2021-05-07 16:31:34,2018-10-31,ANTM,Haytaian Peter D,"EVP, Pres, Commercial",S - Sale,$270.00,"-1,000","21,544",-4%,"-$270,000",,,,
7,D,2021-03-23 16:31:14,2021-03-22,ANTM,Haytaian Peter D,"EVP, Pres, Commercial",S - Sale+OE,$349.20,"-59,500","22,544",-73%,"-$20,777,485",,,,
8,,2021-03-08 16:31:09,2021-03-05,ANTM,Penczek Ronald W,"SVP, Chief Accounting Officer",S - Sale,$333.94,"-2,068","3,137",-40%,"-$690,588",,,,
9,,2021-03-05 16:30:42,2021-03-04,ANTM,Penczek Ronald W,"SVP, Chief Accounting Officer",S - Sale,$323.56,-67,"5,205",-1%,"-$21,679",,,,
10,,2021-02-08 16:32:57,2021-02-04,ANTM,Schneider Ryan M.,Dir,P - Purchase,$296.03,"+1,700","2,921",+139%,"+$503,251",,,,
11,D,2020-12-17 16:34:04,2020-12-15,ANTM,Haytaian Peter D,"EVP, Pres, Commercial",S - Sale+OE,$312.53,"-5,833","32,642",-15%,"-$1,822,972",,,,
12,D,2020-11-18 16:32:36,2020-11-16,ANTM,Haytaian Peter D,"EVP, Pres, Commercial",S - Sale+OE,$333.64,"-5,834","32,642",-15%,"-$1,946,456",,,,
13,,2020-11-10 16:31:09,2020-11-09,ANTM,Penczek Ronald W,"SVP, Chief Accounting Officer",S - Sale,$330.75,"-1,199","3,229",-27%,"-$396,569",,,,
14,D,2020-11-04 16:42:49,2020-11-03,ANTM,Zielinski Thomas C,"EVP, GC",S - Sale+OE,$292.20,"-9,175","17,910",-34%,"-$2,680,917",,,,
15,D,2020-10-19 16:31:51,2020-10-15,ANTM,Haytaian Peter D,"EVP, Pres, Commercial",S - Sale+OE,$291.95,"-5,834","36,768",-14%,"-$1,703,238",,,,
16,,2020-10-13 16:31:23,2020-10-09,ANTM,Haytaian Peter D,"EVP, Pres, Commercial",S - Sale,$295.00,"-1,167","37,935",-3%,"-$344,265",,,,
17,D,2020-10-06 16:30:46,2020-10-02,ANTM,Haytaian Peter D,"EVP, Pres, Commercial",S - Sale+OE,$280.00,"-4,667","39,102",-11%,"-$1,306,760",,,,
18,,2020-06-10 16:35:08,2020-06-08,ANTM,Penczek Ronald W,"SVP, Chief Accounting Officer",S - Sale,$297.74,-545,"4,400",-11%,"-$162,268",,,,
19,,2020-06-10 16:34:33,2020-06-08,ANTM,Peru Ramiro G,Dir,S - Sale,$300.00,"-1,102","10,770",-9%,"-$330,600",,,,
20,,2020-06-10 16:34:12,2020-06-08,ANTM,Zielinski Thomas C,"EVP, GC",S - Sale,$297.70,"-6,358","25,192",-20%,"-$1,892,777",,,,
21,D,2020-06-10 16:33:51,2020-06-08,ANTM,Haytaian Peter D,"EVP, Pres, Commercial",S - Sale+OE,$300.00,"-14,001","39,102",-26%,"-$4,200,300",,,,
22,,2020-05-29 16:33:57,2020-05-27,ANTM,Dixon Robert L Jr,Dir,S - Sale,$284.59,"-1,102","9,568",-10%,"-$313,618",,,,
23,,2020-05-21 16:31:56,2020-05-19,ANTM,Hill Julie A,Dir,S - Sale,$283.26,"-1,102","31,822",-3%,"-$312,153",,,,
24,D,2020-05-18 17:07:57,2020-05-15,ANTM,McCarthy Gloria M,"EVP, Chief Administrative Off",S - Sale+OE,$276.11,"-18,261","42,099",-30%,"-$5,042,006",,,,
25,D,2020-05-04 16:39:01,2020-04-30,ANTM,Zielinski Thomas C,"EVP, GC",S - Sale+OE,$278.34,"-19,306","31,550",-38%,"-$5,373,595",,,,
26,,2020-04-17 16:32:06,2020-04-16,ANTM,McCarthy Gloria M,"EVP, Chief Administrative Off",S - Sale,$270.00,"-16,884","42,099",-29%,"-$4,558,680",,,,
27,,2020-01-31 06:01:29,2020-01-30,ANTM,Boudreaux Gail,"Pres, CEO",P - Purchase,$263.70,"+7,600","26,616",+40%,"+$2,004,152",,,,
28,M,2019-12-26 14:42:50,2019-12-20,ANTM,Haytaian Peter D,"EVP, Pres, Commercial",S - Sale,$303.57,"-8,333","20,949",-28%,"-$2,529,649",,,,
29,D,2019-12-06 16:15:10,2019-12-04,ANTM,Zielinski Thomas C,"EVP, GC",S - Sale+OE,$288.33,"-10,600","29,092",-27%,"-$3,056,298",,,,
30,D,2019-11-20 19:04:53,2019-11-18,ANTM,Haytaian Peter D,"EVP, Pres, Commercial",S - Sale+OE,$300.00,"-12,095","29,282",-29%,"-$3,628,500",,,,
31,DM,2019-11-14 16:19:29,2019-11-12,ANTM,Penczek Ronald W,"SVP, Chief Accounting Officer",S - Sale+OE,$285.48,"-1,173","1,938",-38%,"-$334,866",,,,
32,,2019-10-30 16:04:45,2019-10-28,ANTM,Haytaian Peter D,"EVP, Pres, Commercial",S - Sale,$269.57,"-9,586","37,615",-20%,"-$2,584,128",,,,
33,,2019-07-30 16:13:11,2019-07-26,ANTM,Hill Julie A,Dir,S - Sale,$295.00,"-1,656","32,924",-5%,"-$488,520",,,,
34,,2019-07-30 16:11:43,2019-07-26,ANTM,Dixon Robert L Jr,Dir,S - Sale,$294.11,-520,"9,971",-5%,"-$152,937",,,,
35,D,2019-06-13 16:22:45,2019-06-11,ANTM,Zielinski Thomas C,"EVP, GC",S - Sale+OE,$283.92,"-8,826","32,183",-22%,"-$2,505,878",,,,
36,D,2019-05-31 16:41:13,2019-05-30,ANTM,Penczek Ronald W,"SVP, Chief Accounting Officer",S - Sale+OE,$279.00,-763,"1,938",-28%,"-$212,877",,,,
37,,2019-05-23 16:04:30,2019-05-21,ANTM,Peru Ramiro G,Dir,S - Sale,$275.00,"-1,656","11,173",-13%,"-$455,400",,,,
38,D,2019-03-05 16:10:46,2019-03-04,ANTM,McCarthy Gloria M,"EVP, Chief Administrative Off",S - Sale+OE,$303.73,"-7,701","38,928",-17%,"-$2,338,996",,,,
39,D,2019-02-06 16:21:43,2019-02-04,ANTM,McCarthy Gloria M,"EVP, Chief Administrative Off",S - Sale+OE,$302.98,"-7,700","38,756",-17%,"-$2,332,919",,,,
40,,2019-02-04 16:10:18,2019-01-31,ANTM,Hill Julie A,Dir,S - Sale,$299.75,-500,"33,827",-1%,"-$149,875",,,,
41,D,2019-01-22 17:03:42,2019-01-18,ANTM,McCarthy Gloria M,"EVP, Chief Administrative Off",S - Sale+OE,$265.00,"-7,700","38,756",-17%,"-$2,040,500",,,,
42,,2018-12-28 16:19:45,2018-12-27,ANTM,Haytaian Peter D,"EVP, Pres, Commercial",S - Sale,$256.31,"-3,000","40,206",-7%,"-$768,930",,,,
43,,2018-11-29 16:17:47,2018-11-27,ANTM,Haytaian Peter D,"EVP, Pres, Commercial",S - Sale,$278.48,"-4,500","43,206",-9%,"-$1,253,163",,,,
