,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-11 19:01:00,2021-08-09,ATVI,Nolan Peter J,Dir,P - Purchase,$81.93,"+3,950","222,119",+2%,"+$323,608",,,,
2,M,2021-08-09 19:03:36,2021-08-05,ATVI,Nolan Peter J,Dir,P - Purchase,$80.78,"+20,765","218,169",+11%,"+$1,677,320",,,,
3,,2021-05-18 19:01:51,2021-05-14,ATVI,Alegre Daniel,"Pres, COO",S - Sale,$93.68,"-21,722","360,151",-6%,"-$2,034,917",,,,
4,,2021-05-14 19:02:04,2021-05-12,ATVI,Nolan Peter J,Dir,P - Purchase,$93.86,"+2,000","194,721",+1%,"+$187,715",,,,
5,D,2021-05-13 19:04:31,2021-05-11,ATVI,Zerza Armin,CFO,S - Sale+OE,$94.86,"-23,723","162,438",-13%,"-$2,250,335",,,,
6,M,2021-05-10 19:05:26,2021-05-06,ATVI,Nolan Peter J,Dir,P - Purchase,$95.07,"+20,000","192,721",+12%,"+$1,901,480",,,,
7,D,2021-03-16 19:00:48,2021-03-15,ATVI,Walther Christopher B,GC,S - Sale+OE,$91.98,"-45,030","113,601",-28%,"-$4,141,819",,,,
8,,2021-02-26 19:10:18,2021-02-24,ATVI,Alegre Daniel,"Pres, COO",S - Sale,$95.74,"-18,500","464,002",-4%,"-$1,771,133",,,,
9,,2020-12-08 19:01:57,2020-12-04,ATVI,Wasserman Casey,Dir,S - Sale,$80.75,"-10,000","21,717",-32%,"-$807,540",,,,
10,M,2020-11-04 20:26:53,2020-11-02,ATVI,Kelly Brian G,Dir,S - Sale,$77.10,"-375,000","594,937",-39%,"-$28,913,823",,,,
11,,2020-09-02 19:03:24,2020-08-31,ATVI,Wasserman Casey,Dir,S - Sale,$83.09,-2,"31,717",0%,-$166,,,,
12,D,2020-08-31 19:01:27,2020-08-27,ATVI,Durkin Dennis M,CFO,S - Sale+OE,$83.51,"-50,000","392,096",-11%,"-$4,175,480",,,,
13,,2020-08-18 19:02:21,2020-08-14,ATVI,Yang Jesse,Chief Accounting Officer,P - Purchase,$80.00,"+1,000","26,947",+4%,"+$80,000",,,,
14,,2020-08-10 19:07:02,2020-08-06,ATVI,Macartney Claudine,Chief People Officer,S - Sale,$86.06,"-12,902","54,740",-19%,"-$1,110,353",,,,
15,,2020-05-29 19:04:54,2020-05-27,ATVI,Yang Jesse,Chief Accounting Officer,P - Purchase,$68.52,+400,900,+80%,"+$27,406",,,,
16,,2020-05-21 19:01:50,2020-05-19,ATVI,Yang Jesse,Chief Accounting Officer,P - Purchase,$73.00,+500,500,New,"+$36,500",,,,
17,M,2020-05-18 19:58:06,2020-05-14,ATVI,Kelly Brian G,Dir,S - Sale,$72.72,"-375,000","966,512",-28%,"-$27,271,373",,,,
