,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-01 16:45:54,2021-09-29,AVGO,Fernandez Raul J,Dir,P - Purchase,$489.54,+152,"2,221",+7%,"+$74,409",,,,
2,,2021-09-29 16:23:01,2021-09-27,AVGO,Brazeal Mark David,GC,S - Sale,$504.09,"-3,150","26,750",-11%,"-$1,587,890",,,,
3,,2021-09-27 16:49:48,2021-09-23,AVGO,Hartenstein Eddy W,Dir,S - Sale,$504.92,"-4,517","14,040",-24%,"-$2,280,704",,,,
4,,2021-09-23 16:30:19,2021-09-21,AVGO,Fernandez Raul J,Dir,P - Purchase,$493.49,+151,"2,069",+8%,"+$74,517",,,,
5,,2021-09-15 16:53:12,2021-09-13,AVGO,Lien Justine,Dir,S - Sale,$502.00,-340,"2,738",-11%,"-$170,680",,,,
6,,2021-09-14 17:13:51,2021-09-10,AVGO,Kawwas Charlie B,COO,S - Sale,$500.83,"-3,000","78,600",-4%,"-$1,502,491",,,,
7,,2021-09-14 17:09:36,2021-09-10,AVGO,Hartenstein Eddy W,Dir,S - Sale,$499.12,"-4,811","18,557",-21%,"-$2,401,277",,,,
8,,2021-09-14 17:04:38,2021-09-10,AVGO,Brazeal Mark David,GC,S - Sale,$502.38,"-9,453","29,900",-24%,"-$4,748,998",,,,
9,,2021-09-10 16:45:45,2021-09-08,AVGO,Kawwas Charlie B,COO,S - Sale,$495.10,"-1,000","81,600",-1%,"-$495,100",,,,
10,M,2021-06-10 16:52:34,2021-06-08,AVGO,Hartenstein Eddy W,Dir,S - Sale,$465.11,"-1,060","23,368",-4%,"-$493,015",,,,
11,M,2021-05-20 17:24:08,2021-05-18,AVGO,Hartenstein Eddy W,Dir,S - Sale,$437.27,"-1,060","24,428",-4%,"-$463,507",,,,
12,M,2021-05-06 17:11:22,2021-05-04,AVGO,Hartenstein Eddy W,Dir,S - Sale,$444.86,"-1,060","25,488",-4%,"-$471,548",,,,
13,M,2021-04-22 17:08:38,2021-04-20,AVGO,Hartenstein Eddy W,Dir,S - Sale,$456.91,"-1,060","26,548",-4%,"-$484,321",,,,
14,M,2021-04-08 18:53:12,2021-04-06,AVGO,Hartenstein Eddy W,Dir,S - Sale,$482.67,"-1,060","27,608",-4%,"-$511,625",,,,
15,,2021-03-31 16:27:23,2021-03-29,AVGO,You Harry L.,Dir,S - Sale,$474.23,-100,"1,649",-6%,"-$47,423",,,,
16,,2021-03-30 16:50:07,2021-03-26,AVGO,Kawwas Charlie B,COO,S - Sale,$469.29,"-1,890","64,660",-3%,"-$886,949",,,,
17,,2021-03-26 16:28:52,2021-03-24,AVGO,Spears Kirsten M.,"VP CFO, Chief Accounting Ofcr",S - Sale,$464.83,"-6,000","43,032",-12%,"-$2,788,974",,,,
18,M,2021-03-25 16:29:24,2021-03-23,AVGO,Hartenstein Eddy W,Dir,S - Sale,$466.46,"-1,060","28,192",-4%,"-$494,452",,,,
19,,2021-03-17 17:49:44,2021-03-16,AVGO,Krause Thomas H.,"Pres,Infrastructure SW Gp",S - Sale,$478.61,"-16,827","35,750",-32%,"-$8,053,528",,,,
20,,2021-03-12 16:50:29,2021-03-10,AVGO,Fernandez Raul J,Dir,P - Purchase,$436.84,+91,"1,442",+7%,"+$39,753",,,,
21,M,2021-03-11 17:11:11,2021-03-09,AVGO,Hartenstein Eddy W,Dir,S - Sale,$441.30,"-1,060","29,252",-3%,"-$467,780",,,,
22,M,2021-02-25 17:19:56,2021-02-23,AVGO,Hartenstein Eddy W,Dir,S - Sale,$466.75,"-1,060","30,312",-3%,"-$494,759",,,,
23,M,2021-02-11 16:59:32,2021-02-09,AVGO,Hartenstein Eddy W,Dir,S - Sale,$471.95,"-1,060","31,372",-3%,"-$500,262",,,,
24,M,2021-01-28 17:49:32,2021-01-26,AVGO,Hartenstein Eddy W,Dir,S - Sale,$456.91,"-1,060","32,432",-3%,"-$484,327",,,,
25,M,2021-01-14 16:45:24,2021-01-12,AVGO,Hartenstein Eddy W,Dir,S - Sale,$450.27,"-1,060","33,492",-3%,"-$477,289",,,,
26,,2020-12-31 16:40:32,2020-12-29,AVGO,Krause Thomas H.,"Pres,Infrastructure SW Gp",S - Sale,$428.24,-461,"45,875",-1%,"-$197,418",,,,
27,M,2020-12-31 16:35:05,2020-12-29,AVGO,Hartenstein Eddy W,Dir,S - Sale,$433.75,"-1,060","34,552",-3%,"-$459,775",,,,
28,,2020-12-28 17:11:48,2020-12-23,AVGO,You Harry L.,Dir,S - Sale,$427.57,-100,"1,749",-5%,"-$42,757",,,,
29,D,2020-12-28 17:03:20,2020-12-22,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$431.27,"-78,125","217,832",-26%,"-$33,692,978",,,,
30,,2020-12-28 16:53:51,2020-12-22,AVGO,Kawwas Charlie B,COO,S - Sale,$428.70,"-1,260","59,784",-2%,"-$540,162",,,,
31,,2020-12-22 16:51:24,2020-12-18,AVGO,Spears Kirsten M.,"VP CFO, Chief Accounting Ofcr",S - Sale,$429.19,-972,"41,614",-2%,"-$417,172",,,,
32,,2020-12-21 16:58:04,2020-12-17,AVGO,Tan Hock E,"Pres, CEO",S - Sale,$424.90,"-14,025","217,832",-6%,"-$5,959,223",,,,
33,M,2020-12-17 17:13:11,2020-12-15,AVGO,Krause Thomas H.,"Pres,Infrastructure SW Gp",S - Sale,$416.37,"-3,810","46,336",-8%,"-$1,586,387",,,,
34,M,2020-12-17 17:00:45,2020-12-15,AVGO,Hartenstein Eddy W,Dir,S - Sale,$416.73,"-1,060","35,612",-3%,"-$441,734",,,,
35,,2020-12-17 16:49:37,2020-12-15,AVGO,Fernandez Raul J,Dir,P - Purchase,$416.80,+120,"1,351",+10%,"+$50,016",,,,
36,,2020-12-17 16:44:21,2020-12-15,AVGO,Brazeal Mark David,GC,S - Sale,$415.46,"-4,000","39,705",-9%,"-$1,661,840",,,,
37,D,2020-12-10 18:06:09,2020-12-08,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$422.43,"-78,125","232,602",-25%,"-$33,002,552",,,,
38,D,2020-11-27 16:43:03,2020-11-24,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$390.20,"-78,125","232,602",-25%,"-$30,484,140",,,,
39,D,2020-11-12 16:47:46,2020-11-10,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$365.24,"-78,125","232,602",-25%,"-$28,534,179",,,,
40,D,2020-10-29 16:49:41,2020-10-27,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$361.33,"-78,125","232,602",-25%,"-$28,228,587",,,,
41,D,2020-10-15 17:00:27,2020-10-13,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$382.36,"-78,125","232,602",-25%,"-$29,871,966",,,,
42,,2020-10-13 16:42:33,2020-10-09,AVGO,Tan Hock E,"Pres, CEO",S - Sale,$376.94,"-14,500","232,602",-6%,"-$5,465,630",,,,
43,,2020-10-07 16:39:07,2020-10-05,AVGO,Spears Kirsten M.,Principal Accounting Officer,S - Sale,$364.06,"-5,000","30,330",-14%,"-$1,820,275",,,,
44,,2020-10-02 16:49:51,2020-09-30,AVGO,Kawwas Charlie B,"SVP, Chief Sales Officer",S - Sale,$370.01,"-2,636","62,284",-4%,"-$975,346",,,,
45,D,2020-10-01 16:38:09,2020-09-29,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$366.81,"-78,125","247,102",-24%,"-$28,657,011",,,,
46,,2020-09-30 17:24:49,2020-09-28,AVGO,Kawwas Charlie B,"SVP, Chief Sales Officer",S - Sale,$362.99,"-6,142","64,920",-9%,"-$2,229,478",,,,
47,,2020-09-21 16:33:52,2020-09-18,AVGO,Samueli Henry,Dir,P - Purchase,$361.45,"+101,740","9,471,071",+1%,"+$36,773,923",,,,
48,,2020-09-18 16:54:12,2020-09-16,AVGO,Brazeal Mark David,GC,S - Sale,$367.54,"-2,000","44,077",-4%,"-$735,080",,,,
49,D,2020-09-17 16:49:34,2020-09-15,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$368.60,"-78,125","247,102",-24%,"-$28,797,040",,,,
50,M,2020-09-11 17:19:37,2020-09-09,AVGO,Kawwas Charlie B,"SVP, Chief Sales Officer",S - Sale,$359.22,"-9,364","71,062",-12%,"-$3,363,728",,,,
51,M,2020-09-11 17:14:38,2020-09-09,AVGO,Fernandez Raul J,Dir,P - Purchase,$360.54,+167,"1,231",+16%,"+$60,210",,,,
52,D,2020-09-10 17:25:10,2020-09-08,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$356.20,"-57,172","247,102",-19%,"-$20,364,702",,,,
53,D,2020-09-03 17:31:45,2020-09-01,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$357.97,"-57,172","247,102",-19%,"-$20,465,931",,,,
54,D,2020-08-27 16:27:03,2020-08-25,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$335.05,"-57,172","247,102",-19%,"-$19,155,358",,,,
55,D,2020-08-20 16:14:34,2020-08-18,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$329.41,"-57,172","247,102",-19%,"-$18,833,154",,,,
56,D,2020-08-13 17:19:31,2020-08-11,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$328.33,"-57,172","247,102",-19%,"-$18,771,222",,,,
57,D,2020-08-06 16:54:02,2020-08-04,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$324.64,"-57,171","247,102",-19%,"-$18,560,086",,,,
58,D,2020-07-30 20:06:21,2020-07-28,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$308.49,"-57,171","247,102",-19%,"-$17,636,676",,,,
59,D,2020-07-23 16:40:59,2020-07-21,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$315.18,"-57,171","247,102",-19%,"-$18,018,973",,,,
60,D,2020-07-16 16:52:27,2020-07-14,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$311.49,"-57,171","247,102",-19%,"-$17,808,386",,,,
61,,2020-07-13 16:51:17,2020-07-09,AVGO,Kawwas Charlie B,"SVP, Chief Sales Officer",S - Sale,$322.51,"-5,000","80,426",-6%,"-$1,612,555",,,,
62,D,2020-07-09 17:04:11,2020-07-07,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$315.86,"-57,171","247,102",-19%,"-$18,058,097",,,,
63,D,2020-07-02 16:52:43,2020-06-30,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$313.81,"-57,171","247,102",-19%,"-$17,940,557",,,,
64,,2020-07-02 16:44:35,2020-06-30,AVGO,Lien Justine,Dir,S - Sale,$309.95,-260,"2,602",-9%,"-$80,587",,,,
65,D,2020-06-25 17:35:47,2020-06-23,AVGO,Tan Hock E,"Pres, CEO",S - Sale+OE,$313.70,"-57,171","247,102",-19%,"-$17,934,394",,,,
66,,2020-06-24 16:50:20,2020-06-22,AVGO,Kawwas Charlie B,"SVP, Chief Sales Officer",S - Sale,$309.20,"-5,000","85,426",-6%,"-$1,545,990",,,,
