,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-03 17:14:50,2021-09-03,AVY,Walker Ignacio J,"VP, GC",S - Sale+OE,$226.66,-477,"3,525",-12%,"-$108,117",,,,
2,M,2021-06-15 16:56:51,2021-06-11,AVY,Lovins Gregory,"SVP, CFO",S - Sale,$216.92,"-2,454","39,126",-6%,"-$532,319",,,,
3,D,2021-05-13 15:48:00,2021-05-11,AVY,Hicks Ken C,Dir,S - Sale+OE,$220.22,"-6,318","28,210",-18%,"-$1,391,350",,,,
4,,2021-03-17 17:32:47,2021-03-15,AVY,Anderson Anthony,Dir,S - Sale,$181.64,"-1,100","1,932",-36%,"-$199,799",,,,
5,,2021-03-16 17:11:24,2021-03-12,AVY,Colisto Nicholas,"VP, CIO",S - Sale,$180.67,-200,"3,666",-5%,"-$36,134",,,,
6,,2021-03-10 15:12:22,2021-03-08,AVY,Walker Ignacio J,"VP, GC",S - Sale,$182.10,"-2,197","3,523",-38%,"-$400,074",,,,
7,,2021-03-04 16:47:39,2021-03-03,AVY,Baker-Nel Deena,"VP, CHRO",S - Sale,$179.46,"-2,500","3,681",-40%,"-$448,653",,,,
8,,2021-02-09 16:18:47,2021-02-05,AVY,Baker-Nel Deena,"VP, CHRO",S - Sale,$172.24,-500,"3,939",-11%,"-$86,121",,,,
9,D,2021-02-09 15:54:45,2021-02-05,AVY,Stewart Julia A,Dir,S - Sale+OE,$170.86,"-4,664","19,400",-19%,"-$796,884",,,,
10,D,2020-10-27 20:46:49,2020-10-23,AVY,Barker Peter K,Dir,S - Sale+OE,$142.60,"-10,982","31,160",-26%,"-$1,566,033",,,,
11,,2020-10-27 17:09:06,2020-10-23,AVY,Hill Anne,SVP,S - Sale,$141.53,"-11,427","20,549",-36%,"-$1,617,263",,,,
12,,2020-10-27 17:02:16,2020-10-23,AVY,Miller Susan C,"SVP, Secretary",S - Sale,$140.72,"-3,000","11,132",-21%,"-$422,160",,,,
13,,2020-07-31 13:03:24,2020-07-29,AVY,Miller Susan C,"SVP, GC, Secty",S - Sale,$118.98,"-6,080","17,791",-25%,"-$723,398",,,,
14,D,2020-06-08 14:44:14,2020-06-05,AVY,Alford Bradley A,Dir,S - Sale+OE,$124.91,"-4,664","19,490",-19%,"-$582,580",,,,
15,,2020-03-04 18:27:41,2020-03-03,AVY,Miller Susan C,"SVP, GC, Secty",S - Sale,$117.45,"-5,672","23,823",-19%,"-$666,176",,,,
16,D,2020-03-03 14:37:42,2020-03-02,AVY,Barker Peter K,Dir,S - Sale+OE,$117.05,"-5,027","29,746",-14%,"-$588,410",,,,
17,D,2020-03-02 17:32:19,2020-02-28,AVY,Bondar Lori J,"VP, Ctrlr, Treasurer, CAO",P - Purchase,$112.85,+500,"21,118",+2%,"+$56,425",,,,
18,D,2020-02-05 15:04:01,2020-02-03,AVY,Pyott David E I,Dir,S - Sale+OE,$132.72,"-5,027","17,270",-23%,"-$667,183",,,,
19,D,2019-11-05 17:10:33,2019-11-04,AVY,Stewart Julia A,Dir,S - Sale+OE,$130.00,"-6,318","17,986",-26%,"-$821,340",,,,
20,,2019-10-29 19:33:09,2019-10-25,AVY,Bondar Lori J,"VP, Controller, CAO",S - Sale,$126.36,"-6,500","14,814",-30%,"-$821,360",,,,
21,D,2019-09-09 16:52:54,2019-09-06,AVY,Anderson Anthony,Dir,S - Sale+OE,$114.54,"-2,150","2,862",-43%,"-$246,261",,,,
22,D,2019-08-30 16:25:35,2019-08-29,AVY,Bondar Lori J,"VP, Controller, CAO",S - Sale+OE,$114.63,"-4,213","21,263",-17%,"-$482,936",,,,
23,D,2019-08-23 13:44:21,2019-08-21,AVY,Bondar Lori J,"VP, Controller, CAO",S - Sale+OE,$115.90,"-2,600","21,263",-11%,"-$301,340",,,,
24,,2019-07-31 14:37:55,2019-07-30,AVY,Hill Anne,"SVP, CHRO",S - Sale,$114.98,"-18,631","20,375",-48%,"-$2,142,192",,,,
25,D,2019-07-30 17:39:58,2019-07-29,AVY,Alford Bradley A,Dir,S - Sale+OE,$117.16,"-5,027","17,800",-22%,"-$588,963",,,,
26,,2019-07-30 16:30:55,2019-07-29,AVY,Stander Deon,"VP, GM, RBIS",S - Sale,$116.41,"-10,000","12,579",-44%,"-$1,164,100",,,,
27,,2019-07-26 18:11:21,2019-07-25,AVY,Butier Mitchell R,"COB, Pres, CEO",S - Sale,$116.21,"-50,000","160,169",-24%,"-$5,810,500",,,,
28,,2019-07-26 17:44:36,2019-07-26,AVY,Gravanis Georges,"Pres, LGM",S - Sale,$116.88,"-2,500","13,637",-15%,"-$292,200",,,,
29,D,2019-06-14 17:45:30,2019-06-13,AVY,Bondar Lori J,"VP, Controller, CAO",S - Sale+OE,$111.50,"-5,000","21,211",-19%,"-$557,500",,,,
30,DM,2019-06-12 18:01:53,2019-06-10,AVY,Bondar Lori J,"VP, Controller, CAO",S - Sale+OE,$113.27,"-2,725","21,211",-11%,"-$308,664",,,,
31,D,2019-04-29 15:13:36,2019-04-26,AVY,Hicks Ken C,Dir,S - Sale+OE,$110.10,"-9,691","23,369",-29%,"-$1,066,957",,,,
32,,2019-03-14 12:45:55,2019-03-12,AVY,Gravanis Georges,"Pres, LGM",S - Sale,$110.66,"-14,000","13,898",-50%,"-$1,549,240",,,,
33,DM,2019-03-08 14:25:38,2019-03-06,AVY,Scarborough Dean A,Dir,S - Sale+OE,$107.72,"-83,273","45,939",-64%,"-$8,970,209",,,,
34,D,2019-03-07 12:10:32,2019-03-05,AVY,Bondar Lori J,"VP, Controller, CAO",S - Sale+OE,$109.03,"-8,444","21,154",-29%,"-$920,649",,,,
35,DM,2019-03-06 15:29:51,2019-03-04,AVY,Scarborough Dean A,Dir,S - Sale+OE,$109.17,"-100,000","1,351",-99%,"-$10,917,000",,,,
36,D,2019-03-04 18:28:04,2019-02-28,AVY,Miller Susan C,"SVP, GC, Secty",S - Sale+OE,$108.88,"-12,840","30,535",-30%,"-$1,398,019",,,,
37,D,2019-03-04 14:03:09,2019-02-28,AVY,Stander Deon,"VP, GM, RBIS",S - Sale+OE,$109.51,"-7,500","22,606",-25%,"-$821,325",,,,
38,D,2019-03-04 14:01:44,2019-02-28,AVY,Hill Anne,"SVP, CHRO",S - Sale+OE,$108.68,"-12,967","39,079",-25%,"-$1,409,254",,,,
39,D,2019-03-04 12:23:00,2019-02-28,AVY,Scarborough Dean A,Dir,S - Sale+OE,$109.07,"-15,420","45,939",-25%,"-$1,681,859",,,,
40,D,2019-02-06 14:28:02,2019-02-05,AVY,Barker Peter K,Dir,S - Sale+OE,$104.51,"-2,000","27,769",-7%,"-$209,020",,,,
