,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-05-20 21:41:47,2021-05-20,AWK,Kennedy Melanie M,"SVP, Chief Human Res. Officer",S - Sale,$154.55,-661,"9,743",-6%,"-$102,158",,,,
2,,2021-03-02 18:20:46,2021-03-01,AWK,Goss Martha Clark,Dir,P - Purchase,$144.83,+61,"31,676",0%,"+$8,835",,,,
3,,2020-09-03 19:20:04,2020-09-02,AWK,Norton Cheryl,"SVP, Chief Envrn. Officer",S - Sale,$143.78,-609,"9,442",-6%,"-$87,562",,,,
4,D,2020-08-10 18:02:51,2020-08-10,AWK,Duffy Maureen,"SVP, Commuications, ExtAffairs",S - Sale+OE,$149.80,"-4,659","16,947",-22%,"-$697,918",,,,
5,D,2020-08-10 17:57:17,2020-08-10,AWK,Lynch Walter,"Pres, CEO",S - Sale+OE,$148.82,"-8,454","118,884",-7%,"-$1,258,124",,,,
6,A,2020-07-15 12:29:39,2020-02-21,AWK,Warnock Loyd A,"SVP,Chief Advisor-Reg., ExtAff",S - Sale,$137.94,-69,"10,276",-1%,"-$9,542",,,,
7,,2020-05-15 16:33:40,2020-05-13,AWK,Yates Lloyd M,Dir,P - Purchase,$115.95,"+2,000","6,100",+49%,"+$231,900",,,,
8,D,2020-03-04 09:27:33,2020-03-02,AWK,Kennedy Melanie M,"SVP, HR",S - Sale+OE,$127.70,"-5,048","7,479",-40%,"-$644,643",,,,
9,,2020-02-25 10:13:07,2020-02-21,AWK,Sgro Michael A,"EVP,GC, Secretary",S - Sale,$137.69,"-9,502","10,612",-47%,"-$1,308,330",,,,
10,,2020-02-25 10:11:43,2020-02-21,AWK,Warnock Loyd A,"SVP, Chief EA, Corp. BD Off",S - Sale,$137.74,"-6,200","10,345",-37%,"-$853,988",,,,
11,,2019-09-04 15:25:35,2019-09-03,AWK,Mackenzie George,Dir,S - Sale,$129.18,"-10,000","25,338",-28%,"-$1,291,800",,,,
12,D,2019-09-04 14:50:43,2019-08-30,AWK,Lynch Walter,"EVP, COO",S - Sale+OE,$126.91,"-6,908","106,666",-6%,"-$876,694",,,,
13,,2019-08-07 12:36:05,2019-08-05,AWK,Warnock Loyd A,"SVP, Ext. Affairs, Bus. Dev.",S - Sale,$116.97,"-4,023","11,697",-26%,"-$470,569",,,,
14,,2019-06-05 13:07:48,2019-06-04,AWK,Lynch Walter,"EVP, COO",S - Sale,$112.90,"-3,372","106,666",-3%,"-$380,699",,,,
15,,2019-06-04 15:38:15,2019-06-04,AWK,Edwards Jeffrey N,Dir,P - Purchase,$112.47,+3,"3,006",0%,+$337,,,,
