,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-05-17 17:42:09,2021-05-13,BA,Hibbard Carol J.,Controller,S - Sale,$224.97,"-2,000","7,569",-21%,"-$449,940",,,,
2,,2021-02-04 17:54:42,2021-02-02,BA,Colbert Theodore III,"EVP, Pres, CEO, BGS",S - Sale,$200.80,"-5,000","50,566",-9%,"-$1,004,000",,,,
3,D,2021-02-04 17:54:32,2021-02-02,BA,Keating Timothy John,"EVP, Government Operations",S - Sale+OE,$202.15,"-21,737","80,563",-21%,"-$4,394,135",,,,
4,,2020-08-07 17:42:18,2020-08-05,BA,Mollenkopf Steven M,Dir,P - Purchase,$173.36,"+1,152","1,152",New,"+$199,711",,,,
5,D,2019-02-15 16:55:11,2019-02-13,BA,Capozzi Heidi B,"SVP, HR",S - Sale+OE,$410.84,"-2,916","24,911",-10%,"-$1,198,009",,,,
6,,2019-02-12 20:16:28,2019-02-12,BA,Luttig J Michael,"EVP, GC",S - Sale,$410.46,"-8,500","20,309",-30%,"-$3,488,886",,,,
7,D,2019-02-12 20:14:23,2019-02-11,BA,Colbert Theodore III,"CIO, SVP, Info, Analytics",S - Sale+OE,$408.85,"-2,137","55,978",-4%,"-$873,712",,,,
8,,2019-02-12 17:41:37,2019-02-08,BA,McAllister Kevin G,"EVP, Pres, CEO, BCA",S - Sale,$398.27,"-12,637","123,207",-9%,"-$5,032,938",,,,
9,D,2019-02-12 17:41:33,2019-02-08,BA,Smith Gregory D,"CFO, EVP, Ent Perf, Strategy",S - Sale+OE,$401.38,"-19,500","141,246",-12%,"-$7,826,910",,,,
10,D,2019-02-06 17:15:04,2019-02-04,BA,Keating Timothy John,"EVP, Government Operations",S - Sale+OE,$395.48,"-26,557","70,305",-27%,"-$10,502,619",,,,
11,D,2018-11-13 17:09:02,2018-11-09,BA,Ramos Jenette E,"SVP, Mfg, Supply Chain, Opera",S - Sale+OE,$367.52,"-1,640","9,112",-15%,"-$602,733",,,,
12,,2018-10-31 16:33:10,2018-10-29,BA,Sands Diana L,"SVP, Internal Gov, Admin",S - Sale,$350.07,"-5,000","21,468",-19%,"-$1,750,350",,,,
13,,2018-05-10 17:54:07,2018-05-09,BA,Luttig J Michael,"EVP, GC",S - Sale,$344.13,"-9,000","28,372",-24%,"-$3,097,170",,,,
14,,2018-05-08 17:39:34,2018-05-07,BA,Hyslop Gregory L,"CTO, SVP, Eng., Test, Tech",S - Sale,$340.27,"-2,241","19,384",-10%,"-$762,543",,,,
15,,2018-05-08 17:39:30,2018-05-04,BA,Sands Diana L,"SVP, Internal Gov, Admin",S - Sale,$328.04,"-4,500","26,315",-15%,"-$1,476,180",,,,
16,,2018-05-08 17:38:26,2018-05-04,BA,Verbeck Robert E,"SVP Fin, Corporate Controller",S - Sale,$333.90,"-2,840","10,399",-21%,"-$948,261",,,,
17,,2018-05-07 18:52:09,2018-05-03,BA,Capozzi Heidi B,"SVP, HR",S - Sale,$329.84,"-1,132","24,534",-4%,"-$373,379",,,,
18,D,2018-02-12 18:59:24,2018-02-08,BA,Smith Gregory D,"CFO, EVP, Ent Perf, Strategy",S - Sale+OE,$337.43,"-36,079","143,371",-20%,"-$12,174,118",,,,
19,,2017-08-09 16:53:25,2017-08-07,BA,Downey Thomas J,"SVP, Communications",S - Sale,$241.20,-134,"36,612",0%,"-$32,321",,,,
20,DM,2017-08-02 17:45:55,2017-07-31,BA,Capozzi Heidi B,"SVP, HR",S - Sale+OE,$241.52,"-4,217","23,697",-15%,"-$1,018,469",,,,
21,D,2017-08-02 17:45:52,2017-07-31,BA,Smith Gregory D,"CFO, EVP, Ent Perf, Strategy",S - Sale+OE,$245.42,"-19,757","142,350",-12%,"-$4,848,836",,,,
22,,2017-08-02 17:44:47,2017-07-31,BA,Verbeck Robert E,"SVP Fin, Corporate Controller",S - Sale,$244.45,"-2,522","11,078",-19%,"-$616,499",,,,
23,D,2017-08-02 17:43:43,2017-07-31,BA,Muilenburg Dennis A,"COB, Pres, CEO",S - Sale+OE,$243.46,"-56,838","134,345",-30%,"-$13,837,591",,,,
24,,2017-05-05 18:11:44,2017-05-03,BA,Hyslop Gregory L,"CTO, SVP, Eng., Test, Tech",S - Sale,$182.83,"-5,047","4,482",-53%,"-$922,738",+1,0,,
25,,2017-05-05 18:11:40,2017-05-03,BA,Caret Leanne G,"EVP, Pres, CEO, BDS",S - Sale,$182.73,"-2,400","44,710",-5%,"-$438,552",+1,0,,
26,D,2017-05-05 18:11:36,2017-05-05,BA,Keating Timothy John,"SVP, Government Operations",S - Sale+OE,$184.51,"-32,500","75,386",-30%,"-$5,996,575",+1,0,,
27,,2017-05-03 17:35:42,2017-05-02,BA,Luttig J Michael,"EVP, GC",S - Sale,$183.78,"-7,986","39,731",-17%,"-$1,467,667",0,+2,,
28,,2017-05-03 17:35:38,2017-05-02,BA,Fancher Scott W,"SVP, Prog Mgmt, Int, Dev Prog",S - Sale,$183.61,"-2,721","9,980",-21%,"-$499,603",0,+2,,
29,D,2017-05-03 17:34:30,2017-05-02,BA,Allen Bertrand Marc,"SVP, Pres, Boeing Int'l",S - Sale+OE,$183.62,"-15,470","31,189",-33%,"-$2,840,601",0,+2,,
30,,2017-05-03 17:33:25,2017-05-01,BA,Conner Raymond L.,Vice COB,S - Sale,$182.60,"-10,673","87,381",-11%,"-$1,948,890",0,+2,,
31,,2017-05-03 17:32:17,2017-05-01,BA,Deal Stanley A,"EVP, Pres, CEO, BGS",S - Sale,$182.58,"-2,710","37,985",-7%,"-$494,792",0,+2,,
32,D,2017-02-09 18:05:40,2017-02-07,BA,Luttig J Michael,"EVP, GC",S - Sale+OE,$166.76,"-102,080","41,098",-71%,"-$17,022,477",+1,+3,+9,
33,D,2017-02-03 18:38:49,2017-02-02,BA,Hyslop Gregory L,"CTO, SVP, Eng., Test, Tech",S - Sale+OE,$162.33,"-3,573","8,009",-31%,"-$580,005",+1,+2,+12,
34,DM,2017-02-02 18:20:31,2017-01-31,BA,Conner Raymond L.,Vice COB,S - Sale+OE,$163.72,"-96,174","88,699",-52%,"-$15,745,287",0,+2,+13,
35,,2017-02-02 17:48:43,2017-01-31,BA,Verbeck Robert E,"SVP Fin, Corporate Controller",S - Sale,$164.12,"-5,497","11,250",-33%,"-$902,152",0,+2,+13,
