,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-19 17:13:20,2021-10-15,BAC,Athanasia Dean C,"Pres, Ret, Pref, Sm Bus Bnkg",S - Sale,$45.77,"-108,478","222,485",-33%,"-$4,965,038",,,,
2,,2021-08-06 17:11:31,2021-08-06,BAC,Nguyen Thong M,Vice COB,S - Sale,$39.98,"-80,000","337,314",-19%,"-$3,198,400",,,,
3,,2021-05-04 16:06:00,2021-04-30,BAC,Bramble Frank P,Dir,S - Sale,$40.58,"-8,800","84,617",-9%,"-$357,060",,,,
4,,2021-02-26 16:32:31,2021-02-25,BAC,Bless Rudolf A.,Chief Accounting Officer,S - Sale,$36.44,"-140,677","105,460",-57%,"-$5,126,270",,,,
5,M,2020-08-04 20:59:51,2020-07-31,BAC,Berkshire Hathaway Inc,10%,P - Purchase,$24.81,"+13,584,301","1,032,852,006",+1%,"+$337,061,890",,,,
6,M,2020-07-30 20:19:10,2020-07-28,BAC,Berkshire Hathaway Inc,10%,P - Purchase,$24.65,"+21,180,716","1,019,267,705",+2%,"+$522,043,203",,,,
7,M,2020-07-27 20:02:28,2020-07-23,BAC,Berkshire Hathaway Inc,10%,P - Purchase,$24.22,"+16,424,366","998,086,989",+2%,"+$397,865,938",,,,
8,M,2020-07-22 20:20:06,2020-07-20,BAC,Berkshire Hathaway Inc,10%,P - Purchase,$23.99,"+33,902,623","981,662,623",+4%,"+$813,327,610",,,,
9,,2019-10-25 16:10:24,2019-10-23,BAC,Bramble Frank P,Dir,S - Sale,$31.33,"-6,500","93,417",-7%,"-$203,645",,,,
10,,2019-10-18 16:31:26,2019-10-17,BAC,Knox Kathleen A.,"Pres, Private Bank",S - Sale,$30.23,"-40,000","43,744",-48%,"-$1,209,200",,,,
11,,2019-04-19 16:01:24,2019-04-17,BAC,Athanasia Dean C,"Pres, Ret, Pref, Sm Bus Bnkg",S - Sale,$29.78,"-129,615","114,002",-53%,"-$3,860,324",,,,
12,,2018-08-10 16:08:08,2018-08-09,BAC,Bessant Catherine P,"Chief Ops, Tech Officer",S - Sale,$31.61,"-15,820","609,314",-3%,"-$500,070",,,,
13,,2017-08-11 16:06:50,2017-08-10,BAC,Bramble Frank P,Dir,S - Sale,$24.16,"-86,763","99,917",-46%,"-$2,096,107",,,,
14,,2017-04-28 16:39:47,2017-04-27,BAC,Woods Thomas D,Dir,P - Purchase,$23.81,"+25,000","62,063",+67%,"+$595,250",+1,+2,,
15,,2016-11-23 16:06:12,2016-11-21,BAC,White Michael D,Dir,P - Purchase,$20.14,"+25,000","85,650",+41%,"+$503,500",+1,+3,+10,
16,EM,2016-10-19 10:24:01,2016-08-15,BAC,Ynoface Holdings Inc,Owner,P - Purchase,$1.96,"+2,147,483,647","2,147,483,647",-639%,"+$2,147,483,647",+1,+3,+21,+43
17,,2016-08-03 16:08:52,2016-08-02,BAC,Woods Thomas D,Dir,P - Purchase,$14.13,"+25,000","32,459",+335%,"+$353,250",0,+5,+12,+61
18,,2016-02-22 16:25:42,2016-02-22,BAC,Nguyen Thong M,"Pres, Ret. Bnkg, Co-Hd CB",P - Purchase,$12.43,"+30,000","40,314",+291%,"+$372,900",-3,+1,+11,+23
19,,2016-02-16 17:48:01,2016-02-16,BAC,Bramble Frank P,Dir,P - Purchase,$12.32,"+75,000","186,680",+67%,"+$924,000",+2,+2,+11,+23
20,,2015-07-23 16:02:11,2015-07-21,BAC,Nguyen Thong M,"Pres, Ret. Bnkg, Co-Hd CB",S - Sale,$18.06,"-7,520",278,-96%,"-$135,831",-2,0,-8,-26
21,D,2013-10-22 16:04:16,2013-10-18,BAC,May Thomas J,Dir,S - Sale+OE,$14.63,"-1,632","2,142",-43%,"-$23,878",-2,-2,+5,+13
22,,2013-08-07 16:21:50,2013-08-05,BAC,Neil Cotty,Chief Accounting Officer,S - Sale,$14.70,"-30,000","231,735",-11%,"-$441,000",+1,0,-1,+13
23,,2013-06-14 17:46:13,2013-06-14,BAC,Gifford Charles K,Dir,S - Sale,$13.07,"-580,734","215,549",-73%,"-$7,590,193",+1,-1,+6,+17
24,,2013-05-10 17:37:12,2013-05-10,BAC,Hudson Linda P,Dir,S - Sale,$12.94,"-6,934","19,507",-26%,"-$89,726",0,+3,+2,+7
25,,2013-04-22 16:09:36,2013-04-18,BAC,Yost R David,Dir,P - Purchase,$11.51,"+20,000","64,153",+45%,"+$230,282",+3,+6,+15,+25
26,,2013-01-25 16:06:26,2013-01-24,BAC,Yost R David,Dir,P - Purchase,$11.53,"+20,000","44,153",+83%,"+$230,600",-1,-3,-5,+28
27,,2012-11-08 16:01:44,2012-11-07,BAC,Yost R David,Dir,P - Purchase,$9.48,"+10,000","24,153",+71%,"+$94,800",0,-4,+14,+40
28,,2012-06-13 16:12:42,2012-06-12,BAC,Gifford Charles K,Dir,P - Purchase,$7.36,"+482,794","796,283",+154%,"+$3,553,364",+2,+8,0,+42
29,,2012-06-08 16:21:10,2012-06-08,BAC,Powell Donald E,Dir,P - Purchase,$7.25,"+7,445","119,020",+7%,"+$53,976",-4,+1,0,+42
30,,2012-05-15 16:10:11,2012-05-14,BAC,Powell Donald E,Dir,P - Purchase,$7.36,"+12,000","111,575",+12%,"+$88,320",-3,-6,+3,+28
31,,2012-05-08 16:03:30,2012-05-04,BAC,Powell Donald E,Dir,P - Purchase,$7.76,"+5,000","99,575",+5%,"+$38,800",-1,-6,-2,+27
32,D,2012-05-03 16:03:53,2012-05-03,BAC,Powell Donald E,Dir,P - Purchase,$8.05,"+5,000","94,575",+6%,"+$40,250",-3,-3,-12,+22
33,,2012-03-01 16:07:21,2012-02-29,BAC,Powell Donald E,Dir,P - Purchase,$8.10,"+10,000","89,575",+13%,"+$81,000",0,-1,+18,-2
34,,2012-02-15 16:09:16,2012-02-14,BAC,Powell Donald E,Dir,P - Purchase,$7.95,"+10,000","79,575",+14%,"+$79,500",+4,+2,+18,0
35,M,2012-02-08 16:17:24,2012-02-07,BAC,Powell Donald E,Dir,P - Purchase,$8.00,"+18,000","69,575",+35%,"+$144,079",+1,-2,-1,-6
36,,2012-02-03 16:05:11,2012-02-03,BAC,Powell Donald E,Dir,P - Purchase,$7.70,"+10,000","51,575",+24%,"+$77,000",+2,+5,+2,-9
37,,2012-02-02 16:13:07,2012-02-01,BAC,Bies Susan S.,Dir,P - Purchase,$7.39,"+50,000","83,043",+151%,"+$369,500",+5,+9,+9,-3
38,D,2012-01-30 16:09:01,2012-01-26,BAC,Powell Donald E,Dir,P - Purchase,$7.25,"+7,000","41,575",+20%,"+$50,750",+1,+11,+14,+4
39,,2011-05-31 16:13:53,2011-05-27,BAC,Rossotti Charles O,Dir,P - Purchase,$11.56,"+20,000","39,929",+100%,"+$231,100",-4,-8,-8,-56
40,,2010-12-10 16:50:50,2010-12-10,BAC,Powell Donald E,Dir,P - Purchase,$12.79,"+5,000","34,575",+17%,"+$63,950",-2,-2,+13,-16
41,D,2010-12-01 16:28:45,2010-12-01,BAC,Powell Donald E,Dir,P - Purchase,$11.30,"+5,000","29,575",+20%,"+$56,500",+3,+3,+18,0
42,,2010-11-10 08:40:41,2010-11-09,BAC,Scully Robert W,Dir,P - Purchase,$12.45,"+39,500","117,155",+51%,"+$491,716",+2,-3,+3,0
43,,2010-11-10 08:40:38,2010-11-09,BAC,Holliday Charles O Jr,Dir,P - Purchase,$12.61,"+30,000","54,650",+122%,"+$378,150",+2,-3,+3,0
44,,2010-08-23 17:17:03,2010-08-23,BAC,Moynihan Brian T,"CEO, Pres",P - Purchase,$13.03,"+30,000","453,727",+7%,"+$390,787",-2,-2,+6,+15
45,D,2010-08-19 16:34:14,2010-08-19,BAC,Powell Donald E,Dir,P - Purchase,$13.10,"+10,000","24,575",+69%,"+$131,000",-1,-3,+3,+14
