,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-15 16:29:56,2021-10-13,BBY,Bass Robert L,"Chief SC, Global Prop Officer",S - Sale,$110.51,"-5,823","104,802",-5%,"-$643,471",,,,
2,,2021-10-12 16:34:30,2021-10-07,BBY,Eldracher Deborah Disanzo,"Pres, Best Buy Health",S - Sale,$107.65,-14,"10,344",0%,"-$1,507",,,,
3,,2021-09-22 16:58:51,2021-09-21,BBY,Peterson Allison,Chief Customer Officer,S - Sale,$107.18,-120,"29,870",0%,"-$12,861",,,,
4,,2021-09-22 16:58:47,2021-09-21,BBY,Eldracher Deborah Disanzo,"Pres, Best Buy Health",S - Sale,$107.18,"-1,776","10,278",-15%,"-$190,346",,,,
5,,2021-08-25 16:42:36,2021-08-23,BBY,Bilunas Matthew M,CFO,S - Sale,$113.16,-819,"38,886",-2%,"-$92,677",,,,
6,,2021-07-28 17:21:39,2021-07-27,BBY,Bass Robert L,"Chief SC, Global Prop Officer",S - Sale,$114.37,"-4,697","109,937",-4%,"-$537,201",,,,
7,D,2021-06-15 16:32:21,2021-06-11,BBY,Scarlett Kathleen,CHRO,S - Sale+OE,$112.65,"-7,855","60,372",-12%,"-$884,866",,,,
8,,2021-06-15 16:32:03,2021-06-14,BBY,Barry Corie S,CEO,S - Sale,$113.76,"-4,355","209,734",-2%,"-$495,442",,,,
9,,2021-06-15 16:31:57,2021-06-14,BBY,Mohan Rajendra M,"Pres, COO",S - Sale,$113.76,"-21,843","77,245",-22%,"-$2,484,947",,,,
10,,2021-06-15 16:31:55,2021-06-14,BBY,Tilzer Brian A,"Chief Digital, Tech Officer",S - Sale,$113.12,"-8,500","22,830",-27%,"-$961,482",,,,
11,,2021-06-08 17:27:58,2021-06-04,BBY,Tilzer Brian A,"Chief Digital, Tech Officer",S - Sale,$115.74,"-4,007","31,330",-11%,"-$463,750",,,,
12,,2021-06-08 17:27:53,2021-06-04,BBY,Scarlett Kathleen,CHRO,S - Sale,$115.74,"-5,066","65,272",-7%,"-$586,314",,,,
13,,2021-06-08 17:27:51,2021-06-04,BBY,Peterson Allison,Chief Customer Officer,S - Sale,$115.74,"-1,525","29,934",-5%,"-$176,496",,,,
14,,2021-06-08 17:27:46,2021-06-04,BBY,Mohan Rajendra M,"Pres, COO",S - Sale,$115.74,"-19,951","99,088",-17%,"-$2,309,029",,,,
15,,2021-06-08 17:27:40,2021-06-04,BBY,Hartman Todd G.,"GC, Chief Risk Officer",S - Sale,$115.74,"-1,645","39,327",-4%,"-$190,384",,,,
16,,2021-06-08 17:27:38,2021-06-04,BBY,Bilunas Matthew M,CFO,S - Sale,$115.74,"-1,902","39,557",-5%,"-$220,128",,,,
17,,2021-06-08 17:27:30,2021-06-04,BBY,Furman Matthew M,"Chief Comm, Publ. Affairs Ofc",S - Sale,$115.74,"-4,788","70,354",-6%,"-$554,139",,,,
18,,2021-06-08 17:27:17,2021-06-04,BBY,Barry Corie S,CEO,S - Sale,$115.74,"-16,860","214,089",-7%,"-$1,951,292",,,,
19,M,2021-06-08 17:27:05,2021-06-04,BBY,Watson Mathew,"SVP, Finance-Controller, CAO",S - Sale,$115.85,"-2,005","13,794",-13%,"-$232,286",,,,
20,D,2021-06-02 17:05:08,2021-05-28,BBY,Mohan Rajendra M,"Pres, COO",S - Sale+OE,$115.71,"-90,335","79,385",-53%,"-$10,452,888",,,,
21,,2021-05-12 16:51:26,2021-05-10,BBY,Tilzer Brian A,"Chief Digital, Tech Officer",S - Sale,$122.63,"-3,220","27,375",-11%,"-$394,856",,,,
22,,2021-05-12 16:51:20,2021-05-10,BBY,Watson Mathew,"SVP, Finance-Controller, CAO",S - Sale,$125.00,"-2,257","13,145",-15%,"-$282,125",,,,
23,,2021-04-26 16:44:59,2021-04-22,BBY,Hartman Todd G.,"GC, Chief Risk Officer",S - Sale,$119.51,"-1,166","37,705",-3%,"-$139,344",,,,
24,,2021-04-16 16:39:48,2021-04-14,BBY,Schulze Richard M,Chairman Emeritus,S - Sale,$120.79,"-2,568","24,337,131",0%,"-$310,189",,,,
25,,2021-04-15 17:06:32,2021-04-13,BBY,Watson Mathew,"SVP, Finance-Controller, CAO",S - Sale,$121.74,-13,"15,402",0%,"-$1,583",,,,
26,,2021-04-15 17:06:27,2021-04-13,BBY,Tilzer Brian A,"Chief Digital, Tech Officer",S - Sale,$121.74,-13,"30,595",0%,"-$1,583",,,,
27,,2021-04-15 17:06:20,2021-04-13,BBY,Scarlett Kathleen,CHRO,S - Sale,$121.74,-15,"60,271",0%,"-$1,826",,,,
28,,2021-04-15 17:06:12,2021-04-13,BBY,Mohan Rajendra M,"Pres, COO",S - Sale,$121.74,-51,"147,832",0%,"-$6,209",,,,
29,,2021-04-15 17:06:01,2021-04-13,BBY,Hartman Todd G.,"GC, Chief Risk Officer",S - Sale,$121.74,-15,"38,871",0%,"-$1,826",,,,
30,,2021-04-15 17:06:00,2021-04-13,BBY,Peterson Allison,Chief Customer Officer,S - Sale,$121.74,-16,"28,192",0%,"-$1,948",,,,
31,,2021-04-15 17:05:27,2021-04-13,BBY,Furman Matthew M,"Chief Comm, Publ. Affairs Ofc",S - Sale,$121.74,-14,"65,628",0%,"-$1,704",,,,
32,,2021-04-15 17:05:01,2021-04-13,BBY,Bilunas Matthew M,CFO,S - Sale,$121.74,-21,"37,680",0%,"-$2,557",,,,
33,,2021-04-15 17:04:48,2021-04-13,BBY,Barry Corie S,CEO,S - Sale,$121.74,-64,"197,436",0%,"-$7,792",,,,
34,,2021-03-25 16:41:51,2021-03-23,BBY,Peterson Allison,Chief Customer Officer,S - Sale,$119.03,"-1,898","28,129",-6%,"-$225,921",,,,
