,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-19 19:13:53,2021-08-19,BEN,Johnson Jennifer M,"Pres, CEO",S - Sale,$30.37,"-52,789","4,960,736",-1%,"-$1,603,202",,,,
2,,2021-08-11 15:11:21,2021-08-11,BEN,Shaneyfelt Gwen L,Chief Accounting Officer,S - Sale,$33.51,"-5,000","59,070",-8%,"-$167,550",,,,
3,,2021-06-16 07:01:01,2021-06-15,BEN,Byerwalter Mariann H,Dir,S - Sale,$33.91,"-2,400","9,146",-21%,"-$81,384",,,,
4,,2021-05-14 07:16:11,2021-05-12,BEN,Shaneyfelt Gwen L,Chief Accounting Officer,S - Sale,$33.25,"-5,000","63,749",-7%,"-$166,250",,,,
5,,2021-03-25 15:12:13,2021-03-24,BEN,Plafker Jed A.,EVP,S - Sale,$28.67,"-20,782","147,219",-12%,"-$595,785",,,,
6,,2021-03-19 12:09:56,2021-03-18,BEN,Shaneyfelt Gwen L,Chief Accounting Officer,S - Sale,$30.32,"-5,000","68,749",-7%,"-$151,600",,,,
7,,2021-03-03 12:59:22,2021-03-02,BEN,Sethi Alok,Reg. S-K Exec Officer,S - Sale,$27.09,"-39,890","71,037",-36%,"-$1,080,748",,,,
8,,2021-02-16 11:45:32,2021-02-12,BEN,Sethi Alok,Reg. S-K Exec Officer,S - Sale,$27.64,"-10,000","109,905",-8%,"-$276,439",,,,
9,,2020-12-16 18:33:54,2020-12-15,BEN,Byerwalter Mariann H,Dir,S - Sale,$23.97,"-1,826","5,535",-25%,"-$43,769",,,,
10,,2020-11-30 13:56:24,2020-11-27,BEN,Byerwalter Mariann H,Dir,S - Sale,$22.16,"-1,827","7,361",-20%,"-$40,486",,,,
11,,2020-08-18 17:21:49,2020-08-17,BEN,Byerwalter Mariann H,Dir,S - Sale,$21.90,"-1,827","9,188",-17%,"-$40,011",,,,
12,,2020-06-02 14:05:44,2020-06-01,BEN,Tyle Craig Steven,"EVP, GC",S - Sale,$18.96,"-5,000","99,403",-5%,"-$94,800",,,,
13,,2020-03-03 12:12:10,2020-03-02,BEN,Tyle Craig Steven,"EVP, GC",S - Sale,$21.95,"-5,000","104,403",-5%,"-$109,750",,,,
14,,2019-12-30 13:55:10,2019-12-26,BEN,Johnson Rupert H Jr,"Vice COB, 10%",S - Sale,$26.26,"-400,000","103,049,925",0%,"-$10,505,000",,,,
15,,2019-12-02 19:18:39,2019-12-02,BEN,Tyle Craig Steven,"EVP, GC",S - Sale,$27.57,"-5,000","108,793",-4%,"-$137,850",,,,
16,,2019-09-04 11:50:39,2019-09-03,BEN,Tyle Craig Steven,"EVP, GC",S - Sale,$26.01,"-5,000","95,009",-5%,"-$130,050",,,,
