,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-12 16:31:47,2021-10-11,BKR,Borras Maria C,"EVP, Oilfield Services",S - Sale,$25.42,"-14,000","54,274",-21%,"-$355,880",,,,
2,,2021-09-22 16:13:34,2021-09-21,BKR,Ukpong Uwem,"EVP, Regions, Alliances",S - Sale,$23.12,"-10,000","30,190",-25%,"-$231,200",,,,
3,,2021-09-08 16:28:01,2021-09-07,BKR,Ukpong Uwem,"EVP, Regions, Alliances",S - Sale,$23.05,"-10,000","40,190",-20%,"-$230,500",,,,
4,D,2021-08-04 06:03:33,2021-08-03,BKR,General Electric Co,"Dir, 10%",S - Sale+OE,$23.36,"-53,720,040","214,026,897",-20%,"-$1,254,900,134",,,,
5,,2021-07-29 16:38:30,2021-07-28,BKR,Borras Maria C,"EVP, Oilfield Services",S - Sale,$20.74,"-10,000","88,274",-10%,"-$207,400",,,,
6,,2021-07-13 17:21:14,2021-07-12,BKR,Borras Maria C,"EVP, Oilfield Services",S - Sale,$22.37,"-10,000","98,274",-9%,"-$223,700",,,,
7,,2021-06-29 16:19:38,2021-06-28,BKR,Borras Maria C,"EVP, Oilfield Services",S - Sale,$23.48,"-10,000","108,274",-8%,"-$234,800",,,,
8,,2021-06-11 16:40:34,2021-06-10,BKR,Borras Maria C,"EVP, Oilfield Services",S - Sale,$26.16,"-7,097","118,274",-6%,"-$185,658",,,,
9,,2021-06-02 17:20:00,2021-06-01,BKR,Qasem Rami,"EVP, Digital Solutions",S - Sale,$24.98,"-9,427","16,110",-37%,"-$235,486",,,,
10,,2021-04-30 08:37:18,2021-04-29,BKR,General Electric Co,"Dir, 10%",S - Sale,$22.23,"-43,685,723",0,-100%,"-$971,133,622",,,,
11,,2021-04-13 16:23:51,2021-04-12,BKR,Qasem Rami,"EVP, Digital Solutions",S - Sale,$20.33,"-11,438","25,537",-31%,"-$232,535",,,,
12,,2021-01-25 08:23:02,2021-01-22,BKR,General Electric Co,"Dir, 10%",S - Sale,$19.34,"-38,007,041",0,-100%,"-$735,056,173",,,,
13,,2020-10-23 08:05:51,2020-10-22,BKR,General Electric Co,"Dir, 10%",S - Sale,$14.91,"-27,988,183",0,-100%,"-$417,303,809",,,,
14,,2020-09-02 17:04:01,2020-09-02,BKR,Simonelli Lorenzo,"COB, Pres, CEO",P - Purchase,$14.12,"+71,275","287,096",+33%,"+$1,006,104",,,,
15,,2020-02-26 16:46:52,2020-02-26,BKR,Beattie William G,Dir,P - Purchase,$17.80,"+5,000","17,466",+40%,"+$88,994",,,,
16,,2020-02-26 16:43:39,2020-02-26,BKR,Worrell Brian,CFO,P - Purchase,$18.05,"+3,000","66,876",+5%,"+$54,151",,,,
17,,2020-02-26 16:41:05,2020-02-26,BKR,Simonelli Lorenzo,"COB, Pres, CEO",P - Purchase,$17.74,"+11,254","179,100",+7%,"+$199,673",,,,
18,,2020-02-24 16:34:46,2020-02-24,BKR,Simonelli Lorenzo,"COB, Pres, CEO",P - Purchase,$19.49,"+15,368","167,846",+10%,"+$299,522",,,,
19,,2020-02-05 16:43:53,2020-02-04,BKR,Marsh William D,GC,S - Sale,$22.00,"-7,256","48,791",-13%,"-$159,632",,,,
20,,2019-11-22 20:56:25,2019-11-22,BKR,Marsh William D,GC,S - Sale,$22.65,"-5,857","33,647",-15%,"-$132,661",,,,
21,,2019-11-20 15:03:07,2019-11-19,BKR,Marsh William D,GC,S - Sale,$22.15,"-6,136","39,504",-13%,"-$135,912",,,,
22,,2019-11-07 10:56:51,2019-11-05,BKR,Camilleri Kurt,"VP, Controller, Chief Acctg Of",S - Sale,$22.56,"-3,338",0,-100%,"-$75,305",,,,
