,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-18 16:24:30,2021-08-16,BLK,McCombe Mark,Senior MD,S - Sale,$910.50,"-2,000","18,804",-10%,"-$1,821,000",,,,
2,,2021-07-22 17:01:49,2021-07-20,BLK,Meade Christopher J.,"GC, CLO",S - Sale,$877.24,"-2,106","6,936",-23%,"-$1,847,467",,,,
3,M,2021-05-07 18:35:15,2021-05-07,BLK,Fink Laurence,"COB, CEO",S - Sale,$866.23,"-34,638","722,020",-5%,"-$30,004,516",,,,
4,,2021-04-29 17:57:04,2021-04-27,BLK,McCombe Mark,Senior MD,S - Sale,$815.32,"-1,000","20,804",-5%,"-$815,322",,,,
5,,2021-04-22 16:26:47,2021-04-20,BLK,Lord Rachel,Senior MD,S - Sale,$808.00,"-4,416","6,559",-40%,"-$3,568,128",,,,
6,,2021-04-16 17:11:53,2021-04-16,BLK,Wiedman Mark,Senior MD,S - Sale,$812.53,"-1,725","7,941",-18%,"-$1,401,609",,,,
7,,2021-04-16 17:07:30,2021-04-16,BLK,Comerchero Marc D.,Principal Accounting Officer,S - Sale,$808.38,-600,"2,008",-23%,"-$485,026",,,,
8,,2021-02-18 18:39:51,2021-02-16,BLK,Kushel J. Richard,Senior MD,S - Sale,$734.00,-650,"152,268",0%,"-$477,100",,,,
9,,2021-02-05 19:45:13,2021-02-05,BLK,Kushel J. Richard,Senior MD,S - Sale,$727.14,"-6,055","152,918",-4%,"-$4,402,818",,,,
10,,2021-02-05 19:42:13,2021-02-05,BLK,Shedlin Gary,"CFO, Senior MD",S - Sale,$730.41,"-3,206","13,163",-20%,"-$2,341,706",,,,
11,,2021-02-04 19:13:38,2021-02-04,BLK,Goldstein Robert L.,COO,S - Sale,$735.85,"-1,775","38,809",-4%,"-$1,306,134",,,,
12,,2021-02-04 19:09:20,2021-02-02,BLK,Fink Laurence,"COB, CEO",S - Sale,$728.77,"-27,400","764,739",-3%,"-$19,968,229",,,,
