,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-22 17:19:26,2021-09-20,BMY,Caforio Giovanni,"Board Chair, CEO",S - Sale,$60.64,"-25,000","483,980",-5%,"-$1,516,000",,,,
2,D,2021-08-16 17:51:52,2021-08-12,BMY,Elkins David V,"EVP, CFO",S - Sale+OE,$66.95,"-99,691","80,206",-55%,"-$6,674,497",,,,
3,,2021-08-03 16:56:36,2021-07-30,BMY,Dubow Adam,"SVP,ChiefCompliance, EthicsOff",S - Sale,$67.90,"-2,466","14,749",-14%,"-$167,441",,,,
4,,2021-08-03 16:54:59,2021-07-30,BMY,Leung Sandra,"EVP, GC",S - Sale,$68.04,"-29,390","430,266",-6%,"-$1,999,696",,,,
5,,2021-08-03 16:49:18,2021-07-30,BMY,Von Autenried Paul,"EVP, CIO",S - Sale,$68.06,"-25,000","114,670",-18%,"-$1,701,375",,,,
6,,2021-05-11 16:39:28,2021-05-10,BMY,Eid Joseph,"SVP,Head Glob. Medical Affairs",S - Sale,$65.00,"-1,118","8,069",-12%,"-$72,670",,,,
7,,2021-05-11 16:39:11,2021-05-10,BMY,Schmukler Louis S,"EVP,Pres,Glob.Prod., Supply",S - Sale,$65.25,"-15,000","31,956",-32%,"-$978,750",,,,
8,,2021-05-07 16:57:32,2021-05-05,BMY,Dubow Adam,"SVP,ChiefCompliance, EthicsOff",S - Sale,$64.21,"-3,119","17,208",-15%,"-$200,271",,,,
9,,2021-05-07 16:56:59,2021-05-05,BMY,Vessey Rupert,"EVP, Research, Early Dev.",S - Sale,$64.29,"-30,546","45,757",-40%,"-$1,963,802",,,,
10,,2021-03-24 16:41:12,2021-03-22,BMY,Caforio Giovanni,"COB, CEO",S - Sale,$62.20,"-25,000","528,980",-5%,"-$1,555,000",,,,
11,,2020-11-30 17:52:40,2020-11-25,BMY,Von Autenried Paul,"EVP, CIO",S - Sale,$63.50,-3,"126,698",0%,-$191,,,,
12,,2020-11-25 16:32:33,2020-11-23,BMY,Vessey Rupert,"EVP, Research, Early Dev.",S - Sale,$61.34,"-13,421","38,535",-26%,"-$823,244",,,,
13,,2020-11-25 16:32:17,2020-11-24,BMY,Dubow Adam,"SVP,ChiefCompliance, EthicsOff",S - Sale,$63.39,-900,"16,137",-5%,"-$57,051",,,,
14,,2020-11-25 16:31:58,2020-11-24,BMY,Von Autenried Paul,"EVP, CIO",S - Sale,$62.75,"-20,000","126,701",-14%,"-$1,255,000",,,,
15,D,2020-11-23 17:40:27,2020-11-19,BMY,Vessey Rupert,"EVP, Research, Early Dev.",S - Sale+OE,$61.30,"-57,591","51,956",-53%,"-$3,530,269",,,,
16,,2020-09-02 16:34:56,2020-08-31,BMY,Caforio Giovanni,"COB, CEO",S - Sale,$62.70,"-39,840","445,584",-8%,"-$2,497,968",,,,
17,,2020-08-19 18:15:38,2020-08-17,BMY,Eid Joseph,"SVP,Head Glob. Medical Affairs",S - Sale,$64.00,"-5,327","2,534",-68%,"-$340,928",,,,
18,,2020-08-17 16:55:07,2020-08-13,BMY,Leung Sandra,"EVP, GC",S - Sale,$63.24,"-141,420","439,242",-24%,"-$8,943,401",,,,
19,,2020-06-16 17:15:26,2020-06-15,BMY,Paliwal Dinesh C,Dir,P - Purchase,$54.50,"+9,174","22,109",+71%,"+$499,983",,,,
20,,2020-06-09 19:16:24,2019-12-04,BMY,Bonney Michael W,Dir,P - Purchase,$58.90,+88,"9,189",+1%,"+$5,183",,,,
21,,2020-05-26 17:17:04,2020-05-22,BMY,Dubow Adam,"SVP,ChiefCompliance, EthicsOff",S - Sale,$61.01,"-3,200","17,023",-16%,"-$195,232",,,,
22,,2020-05-21 17:22:50,2020-05-19,BMY,Schmukler Louis S,"EVP,Pres,Glob.Prod., Supply",S - Sale,$62.68,"-25,000","26,777",-48%,"-$1,567,000",,,,
23,,2020-03-06 17:20:51,2020-03-04,BMY,Elicker John E,"EVP, Investor Relations",S - Sale,$61.01,"-15,805","58,666",-21%,"-$964,263",,,,
