,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-05-06 18:18:11,2021-05-04,BRK.A,Jain Ajit,Vice COB,S - Sale+OE,$278.19,"-7,852","178,401",-4%,"-$2,184,348",,,,
2,D,2021-01-06 17:15:04,2020-12-18,BRK.A,Olson Ronald L,Dir,P - Purchase,$222.33,"+4,000","25,332",+19%,"+$889,335",,,,
3,D,2020-10-02 17:08:57,2020-09-30,BRK.A,Jain Ajit,Vice COB,S - Sale+OE,$213.00,"-7,000","186,550",-4%,"-$1,491,000",,,,
4,D,2020-07-08 09:42:03,2020-07-01,BRK.A,Jain Ajit,Vice COB,S - Sale+OE,$177.74,"-5,600","193,600",-3%,"-$995,316",,,,
5,E,2020-05-19 08:51:04,2020-05-18,BRKA,Witmer Meryl  B,Dir,P - Purchase,"$1,725.51","+1,008","2,004",+101%,"+$1,739,316",,,,
6,D,2018-11-09 17:46:53,2018-11-07,BRK.A,Jain Ajit,Vice COB,S - Sale+OE,$219.69,"-5,700","122,695",-4%,"-$1,252,233",,,,
7,,2018-05-10 11:46:15,2018-05-10,BRK.A,Jain Ajit,Vice COB,P - Purchase,$199.82,"+6,000","128,395",+5%,"+$1,198,920",,,,
8,M,2016-01-06 11:06:08,2016-01-04,BRKB,Witmer Meryl  B,Dir,P - Purchase,$129.85,"+1,000","1,000",New,"+$129,850",,,,
9,D,2014-12-22 18:59:31,2014-12-19,BRK.B,Olson Ronald L,Dir,S - Sale+OE,$152.07,-65,"17,435",0%,"-$9,885",,,,
10,D,2012-12-20 19:22:55,2012-12-18,BRK.A,Olson Ronald L,Dir,P - Purchase,$90.00,"+2,500","17,500",+17%,"+$225,000",,,,
11,E,2011-08-09 12:43:34,2011-08-08,BRKA,Keough Donald R /ny,Dir,P - Purchase,"$13,177.00",+8,108,+8%,"+$105,416",,,,
12,E,2011-06-24 16:29:26,2011-06-22,BRKA,Keough Donald R /ny,Dir,P - Purchase,"$5,151.55",+22,100,+28%,"+$113,334",,,,
13,E,2010-05-04 16:02:43,2010-05-04,BRKA,Burke Stephen B,Dir,P - Purchase,"$19,266.70",+6,11,+120%,"+$115,600",,,,
14,,2010-03-01 16:18:24,2010-02-26,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$79.62,"-41,400","77,313,900",0%,"-$3,296,127",,,,
15,,2010-02-26 16:21:37,2010-02-25,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$79.17,"-36,384","77,355,300",0%,"-$2,880,598",,,,
16,,2010-02-25 16:31:43,2010-02-24,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$79.64,"-40,000","77,391,684",0%,"-$3,185,544",,,,
17,,2010-02-24 16:22:55,2010-02-23,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$79.75,"-35,000","77,431,684",0%,"-$2,791,310",,,,
18,,2010-02-23 16:22:51,2010-02-22,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$79.73,"-32,000","77,466,684",0%,"-$2,551,408",,,,
19,,2010-02-22 16:22:02,2010-02-19,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$77.91,"-66,000","77,498,684",0%,"-$5,142,208",,,,
20,,2010-02-19 16:34:59,2010-02-18,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$76.32,"-46,000","77,564,684",0%,"-$3,510,646",,,,
21,,2010-02-18 16:28:38,2010-02-17,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$76.06,"-27,500","77,610,684",0%,"-$2,091,730",,,,
22,,2010-02-17 16:29:45,2010-02-16,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$75.95,"-20,000","77,638,184",0%,"-$1,518,980",,,,
23,,2010-02-16 16:23:33,2010-02-12,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$77.02,"-93,000","77,658,184",0%,"-$7,162,557",,,,
24,,2010-02-12 16:26:13,2010-02-11,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$75.44,"-107,000","77,751,184",0%,"-$8,071,574",,,,
25,,2010-02-11 16:30:00,2010-02-10,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$74.48,"-21,802","77,858,184",0%,"-$1,623,710",,,,
26,,2010-02-10 16:22:59,2010-02-09,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$74.41,"-40,100","77,879,986",0%,"-$2,983,693",,,,
27,,2010-02-09 16:28:24,2010-02-08,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$73.91,"-50,000","77,920,086",0%,"-$3,695,591",,,,
28,,2010-02-08 16:28:51,2010-02-05,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$72.46,"-50,000","77,970,086",0%,"-$3,622,802",,,,
29,,2010-02-05 16:28:50,2010-02-04,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$72.72,"-32,820","78,020,086",0%,"-$2,386,734",,,,
30,,2010-02-04 16:28:39,2010-02-03,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$74.51,"-23,000","78,052,906",0%,"-$1,713,827",,,,
31,,2010-02-03 16:23:48,2010-02-02,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$75.63,"-35,494","78,075,906",0%,"-$2,684,574",,,,
32,,2010-02-02 16:19:29,2010-02-01,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$76.02,"-12,000","78,111,400",0%,"-$912,290",,,,
33,,2010-02-01 16:24:04,2010-01-29,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$76.04,"-44,000","78,123,400",0%,"-$3,345,572",,,,
34,,2010-01-29 16:25:35,2010-01-28,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$72.87,"-69,000","78,167,400",0%,"-$5,027,802",,,,
35,,2010-01-28 16:33:37,2010-01-27,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$71.42,"-46,000","78,236,400",0%,"-$3,285,122",,,,
36,,2010-01-27 16:44:11,2010-01-26,BRK.B,Bill & Melinda Gates Foundation Trust,10%,S - Sale,$68.70,"-62,400","78,282,400",0%,"-$4,286,866",,,,
