,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-18 16:52:17,2021-10-15,BSX,Carruthers Wendy,"SVP, HR",S - Sale,$43.58,"-3,322","161,251",-2%,"-$144,773",,,,
2,D,2021-10-05 16:32:00,2021-10-04,BSX,Mahoney Michael F,"COB, Pres, CEO",S - Sale+OE,$42.92,"-201,042","2,081,822",-9%,"-$8,629,038",,,,
3,,2021-10-04 17:21:34,2021-10-01,BSX,Olson Scott,"SVP, Pres, Rhythm Management",S - Sale,$43.49,-700,"12,762",-5%,"-$30,443",,,,
4,,2021-09-15 18:42:43,2021-09-15,BSX,Carruthers Wendy,"SVP, HR",S - Sale,$44.88,"-3,321","164,573",-2%,"-$149,046",,,,
5,D,2021-09-08 18:50:04,2021-09-07,BSX,Mahoney Michael F,"COB, Pres, CEO",S - Sale+OE,$44.57,"-201,041","2,081,822",-9%,"-$8,959,895",,,,
6,,2021-09-01 17:28:44,2021-09-01,BSX,Eddy Jodi Euerle,"SVP, Chief Info, Digital Offic",S - Sale,$45.33,-728,"20,419",-3%,"-$33,000",,,,
7,,2021-08-17 16:12:55,2021-08-16,BSX,Carruthers Wendy,"SVP, HR",S - Sale,$44.30,"-3,322","167,894",-2%,"-$147,165",,,,
8,D,2021-08-04 16:37:09,2021-08-02,BSX,Mahoney Michael F,"COB, Pres, CEO",S - Sale+OE,$45.74,"-201,043","2,081,822",-9%,"-$9,194,782",,,,
9,D,2021-08-04 16:36:51,2021-08-02,BSX,Eddy Jodi Euerle,"SVP, Chief Info, Digital Offic",S - Sale+OE,$45.77,-727,"21,147",-3%,"-$33,275",,,,
10,A,2021-08-02 18:08:08,2021-07-27,BSX,Butcher Arthur C,"EVP, Pres, Asia Pacific",S - Sale,$45.00,"-9,673","25,749",-27%,"-$435,287",,,,
11,D,2021-07-27 20:28:48,2021-07-27,BSX,Scanlon Meghan,"SVP,Pres,Urology Pelvic Health",S - Sale+OE,$45.01,"-13,850","19,142",-42%,"-$623,389",,,,
12,D,2021-07-27 20:28:39,2021-07-27,BSX,Fitzgerald Joseph Michael,"EVP, Pres, Interven Cardio",S - Sale+OE,$45.00,"-105,490","277,892",-28%,"-$4,747,377",,,,
13,,2021-07-27 20:28:29,2021-07-27,BSX,Mirviss Jeffrey B.,"EVP, Pres, Periph Intervent",S - Sale,$45.22,"-6,748","133,118",-5%,"-$305,145",,,,
14,DM,2021-07-27 20:28:19,2021-07-23,BSX,Eddy Jodi Euerle,"SVP, Chief Info, Digital Offic",S - Sale+OE,$44.06,"-12,076","20,777",-37%,"-$532,072",,,,
15,DE,2021-07-27 20:28:17,2021-07-27,BSX,Butcher Arthur C,"EVP, Pres, Asia Pacific",S - Sale+OE,$0.47,"-9,673","28,302",-25%,"-$4,500",,,,
16,,2021-07-19 16:23:07,2021-07-15,BSX,Carruthers Wendy,"SVP, HR",S - Sale,$42.42,"-3,321","171,216",-2%,"-$140,877",,,,
