,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-06-03 09:40:14,2021-06-02,BWA,Demmerle Stefan,VP,S - Sale,$55.22,"-4,500","127,977",-3%,"-$248,490",,,,
2,,2021-05-28 14:11:41,2021-05-27,BWA,Fadool Joseph F.,VP,S - Sale,$51.59,"-18,000","122,963",-13%,"-$928,598",,,,
3,,2021-05-17 16:03:03,2021-05-14,BWA,Nowlan Kevin,"EVP, CFO",S - Sale,$51.41,"-20,000","92,139",-18%,"-$1,028,114",,,,
4,,2021-05-17 10:32:40,2021-05-14,BWA,Michas Alexis P,Dir,S - Sale,$51.30,"-9,994","76,121",-12%,"-$512,665",,,,
5,,2021-05-17 06:19:54,2021-05-14,BWA,Ericson Brady D,VP,S - Sale,$50.99,"-13,415","60,679",-18%,"-$684,091",,,,
6,,2021-05-10 10:39:09,2021-05-07,BWA,Calaway Tonit M,"EVP, CAO, GC, Sec",S - Sale,$51.57,"-18,212","38,260",-32%,"-$939,221",,,,
7,,2021-05-10 10:15:11,2021-05-07,BWA,Lissalde Frederic,"Pres, CEO",S - Sale,$52.59,"-40,000","228,784",-15%,"-$2,103,588",,,,
8,,2021-05-10 10:15:07,2021-05-07,BWA,Farrell Paul Arthur,"VP, Chief Strategy Officer",S - Sale,$52.51,"-7,241","22,352",-24%,"-$380,202",,,,
9,,2021-03-08 16:01:47,2021-03-05,BWA,Demmerle Stefan,VP,S - Sale,$48.79,"-2,000","110,045",-2%,"-$97,574",,,,
10,,2021-03-05 16:54:02,2021-03-05,BWA,Weng Volker,VP,S - Sale,$46.91,"-2,973","20,611",-13%,"-$139,463",,,,
11,,2021-03-03 16:54:11,2021-03-03,BWA,Weng Volker,VP,S - Sale,$47.43,"-3,198","23,584",-12%,"-$151,687",,,,
12,,2020-12-14 18:14:46,2020-12-14,BWA,Demmerle Stefan,VP,S - Sale,$36.85,"-3,125","108,810",-3%,"-$115,156",,,,
13,,2020-11-18 16:02:43,2020-11-13,BWA,Weng Volker,VP,S - Sale,$37.85,"-3,500","28,640",-11%,"-$132,475",,,,
14,,2020-09-15 16:09:18,2020-09-14,BWA,Aaron Craig,"VP, Treasurer",S - Sale,$42.65,"-4,572","13,129",-26%,"-$195,006",,,,
15,,2020-08-17 16:12:20,2020-08-14,BWA,Calaway Tonit M,"EVP, GC, Sec",S - Sale,$40.94,"-3,000","36,429",-8%,"-$122,825",,,,
16,,2020-08-12 16:05:13,2020-08-10,BWA,Weng Volker,VP,S - Sale,$40.41,"-1,407","32,140",-4%,"-$56,858",,,,
17,,2020-08-07 18:34:35,2020-08-07,BWA,Lissalde Frederic,"Pres, CEO",S - Sale,$38.37,"-70,000","186,938",-27%,"-$2,686,166",,,,
18,,2020-06-09 16:30:38,2020-06-08,BWA,Ericson Brady D,VP,S - Sale,$37.55,"-10,279","54,272",-16%,"-$385,936",,,,
19,,2020-06-08 16:03:15,2020-06-05,BWA,Fadool Joseph F.,VP,S - Sale,$37.36,"-26,000","114,018",-19%,"-$971,285",,,,
20,,2020-06-03 16:08:26,2020-06-02,BWA,McGill Thomas J.,"VP, Controller",S - Sale,$33.15,"-4,000","33,689",-11%,"-$132,606",,,,
21,,2020-06-02 16:12:27,2020-06-01,BWA,Calaway Tonit M,"EVP, GC, Sec",S - Sale,$33.71,"-18,500","39,429",-32%,"-$623,565",,,,
22,,2020-06-01 16:26:52,2020-05-29,BWA,Ericson Brady D,VP,S - Sale,$31.43,"-29,156","64,551",-31%,"-$916,367",,,,
23,,2019-04-04 09:36:37,2019-04-03,BWA,Stallkamp Thomas T,Dir,S - Sale,$42.00,"-3,124","35,017",-8%,"-$131,208",,,,
24,,2019-03-08 09:15:55,2019-03-07,BWA,Wiegert Joel,VP,S - Sale,$38.74,"-6,000","29,846",-17%,"-$232,447",,,,
25,,2019-02-26 10:48:05,2019-02-25,BWA,Calaway Tonit M,"EVP, GC, Sec",S - Sale,$41.93,"-12,000","34,359",-26%,"-$503,185",,,,
26,,2019-02-19 17:13:29,2019-02-15,BWA,Stallkamp Thomas T,Dir,S - Sale,$42.00,"-6,260","38,130",-14%,"-$262,920",,,,
27,,2018-12-19 13:48:35,2018-12-19,BWA,McWhinney Deborah D,Dir,P - Purchase,$35.14,"+1,421","2,642",+116%,"+$49,927",,,,
28,,2018-11-27 15:04:19,2018-11-26,BWA,Michas Alexis P,Dir,S - Sale,$39.99,"-10,003","78,223",-11%,"-$400,018",,,,
29,,2018-11-07 11:33:58,2018-11-01,BWA,McWhinney Deborah D,Dir,P - Purchase,$41.06,"+1,215","1,215",New,"+$49,882",,,,
30,,2018-11-02 14:53:28,2018-10-31,BWA,Wiegert Joel,VP,S - Sale,$39.57,"-4,000","18,781",-18%,"-$158,280",,,,
31,,2018-11-01 11:22:59,2018-10-31,BWA,Stallkamp Thomas T,Dir,S - Sale,$39.33,"-7,692","44,360",-15%,"-$302,534",,,,
32,,2018-11-01 10:39:10,2018-10-31,BWA,Mascarenas Paul Anthony,Dir,P - Purchase,$39.53,"+3,000","3,000",New,"+$118,590",,,,
33,,2018-10-30 13:36:41,2018-10-29,BWA,Ericson Brady D,EVP,S - Sale,$39.70,"-16,780","45,483",-27%,"-$666,166",,,,
34,,2018-08-03 16:05:30,2018-08-02,BWA,McGill Thomas J.,"VP, Treasurer",S - Sale,$44.55,"-3,260","30,021",-10%,"-$145,233",,,,
35,,2018-07-31 16:26:55,2018-07-30,BWA,Calaway Tonit M,"EVP, CHRO",S - Sale,$46.01,"-4,590","40,828",-10%,"-$211,176",,,,
36,,2017-12-19 09:02:06,2017-12-18,BWA,Wiegert Joel,VP,S - Sale,$52.35,"-1,400","18,204",-7%,"-$73,295",,,,
37,,2017-12-19 09:02:03,2017-12-18,BWA,Gasparovic John J,"EVP, GC, Sec",S - Sale,$52.60,"-38,409","63,937",-38%,"-$2,020,298",,,,
38,,2017-08-23 16:03:25,2017-08-22,BWA,Calaway Tonit M,"EVP, CHRO",S - Sale,$44.99,"-3,000","39,919",-7%,"-$134,985",,,,
39,,2017-08-18 07:34:09,2017-08-16,BWA,Ericson Brady D,EVP,S - Sale,$45.38,"-11,052","50,287",-18%,"-$501,531",,,,
40,,2017-06-14 09:30:47,2017-06-13,BWA,Cuneo Dennis C,Dir,S - Sale,$44.06,"-1,000","23,398",-4%,"-$44,060",,,,
41,,2017-05-08 10:04:21,2017-05-05,BWA,Hundzinski Ronald T,"Exec. VP, CFO",S - Sale,$41.53,"-3,776","148,906",-2%,"-$156,811",0,0,,
42,,2017-02-22 09:16:18,2017-02-21,BWA,Michas Alexis P,Dir,S - Sale,$42.68,"-10,000","82,778",-11%,"-$426,800",0,-1,-2,
43,,2016-08-30 10:19:36,2016-08-26,BWA,Ericson Brady D,VP,S - Sale,$33.69,"-17,132","52,178",-25%,"-$577,228",+1,+5,+3,+28
44,,2016-08-16 16:37:43,2016-08-12,BWA,Ericson Brady D,VP,S - Sale,$33.80,"-11,282","69,310",-14%,"-$381,350",-1,0,+2,+22
45,D,2016-08-10 12:36:00,2016-08-09,BWA,Ericson Brady D,VP,S - Sale+OE,$33.77,"-16,240","59,459",-21%,"-$548,433",0,+2,+7,+21
46,D,2016-08-04 09:18:00,2016-08-02,BWA,McGill Thomas J.,"VP, Treasurer",S - Sale+OE,$31.83,"-5,000","27,707",-15%,"-$159,152",0,+3,+6,+25
47,,2016-05-31 09:05:02,2016-05-27,BWA,Cuneo Dennis C,Dir,S - Sale,$33.53,"-2,500","21,407",-10%,"-$83,829",+1,+2,-15,+7
48,,2016-05-04 16:03:55,2016-05-04,BWA,Hundzinski Ronald T,"VP, CFO",S - Sale,$35.06,"-3,721","139,813",-3%,"-$130,475",-2,0,0,+5
49,,2016-03-17 09:28:48,2016-03-16,BWA,Michas Alexis P,Dir,S - Sale,$36.69,"-10,000","89,640",-10%,"-$366,900",+1,-1,+1,-5
50,D,2016-03-16 09:21:16,2016-03-14,BWA,Hundzinski Ronald T,"VP, CFO",S - Sale+OE,$35.68,"-20,344","139,790",-13%,"-$725,807",+4,+5,+4,-2
51,D,2016-03-14 09:30:30,2016-03-11,BWA,Carlson Steven G.,"VP, Controller",S - Sale+OE,$35.78,"-24,000","41,693",-37%,"-$858,811",0,+6,-3,-4
52,,2015-12-16 16:17:36,2015-12-15,BWA,Michas Alexis P,Dir,S - Sale,$40.50,"-5,000","99,640",-5%,"-$202,500",-2,0,-27,-22
53,,2015-12-15 14:35:34,2015-12-14,BWA,Michas Alexis P,Dir,S - Sale,$40.00,"-5,000","104,640",-5%,"-$200,000",+2,+4,-18,-18
54,,2015-09-21 15:28:15,2015-09-18,BWA,Michas Alexis P,Dir,S - Sale,$43.31,"-10,000","109,640",-8%,"-$433,097",-1,-7,0,-11
55,,2015-03-13 09:16:29,2015-03-12,BWA,Cuneo Dennis C,Dir,S - Sale,$58.99,"-1,000","18,878",-5%,"-$58,994",-2,0,+1,-27
56,,2014-09-12 16:05:05,2014-09-11,BWA,Bonanno Phyllis O,Dir,S - Sale,$60.88,"-20,000","21,461",-48%,"-$1,217,558",-3,-3,-14,-2
57,,2014-08-20 16:03:50,2014-08-19,BWA,Novak Ernest J Jr,Dir,S - Sale,$62.78,"-3,500","41,357",-8%,"-$219,730",-2,-3,-8,-5
58,,2014-08-07 16:06:09,2014-08-06,BWA,Gasparovic John J,"VP, GC, Sec.",S - Sale,$61.00,"-60,000","79,906",-43%,"-$3,659,982",+2,+2,+4,-4
59,,2014-06-11 16:04:06,2014-06-10,BWA,Ericson Brady D,VP,S - Sale,$65.76,"-7,800","35,109",-18%,"-$512,930",-2,-2,0,-15
60,,2014-05-21 16:08:37,2014-05-20,BWA,Ericson Brady D,VP,P - Purchase,$59.20,+90,"42,909",0%,"+$5,328",+1,+4,+8,-7
61,,2014-05-14 16:05:04,2014-05-12,BWA,Michas Alexis P,Dir,S - Sale,$60.60,"-5,414","118,671",-4%,"-$328,088",-2,-2,+7,-7
62,,2014-02-19 16:04:29,2014-02-18,BWA,Lissalde Frederic,VP,S - Sale,$58.21,"-5,200","33,353",-13%,"-$302,708",+2,+3,+4,+6
63,D,2013-11-19 19:19:40,2013-11-19,BWA,Hundzinski Ronald T,"VP, CFO",S - Sale+OE,$103.07,"-25,550","29,941",-46%,"-$2,633,335",0,+3,+9,+19
64,M,2013-09-11 16:12:42,2013-09-10,BWA,Michas Alexis P,Dir,S - Sale,$100.00,"-10,000","61,096",-14%,"-$1,000,000",-1,+1,-2,+24
65,,2013-09-09 16:04:14,2013-09-05,BWA,Michas Alexis P,Dir,S - Sale,$100.01,"-10,000","71,096",-12%,"-$1,000,096",+1,+1,+3,+26
66,D,2013-08-14 17:30:24,2013-08-13,BWA,Carlson Steven G.,"VP, Controller",S - Sale+OE,$100.01,"-6,370","17,492",-27%,"-$637,031",-2,-2,0,+13
67,,2013-08-01 16:01:59,2013-07-31,BWA,Fadool Joseph F.,VP,S - Sale,$95.57,"-2,000","16,283",-11%,"-$191,131",-1,-5,-1,+11
68,,2013-05-01 16:28:01,2013-04-29,BWA,Adams Robin J,"Vice COB, EVP, CAO",S - Sale,$79.15,"-10,000","346,298",-3%,"-$791,500",0,+4,+7,+37
69,,2013-03-20 16:05:00,2013-03-18,BWA,Lissalde Frederic,VP,S - Sale,$78.61,"-3,700","13,117",-22%,"-$290,861",-2,-1,-10,+29
70,,2013-03-18 16:02:05,2013-03-14,BWA,McAdams Janice K,"VP, HR",S - Sale,$79.75,"-10,000","37,366",-21%,"-$797,510",-1,-3,-6,+26
71,D,2013-03-11 16:18:02,2013-03-08,BWA,McAdams Janice K,"VP, HR",S - Sale+OE,$79.29,"-40,412","47,366",-46%,"-$3,204,352",0,0,-9,+23
72,,2013-03-08 16:07:45,2013-03-07,BWA,Ericson Brady D,VP,S - Sale,$75.50,"-4,000","16,229",-20%,"-$302,000",0,+1,-9,+26
73,,2013-03-06 16:10:26,2013-03-05,BWA,Bonanno Phyllis O,Dir,S - Sale,$75.39,"-2,300","18,545",-11%,"-$173,401",0,+3,-4,+26
