,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-07 17:18:44,2021-09-03,BXP,Ritchey Raymond A,Senior EVP,S - Sale,$113.15,"-45,000",0,-100%,"-$5,091,569",,,,
2,,2021-08-31 11:53:10,2021-08-27,BXP,Otteni Peter V,SVP,S - Sale,$113.36,"-5,027",0,-100%,"-$569,875",,,,
3,D,2021-06-10 15:48:16,2021-06-10,BXP,Burt  Frank D,"SVP, CLO, Secretary",S - Sale+OE,$122.93,"-2,000",0,-100%,"-$245,860",,,,
4,,2021-05-28 11:22:45,2021-05-26,BXP,Ritchey Raymond A,Senior EVP,S - Sale,$114.78,"-5,000","5,000",-50%,"-$573,900",,,,
5,,2021-05-25 14:47:48,2021-05-24,BXP,Ritchey Raymond A,Senior EVP,S - Sale,$115.05,"-40,000","10,000",-80%,"-$4,602,096",,,,
6,,2021-04-27 14:34:22,2021-04-26,BXP,Ritchey Raymond A,Senior EVP,S - Sale,$106.32,"-5,000","50,000",-9%,"-$531,600",,,,
7,,2021-03-30 09:19:15,2021-03-26,BXP,Ritchey Raymond A,Senior EVP,S - Sale,$105.20,"-5,000","55,000",-8%,"-$526,000",,,,
8,,2020-05-27 14:36:11,2020-05-22,BXP,Koop Bryan J,EVP,P - Purchase,$78.00,"+2,000","2,585",+342%,"+$156,000",,,,
9,M,2020-05-15 14:43:17,2020-05-14,BXP,Duncan Bruce W,Dir,P - Purchase,$74.79,"+10,000","21,000",+91%,"+$747,910",,,,
10,,2020-05-05 14:47:27,2020-05-04,BXP,Duncan Bruce W,Dir,P - Purchase,$89.14,"+11,000","11,000",New,"+$980,587",,,,
11,,2020-03-12 12:23:54,2020-03-11,BXP,Einiger Carol B.,Dir,P - Purchase,$122.00,"+4,000","8,000",+100%,"+$488,000",,,,
12,,2020-03-11 16:20:08,2020-03-09,BXP,Einiger Carol B.,Dir,P - Purchase,$123.00,"+4,000","4,000",New,"+$492,000",,,,
13,,2020-03-05 11:01:52,2020-03-04,BXP,Burt  Frank D,"SVP, CLO, Secretary",S - Sale,$135.24,"-3,000",0,-100%,"-$405,723",,,,
14,D,2020-02-26 15:02:48,2020-02-25,BXP,Labelle Michael E,"EVP, CFO",S - Sale+OE,$137.33,"-16,337","12,142",-57%,"-$2,243,501",,,,
15,,2020-02-21 09:02:56,2020-02-19,BXP,Powers John Francis,EVP,S - Sale,$145.02,"-14,318","10,538",-58%,"-$2,076,396",,,,
16,,2020-02-18 16:23:34,2020-02-14,BXP,Ritchey Raymond A,Senior EVP,S - Sale,$145.75,"-35,600",0,-100%,"-$5,188,515",,,,
17,,2020-02-13 11:24:52,2020-02-13,BXP,Johnston Peter D,EVP,S - Sale,$145.31,"-17,178","16,149",-52%,"-$2,496,061",,,,
18,,2020-02-11 09:13:22,2020-02-10,BXP,Ritchey Raymond A,Senior EVP,S - Sale,$142.64,"-4,889",0,-100%,"-$697,379",,,,
19,,2020-02-06 16:41:13,2020-02-06,BXP,Twardock David A,Dir,S - Sale,$144.99,"-5,073","5,901",-46%,"-$735,548",,,,
20,D,2020-02-05 13:52:43,2020-02-04,BXP,Linde Douglas T,Pres,S - Sale+OE,$144.67,"-27,455","184,292",-13%,"-$3,971,876",,,,
21,,2019-12-16 15:32:32,2019-12-12,BXP,Ritchey Raymond A,Senior EVP,S - Sale,$137.15,"-4,000","4,889",-45%,"-$548,608",,,,
22,D,2019-12-12 16:18:51,2019-12-11,BXP,Ritchey Raymond A,Senior EVP,S - Sale+OE,$138.02,"-27,216","8,889",-75%,"-$3,756,268",,,,
23,DM,2019-12-06 15:36:54,2019-12-04,BXP,Ritchey Raymond A,Senior EVP,S - Sale+OE,$138.36,"-96,802",0,-100%,"-$13,393,673",,,,
24,,2019-11-25 11:00:35,2019-11-22,BXP,Koop Bryan J,EVP,S - Sale,$138.06,"-9,645",585,-94%,"-$1,331,621",,,,
25,D,2019-11-13 09:44:55,2019-11-11,BXP,Johnston Peter D,EVP,S - Sale+OE,$137.85,"-18,582","16,106",-54%,"-$2,561,515",,,,
26,,2019-06-07 10:16:06,2019-06-06,BXP,Koop Bryan J,EVP,S - Sale,$134.40,"-4,121",585,-88%,"-$553,862",,,,
27,,2019-05-17 15:42:09,2019-05-16,BXP,Koop Bryan J,EVP,S - Sale,$134.84,"-3,974",585,-87%,"-$535,839",,,,
28,D,2019-05-16 15:40:23,2019-05-15,BXP,Koop Bryan J,EVP,S - Sale+OE,$133.95,"-5,616","4,559",-55%,"-$752,254",,,,
