,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-20 16:02:31,2021-10-19,C,Torres Cantu Ernesto,"CEO, Latin America",S - Sale,$72.50,"-27,783","54,333",-34%,"-$2,014,268",,,,
2,,2021-05-07 16:04:26,2021-05-07,C,Whitaker Michael,"Head of Enterprise O, T",S - Sale,$74.56,"-20,313","122,235",-14%,"-$1,514,493",,,,
3,,2021-05-07 16:02:40,2021-05-07,C,Reiner Gary M,Dir,S - Sale,$73.96,"-18,000","22,879",-44%,"-$1,331,262",,,,
4,,2021-05-07 16:01:39,2021-05-07,C,Mason Mark,CFO,S - Sale,$74.03,"-15,366","112,387",-12%,"-$1,137,487",,,,
5,,2020-10-16 16:02:42,2020-10-14,C,Reiner Gary M,Dir,S - Sale,$102.74,-485,"37,281",-1%,"-$49,829",,,,
6,,2020-10-16 16:01:30,2020-10-14,C,Jacobs Lew W IV,Dir,P - Purchase,$44.09,"+10,000","22,900",+78%,"+$440,857",,,,
7,M,2020-09-04 16:03:13,2016-01-25,C,Costello Ellen,Dir,P - Purchase,$54.58,"+7,845","31,528",+33%,"+$428,163",,,,
8,M,2020-09-04 16:03:13,2016-07-25,C,Costello Ellen,Dir,S - Sale,$51.95,"-4,710","31,528",-13%,"-$244,705",,,,
9,,2019-08-29 16:01:35,2019-08-27,C,Whitaker Michael,"Head of Enterprise O, T",S - Sale,$62.03,"-7,500","100,848",-7%,"-$465,248",,,,
10,,2019-04-23 16:01:49,2019-04-22,C,Bird Stephen,"CEO, Global Consumer Bank",S - Sale,$69.33,"-30,000","356,626",-8%,"-$2,079,900",,,,
11,,2019-02-21 16:02:17,2019-02-19,C,Cowles James C,"CEO, Europe,Middle East, Afric",S - Sale,$64.26,"-50,000","278,349",-15%,"-$3,212,945",,,,
12,,2019-02-15 16:48:09,2019-02-13,C,Whitaker Michael,"Head of Enterprise O, T",S - Sale,$63.24,"-7,000","124,215",-5%,"-$442,708",,,,
13,,2019-02-15 16:44:06,2019-02-15,C,Hu W. Bradford,CHIEF RISK OFFICER,S - Sale,$64.27,"-5,420","94,835",-5%,"-$348,343",,,,
14,,2018-08-10 16:01:29,2018-08-08,C,Aristeguieta Francisco,"CEO, Asia Pacific",S - Sale,$72.36,"-15,000","99,237",-13%,"-$1,085,400",,,,
15,,2018-07-23 16:02:18,2018-07-19,C,Akram Raja,"Controller,Chief Acc. Officer",S - Sale,$69.21,-500,"8,261",-6%,"-$34,605",,,,
16,,2018-05-18 16:01:50,2018-05-16,C,Gerspach John C,CFO,S - Sale,$72.31,"-12,966","370,094",-3%,"-$937,571",,,,
17,,2018-03-01 16:13:39,2018-02-27,C,Murray Joseph Michael,Head of HR,S - Sale,$77.39,"-3,400","50,960",-6%,"-$263,126",,,,
18,,2018-03-01 16:13:05,2018-02-27,C,Hu W. Bradford,CHIEF RISK OFFICER,S - Sale,$76.38,"-8,010","74,406",-10%,"-$611,804",,,,
19,,2018-03-01 16:12:26,2018-02-27,C,Gerspach John C,CFO,S - Sale,$77.56,"-7,000","383,060",-2%,"-$542,920",,,,
20,,2018-03-01 16:11:54,2018-02-27,C,Fraser Jane Nind,"CEO, Latin America",S - Sale,$77.56,"-32,400","109,665",-23%,"-$2,512,944",,,,
21,,2018-03-01 16:11:19,2018-02-27,C,Forese James A.,Pres,S - Sale,$77.43,"-6,466","530,826",-1%,"-$500,666",,,,
22,,2018-03-01 16:10:41,2018-02-28,C,Callahan Don,"Head of Operations, Technology",S - Sale,$76.63,"-7,000","295,031",-2%,"-$536,410",,,,
23,,2017-08-14 16:15:14,2017-08-10,C,Aristeguieta Francisco,"CEO, Asia Pacific",S - Sale,$67.55,"-40,000","88,285",-31%,"-$2,702,164",,,,
24,,2017-08-08 16:06:45,2017-08-04,C,Walsh Jeffrey R,Controller,S - Sale,$68.97,"-5,000","52,650",-9%,"-$344,870",,,,
25,A,2017-02-21 18:21:41,2017-02-17,C,Forese James A.,Pres,S - Sale,$59.60,"-55,436","500,438",-10%,"-$3,303,986",0,-1,-4,
26,,2017-02-17 17:44:15,2017-02-16,C,Murray Joseph Michael,Head of HR,S - Sale,$60.25,"-7,037","39,913",-15%,"-$423,979",+1,-1,-1,
27,,2017-02-17 17:42:02,2017-02-16,C,Fraser Jane Nind,"CEO, Latin America",S - Sale,$60.33,"-35,000","126,831",-22%,"-$2,111,550",+1,-1,-1,
28,,2017-02-17 17:41:28,2017-02-16,C,Forese James A.,Pres,S - Sale,$59.60,"-55,436","500,438",-10%,"-$3,303,986",+1,-1,-1,
29,D,2017-02-17 17:40:19,2017-02-16,C,Cowles James C,"CEO, Europe,Middle East, Afric",S - Sale+OE,$60.08,"-60,000","316,670",-16%,"-$3,604,660",+1,-1,-1,
30,,2017-02-17 17:39:41,2017-02-16,C,Callahan Don,"Head of Operations, Technology",S - Sale,$60.13,"-46,636","292,839",-14%,"-$2,804,223",+1,-1,-1,
31,,2017-02-17 17:39:07,2017-02-16,C,Bird Stephen,"CEO, Global Consumer Bank",S - Sale,$60.10,"-90,000","338,951",-21%,"-$5,409,000",+1,-1,-1,
32,,2017-02-17 17:37:55,2017-02-16,C,Corbat Michael,CEO,S - Sale,$60.14,"-83,285","466,556",-15%,"-$5,008,690",+1,-1,-1,
33,,2017-02-08 16:09:44,2017-02-06,C,Rodin Judith,Dir,S - Sale,$57.76,"-2,999","35,825",-8%,"-$173,207",+2,+6,+9,
34,,2017-02-02 16:09:43,2017-01-31,C,Hu W. Bradford,CHIEF RISK OFFICER,S - Sale,$55.96,"-10,109","37,137",-21%,"-$565,704",+3,+1,+9,
35,,2016-07-22 16:02:43,2016-07-20,C,Murray Joseph Michael,Head of HR,S - Sale,$44.35,"-8,122","35,042",-19%,"-$360,211",-1,0,+5,+28
36,,2016-05-26 16:09:27,2016-05-24,C,Rodin Judith,Dir,S - Sale,$45.80,-36,"38,546",0%,"-$1,649",+1,+2,-12,+22
37,,2016-04-21 16:02:19,2016-04-20,C,Hu W. Bradford,CHIEF RISK OFFICER,S - Sale,$45.83,"-9,528","53,282",-15%,"-$436,668",+1,+2,-3,+6
38,,2016-02-12 16:04:42,2016-02-11,C,Mills William,"CEO, North America",P - Purchase,$912.50,"+1,000","427,638",0%,"+$912,500",+4,+4,+15,+24
39,,2016-02-12 16:03:21,2016-02-11,C,Callahan Don,"Head of Operations, Technology",P - Purchase,$30.41,"+9,870","265,512",+4%,"+$300,142",+4,+4,+15,+24
40,,2016-02-11 16:08:36,2016-02-09,C,Gerspach John C,CFO,P - Purchase,$37.62,"+13,000","295,242",+5%,"+$489,060",+7,+11,+22,+29
41,,2016-01-22 12:56:02,2016-01-22,C,Oneill Michael E,Dir,P - Purchase,$41.01,"+25,000","142,788",+21%,"+$1,025,325",+2,+1,-1,+10
42,,2016-01-22 12:54:59,2016-01-22,C,Corbat Michael,CEO,P - Purchase,$41.05,"+25,000","382,546",+7%,"+$1,026,250",+2,+1,-1,+10
43,,2015-08-26 16:02:47,2015-08-24,C,Oneill Michael E,Dir,P - Purchase,$50.16,"+28,700","112,896",+34%,"+$1,439,563",+2,-3,-6,-27
44,,2015-08-11 16:08:03,2015-08-07,C,Walsh Jeffrey R,Controller,S - Sale,$57.67,"-6,000","42,896",-12%,"-$346,020",-1,0,-12,-34
45,,2015-08-07 16:05:03,2015-08-05,C,Gerspach John C,CFO,S - Sale,$58.82,"-10,000","302,098",-3%,"-$588,200",+1,-1,-13,-31
46,,2015-07-28 18:47:22,2015-07-24,C,Aristeguieta Francisco,"CEO, Asia Pacific",S - Sale,$58.51,"-1,750","56,393",-3%,"-$102,400",+1,0,-15,-31
47,D,2015-05-26 17:24:24,2015-05-21,C,Murray Joseph Michael,Head of HR,S - Sale+OE,$54.73,"-5,949","27,079",-18%,"-$325,589",+1,0,+6,+2
48,D,2015-05-26 17:24:05,2015-05-21,C,Hu W. Bradford,CHIEF RISK OFFICER,S - Sale+OE,$54.87,"-9,742","35,220",-22%,"-$534,544",+1,0,+6,+2
49,D,2015-05-26 17:23:45,2015-05-21,C,Aristeguieta Francisco,"CEO, Latin America",S - Sale+OE,$54.78,"-3,800","58,143",-6%,"-$208,168",+1,0,+6,+2
50,,2014-10-17 16:02:13,2014-10-15,C,Aristeguieta Francisco,"CEO, Latin America",S - Sale,$48.59,"-1,000","44,071",-2%,"-$48,590",+1,+3,+7,+6
51,,2014-08-18 16:21:58,2014-08-15,C,Gerspach John C,CFO,S - Sale,$48.55,"-2,000","285,474",-1%,"-$97,100",0,+3,+6,+5
52,,2014-05-22 16:07:07,2014-05-20,C,Thompson William S,Dir,P - Purchase,$37.32,"+40,228","105,086",+62%,"+$1,501,142",0,0,0,+14
53,,2014-04-17 17:27:28,2014-04-16,C,Aristeguieta Francisco,"CEO, Latin America",S - Sale,$47.66,"-2,320","45,069",-5%,"-$110,576",-1,0,-4,+3
54,,2014-04-17 17:27:07,2014-04-15,C,Desoer Barbara J,"CEO, CITIBANK, N.A.",P - Purchase,$48.19,"+1,000","1,000",New,"+$48,190",-1,0,-4,+3
55,,2014-02-20 17:49:05,2014-02-18,C,Forese James A.,Co-Pres,S - Sale,$49.68,"-69,900","419,576",-14%,"-$3,472,632",0,0,+4,+3
56,,2014-02-20 17:47:34,2014-02-19,C,Bird Stephen,CEO ASIA PACIFIC,S - Sale,$49.06,"-20,000","309,494",-6%,"-$981,200",0,0,+4,+3
57,,2013-11-15 16:17:54,2013-11-14,C,Taylor Diana L,Dir,S - Sale,$50.19,"-1,637","15,611",-9%,"-$82,163",+1,+3,+1,-7
58,,2013-08-23 16:31:39,2013-06-19,C,McQuade Eugene M,"CEO, Citibank, N.A.",P - Purchase,$49.92,+585,"245,998",0%,"+$29,201",0,-3,-1,-2
59,,2013-08-23 16:31:39,2013-08-22,C,McQuade Eugene M,"CEO, Citibank, N.A.",S - Sale,$49.71,-585,"245,998",0%,"-$29,080",0,-3,-1,-2
60,,2013-07-19 16:02:16,2013-07-18,C,Callahan Don,"Head of Operations, Technology",S - Sale,$52.14,"-45,000","252,238",-15%,"-$2,346,300",+1,+1,-4,+1
61,,2012-11-28 16:06:16,2012-11-26,C,Oneill Michael E,Dir,P - Purchase,$35.52,"+28,200","59,513",+90%,"+$1,001,771",0,-2,+12,+52
62,,2012-11-21 15:04:11,2012-11-20,C,Spero Joan E,Dir,P - Purchase,$36.07,"+1,000","6,468",+18%,"+$36,065",-1,-3,+12,+40
63,D,2012-11-09 16:06:45,2012-11-08,C,Thompson William S,Dir,P - Purchase,$36.25,"+6,850","41,620",+20%,"+$248,313",+1,-2,+3,+36
64,,2012-11-08 16:06:11,2012-11-06,C,Walsh Jeffrey R,Controller,S - Sale,$38.42,"-6,000","33,902",-15%,"-$230,520",0,-3,+5,+35
65,,2012-05-09 16:12:20,2012-05-07,C,Callahan Don,Chief Administrative Officer,S - Sale,$31.71,"-15,000","315,220",-5%,"-$475,650",+1,-8,-11,+18
66,M,2011-10-28 16:08:59,2011-10-26,C,Havens John P,"Pres, COO",S - Sale,$32.00,"-110,000","334,379",-25%,"-$3,519,773",-8,-10,-27,-3
67,,2011-01-24 17:18:42,2011-01-20,C,Corbat Michael,"CEO, Citi Holdings",S - Sale,$4.77,"-210,174","2,374,587",-8%,"-$1,003,481",-1,-3,-3,-17
68,,2010-11-30 16:03:18,2010-11-29,C,Grundhofer Jerry A,Dir,P - Purchase,$4.15,"+25,000","126,664",+25%,"+$103,750",+2,+6,+14,-2
69,,2010-11-22 16:05:38,2010-11-18,C,Medina-Mora Manuel,"CEO, Consumer Banking Americas",P - Purchase,$4.30,"+542,198","7,530,850",+8%,"+$2,330,386",-2,-1,+13,-4
70,,2010-11-12 16:03:01,2005-06-10,C,Gerspach John C,CFO,S - Sale,$47.65,-79,"1,546,482",0%,"-$3,764",+1,0,+12,-3
71,,2010-11-08 16:05:43,2010-11-04,C,Verme Alberto J,"CEO Europe, MidEast, Africa",P - Purchase,$4.25,"+5,500","3,697,795",0%,"+$23,375",-3,-3,+4,-1
72,,2010-08-11 16:15:49,2010-08-09,C,Gerspach John C,CFO,S - Sale,$4.03,"-70,000","1,069,709",-6%,"-$282,100",+1,0,+2,+26
