,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-07-27 20:00:52,2021-07-27,CAG,Batcheler Colleen,"EVP GC, Corp Secty",S - Sale,$34.20,"-33,803","159,944",-17%,"-$1,156,063",,,,
2,,2021-07-21 17:09:58,2021-07-21,CAG,Batcheler Colleen,"EVP GC, Corp Secty",S - Sale,$34.96,"-6,210","159,943",-4%,"-$217,102",,,,
3,,2021-07-16 08:00:26,2021-07-15,CAG,Lenny Richard H,Dir,P - Purchase,$34.14,"+10,000","128,261",+8%,"+$341,400",,,,
4,,2021-05-07 21:00:31,2021-05-06,CAG,Jana Partners LLC,See Remarks,S - Sale,$37.60,"-2,811,853","8,051,004",-26%,"-$105,725,673",,,,
5,,2021-05-04 20:46:58,2021-05-03,CAG,Brown Thomas K,Dir,S - Sale,$37.54,"-11,000","21,954",-33%,"-$412,940",,,,
6,D,2021-04-19 18:04:44,2021-04-16,CAG,McGough Thomas M,"EVP, Co-COO",S - Sale+OE,$37.51,"-50,000","168,044",-23%,"-$1,875,500",,,,
7,D,2021-03-19 18:12:09,2021-03-19,CAG,McGough Thomas M,"EVP, Co-COO",S - Sale+OE,$37.55,"-58,670","168,044",-26%,"-$2,202,798",,,,
8,D,2021-03-18 19:05:37,2021-03-16,CAG,McGough Thomas M,"EVP, Co-COO",S - Sale+OE,$37.50,"-37,350","181,054",-17%,"-$1,400,625",,,,
9,,2021-03-09 18:43:59,2021-03-08,CAG,Batcheler Colleen,"EVP GC, Corp Secty",S - Sale,$36.00,"-9,931","159,943",-6%,"-$357,516",,,,
10,,2021-01-11 09:01:06,2021-01-08,CAG,Lenny Richard H,Dir,P - Purchase,$33.70,"+10,000","106,297",+10%,"+$336,952",,,,
11,,2021-01-05 18:00:44,2021-01-04,CAG,Gregor Joie A,Dir,S - Sale,$36.31,"-8,900","54,318",-14%,"-$323,159",,,,
12,,2020-07-31 18:00:16,2020-07-29,CAG,Batcheler Colleen,"EVP GC, Corp Secty",S - Sale,$37.52,"-41,165","169,874",-20%,"-$1,544,511",,,,
13,,2020-07-31 18:00:14,2020-07-31,CAG,Biegger David,"EVP,Chief Supply Chain Officer",S - Sale,$37.66,"-33,634","66,697",-34%,"-$1,266,623",,,,
14,,2020-07-31 18:00:09,2020-07-29,CAG,Batcheler Colleen,"EVP GC, Corp Secty",S - Sale,$37.52,"-41,165","169,874",-20%,"-$1,544,511",,,,
15,,2020-07-31 18:00:09,2020-07-31,CAG,Biegger David,"EVP,Chief Supply Chain Officer",S - Sale,$37.66,"-33,634","66,697",-34%,"-$1,266,623",,,,
16,,2020-07-24 18:00:11,2020-07-22,CAG,Batcheler Colleen,"EVP GC, Corp Secty",S - Sale,$36.29,"-6,629","169,873",-4%,"-$240,566",,,,
17,DM,2020-07-10 18:03:54,2020-07-09,CAG,Batcheler Colleen,"EVP GC, Corp Secty",S - Sale+OE,$36.00,"-53,240","169,873",-24%,"-$1,916,640",,,,
18,DM,2020-07-07 19:48:17,2020-07-02,CAG,Batcheler Colleen,"EVP GC, Corp Secty",S - Sale+OE,$36.01,"-23,305","169,873",-12%,"-$839,115",,,,
19,D,2020-07-02 18:34:48,2020-07-01,CAG,Batcheler Colleen,"EVP GC, Corp Secty",S - Sale+OE,$36.00,"-111,062","169,873",-40%,"-$3,998,565",,,,
20,,2020-07-02 18:33:30,2020-07-02,CAG,Wise Robert G,"SVP, Corporate Controller",S - Sale,$35.48,"-18,417","32,712",-36%,"-$653,343",,,,
21,,2020-07-02 18:31:04,2020-07-01,CAG,Gregor Joie A,Dir,S - Sale,$35.61,"-9,900","63,042",-14%,"-$352,490",,,,
22,D,2020-06-03 19:38:54,2020-06-01,CAG,McGough Thomas M,"Pres, Operating Segments",S - Sale+OE,$35.00,"-80,615","146,269",-36%,"-$2,821,525",,,,
23,M,2020-04-29 21:45:50,2020-04-27,CAG,Jana Partners LLC,See Remarks,S - Sale,$34.76,"-879,649","10,853,203",-7%,"-$30,579,106",,,,
24,,2020-04-10 18:00:43,2020-04-09,CAG,Brown Thomas K,Dir,S - Sale,$32.44,"-7,336","23,300",-24%,"-$237,980",,,,
25,M,2020-01-09 19:01:11,2020-01-07,CAG,Jana Partners LLC,See Remarks,S - Sale,$32.19,"-2,606,340","26,271,347",-9%,"-$83,908,744",,,,
26,M,2020-01-03 16:16:50,2019-12-31,CAG,Omtvedt Craig P,Dir,P - Purchase,$33.99,"+40,000","75,027",+114%,"+$1,359,489",,,,
27,,2019-09-30 16:38:53,2019-09-26,CAG,McGough Thomas M,"EVP, Co-COO",S - Sale,$31.00,"-26,099","146,269",-15%,"-$809,069",,,,
28,,2019-09-17 18:34:24,2019-09-13,CAG,Batcheler Colleen,"EVP GC, Corp Secty",S - Sale,$30.00,"-25,458","169,873",-13%,"-$763,740",,,,
29,D,2019-08-08 17:37:37,2019-08-07,CAG,Lenny Richard H,Dir,S - Sale+OE,$27.27,"-20,153","67,972",-23%,"-$549,617",,,,
30,D,2019-07-30 16:38:36,2019-07-26,CAG,Marshall Ruth Ann,Dir,S - Sale+OE,$29.11,"-2,436","100,137",-2%,"-$70,920",,,,
31,DM,2019-07-18 18:55:47,2019-07-16,CAG,Marshall Ruth Ann,Dir,S - Sale+OE,$28.50,"-5,000","100,137",-5%,"-$142,500",,,,
32,D,2019-07-10 17:14:57,2019-07-08,CAG,Marshall Ruth Ann,Dir,S - Sale+OE,$28.45,"-3,000","100,137",-3%,"-$85,358",,,,
33,D,2019-07-03 16:18:33,2019-07-01,CAG,Marshall Ruth Ann,Dir,S - Sale+OE,$27.00,"-3,000","100,137",-3%,"-$81,000",,,,
34,,2019-07-02 17:04:40,2019-06-28,CAG,Omtvedt Craig P,Dir,P - Purchase,$26.73,"+25,000","35,027",+249%,"+$668,250",,,,
