,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-03 16:49:15,2021-09-01,CBRE,Queenan Daniel G,"Global CEO, Advisory Services",S - Sale,$96.70,-15,"154,395",0%,"-$1,451",,,,
2,,2021-09-03 16:49:13,2021-09-01,CBRE,Sulentic Robert E,"Pres, CEO",S - Sale,$97.23,"-30,000","794,560",-4%,"-$2,916,976",,,,
3,M,2021-08-12 16:57:48,2021-08-10,CBRE,Boze Brandon B,See Remarks,S - Sale,$96.06,"-1,000,000","9,232,609",-10%,"-$96,064,470",,,,
4,,2021-08-06 16:30:06,2021-08-05,CBRE,Giamartino Emma E.,See Remarks,S - Sale,$96.90,-227,"15,305",-1%,"-$21,996",,,,
5,,2021-08-06 16:29:58,2021-08-04,CBRE,Kirk J. Christopher,Global COO,S - Sale,$97.01,"-18,000","131,498",-12%,"-$1,746,248",,,,
6,,2021-06-03 17:24:00,2021-06-01,CBRE,Queenan Daniel G,"Global CEO, Advisory Services",S - Sale,$88.55,"-6,700","154,410",-4%,"-$593,285",,,,
7,,2021-06-03 17:23:55,2021-06-01,CBRE,Sulentic Robert E,"Pres, CEO",S - Sale,$88.83,"-30,000","834,947",-3%,"-$2,664,792",,,,
8,,2021-05-07 16:19:36,2021-05-05,CBRE,Dhandapani Chandra,Chief Administrative Officer,S - Sale,$84.93,"-11,000","77,636",-12%,"-$934,228",,,,
9,,2021-03-17 16:11:03,2021-03-15,CBRE,Sulentic Robert E,"Pres, CEO",S - Sale,$79.33,"-30,000","864,947",-3%,"-$2,379,843",,,,
10,,2021-03-16 16:43:27,2021-03-12,CBRE,Durburg John E,"Global CEO, GWS",S - Sale,$78.53,"-2,000","161,401",-1%,"-$157,050",,,,
11,,2021-03-02 20:12:55,2021-03-02,CBRE,Dhandapani Chandra,Chief Administrative Officer,S - Sale,$77.59,"-7,773","76,811",-9%,"-$603,085",,,,
12,M,2021-03-02 20:11:42,2021-03-02,CBRE,Lafitte Michael J,See Remarks,S - Sale,$77.69,"-24,588","271,852",-8%,"-$1,910,327",,,,
13,,2021-03-02 20:10:35,2021-03-01,CBRE,Queenan Daniel G,"Global CEO, Advisory Services",S - Sale,$76.72,-295,"139,899",0%,"-$22,632",,,,
14,,2020-12-03 16:39:06,2020-12-01,CBRE,Queenan Daniel G,"Global CEO, Advisory Services",S - Sale,$61.99,-659,"150,250",0%,"-$40,851",,,,
15,,2020-12-01 17:02:13,2020-11-27,CBRE,Dhandapani Chandra,Chief Administrative Officer,S - Sale,$61.02,"-2,589","89,329",-3%,"-$157,977",,,,
16,,2020-09-17 16:47:22,2020-09-15,CBRE,Midler Laurence H,"EVP, GC, Chief Risk Officer",S - Sale,$49.90,"-7,500","109,485",-6%,"-$374,250",,,,
17,,2020-09-03 16:32:15,2020-09-01,CBRE,Queenan Daniel G,"Global CEO, Advisory Services",S - Sale,$46.80,"-6,506","150,909",-4%,"-$304,481",,,,
18,,2020-06-11 20:00:09,2020-06-09,CBRE,Kirk J. Christopher,Global COO,S - Sale,$53.51,"-19,500","145,327",-12%,"-$1,043,381",,,,
19,,2020-06-11 19:50:21,2020-06-10,CBRE,Lafitte Michael J,See Remarks,S - Sale,$51.73,"-39,196","325,957",-11%,"-$2,027,597",,,,
20,,2020-06-09 19:32:24,2020-06-08,CBRE,Midler Laurence H,"EVP, GC, Chief Risk Officer",S - Sale,$55.45,"-16,000","118,905",-12%,"-$887,134",,,,
21,,2020-05-18 19:06:14,2020-05-15,CBRE,Wirta Raymond E,Dir,S - Sale,$36.01,"-87,516","1,046,272",-8%,"-$3,151,565",,,,
22,,2020-05-14 21:06:00,2020-05-12,CBRE,Goodman Shira,Dir,P - Purchase,$38.73,"+2,600","6,828",+61%,"+$100,691",,,,
23,M,2019-11-26 16:34:31,2019-11-22,CBRE,Concannon William F,"CEO, GWS",S - Sale,$55.03,"-9,315","269,487",-3%,"-$512,611",,,,
24,,2019-11-19 18:15:11,2019-11-18,CBRE,Lafitte Michael J,"CEO, Advisory Services",S - Sale,$56.02,"-26,759","335,364",-7%,"-$1,499,007",,,,
25,,2019-11-19 18:15:07,2019-11-15,CBRE,Sulentic Robert E,"Pres, CEO",S - Sale,$55.30,"-40,000","749,011",-5%,"-$2,212,000",,,,
26,,2019-09-24 16:08:24,2019-09-20,CBRE,Groch James R,See Remarks,S - Sale,$54.10,"-75,000","318,000",-19%,"-$4,057,778",,,,
27,,2019-09-16 16:41:33,2019-09-12,CBRE,Boze Brandon B,See Remarks,S - Sale,$53.86,"-3,000,000","10,225,592",-23%,"-$161,580,000",,,,
28,,2019-08-16 17:01:52,2019-08-15,CBRE,Sulentic Robert E,"Pres, CEO",S - Sale,$50.00,"-40,000","789,011",-5%,"-$2,000,000",,,,
29,,2019-08-02 16:38:37,2019-08-01,CBRE,Groch James R,See Remarks,S - Sale,$55.13,"-50,000","404,918",-11%,"-$2,756,275",,,,
30,,2019-06-13 16:43:48,2019-06-11,CBRE,Sulentic Robert E,"Pres, CEO",S - Sale,$50.00,"-40,000","841,601",-5%,"-$2,000,000",,,,
31,,2019-05-24 16:20:14,2019-05-22,CBRE,Feeny Curtis F,Dir,S - Sale,$47.30,"-4,514","42,133",-10%,"-$213,513",,,,
32,,2019-05-21 16:36:04,2019-05-17,CBRE,Feeny Curtis F,Dir,S - Sale,$47.25,"-4,000","46,647",-8%,"-$188,986",,,,
33,,2019-05-17 16:56:31,2019-05-15,CBRE,Bazzano Dara,See Remarks,S - Sale,$47.51,"-1,252","21,246",-6%,"-$59,479",,,,
34,,2019-04-12 18:16:26,2019-04-12,CBRE,Groch James R,CFO,S - Sale,$52.00,"-50,000","454,918",-10%,"-$2,600,040",,,,
35,,2019-03-13 17:35:48,2019-03-11,CBRE,Groch James R,CFO,S - Sale,$50.47,"-50,000","504,918",-9%,"-$2,523,307",,,,
36,,2019-03-13 17:35:44,2019-03-11,CBRE,Kirk J. Christopher,"Chief Exec Talent, Admin Off",S - Sale,$50.53,"-17,900","151,499",-11%,"-$904,568",,,,
37,,2019-03-13 17:35:40,2019-03-11,CBRE,Lafitte Michael J,"CEO, Advisory Services",S - Sale,$50.54,"-32,706","372,946",-8%,"-$1,652,873",,,,
38,,2019-03-13 17:35:36,2019-03-11,CBRE,Midler Laurence H,"EVP, GC, Chief Risk Officer",S - Sale,$50.43,"-13,848","131,109",-10%,"-$698,416",,,,
39,,2019-03-13 17:03:14,2019-03-11,CBRE,Boze Brandon B,See Remarks,S - Sale,$49.51,"-6,700,000","13,221,376",-34%,"-$331,717,000",,,,
40,,2018-12-06 16:46:44,2018-12-04,CBRE,Lopez Gerardo I,Dir,P - Purchase,$42.41,"+5,000","26,032",+24%,"+$212,066",,,,
41,,2018-08-22 17:30:42,2018-08-20,CBRE,Concannon William F,"CEO, GWS",S - Sale,$47.47,"-28,878","204,631",-12%,"-$1,370,833",,,,
42,,2018-06-22 18:29:28,2018-06-20,CBRE,Groch James R,CFO,S - Sale,$49.01,"-50,000","478,015",-9%,"-$2,450,310",,,,
43,,2018-06-01 16:17:41,2018-05-30,CBRE,Sulentic Robert E,"Pres, CEO",S - Sale,$46.84,"-5,000","725,373",-1%,"-$234,200",,,,
44,,2018-05-11 18:22:07,2018-05-10,CBG,Lafitte Michael J,Global Group Pres,S - Sale,$47.23,"-16,775","336,780",-5%,"-$792,287",,,,
45,,2018-05-09 17:02:07,2018-05-07,CBG,Feeny Curtis F,Dir,S - Sale,$46.27,"-7,447","42,203",-15%,"-$344,562",,,,
46,M,2018-03-14 16:48:26,2018-03-12,CBG,Malek Frederic V,Dir,S - Sale,$47.68,"-50,000","334,737",-13%,"-$2,384,000",,,,
47,,2018-03-14 16:48:22,2018-03-12,CBG,Concannon William F,See Remarks,S - Sale,$47.68,"-29,483","261,226",-10%,"-$1,405,798",,,,
48,,2018-03-09 16:34:39,2018-03-08,CBG,Frese Calvin W Jr,Global Group Pres,S - Sale,$47.00,"-6,033","272,755",-2%,"-$283,538",,,,
49,D,2018-03-09 16:34:34,2018-03-09,CBG,Tyson Laura D,Dir,S - Sale+OE,$47.49,"-1,886","31,371",-6%,"-$89,560",,,,
50,,2018-02-20 19:34:08,2018-02-15,CBG,Malek Frederic V,Dir,S - Sale,$44.79,"-50,000","384,737",-12%,"-$2,239,320",,,,
51,,2018-02-16 19:02:43,2018-02-14,CBG,Groch James R,CFO,S - Sale,$45.03,"-50,000","442,444",-10%,"-$2,251,305",,,,
52,,2018-02-16 19:01:38,2018-02-15,CBG,Lafitte Michael J,See Remarks,S - Sale,$44.86,"-25,888","284,834",-8%,"-$1,161,413",,,,
53,,2018-02-15 17:23:41,2018-02-13,CBG,Frese Calvin W Jr,See Remarks,S - Sale,$44.17,"-25,000","213,121",-10%,"-$1,104,163",,,,
54,,2018-02-13 16:41:42,2018-02-09,CBG,Sulentic Robert E,"Pres, CEO",S - Sale,$42.56,"-40,000","597,971",-6%,"-$1,702,400",,,,
55,,2017-12-14 18:48:25,2017-12-12,CBG,Kirk J. Christopher,"EVP, Chief Admin. Officer",S - Sale,$43.32,"-20,000","112,362",-15%,"-$866,400",,,,
56,M,2017-12-13 17:01:46,2017-12-11,CBG,Malek Frederic V,Dir,S - Sale,$43.28,"-6,900","436,337",-2%,"-$298,644",,,,
57,,2017-12-01 18:24:28,2017-11-30,CBG,Sulentic Robert E,"Pres, CEO",S - Sale,$43.16,"-45,000","637,971",-7%,"-$1,942,200",,,,
