,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-24 16:36:35,2021-08-20,CBOE,Isaacson Christopher A,"EVP, COO",S - Sale,$128.93,"-2,500","56,433",-4%,"-$322,336",,,,
2,,2021-08-05 16:12:18,2021-08-03,CBOE,Tilly Edward T,"COB, Pres, CEO",S - Sale,$119.93,"-7,500","162,574",-4%,"-$899,475",,,,
3,,2021-06-28 16:59:25,2021-06-24,CBOE,Schell Brian N,"EVP, CFO, Treasurer",S - Sale,$120.79,"-3,026","12,091",-20%,"-$365,501",,,,
4,M,2021-06-23 16:12:27,2021-06-21,CBOE,Schell Brian N,"EVP, CFO, Treasurer",S - Sale,$118.28,"-11,974","15,117",-44%,"-$1,416,252",,,,
5,,2021-05-27 08:35:29,2021-05-24,CBOE,Sexton John P,"EVP, GC, Corp Sec",S - Sale,$110.91,"-1,033","15,063",-6%,"-$114,574",,,,
6,D,2021-05-19 16:29:43,2021-05-17,CBOE,Griebenow Jill,"SVP, CAO",S - Sale+OE,$113.66,-200,"5,879",-3%,"-$22,732",,,,
7,,2021-05-18 16:34:42,2021-05-14,CBOE,Isaacson Christopher A,"EVP, COO",S - Sale,$114.00,"-2,500","58,933",-4%,"-$284,990",,,,
8,,2021-05-17 16:22:50,2021-05-13,CBOE,Tilly Edward T,"COB, Pres, CEO",S - Sale,$115.00,"-15,000","170,074",-8%,"-$1,725,000",,,,
9,,2021-05-12 16:31:15,2021-05-10,CBOE,Sexton John P,"EVP, GC, Corp Sec",S - Sale,$110.51,"-1,033","16,096",-6%,"-$114,155",,,,
10,,2021-05-10 16:05:53,2021-05-06,CBOE,Harkins Bryan,"EVP, Pres BIDS Trading",S - Sale,$110.00,"-3,678","32,411",-10%,"-$404,580",,,,
11,,2021-05-05 16:45:25,2021-05-03,CBOE,Sexton John P,"EVP, GC, Corp Sec",S - Sale,$107.19,"-1,996","17,129",-10%,"-$213,954",,,,
12,,2021-03-10 16:10:54,2021-03-08,CBOE,Richter Michael L,Dir,S - Sale,$105.10,"-1,236","22,171",-5%,"-$129,904",,,,
13,M,2021-01-13 17:08:05,2021-01-11,CBOE,Harkins Bryan,"EVP, Head of Markets",S - Sale,$98.74,"-7,356","32,771",-18%,"-$726,368",,,,
14,,2020-11-05 16:16:12,2020-11-03,CBOE,Tomczyk Fredric J,Dir,P - Purchase,$85.65,"+5,230","9,652",+118%,"+$447,950",,,,
15,A,2020-10-21 13:08:05,2020-09-14,CBOE,Tilly Edward T,"COB, Pres, CEO",P - Purchase,$89.42,"+10,000","164,916",+6%,"+$894,200",,,,
16,,2020-02-28 16:50:56,2020-02-26,CBOE,Sexton John P,"EVP, GC, Corp Sec",S - Sale,$123.50,"-2,237","16,538",-12%,"-$276,270",,,,
17,,2020-02-28 16:47:47,2020-02-26,CBOE,Froetscher Janet P,Dir,S - Sale,$124.36,"-8,000","12,405",-39%,"-$994,880",,,,
18,,2020-02-12 17:30:21,2020-02-11,CBOE,Tilly Edward T,"COB, Pres, CEO",S - Sale,$123.19,"-7,500","138,870",-5%,"-$923,918",,,,
19,,2020-01-28 16:23:31,2020-01-24,CBOE,Schell Brian N,"EVP, CFO, Treasurer",S - Sale,$120.00,"-15,000","15,627",-49%,"-$1,800,000",,,,
20,D,2019-11-19 17:50:49,2019-11-15,CBOE,Isaacson Christopher A,"EVP, COO",S - Sale+OE,$118.87,"-10,000","60,644",-14%,"-$1,188,700",,,,
21,,2019-11-19 17:46:21,2019-11-15,CBOE,Deters John,"EVP, Corporate Strategy",S - Sale,$118.46,-877,"1,103",-44%,"-$103,889",,,,
22,,2019-11-08 16:12:59,2019-11-07,CBOE,Tilly Edward T,"COB, Pres, CEO",S - Sale,$115.09,"-2,274","127,548",-2%,"-$261,715",,,,
23,M,2019-11-07 16:14:13,2019-11-05,CBOE,Tilly Edward T,"COB, Pres, CEO",S - Sale,$115.11,"-5,226","129,822",-4%,"-$601,587",,,,
24,,2019-08-19 17:29:41,2019-08-15,CBOE,Deters John,"EVP, Corporate Strategy",S - Sale,$119.31,"-1,141","1,980",-37%,"-$136,133",,,,
25,,2019-08-08 16:03:29,2019-08-06,CBOE,Tilly Edward T,"COB, Pres, CEO",S - Sale,$115.18,"-7,500","135,048",-5%,"-$863,850",,,,
26,,2019-08-07 16:24:18,2019-08-05,CBOE,Stone Carole E,Dir,S - Sale,$117.70,"-2,766","13,819",-17%,"-$325,558",,,,
27,D,2019-07-17 17:21:55,2019-07-15,CBOE,Hemsley Mark S,"EVP, Pres Europe",S - Sale+OE,$113.84,"-14,039","87,685",-14%,"-$1,598,200",,,,
28,,2019-06-04 16:18:49,2019-05-31,CBOE,Schell Brian N,"EVP, CFO, Treasurer",S - Sale,$108.47,"-10,000","36,069",-22%,"-$1,084,700",,,,
29,D,2019-05-31 16:56:55,2019-05-29,CBOE,Isaacson Christopher A,"EVP, COO",S - Sale+OE,$104.93,"-10,000","64,644",-13%,"-$1,049,300",,,,
30,,2019-05-23 17:00:36,2019-05-22,CBOE,Harkins Bryan,"EVP, Co-Head of Markets",S - Sale,$106.71,"-4,300","43,661",-9%,"-$458,853",,,,
31,,2019-05-20 16:46:04,2019-05-16,CBOE,Deters John,"EVP, Corporate Strategy",S - Sale,$103.78,-834,"3,121",-21%,"-$86,553",,,,
32,,2019-02-22 16:41:05,2019-02-20,CBOE,Deters John,"EVP, Corporate Strategy",S - Sale,$93.74,"-2,474","3,538",-41%,"-$231,913",,,,
33,D,2018-11-29 16:12:27,2018-11-27,CBOE,Isaacson Christopher A,"EVP, CIO",S - Sale+OE,$106.48,"-8,719","70,000",-11%,"-$928,399",,,,
34,,2018-11-07 16:12:46,2018-11-05,CBOE,English Frank E. Jr.,Dir,S - Sale,$113.55,"-1,000","3,137",-24%,"-$113,550",,,,
