,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-07-16 12:58:06,2021-07-14,CCL,Bernstein David,"CFO, CAO",S - Sale,$23.03,"-11,662","128,272",-8%,"-$268,633",,,,
2,,2021-04-20 11:48:31,2021-04-16,CCL,Weisenburger Randall J,Dir,S - Sale,$27.50,"-100,000","754,605",-12%,"-$2,750,030",,,,
3,M,2021-04-16 12:58:53,2021-04-14,CCL,Weisenburger Randall J,Dir,S - Sale,$27.50,"-538,762","854,605",-39%,"-$14,817,755",,,,
4,,2021-02-17 12:57:32,2021-02-12,CCL,Perez Arnaldo,"GC, Secretary",S - Sale,$20.24,"-2,760","114,367",-2%,"-$55,859",,,,
5,,2021-02-17 12:56:06,2021-02-12,CCL,Donald Arnold W,"Pres, CEO",S - Sale,$20.24,"-44,386","1,064,714",-4%,"-$898,310",,,,
6,,2021-02-17 12:54:01,2021-02-12,CCL,Bernstein David,"CFO, CAO",S - Sale,$20.24,"-16,676","139,934",-11%,"-$337,499",,,,
7,,2021-02-10 09:12:25,2021-02-08,CCL,Anderson Peter C.,"Chief Ethics, Compliance",S - Sale,$21.43,"-4,184","71,684",-6%,"-$89,642",,,,
8,,2021-01-21 13:11:14,2021-01-20,CCL,Bernstein David,"CFO, CAO",S - Sale,$20.98,"-24,296","151,916",-14%,"-$509,698",,,,
9,,2021-01-19 15:53:30,2021-01-14,CCL,Perez Arnaldo,"GC, Secretary",S - Sale,$21.12,"-14,215","66,189",-18%,"-$300,221",,,,
10,,2021-01-19 15:31:55,2021-01-14,CCL,Donald Arnold W,"Pres, CEO",S - Sale,$21.12,"-62,639","735,570",-8%,"-$1,322,936",,,,
11,,2021-01-19 15:30:26,2021-01-14,CCL,Bernstein David,"CFO, CAO",S - Sale,$21.12,"-49,031","74,156",-40%,"-$1,035,542",,,,
12,,2020-12-02 09:24:37,2020-11-30,CCL,Ma 1994 B Shares LP,See Remarks,S - Sale,$20.58,"-5,000,000","80,736,445",-6%,"-$102,910,105",,,,
13,,2020-12-02 09:17:57,2020-11-30,CCL,Arison Micky Meir,"COB, 10%",S - Sale,$20.58,"-5,000,000","85,670,611",-6%,"-$102,910,105",,,,
