,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-19 17:37:58,2021-10-15,CDNS,Tan Lip Bu,CEO,S - Sale+OE,$156.16,"-50,000","2,093,672",-2%,"-$7,808,133",,,,
2,,2021-09-28 17:33:22,2021-09-24,CDNS,Cunningham Paul,SVP,S - Sale,$162.39,"-1,000","96,108",-1%,"-$162,390",,,,
3,D,2021-09-17 17:52:00,2021-09-15,CDNS,Tan Lip Bu,CEO,S - Sale+OE,$166.65,"-49,999","2,093,672",-2%,"-$8,332,416",,,,
4,,2021-09-10 18:05:55,2021-09-09,CDNS,Teng Chin-Chi,SVP,S - Sale,$165.62,"-7,500","164,674",-4%,"-$1,242,142",,,,
5,M,2021-08-24 17:38:50,2021-08-23,CDNS,Zaman Aneel,SVP,S - Sale,$157.45,"-3,174","116,377",-3%,"-$499,730",,,,
6,,2021-08-24 17:22:42,2021-08-23,CDNS,Cunningham Paul,SVP,S - Sale,$155.86,"-1,000","97,108",-1%,"-$155,860",,,,
7,,2021-08-24 17:06:08,2021-08-24,CDNS,Devgan Anirudh,Pres,S - Sale,$158.71,"-3,922","224,596",-2%,"-$622,461",,,,
8,D,2021-08-20 17:57:01,2021-08-18,CDNS,Zaman Aneel,SVP,S - Sale+OE,$148.98,"-14,003","121,286",-10%,"-$2,086,167",,,,
9,D,2021-08-17 21:53:55,2021-08-16,CDNS,Tan Lip Bu,CEO,S - Sale+OE,$151.56,"-50,000","2,098,299",-2%,"-$7,577,998",,,,
10,,2021-08-17 21:19:44,2021-08-17,CDNS,Devgan Anirudh,Pres,S - Sale,$150.45,"-2,817","232,374",-1%,"-$423,818",,,,
11,,2021-08-04 18:30:58,2021-08-02,CDNS,Zaman Aneel,SVP,S - Sale,$148.09,-32,"122,671",0%,"-$4,739",,,,
12,,2021-07-26 20:06:01,2021-07-23,CDNS,Cunningham Paul,SVP,S - Sale,$143.59,"-1,000","98,521",-1%,"-$143,590",,,,
13,D,2021-07-19 20:38:50,2021-07-15,CDNS,Tan Lip Bu,CEO,S - Sale+OE,$137.43,"-50,000","2,102,427",-2%,"-$6,871,643",,,,
14,,2021-06-25 16:55:51,2021-06-23,CDNS,Cunningham Paul,SVP,S - Sale,$133.97,"-1,000","100,218",-1%,"-$133,970",,,,
15,D,2021-06-17 19:20:54,2021-06-15,CDNS,Tan Lip Bu,CEO,S - Sale+OE,$130.09,"-50,000","2,102,427",-2%,"-$6,504,495",,,,
16,,2021-06-16 17:29:09,2021-06-14,CDNS,Cunningham Paul,SVP,S - Sale,$129.29,"-1,000","101,218",-1%,"-$129,290",,,,
17,D,2021-05-19 19:15:54,2021-05-17,CDNS,Tan Lip Bu,CEO,S - Sale+OE,$121.47,"-50,000","2,102,427",-2%,"-$6,073,500",,,,
18,,2021-04-27 20:47:51,2021-04-26,CDNS,Cunningham Paul,SVP,S - Sale,$141.39,"-1,000","103,081",-1%,"-$141,390",,,,
19,D,2021-04-19 20:40:36,2021-04-15,CDNS,Tan Lip Bu,CEO,S - Sale+OE,$147.47,"-50,000","2,102,427",-2%,"-$7,373,569",,,,
20,,2021-04-15 18:32:43,2021-04-13,CDNS,Devgan Anirudh,Pres,S - Sale,$147.00,"-33,278","237,935",-12%,"-$4,891,866",,,,
21,D,2021-04-09 20:15:39,2021-04-08,CDNS,Beckley Thomas P,SVP,S - Sale+OE,$145.00,"-18,000","230,215",-7%,"-$2,610,000",,,,
22,D,2021-04-02 18:23:10,2021-03-31,CDNS,Zaman Aneel,SVP,S - Sale+OE,$135.00,"-61,936","122,677",-34%,"-$8,361,379",,,,
23,,2021-03-26 20:37:39,2021-03-25,CDNS,Cunningham Paul,SVP,S - Sale,$126.65,"-1,000","104,081",-1%,"-$126,650",,,,
24,D,2021-03-17 17:50:13,2021-03-15,CDNS,Tan Lip Bu,CEO,S - Sale+OE,$127.45,"-50,000","2,102,427",-2%,"-$6,372,608",,,,
25,,2021-03-17 17:48:51,2021-03-16,CDNS,Wall John M,"SVP, CFO",S - Sale,$131.36,"-30,000","132,422",-18%,"-$3,940,688",,,,
26,D,2021-03-15 20:47:55,2021-03-12,CDNS,Plummer James D,Dir,S - Sale+OE,$125.40,"-25,000","43,674",-36%,"-$3,135,000",,,,
27,D,2021-03-11 21:21:01,2021-03-10,CDNS,Mandava Surendra Babu,SVP,S - Sale+OE,$128.32,"-90,688","242,334",-27%,"-$11,637,163",,,,
28,D,2021-03-04 19:54:09,2021-03-02,CDNS,Mandava Surendra Babu,SVP,S - Sale+OE,$142.88,"-60,000","242,334",-20%,"-$8,572,800",,,,
29,D,2021-03-01 21:11:07,2021-02-26,CDNS,Teng Chin-Chi,SVP,S - Sale+OE,$140.21,"-5,000","179,202",-3%,"-$701,032",,,,
30,,2021-02-24 20:14:26,2021-02-23,CDNS,Devgan Anirudh,Pres,S - Sale,$131.15,"-3,922","285,822",-1%,"-$514,387",,,,
31,,2021-02-18 20:08:12,2021-02-17,CDNS,Devgan Anirudh,Pres,S - Sale,$143.16,"-5,634","293,600",-2%,"-$806,567",,,,
32,D,2021-02-18 19:53:50,2021-02-16,CDNS,Tan Lip Bu,CEO,S - Sale+OE,$147.09,"-50,000","3,366,117",-1%,"-$7,354,661",,,,
33,,2021-02-09 20:33:45,2021-02-09,CDNS,Devgan Anirudh,Pres,S - Sale,$137.44,"-4,666","304,773",-2%,"-$641,295",,,,
34,D,2021-01-19 19:40:04,2021-01-15,CDNS,Tan Lip Bu,CEO,S - Sale+OE,$134.60,"-50,000","2,069,697",-2%,"-$6,729,984",,,,
35,D,2021-01-06 19:07:33,2021-01-04,CDNS,Shoven John B,Dir,S - Sale+OE,$137.55,"-20,000","198,574",-9%,"-$2,751,030",,,,
36,D,2020-12-17 16:15:39,2020-12-15,CDNS,Tan Lip Bu,CEO,S - Sale+OE,$122.98,"-50,000","2,069,697",-2%,"-$6,149,172",,,,
37,D,2020-12-03 17:13:43,2020-12-01,CDNS,Sangiovanni Vincentelli Alberto,Dir,S - Sale+OE,$115.54,"-25,000","80,290",-24%,"-$2,888,421",,,,
38,D,2020-11-17 20:00:35,2020-11-16,CDNS,Tan Lip Bu,CEO,S - Sale+OE,$114.84,"-50,000","2,069,697",-2%,"-$5,741,754",,,,
39,,2020-11-17 19:56:27,2020-11-17,CDNS,Devgan Anirudh,Pres,S - Sale,$114.05,"-3,782","312,984",-1%,"-$431,317",,,,
40,D,2020-10-19 18:29:00,2020-10-15,CDNS,Tan Lip Bu,CEO,S - Sale+OE,$115.64,"-50,000","2,069,697",-2%,"-$5,782,167",,,,
41,D,2020-10-13 19:01:00,2020-10-09,CDNS,Beckley Thomas P,SVP,S - Sale+OE,$110.00,"-23,806","245,410",-9%,"-$2,618,660",,,,
42,D,2020-09-17 16:09:00,2020-09-15,CDNS,Tan Lip Bu,CEO,S - Sale+OE,$105.18,"-50,000","2,078,707",-2%,"-$5,258,993",,,,
43,,2020-09-01 16:40:17,2020-08-31,CDNS,Teng Chin-Chi,SVP,S - Sale,$110.80,"-4,000","182,087",-2%,"-$443,200",,,,
44,,2020-08-26 20:00:46,2020-08-25,CDNS,Zaman Aneel,SVP,S - Sale,$111.25,"-1,765","171,679",-1%,"-$196,356",,,,
45,,2020-08-26 19:49:18,2020-08-25,CDNS,Devgan Anirudh,Pres,S - Sale,$111.23,"-3,922","320,484",-1%,"-$436,244",,,,
46,D,2020-08-19 18:47:08,2020-08-17,CDNS,Tan Lip Bu,CEO,S - Sale+OE,$109.39,"-50,000","2,078,707",-2%,"-$5,469,478",,,,
47,,2020-08-07 20:17:03,2020-08-07,CDNS,Zaman Aneel,SVP,S - Sale,$110.31,"-2,382","175,179",-1%,"-$262,758",,,,
48,,2020-08-07 20:07:41,2020-08-07,CDNS,Devgan Anirudh,Pres,S - Sale,$110.33,"-4,204","328,262",-1%,"-$463,827",,,,
49,,2020-08-06 18:34:46,2020-08-04,CDNS,Bostrom Susan L,Dir,S - Sale,$110.24,"-10,000","5,347",-65%,"-$1,102,400",,,,
50,D,2020-08-04 19:58:36,2020-07-31,CDNS,Zaman Aneel,SVP,S - Sale+OE,$107.43,"-26,490","179,903",-13%,"-$2,845,786",,,,
51,,2020-07-28 21:34:55,2020-07-27,CDNS,Wall John M,"SVP, CFO",S - Sale,$104.26,"-15,000","179,222",-8%,"-$1,563,921",,,,
52,D,2020-07-17 18:44:29,2020-07-15,CDNS,Tan Lip Bu,CEO,S - Sale+OE,$98.98,"-50,000","2,078,675",-2%,"-$4,948,911",,,,
53,D,2020-07-02 16:21:26,2020-07-01,CDNS,Devgan Anirudh,Pres,S - Sale+OE,$97.00,"-150,000","336,567",-31%,"-$14,550,000",,,,
54,D,2020-06-22 18:38:02,2020-06-19,CDNS,Devgan Anirudh,Pres,S - Sale+OE,$94.98,"-60,000","336,567",-15%,"-$5,698,800",,,,
55,,2020-06-17 20:03:35,2020-06-16,CDNS,Devgan Anirudh,Pres,S - Sale,$92.38,"-3,782","336,567",-1%,"-$349,381",,,,
56,D,2020-06-16 17:11:14,2020-06-15,CDNS,Tan Lip Bu,CEO,S - Sale+OE,$89.80,"-50,000","2,078,675",-2%,"-$4,489,814",,,,
57,D,2020-05-19 16:43:12,2020-05-18,CDNS,Beckley Thomas P,SVP,S - Sale+OE,$81.80,"-42,085","260,374",-14%,"-$3,442,553",,,,
58,D,2020-05-19 16:40:47,2020-05-15,CDNS,Tan Lip Bu,CEO,S - Sale+OE,$81.25,"-50,000","2,078,675",-2%,"-$4,062,565",,,,
59,D,2020-05-01 16:14:17,2020-04-30,CDNS,Zaman Aneel,SVP,S - Sale+OE,$82.03,"-49,159","179,871",-21%,"-$4,032,268",,,,
60,D,2020-04-30 20:58:10,2020-04-29,CDNS,Siboni Roger S,Dir,S - Sale+OE,$78.53,"-6,500","44,891",-13%,"-$510,445",,,,
61,,2020-04-30 20:54:50,2020-04-29,CDNS,Wall John M,"SVP, CFO",S - Sale,$78.53,"-3,000","194,222",-2%,"-$235,590",,,,
