,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-05-19 16:15:55,2021-05-17,CE,Richardson Scott A,"EVP, CFO",S - Sale,$166.65,"-6,500","36,691",-15%,"-$1,083,225",,,,
2,,2021-05-05 16:06:00,2021-05-03,CE,Dupuis Vanessa,"SVP, HR (CHRO)",S - Sale,$158.50,"-1,204","4,249",-22%,"-$190,834",,,,
3,,2021-04-13 16:10:57,2021-04-12,CE,Wulff John K,Dir,S - Sale,$153.82,"-6,000","11,221",-35%,"-$922,928",,,,
4,,2021-02-17 17:06:07,2021-02-16,CE,Wulff John K,Dir,S - Sale,$133.55,-750,"17,221",-4%,"-$100,163",,,,
5,,2021-02-17 16:59:39,2021-02-16,CE,Richardson Scott A,"EVP, CFO",S - Sale,$133.55,"-6,500","43,187",-13%,"-$868,075",,,,
6,,2021-01-19 16:12:11,2021-01-14,CE,Wulff John K,Dir,S - Sale,$137.49,-750,"17,971",-4%,"-$103,118",,,,
7,,2020-12-15 16:21:39,2020-12-14,CE,Wulff John K,Dir,S - Sale,$132.33,-750,"18,721",-4%,"-$99,248",,,,
8,,2020-11-18 17:11:53,2020-11-16,CE,Wulff John K,Dir,S - Sale,$130.70,-750,"19,471",-4%,"-$98,025",,,,
9,,2020-10-16 16:13:08,2020-10-14,CE,Wulff John K,Dir,S - Sale,$116.67,-750,"20,221",-4%,"-$87,503",,,,
10,,2020-09-16 16:34:37,2020-09-14,CE,Wulff John K,Dir,S - Sale,$107.79,-750,"20,971",-3%,"-$80,843",,,,
11,,2019-04-29 16:16:57,2019-04-25,CE,Wulff John K,Dir,S - Sale,$108.32,"-9,175","21,276",-30%,"-$993,810",,,,
12,A,2018-06-19 16:25:11,2018-06-15,CE,Edwards Peter G,"EVP, GC",S - Sale,$115.44,"-3,674","12,193",-23%,"-$424,134",,,,
13,,2018-06-15 16:20:52,2018-06-15,CE,Edwards Peter G,"EVP, GC",S - Sale,$115.44,"-3,674","12,160",-23%,"-$424,134",,,,
14,,2018-01-12 16:35:05,2018-01-11,CE,Jensen Christopher W,"EVP, CFO",S - Sale,$110.00,"-3,000","53,983",-5%,"-$330,000",,,,
15,,2017-10-30 16:21:33,2017-10-30,CE,Jensen Christopher W,"EVP, CFO",S - Sale,$104.68,"-1,000","61,136",-2%,"-$104,680",,,,
16,,2017-10-25 16:45:47,2017-10-24,CE,Wulff John K,Dir,S - Sale,$105.88,"-2,500","27,675",-8%,"-$264,693",,,,
17,,2017-02-16 16:53:20,2017-02-14,CE,Nivica Gjon N Jr,"SVP, GC",S - Sale,$88.35,"-12,000","29,310",-29%,"-$1,060,223",+1,+1,+3,
18,,2017-02-14 18:26:38,2017-02-14,CE,Oliver Kevin S,"Chief Acctg Officer, Controlle",S - Sale,$87.74,"-2,327","18,480",-11%,"-$204,171",+1,+2,+5,
19,D,2016-11-09 16:33:54,2016-11-08,CE,Johnston Lori A,"EVP, CAO",S - Sale+OE,$72.30,"-83,829","25,816",-76%,"-$6,060,837",+1,+4,+10,+15
20,,2016-10-26 17:01:09,2016-10-26,CE,Nivica Gjon N Jr,"SVP, GC",S - Sale,$71.36,"-25,000","48,624",-34%,"-$1,784,000",+1,+2,+11,+25
21,D,2016-06-20 16:22:37,2016-06-16,CE,Walters Farah M,Dir,S - Sale+OE,$68.61,"-14,650","35,036",-29%,"-$1,005,078",-1,-6,+1,+20
22,D,2016-06-20 16:21:57,2016-06-16,CE,Rohr Mark C,"COB, CEO",S - Sale+OE,$69.50,"-17,200","401,264",-4%,"-$1,195,452",-1,-6,+1,+20
23,D,2016-03-17 16:35:38,2016-03-16,CE,Hoffmeister David F,Dir,S - Sale+OE,$64.05,"-8,300","38,477",-18%,"-$531,648",+1,-2,+4,-7
24,,2016-03-04 16:32:43,2016-03-02,CE,Johnston Lori A,"SVP, HR",S - Sale,$61.65,"-29,063","52,560",-36%,"-$1,791,705",+1,-2,+4,+2
25,,2015-09-01 17:02:17,2015-08-31,CE,Jensen Christopher W,"SVP, Finance, CFO",S - Sale,$60.86,"-5,100","16,601",-24%,"-$310,366",+2,+4,+2,+7
26,,2015-07-31 17:07:33,2015-07-30,CE,Blackwell Jean S,Dir,P - Purchase,$65.60,"+1,000","2,848",+54%,"+$65,600",-1,-1,-9,-3
