,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-25 16:02:12,2021-08-24,CERN,Devers Daniel,"EVP, GC",S - Sale+OE,$77.45,"-9,000","3,508",-72%,"-$697,050",,,,
2,DM,2021-08-10 09:05:12,2021-08-09,CERN,Battaglioli Michael R.,"SVP, Chief Accounting Officer",S - Sale+OE,$80.02,"-9,750","2,670",-79%,"-$780,225",,,,
3,D,2021-08-03 09:14:47,2021-08-02,CERN,Platt Tracy L,CHRO,S - Sale+OE,$79.70,"-9,989",604,-94%,"-$796,123",,,,
4,D,2021-06-04 16:01:54,2021-06-04,CERN,Dalton Travis,"EVP, Chief Client, Serv. Off",S - Sale+OE,$81.17,"-23,603","3,530",-87%,"-$1,915,856",,,,
5,D,2021-05-14 17:11:07,2021-05-14,CERN,Battaglioli Michael R.,"VP, Chief Accounting Officer",S - Sale+OE,$77.06,"-5,480","5,420",-50%,"-$422,289",,,,
6,D,2021-05-07 18:02:32,2021-05-07,CERN,Shafer David Brent,"COB, CEO",S - Sale+OE,$76.36,"-88,729",366,-100%,"-$6,775,346",,,,
7,DM,2021-03-10 16:01:29,2021-03-08,CERN,Erceg Mark J,"EVP, CFO",P - Purchase,$71.13,"+10,547","31,963",+49%,"+$750,241",,,,
8,DM,2021-03-03 16:33:26,2021-03-01,CERN,Erceg Mark J,"EVP, CFO",P - Purchase,$69.66,"+10,761","21,416",+101%,"+$749,597",,,,
9,DM,2021-02-24 16:02:03,2021-02-22,CERN,Erceg Mark J,"EVP, CFO",P - Purchase,$70.43,"+10,655","10,655",New,"+$750,422",,,,
10,,2021-02-18 16:05:52,2021-02-17,CERN,Zollars William D,Dir,S - Sale,$72.63,"-6,256","26,588",-19%,"-$454,373",,,,
11,D,2020-12-15 16:08:31,2020-12-11,CERN,Battaglioli Michael R.,"VP, Chief Accounting Officer",S - Sale+OE,$74.95,"-2,960","3,547",-45%,"-$221,852",,,,
12,D,2020-12-03 16:34:47,2020-12-01,CERN,Peterzalek John,"EVP, Chief Client, Serv. Off",S - Sale+OE,$76.00,-100,"24,838",0%,"-$7,600",,,,
13,,2020-11-17 16:26:32,2020-11-16,CERN,Riedel George Andrew,Dir,S - Sale,$75.69,"-1,750","9,637",-15%,"-$132,458",,,,
