,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-10-01 21:43:13,2021-10-01,CF,Malik Ashraf K,"SVP, Manufacturing, D'istn",S - Sale+OE,$59.80,"-58,090","21,141",-73%,"-$3,473,517",,,,
2,D,2021-10-01 21:42:37,2021-10-01,CF,Frost Bert A,"Sr.VP,Sales,Mkt Dev, Supp Chn",S - Sale+OE,$59.24,"-79,875","83,296",-49%,"-$4,731,797",,,,
3,D,2021-10-01 21:42:07,2021-10-01,CF,Bohn Christopher D,"SVP, CFO",S - Sale+OE,$59.30,"-56,580","100,443",-36%,"-$3,354,932",,,,
4,,2021-06-03 17:07:03,2021-06-01,CF,Will W Anthony,"Pres, CEO",S - Sale,$55.01,"-40,001","483,218",-8%,"-$2,200,375",,,,
5,,2021-05-19 17:34:38,2021-05-18,CF,Frost Bert A,"Sr.VP,Sales,Mkt Dev, SuppChn",S - Sale,$56.00,"-5,000","88,296",-5%,"-$280,000",,,,
6,D,2021-05-19 17:33:35,2021-05-18,CF,Bohn Christopher D,"SVP, CFO",S - Sale+OE,$56.00,"-10,000","100,443",-9%,"-$560,000",,,,
7,D,2021-05-17 18:01:52,2021-05-14,CF,Barnard Douglas C,"SVP, Gen. Counsel, Sec",S - Sale+OE,$54.05,"-20,600","113,345",-15%,"-$1,113,436",,,,
8,DM,2021-05-07 21:54:08,2021-05-06,CF,Frost Bert A,"Sr.VP,Sales,Mkt Dev, Supp Chn",S - Sale+OE,$53.00,"-37,450","93,296",-29%,"-$1,984,858",,,,
9,D,2021-05-07 21:53:17,2021-05-07,CF,Hoker Richard A,"VP, Corporate Controller",S - Sale+OE,$53.01,"-22,300","78,387",-22%,"-$1,182,078",,,,
10,,2021-05-07 21:52:21,2021-05-07,CF,Will W Anthony,"Pres, CEO",S - Sale,$54.22,"-40,000","523,219",-7%,"-$2,168,872",,,,
11,D,2021-05-07 21:51:43,2021-05-07,CF,Malik Ashraf K,"SVP, Manufacturing, D'istn",S - Sale+OE,$55.01,"-5,650","28,401",-17%,"-$310,796",,,,
12,D,2021-05-07 21:50:56,2021-05-07,CF,Bohn Christopher D,"SVP, CFO",S - Sale+OE,$54.09,"-14,975","100,443",-13%,"-$810,045",,,,
13,D,2021-03-17 16:06:38,2021-03-15,CF,Hopkins David P,"MD, CF Fert. UK",S - Sale+OE,$50.74,"-6,100","23,514",-21%,"-$309,492",,,,
14,,2021-03-15 16:44:02,2021-03-11,CF,Frost Bert A,"Sr.VP, Sales, Mkt Dev,Sup Chn",S - Sale,$50.84,"-22,497","103,296",-18%,"-$1,143,741",,,,
15,,2021-03-09 16:05:54,2021-03-08,CF,Davisson William,Dir,S - Sale,$50.00,"-10,000","36,191",-22%,"-$500,000",,,,
16,,2021-03-02 16:06:19,2021-02-26,CF,White Celso L.,Dir,P - Purchase,$47.95,+5,"11,196",0%,+$245,,,,
17,,2020-11-25 18:22:18,2020-11-24,CF,White Celso L.,Dir,P - Purchase,$38.03,+815,"11,191",+8%,"+$31,000",,,,
18,D,2020-06-10 16:06:03,2020-06-08,CF,Hopkins David P,MD CF Fert. UK,S - Sale+OE,$32.91,"-1,900","15,200",-11%,"-$62,532",,,,
19,D,2020-05-28 16:05:16,2020-05-26,CF,Hopkins David P,MD CF Fert. UK,S - Sale+OE,$29.37,"-2,000","15,200",-12%,"-$58,748",,,,
20,D,2019-11-22 17:11:21,2019-11-21,CF,Frost Bert A,"Sr.VP,Sales, Mkt Dev, Sup Chn",S - Sale+OE,$45.50,"-13,000","82,072",-14%,"-$591,438",,,,
21,,2019-11-06 18:10:58,2019-11-05,CF,Furbacher Stephen A,Dir,S - Sale,$47.50,"-3,500","49,187",-7%,"-$166,250",,,,
22,DM,2019-09-03 17:57:14,2019-08-29,CF,Kelleher Dennis P.,"SVP, CFO",S - Sale+OE,$48.21,"-95,243","40,874",-70%,"-$4,591,558",,,,
