,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2020-12-14 13:52:34,2020-12-11,CFG,Coughlin Brendan,Head of Consumer Banking,S - Sale,$35.35,"-12,000","48,532",-20%,"-$424,200",,,,
2,,2020-05-08 16:55:48,2020-05-07,CFG,Hankowsky William P,Dir,P - Purchase,$21.25,+165,"51,508",0%,"+$3,506",,,,
3,M,2020-04-23 16:40:42,2020-04-21,CFG,Koch Charles John,Dir,P - Purchase,$19.53,"+25,000","93,924",+36%,"+$488,200",,,,
4,,2020-04-22 16:53:13,2020-04-20,CFG,Hankowsky William P,Dir,P - Purchase,$20.56,"+10,000","44,924",+29%,"+$205,600",,,,
5,,2020-03-16 15:54:26,2020-03-13,CFG,Coughlin Brendan,Head of Consumer Banking,S - Sale,$22.21,"-4,500","77,348",-5%,"-$99,945",,,,
6,,2020-03-12 16:38:03,2020-03-11,CFG,Subramaniam Shivan S.,Dir,P - Purchase,$24.62,"+4,000","51,924",+8%,"+$98,480",,,,
7,,2020-03-12 16:37:39,2020-03-10,CFG,Lillis Terrance,Dir,P - Purchase,$24.46,"+1,000","5,652",+21%,"+$24,460",,,,
8,,2020-03-09 15:00:21,2020-03-06,CFG,Higdon Leo I Jr,Dir,P - Purchase,$27.73,"+1,000","22,967",+5%,"+$27,730",,,,
9,,2020-03-03 16:33:56,2020-03-02,CFG,Subramaniam Shivan S.,Dir,P - Purchase,$32.35,"+5,000","47,924",+12%,"+$161,750",,,,
10,,2019-08-22 16:50:09,2019-08-20,CFG,Koch Charles John,Dir,P - Purchase,$32.45,"+15,000","68,781",+28%,"+$486,750",,,,
11,,2018-11-23 16:23:10,2018-11-21,CFG,Subramaniam Shivan S.,Dir,P - Purchase,$35.32,"+3,000","38,963",+8%,"+$105,960",,,,
12,,2018-10-25 19:47:20,2018-10-23,CFG,Koch Charles John,Dir,P - Purchase,$36.32,"+14,000","49,937",+39%,"+$508,480",,,,
13,,2018-06-06 21:35:15,2018-06-05,CFG,Black Randall J,Controller,S - Sale,$41.49,-792,"34,258",-2%,"-$32,860",,,,
14,,2017-12-05 16:37:23,2017-12-01,CFG,Watson Wendy A.,Dir,S - Sale,$40.31,"-4,000","12,917",-24%,"-$161,240",,,,
15,,2017-03-02 18:42:20,2017-02-28,CFG,Higdon Leo I Jr,Dir,P - Purchase,$37.37,+14,"11,821",0%,+$523,+1,-1,-8,
16,,2017-02-21 16:48:10,2017-02-16,CFG,Higdon Leo I Jr,Dir,P - Purchase,$38.25,+9,"11,807",0%,+$344,-1,-2,-10,
17,,2016-03-09 11:39:57,2016-03-08,CFG,Subramaniam Shivan S.,Dir,P - Purchase,$20.91,"+5,000","25,545",+24%,"+$104,550",-1,+6,-1,+17
18,,2016-02-10 16:56:37,2016-02-10,CFG,Bowerman David J.,"Vice Chair, Business Services",P - Purchase,$19.40,"+2,400","94,689",+3%,"+$46,560",-4,+4,+11,+25
19,,2015-11-13 17:11:25,2015-11-12,CFG,McCree Donald H III,"Vice Chair, Commercial Banking",P - Purchase,$25.83,"+80,000","80,000",New,"+$2,066,400",+1,+2,+1,-14
20,E,2015-11-04 16:03:20,2015-11-03,CFG,Royal Bank of Scotland Group Plc,10%,S - Sale,$0.00,"-110,461,782",0,-100%,-$23,0,+6,+8,-9
21,,2015-08-26 19:19:40,2015-08-25,CFG,Higdon Leo I Jr,Dir,P - Purchase,$23.48,+500,"6,961",+8%,"+$11,740",+1,-2,-4,-21
22,E,2015-08-04 14:33:45,2015-08-03,CFG,Royal Bank of Scotland Group Plc,10%,S - Sale,$0.00,"-98,900,000","120,077,166",-45%,-$26,+1,+4,-9,-22
23,,2015-08-04 14:31:54,2015-08-03,CFG,Royal Bank of Scotland Group Plc,10%,S - Sale,$26.00,"-9,615,384","110,461,782",-8%,"-$249,999,984",+1,+4,-9,-22
24,,2015-04-30 20:33:41,2015-04-28,CFG,Higdon Leo I Jr,Dir,P - Purchase,$25.73,"+1,020","3,603",+39%,"+$26,245",0,0,+3,-9
