,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-01 16:46:55,2021-09-01,L,Laskawy Philip A,Dir,S - Sale+OE,$55.62,-561,"13,365",-4%,"-$31,203",,,,
2,D,2021-09-01 16:45:40,2021-09-01,L,Harris Walter L,Dir,S - Sale+OE,$55.62,-561,"17,908",-3%,"-$31,203",,,,
3,D,2021-09-01 16:44:17,2021-09-01,L,Fribourg Paul J,Dir,S - Sale+OE,$55.63,-561,0,-100%,"-$31,208",,,,
4,D,2021-09-01 16:43:25,2021-09-01,L,Diker Charles M,Dir,S - Sale+OE,$55.62,-561,"14,908",-4%,"-$31,203",,,,
5,D,2021-09-01 16:42:21,2021-09-01,L,Bower Joseph L,Dir,S - Sale+OE,$55.62,-280,"12,161",-2%,"-$15,574",,,,
6,D,2021-09-01 16:41:19,2021-09-01,L,Berman Ann E,Dir,S - Sale+OE,$55.62,-561,0,-100%,"-$31,203",,,,
7,D,2021-08-10 14:29:56,2021-08-10,L,Scott Richard Waldo,"SVP, Chief Investment Officer",S - Sale+OE,$55.56,"-9,166","33,901",-21%,"-$509,263",,,,
8,D,2021-06-02 13:51:09,2021-06-01,L,Laskawy Philip A,Dir,S - Sale+OE,$58.65,-429,"13,365",-3%,"-$25,161",,,,
9,D,2021-06-02 13:49:38,2021-06-01,L,Harris Walter L,Dir,S - Sale+OE,$58.62,-429,"17,908",-2%,"-$25,148",,,,
10,D,2021-06-02 13:48:17,2021-06-01,L,Fribourg Paul J,Dir,S - Sale+OE,$58.70,-429,0,-100%,"-$25,182",,,,
11,D,2021-06-02 13:47:08,2021-06-01,L,Diker Charles M,Dir,S - Sale+OE,$58.63,-429,"14,908",-3%,"-$25,152",,,,
12,D,2021-06-02 13:45:21,2021-06-01,L,Bower Joseph L,Dir,S - Sale+OE,$58.68,-215,"11,880",-2%,"-$12,616",,,,
13,D,2021-06-02 13:44:25,2021-06-01,L,Berman Ann E,Dir,S - Sale+OE,$58.68,-429,0,-100%,"-$25,174",,,,
14,D,2021-05-18 12:04:17,2021-05-17,L,Siegel Kenneth I,SVP,S - Sale+OE,$58.50,"-11,029","6,993",-61%,"-$645,197",,,,
15,D,2021-03-17 10:08:21,2021-03-16,L,Scott Richard Waldo,"SVP, Chief Investment Officer",S - Sale+OE,$51.34,"-6,378","33,901",-16%,"-$327,447",,,,
16,D,2021-03-02 14:42:35,2021-03-01,L,Laskawy Philip A,Dir,S - Sale+OE,$49.41,-170,"11,406",-1%,"-$8,400",,,,
17,D,2021-03-02 14:40:52,2021-03-01,L,Harris Walter L,Dir,S - Sale+OE,$49.31,-170,"14,616",-1%,"-$8,383",,,,
18,D,2021-03-02 14:39:45,2021-03-01,L,Fribourg Paul J,Dir,S - Sale+OE,$49.32,-170,0,-100%,"-$8,384",,,,
19,D,2021-03-02 14:38:18,2021-03-01,L,Diker Charles M,Dir,S - Sale+OE,$49.36,-170,"11,616",-1%,"-$8,391",,,,
20,D,2021-03-02 14:37:08,2021-03-01,L,Bower Joseph L,Dir,S - Sale+OE,$49.36,-85,"11,666",-1%,"-$4,196",,,,
21,D,2021-03-02 14:36:00,2021-03-01,L,Berman Ann E,Dir,S - Sale+OE,$49.36,-170,0,-100%,"-$8,391",,,,
22,DM,2021-02-16 10:08:58,2021-02-11,L,Tisch Jonathan M,"Co-Ch. of Bd, Officer of the P",S - Sale+OE,$48.12,"-8,864","9,683,932",0%,"-$426,552",,,,
23,D,2021-01-06 10:18:22,2021-01-05,L,Edelson David B,"SVP, CFO",S - Sale+OE,$44.70,"-4,595","22,820",-17%,"-$205,397",,,,
24,D,2021-01-05 15:20:40,2021-01-04,L,Tisch Jonathan M,"Co-Ch. of Bd, Officer of the P",S - Sale+OE,$44.45,"-6,712","9,683,932",0%,"-$298,348",,,,
25,D,2020-12-02 11:31:43,2020-12-01,L,Laskawy Philip A,Dir,S - Sale+OE,$43.06,-139,"11,406",-1%,"-$5,985",,,,
26,D,2020-12-02 11:28:49,2020-12-01,L,Harris Walter L,Dir,S - Sale+OE,$43.06,-139,"14,616",-1%,"-$5,985",,,,
27,D,2020-12-02 11:26:53,2020-12-01,L,Fribourg Paul J,Dir,S - Sale+OE,$43.06,-139,0,-100%,"-$5,985",,,,
28,D,2020-12-02 11:23:41,2020-12-01,L,Diker Charles M,Dir,S - Sale+OE,$43.05,-139,"11,616",-1%,"-$5,984",,,,
29,D,2020-12-02 11:10:04,2020-12-01,L,Bower Joseph L,Dir,S - Sale+OE,$43.04,-70,"11,581",-1%,"-$3,013",,,,
30,D,2020-06-02 15:24:45,2020-06-01,L,Laskawy Philip A,Dir,S - Sale+OE,$33.37,-12,"11,406",0%,-$400,,,,
31,D,2020-06-02 15:23:30,2020-06-01,L,Harris Walter L,Dir,S - Sale+OE,$33.37,-12,"14,616",0%,-$400,,,,
32,D,2020-06-02 15:22:01,2020-06-01,L,Fribourg Paul J,Dir,S - Sale+OE,$33.37,-12,0,-100%,-$400,,,,
33,D,2020-06-02 15:20:22,2020-06-01,L,Diker Charles M,Dir,S - Sale+OE,$33.37,-12,"11,616",0%,-$400,,,,
34,D,2020-06-02 15:18:49,2020-06-01,L,Bower Joseph L,Dir,S - Sale+OE,$33.37,-6,"11,512",0%,-$200,,,,
35,D,2020-03-05 14:00:34,2020-03-02,L,Laskawy Philip A,Dir,S - Sale+OE,$47.45,-322,"7,277",-4%,"-$15,279",,,,
36,D,2020-03-05 13:58:40,2020-03-02,L,Harris Walter L,Dir,S - Sale+OE,$47.46,-322,"12,637",-2%,"-$15,282",,,,
37,D,2020-03-05 13:57:41,2020-03-02,L,Fribourg Paul J,Dir,S - Sale+OE,$47.47,-322,0,-100%,"-$15,285",,,,
38,D,2020-03-05 13:56:17,2020-03-02,L,Diker Charles M,Dir,S - Sale+OE,$47.46,-322,"9,637",-3%,"-$15,282",,,,
39,D,2020-03-05 13:55:04,2020-03-02,L,Bower Joseph L,Dir,S - Sale+OE,$47.43,-161,"11,506",-1%,"-$7,636",,,,
40,DM,2020-02-14 10:45:38,2020-02-13,L,Siegel Kenneth I,SVP,S - Sale+OE,$54.01,"-7,143",0,-100%,"-$385,793",,,,
41,DM,2020-02-14 10:40:39,2020-02-12,L,Tisch Jonathan M,"Co-Ch. of Bd, Officer of the P",S - Sale+OE,$54.02,"-9,054","9,683,932",0%,"-$489,141",,,,
42,D,2020-02-14 10:39:03,2020-02-13,L,Tisch James S,"Pres, Chief Exec. Officer",S - Sale+OE,$54.02,"-4,585","15,829,280",0%,"-$247,682",,,,
43,D,2020-02-14 10:37:46,2020-02-13,L,Tisch Andrew H,"Co-Ch. of Bd, Officer Pres, Ch",S - Sale+OE,$54.01,"-4,585","14,809,184",0%,"-$247,636",,,,
44,D,2020-02-14 10:34:25,2020-02-13,L,Schwartz Mark S,"VP, Chief Accounting Officer",S - Sale+OE,$53.99,"-6,319",0,-100%,"-$341,163",,,,
45,DM,2020-02-14 10:31:30,2020-02-12,L,Alpert Marc A,"SVP, Gen. Coun., Secy.",S - Sale+OE,$54.07,"-7,143",0,-100%,"-$386,253",,,,
46,D,2020-01-06 10:15:36,2020-01-02,L,Tisch Jonathan M,"Co-Ch. of Bd, Officer of the P",S - Sale+OE,$52.75,"-18,427","9,683,932",0%,"-$972,024",,,,
47,D,2020-01-06 10:13:57,2020-01-02,L,Tisch James S,"Pres, Chief Exec. Officer",S - Sale+OE,$52.75,"-18,427","15,829,280",0%,"-$972,024",,,,
48,D,2020-01-06 10:12:15,2020-01-02,L,Tisch Andrew H,"Co-Ch. of Bd, Officer Pres, Ch",S - Sale+OE,$52.75,"-18,427","14,809,184",0%,"-$972,024",,,,
49,D,2020-01-02 10:01:14,2019-12-30,L,Siegel Kenneth I,SVP,S - Sale+OE,$52.15,"-4,130",0,-100%,"-$215,380",,,,
50,D,2019-12-16 10:20:27,2019-12-13,L,Scott Richard Waldo,"SVP, Chief Investment Officer",S - Sale+OE,$50.71,"-6,303","18,482",-25%,"-$319,625",,,,
51,D,2019-12-03 12:31:51,2019-12-02,L,Laskawy Philip A,Dir,S - Sale+OE,$50.38,-428,"7,277",-6%,"-$21,563",,,,
52,D,2019-12-03 12:30:19,2019-12-02,L,Harris Walter L,Dir,S - Sale+OE,$50.38,-428,"12,637",-3%,"-$21,563",,,,
53,D,2019-12-03 12:29:02,2019-12-02,L,Fribourg Paul J,Dir,S - Sale+OE,$50.40,-428,0,-100%,"-$21,571",,,,
54,D,2019-12-03 12:27:42,2019-12-02,L,Diker Charles M,Dir,S - Sale+OE,$50.40,-428,"9,637",-4%,"-$21,571",,,,
55,D,2019-12-03 12:26:35,2019-12-02,L,Bower Joseph L,Dir,S - Sale+OE,$50.40,-428,"11,345",-4%,"-$21,571",,,,
56,D,2019-11-26 10:58:56,2019-11-25,L,Edelson David B,"SVP, CFO",S - Sale+OE,$50.89,"-9,741","15,677",-38%,"-$495,719",,,,
57,D,2019-11-12 10:00:22,2019-11-07,L,Siegel Kenneth I,SVP,S - Sale+OE,$51.14,"-3,026",0,-100%,"-$154,750",,,,
58,,2019-09-09 13:22:25,2019-09-09,L,Alpert Marc A,"SVP, Gen. Coun., Secy.",S - Sale,$49.26,"-1,626",0,-100%,"-$80,097",,,,
59,D,2019-09-04 14:42:00,2019-09-03,L,Laskawy Philip A,Dir,S - Sale+OE,$47.73,-411,"7,277",-5%,"-$19,617",,,,
60,D,2019-09-04 14:40:53,2019-09-03,L,Harris Walter L,Dir,S - Sale+OE,$47.72,-411,"12,637",-3%,"-$19,613",,,,
