,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-08-23 13:55:20,2021-08-20,CHD,Bomhard Britta,"EVP, CMO",S - Sale+OE,$86.68,"-38,738","4,472",-90%,"-$3,357,701",,,,
2,D,2021-08-23 13:30:39,2021-08-20,CHD,Shearer Robert K,Dir,S - Sale+OE,$86.60,"-14,660","29,108",-33%,"-$1,269,524",,,,
3,DM,2021-08-04 17:34:11,2021-08-02,CHD,Bomhard Britta,"EVP, CMO",S - Sale+OE,$85.61,"-42,612","4,472",-91%,"-$3,647,858",,,,
4,D,2021-03-17 11:17:21,2021-03-16,CHD,Bomhard Britta,E.VP CMO,S - Sale+OE,$83.55,"-9,320","5,472",-63%,"-$778,686",,,,
5,D,2021-03-16 14:18:48,2021-03-15,CHD,Bomhard Britta,E.VP CMO,S - Sale+OE,$83.55,"-15,680","5,472",-74%,"-$1,310,064",,,,
6,,2021-03-04 14:55:12,2021-03-02,CHD,Craigie James,Dir,P - Purchase,$78.62,"+5,000","45,079",+12%,"+$393,100",,,,
7,,2021-02-25 14:55:34,2021-02-24,CHD,Craigie James,Dir,P - Purchase,$80.26,"+6,000","40,079",+18%,"+$481,530",,,,
8,D,2021-02-05 14:07:15,2021-02-04,CHD,Price Penry W,Dir,S - Sale+OE,$82.50,"-12,632","21,606",-37%,"-$1,042,140",,,,
9,,2020-12-18 17:45:28,2020-12-17,CHD,Cugine Steven P,"EVP New Products, Pres Int'l",S - Sale,$86.67,"-17,504","13,489",-56%,"-$1,517,072",,,,
10,D,2020-11-12 10:12:50,2020-11-10,CHD,Farrell Matthew,"Pres, CEO",S - Sale+OE,$86.13,"-25,000","148,090",-14%,"-$2,153,368",,,,
11,D,2020-08-25 14:27:12,2020-08-21,CHD,De Maynadier Patrick D,"EVP, Gen. Counsel, Secretary",S - Sale+OE,$96.70,"-18,811","14,351",-57%,"-$1,819,043",,,,
12,D,2020-08-21 11:22:32,2020-08-20,CHD,De Maynadier Patrick D,"EVP, Gen. Counsel, Secretary",S - Sale+OE,$96.70,"-9,640","14,351",-40%,"-$932,195",,,,
13,D,2020-08-21 10:34:29,2020-08-19,CHD,De Maynadier Patrick D,"EVP, Gen. Counsel, Secretary",S - Sale+OE,$96.76,"-19,685","14,351",-58%,"-$1,904,656",,,,
14,D,2020-08-11 14:27:23,2020-08-10,CHD,Farrell Matthew,"Pres, CEO",S - Sale+OE,$94.60,"-25,000","148,090",-14%,"-$2,364,945",,,,
15,D,2020-08-07 11:24:35,2020-08-06,CHD,Shearer Robert K,Dir,S - Sale+OE,$95.28,"-15,504","29,108",-35%,"-$1,477,144",,,,
16,D,2020-08-06 13:40:17,2020-08-05,CHD,Farrell Matthew,"Pres, CEO",S - Sale+OE,$95.85,"-179,580","148,090",-55%,"-$17,213,084",,,,
