,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-16 16:29:21,2021-08-12,CHRW,Short Michael John,"Pres, Global Forwarding",S - Sale,$91.49,"-2,693","19,920",-12%,"-$246,381",,,,
2,D,2021-07-02 12:37:12,2021-07-01,CHRW,Short Brian,Dir,P - Purchase,$94.40,+55,"21,951",0%,"+$5,214",,,,
3,D,2021-06-15 16:20:53,2021-06-11,CHRW,Pinkerton Mac S,Pres of North America Trans.,S - Sale+OE,$100.00,"-15,372","31,638",-33%,"-$1,537,200",,,,
4,,2021-05-18 16:43:29,2021-05-14,CHRW,Campbell Ben G,"GC, Secretary",S - Sale,$100.00,"-2,427","35,442",-6%,"-$242,700",,,,
5,,2021-05-18 16:39:24,2021-05-14,CHRW,Crawford Kermit R,Dir,P - Purchase,$99.60,"+1,000","1,000",New,"+$99,599",,,,
6,D,2021-05-18 16:37:25,2021-05-14,CHRW,Neill Michael W,CTO,S - Sale+OE,$100.00,"-4,764","12,847",-27%,"-$476,400",,,,
7,,2021-05-11 16:19:55,2021-05-07,CHRW,Freeman Angela K.,"CHRO, ESG Officer",S - Sale,$98.74,"-3,702","31,176",-11%,"-$365,553",,,,
8,,2021-05-07 10:48:14,2021-05-05,CHRW,Neill Michael W,CTO,S - Sale,$99.39,"-2,243","12,847",-15%,"-$222,932",,,,
9,D,2021-05-05 17:07:44,2021-05-03,CHRW,Short Michael John,"Pres, Global Forwarding",S - Sale+OE,$99.29,"-17,504","24,695",-41%,"-$1,737,892",,,,
10,D,2021-04-02 10:26:29,2021-04-01,CHRW,Short Brian,Dir,P - Purchase,$97.84,+53,"21,896",0%,"+$5,187",,,,
11,,2021-03-02 16:30:23,2021-02-26,CHRW,Obrien Chris,Chief Commercial Officer,S - Sale,$91.63,"-2,416","71,489",-3%,"-$221,378",,,,
12,,2021-02-23 17:07:38,2021-02-19,CHRW,Obrien Chris,Chief Commercial Officer,S - Sale,$91.59,"-2,415","73,905",-3%,"-$221,195",,,,
13,,2021-02-18 16:26:21,2021-02-17,CHRW,Castagnetto Michael D.,Pres of Robinson Fresh,S - Sale,$88.10,-550,"7,805",-7%,"-$48,455",,,,
14,D,2021-01-05 16:43:32,2021-01-04,CHRW,Short Brian,Dir,P - Purchase,$93.58,+55,"21,843",0%,"+$5,159",,,,
15,D,2020-11-12 18:18:32,2020-11-09,CHRW,Short Michael John,"Pres, Global Forwarding",S - Sale+OE,$94.01,"-22,037","19,238",-53%,"-$2,071,798",,,,
16,D,2020-10-02 16:42:29,2020-09-30,CHRW,Short Brian,Dir,P - Purchase,$103.41,+50,"21,788",0%,"+$5,134",,,,
17,,2020-09-02 16:42:11,2020-08-31,CHRW,Pinkerton Mac S,Pres of North America Trans.,S - Sale,$98.06,-500,"23,461",-2%,"-$49,031",,,,
