,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,M,2021-08-12 17:28:00,2021-08-10,CI,Zarcone Donna F,Dir,P - Purchase,$210.74,"+1,000","26,202",+4%,"+$210,741",,,,
2,D,2021-06-28 21:01:24,2021-06-28,CI,Granger Elder,Dir,S - Sale+OE,$237.06,"-4,844","3,262",-60%,"-$1,148,319",,,,
3,D,2021-06-16 17:28:44,2021-06-14,CI,Triplett Michael W,"Pres, US Markets",S - Sale+OE,$240.70,"-3,075","31,391",-9%,"-$740,160",,,,
4,D,2021-05-11 18:04:26,2021-05-07,CI,Cordani David,"Pres, CEO",S - Sale+OE,$260.83,"-62,123","552,334",-10%,"-$16,203,311",,,,
5,D,2021-05-06 17:50:29,2021-05-04,CI,Cordani David,"Pres, CEO",S - Sale+OE,$255.77,"-42,772","537,976",-7%,"-$10,939,766",,,,
6,D,2021-04-23 21:19:34,2021-04-21,CI,Cordani David,"Pres, CEO",S - Sale+OE,$255.39,"-6,207","523,739",-1%,"-$1,585,195",,,,
7,D,2021-04-19 21:19:05,2021-04-15,CI,Cordani David,"Pres, CEO",S - Sale+OE,$253.52,"-130,443","523,739",-20%,"-$33,069,927",,,,
8,D,2021-04-19 21:19:02,2021-04-15,CI,Wentworth Timothy C,CEO Evernorth,S - Sale+OE,$249.54,"-14,600","72,417",-17%,"-$3,643,284",,,,
9,D,2021-04-19 21:18:57,2021-04-15,CI,Jones Nicole S,"EVP, GC",S - Sale+OE,$251.51,"-19,375","40,581",-32%,"-$4,873,001",,,,
10,,2021-03-02 20:27:47,2021-03-01,CI,Jones Nicole S,"EVP, GC",S - Sale,$212.37,"-2,527","37,441",-6%,"-$536,659",,,,
11,,2021-03-02 20:27:38,2021-03-01,CI,Manders Matthew G,"Pres, Government, Solutions",S - Sale,$212.37,"-3,087","44,569",-6%,"-$655,586",,,,
12,,2021-03-02 20:27:19,2021-03-01,CI,Cordani David,"Pres, CEO",S - Sale,$212.37,"-16,314","495,481",-3%,"-$3,464,604",,,,
13,,2021-03-02 20:27:07,2021-03-01,CI,Wentworth Timothy C,CEO Evernorth,S - Sale,$214.67,"-5,732","66,330",-8%,"-$1,230,484",,,,
14,D,2021-02-12 17:03:39,2021-02-10,CI,Jones Nicole S,"EVP, GC",S - Sale+OE,$212.32,"-9,275","34,768",-21%,"-$1,969,268",,,,
15,,2021-02-08 18:23:58,2021-02-08,CI,Wentworth Timothy C,CEO Evernorth,S - Sale,$204.98,"-5,144","66,389",-7%,"-$1,054,428",,,,
16,,2021-01-25 18:40:27,2021-01-21,CI,Manders Matthew G,"Pres, Government, Solutions",S - Sale,$230.06,"-5,596","40,422",-12%,"-$1,287,438",,,,
17,D,2021-01-25 18:39:20,2021-01-21,CI,Cordani David,"Pres, CEO",S - Sale+OE,$230.00,"-55,176","484,184",-10%,"-$12,690,480",,,,
18,,2021-01-25 18:38:15,2021-01-21,CI,Sadler Jason D,"Pres, International Markets",S - Sale,$230.04,"-2,000","25,482",-7%,"-$460,081",,,,
19,D,2021-01-14 18:16:57,2021-01-12,CI,Cordani David,"Pres, CEO",S - Sale+OE,$225.00,"-55,280","470,412",-11%,"-$12,438,000",,,,
20,D,2021-01-08 17:31:51,2021-01-06,CI,Miller Steven B,"EVP, Chief Clinical Officer",S - Sale+OE,$210.00,"-8,972","26,881",-25%,"-$1,884,120",,,,
21,,2020-12-30 17:40:03,2020-12-28,CI,Wentworth Timothy C,CEO Evernorth,S - Sale,$202.63,"-3,849","76,087",-5%,"-$779,919",,,,
22,D,2020-12-21 17:50:20,2020-12-17,CI,Murabito John M,"EVP, HR, Services",S - Sale+OE,$203.31,"-13,986","47,534",-23%,"-$2,843,494",,,,
