,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-11 14:41:28,2021-08-09,CINF,Debbink Dirk J,Dir,P - Purchase,$118.73,+419,"40,416",+1%,"+$49,749",,,,
2,,2021-05-18 15:51:56,2021-05-14,CINF,Schiff Charles Odell,Dir,S - Sale,$119.82,"-10,100","1,508,937",-1%,"-$1,210,207",,,,
3,,2021-02-16 15:44:06,2021-02-12,CINF,Debbink Dirk J,Dir,P - Purchase,$91.60,+383,"39,602",+1%,"+$35,083",,,,
4,,2020-11-18 14:59:57,2020-11-16,CINF,Aaron Thomas J,Dir,P - Purchase,$79.68,"+2,500","4,669",+115%,"+$199,207",,,,
5,,2020-11-10 15:51:43,2020-11-06,CINF,Debbink Dirk J,Dir,P - Purchase,$74.84,+500,"37,833",+1%,"+$37,420",,,,
6,,2020-11-06 15:31:44,2020-11-04,CINF,Debbink Dirk J,Dir,P - Purchase,$71.56,+500,"37,333",+1%,"+$35,780",,,,
7,,2020-08-03 14:00:00,2020-07-30,CINF,Aaron Thomas J,Dir,P - Purchase,$79.01,"+1,000","2,169",+86%,"+$79,015",,,,
8,,2020-07-31 14:25:46,2020-07-29,CINF,Cracas Teresa C,"SVP, Chief Risk Officer - Sub",S - Sale,$82.79,"-100,000","30,963",-76%,"-$8,278,824",,,,
9,,2020-05-01 15:13:24,2020-04-29,CINF,Debbink Dirk J,Dir,P - Purchase,$72.25,"+2,000","36,308",+6%,"+$144,500",,,,
10,,2020-05-01 15:13:10,2020-04-29,CINF,Skidmore Douglas S,Dir,P - Purchase,$72.51,"+3,500","45,390",+8%,"+$253,779",,,,
11,,2020-03-16 14:50:41,2020-03-12,CINF,Debbink Dirk J,Dir,P - Purchase,$85.10,"+1,150","34,070",+3%,"+$97,865",,,,
12,,2020-03-13 10:46:42,2020-03-11,CINF,Skidmore Douglas S,Dir,P - Purchase,$91.00,"+2,745","41,890",+7%,"+$249,783",,,,
13,,2020-03-04 16:05:20,2020-03-02,CINF,Aaron Thomas J,Dir,P - Purchase,$98.56,"+1,010","1,169",+635%,"+$99,541",,,,
14,,2020-03-03 17:15:25,2020-02-28,CINF,Debbink Dirk J,Dir,P - Purchase,$93.24,+268,"32,920",+1%,"+$25,000",,,,
15,,2020-02-14 15:22:14,2020-02-12,CINF,Doyle Donald J Jr,SVP - Subsidiary,S - Sale,$114.66,-785,"28,683",-3%,"-$90,008",,,,
16,,2019-12-03 14:42:02,2019-11-29,CINF,Debbink Dirk J,Dir,P - Purchase,$107.05,+374,"31,538",+1%,"+$40,000",,,,
17,,2019-08-20 16:18:11,2019-08-16,CINF,Debbink Dirk J,Dir,P - Purchase,$109.70,+182,"31,014",+1%,"+$20,000",,,,
18,,2019-02-20 15:37:48,2019-02-15,CINF,Debbink Dirk J,Dir,P - Purchase,$85.48,+351,"30,477",+1%,"+$30,000",,,,
19,,2018-05-15 14:23:31,2018-05-11,CINF,Debbink Dirk J,Dir,P - Purchase,$71.88,+278,"28,486",+1%,"+$20,000",,,,
20,,2018-05-09 14:05:22,2018-05-07,CINF,Osborn David P,Dir,P - Purchase,$70.16,+370,"38,778",+1%,"+$25,959",,,,
21,,2018-02-13 15:54:05,2018-02-09,CINF,Skidmore Douglas S,Dir,P - Purchase,$70.65,+650,"37,180",+2%,"+$45,923",,,,
22,,2017-12-05 14:23:35,2017-12-01,CINF,Debbink Dirk J,Dir,P - Purchase,$74.52,+134,"26,740",+1%,"+$10,000",,,,
23,,2017-08-15 14:29:45,2017-08-11,CINF,Debbink Dirk J,Dir,P - Purchase,$79.00,+127,"26,433",0%,"+$10,000",,,,
24,,2017-05-23 14:25:33,2017-05-19,CINF,Debbink Dirk J,Dir,P - Purchase,$69.04,+145,"26,127",+1%,"+$10,000",,,,
25,,2017-05-10 14:24:29,2017-05-08,CINF,Osborn David P,Dir,P - Purchase,$70.00,"+1,925","35,867",+6%,"+$134,753",0,,,
26,,2016-12-07 14:16:08,2016-12-05,CINF,Doyle Donald J Jr,SVP - Subsidiary,S - Sale,$76.69,"-3,000","26,353",-10%,"-$230,056",+1,+2,-1,
27,,2016-12-06 14:33:48,2016-12-02,CINF,Debbink Dirk J,Dir,P - Purchase,$76.88,+130,"24,426",+1%,"+$10,000",0,+3,-1,
28,,2016-11-08 14:17:49,2016-11-04,CINF,Osborn David P,Dir,P - Purchase,$68.44,+500,"32,073",+2%,"+$34,218",+1,+5,+13,+2
29,,2016-08-23 13:56:19,2016-08-19,CINF,Debbink Dirk J,Dir,P - Purchase,$76.00,+132,"24,143",+1%,"+$10,000",0,+2,0,-3
30,,2016-06-07 14:50:17,2016-06-03,CINF,Debbink Dirk J,Dir,P - Purchase,$69.49,+144,"23,861",+1%,"+$10,000",0,+1,+9,+12
31,,2015-12-08 14:45:25,2015-12-04,CINF,Debbink Dirk J,Dir,P - Purchase,$61.49,+163,"21,905",+1%,"+$10,000",-1,-3,-8,+16
32,,2015-08-25 09:44:11,2015-08-21,CINF,Debbink Dirk J,Dir,P - Purchase,$53.86,+186,"21,566",+1%,"+$10,000",-1,+2,+4,+26
33,,2015-06-09 11:34:41,2015-06-05,CINF,Debbink Dirk J,Dir,P - Purchase,$50.53,+198,"21,199",+1%,"+$10,000",0,+1,+6,+26
34,,2015-05-12 14:22:46,2015-05-08,CINF,Debbink Dirk J,Dir,P - Purchase,$51.48,+194,"21,001",+1%,"+$10,000",-1,0,0,+21
35,,2014-12-02 14:41:49,2014-11-28,CINF,Osborn David P,Dir,P - Purchase,$51.00,"+11,000","26,136",+73%,"+$561,000",+1,+3,+3,+2
36,,2014-12-02 14:39:27,2014-11-28,CINF,Debbink Dirk J,Dir,P - Purchase,$50.95,+196,"19,108",+1%,"+$10,000",+1,+3,+3,+2
37,,2014-09-16 13:07:06,2014-09-12,CINF,Debbink Dirk J,Dir,P - Purchase,$48.04,+208,"18,733",+1%,"+$10,000",0,0,-3,+14
38,,2014-06-10 11:07:38,2014-06-06,CINF,Debbink Dirk J,Dir,P - Purchase,$49.29,+203,"18,357",+1%,"+$10,000",0,-1,-2,+7
39,,2014-04-30 11:56:17,2014-04-28,CINF,Osborn David P,Dir,P - Purchase,$48.42,"+5,000","14,861",+51%,"+$242,108",+1,+1,+1,+3
40,,2014-04-30 11:53:47,2014-04-28,CINF,Van Den Heuvel Will H,SVP-Subsidiary,P - Purchase,$48.14,"+1,038","1,038",New,"+$49,969",+1,+1,+1,+3
41,,2014-03-04 14:35:03,2014-02-28,CINF,Debbink Dirk J,Dir,P - Purchase,$46.88,+213,"17,990",+1%,"+$10,000",+1,+3,+4,+5
42,,2014-02-12 08:55:09,2014-02-10,CINF,Lichtendahl Kenneth C,Dir,P - Purchase,$45.30,"+1,050","31,452",+3%,"+$47,565",0,+1,+2,+4
