,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-15 16:57:19,2021-09-14,CL,Massey Sally,CHRO,S - Sale,$77.18,-610,"14,114",-4%,"-$47,079",,,,
2,,2021-09-15 16:57:02,2021-09-14,CL,Kooyman John W,Chief of Staff,S - Sale,$77.18,-635,"17,593",-3%,"-$49,008",,,,
3,D,2021-08-18 17:01:41,2021-08-16,CL,Shotts Philip G.,"VP, Controller",S - Sale+OE,$79.95,"-12,737","95,935",-12%,"-$1,018,323",,,,
4,D,2021-08-09 17:06:55,2021-08-05,CL,Daniels Jennifer,"CLO, Secretary",S - Sale+OE,$79.11,"-20,290","41,309",-33%,"-$1,605,136",,,,
5,D,2021-08-06 18:35:54,2021-08-04,CL,Norrington Lorrie M,Dir,S - Sale+OE,$78.02,"-1,898","22,704",-8%,"-$148,083",,,,
6,D,2021-05-12 17:05:17,2021-05-10,CL,Daniels Jennifer,"CLO, Secretary",S - Sale+OE,$82.62,"-20,289","41,266",-33%,"-$1,676,302",,,,
7,D,2021-05-12 17:05:08,2021-05-10,CL,Massey Sally,CHRO,S - Sale+OE,$83.67,"-5,733","14,598",-28%,"-$479,651",,,,
8,D,2021-05-10 17:07:58,2021-05-06,CL,Kooyman John W,Chief of Staff,S - Sale+OE,$82.07,"-11,195","18,087",-38%,"-$918,729",,,,
9,,2021-05-07 17:12:31,2021-05-05,CL,Sadove Stephen I,Dir,S - Sale,$81.30,"-8,000","29,068",-22%,"-$650,390",,,,
10,D,2021-05-07 17:12:20,2021-05-05,CL,Wallace Noel R.,"COB, Pres, CEO",S - Sale+OE,$81.03,"-25,279","280,393",-8%,"-$2,048,383",,,,
11,D,2021-05-07 17:12:12,2021-05-05,CL,Verduin Patricia,CTO,S - Sale+OE,$80.89,"-46,566","62,783",-43%,"-$3,766,929",,,,
12,D,2021-05-07 17:11:08,2021-05-05,CL,Bilbrey John P,Dir,S - Sale+OE,$80.95,"-3,941","22,805",-15%,"-$319,024",,,,
13,,2021-02-22 17:28:42,2021-02-18,CL,Massey Sally,CHRO,S - Sale,$78.36,-3,"14,445",0%,-$235,,,,
14,,2021-02-22 17:28:35,2021-02-18,CL,Wallace Noel R.,"COB, Pres, CEO",S - Sale,$78.25,-17,"280,025",0%,"-$1,330",,,,
15,,2021-02-22 17:28:21,2021-02-18,CL,Verduin Patricia,CTO,S - Sale,$78.36,-9,"62,650",0%,-$705,,,,
16,,2021-02-22 17:26:59,2021-02-18,CL,Kooyman John W,Chief of Staff,S - Sale,$78.36,-3,"19,132",0%,-$235,,,,
17,,2021-02-22 17:26:59,2021-02-18,CL,Shotts Philip G.,"VP, Controller",S - Sale,$78.36,-2,"94,711",0%,-$157,,,,
18,,2021-02-18 17:23:25,2021-02-16,CL,Kooyman John W,Chief of Staff,S - Sale,$77.16,-463,"17,047",-3%,"-$35,727",,,,
19,,2021-02-18 17:23:21,2021-02-16,CL,Massey Sally,CHRO,S - Sale,$77.16,-450,"10,995",-4%,"-$34,724",,,,
20,,2021-02-18 17:23:18,2021-02-16,CL,Shotts Philip G.,"VP, Controller",S - Sale,$77.16,-346,"93,038",0%,"-$26,699",,,,
21,,2021-02-18 17:23:14,2021-02-16,CL,Wallace Noel R.,"COB, Pres, CEO",S - Sale,$77.30,"-2,961","251,711",-1%,"-$228,894",,,,
22,,2021-02-18 17:22:22,2021-02-16,CL,Verduin Patricia,CTO,S - Sale,$77.16,"-1,513","54,081",-3%,"-$116,749",,,,
23,D,2021-02-12 16:59:03,2021-02-11,CL,Polk Michael B,Dir,S - Sale+OE,$79.25,"-4,835","18,255",-21%,"-$383,174",,,,
24,D,2021-02-08 17:08:04,2021-02-04,CL,Daniels Jennifer,"CLO, Secretary",S - Sale+OE,$78.65,"-20,692","35,751",-37%,"-$1,627,347",,,,
25,D,2020-11-20 17:21:50,2020-11-18,CL,Tsourapas Panagiotis,"Grp Pres, LatAm,AsiaPac, AF, E",S - Sale+OE,$85.27,"-11,714","50,245",-19%,"-$998,889",,,,
26,D,2020-11-19 17:55:01,2020-11-17,CL,Wallace Noel R.,"COB, Pres, CEO",S - Sale+OE,$85.86,"-21,446","254,413",-8%,"-$1,841,296",,,,
27,D,2020-11-18 17:43:18,2020-11-16,CL,Tsourapas Panagiotis,"Grp Pres, LatAm,AsiaPac, AF, E",S - Sale+OE,$85.69,"-15,000","50,245",-23%,"-$1,285,367",,,,
28,D,2020-11-12 17:21:43,2020-11-11,CL,Tsourapas Panagiotis,"Grp Pres, LatAm,AsiaPac, AF, E",S - Sale+OE,$85.00,"-7,500","50,245",-13%,"-$637,505",,,,
29,D,2020-11-12 17:20:24,2020-11-11,CL,Shotts Philip G.,"VP, Controller",S - Sale+OE,$84.50,"-7,000","92,893",-7%,"-$591,500",,,,
30,D,2020-11-12 17:20:20,2020-11-09,CL,Wallace Noel R.,"COB, Pres, CEO",S - Sale+OE,$83.80,"-26,886","250,859",-10%,"-$2,253,020",,,,
31,DM,2020-11-09 17:37:34,2020-11-05,CL,Wallace Noel R.,"COB, Pres, CEO",S - Sale+OE,$83.59,"-16,476","246,730",-6%,"-$1,377,184",,,,
32,D,2020-11-09 17:36:29,2020-11-05,CL,Daniels Jennifer,"CLO, Secretary",S - Sale+OE,$84.33,"-20,693","35,723",-37%,"-$1,744,958",,,,
33,D,2020-11-06 17:15:37,2020-11-04,CL,Cahill John T,Dir,S - Sale+OE,$85.31,"-5,583","48,748",-10%,"-$476,264",,,,
34,D,2020-11-06 17:15:29,2020-11-04,CL,Sadove Stephen I,Dir,S - Sale+OE,$85.27,"-5,583","36,947",-13%,"-$476,062",,,,
35,D,2020-11-06 17:15:23,2020-11-04,CL,Tsourapas Panagiotis,"Grp Pres, LatAm,AsiaPac, AF, E",S - Sale+OE,$84.90,"-20,000","50,245",-28%,"-$1,698,002",,,,
36,D,2020-11-06 17:14:15,2020-11-04,CL,Jakobsen Henning I,CFO,S - Sale+OE,$85.22,"-145,280","10,341",-93%,"-$12,380,108",,,,
37,D,2020-11-06 17:14:08,2020-11-04,CL,Massey Sally,CHRO,S - Sale+OE,$85.03,"-5,732","11,371",-34%,"-$487,386",,,,
38,,2020-09-30 17:13:46,2020-09-28,CL,Shotts Philip G.,"VP, Controller",S - Sale,$77.29,-401,"92,573",0%,"-$30,995",,,,
39,,2020-09-30 17:13:43,2020-09-28,CL,Massey Sally,CHRO,S - Sale,$77.30,-387,"11,304",-3%,"-$29,915",,,,
40,D,2020-08-14 17:25:55,2020-08-12,CL,Huston John J,"SVP, Office of the COB",S - Sale+OE,$77.18,"-84,905","83,941",-50%,"-$6,553,375",,,,
41,D,2020-08-13 17:19:05,2020-08-05,CL,Massey Sally,CHRO,S - Sale+OE,$76.28,"-6,336","11,672",-35%,"-$483,311",,,,
42,,2020-08-13 17:18:43,2020-08-11,CL,Kooyman John W,Chief of Staff,S - Sale,$76.28,"-1,211","17,776",-6%,"-$92,375",,,,
43,,2020-08-12 17:48:03,2020-08-10,CL,Huston John J,"SVP, Office of the COB",S - Sale,$76.38,"-3,000","83,941",-3%,"-$229,129",,,,
44,D,2020-08-12 17:23:44,2020-08-10,CL,Shotts Philip G.,"VP, Controller",S - Sale+OE,$76.50,"-17,645","92,737",-16%,"-$1,349,843",,,,
45,D,2020-08-10 17:06:42,2020-08-06,CL,Daniels Jennifer,"CLO, Secretary",S - Sale+OE,$75.80,"-41,386","35,691",-54%,"-$3,136,968",,,,
