,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-04-07 16:27:43,2021-04-05,CLX,Reynolds Eric H,EVP - COO,S - Sale,$193.04,"-1,015","13,127",-7%,"-$195,931",,,,
2,,2021-03-09 16:15:55,2021-03-05,CLX,Reynolds Eric H,EVP - COO,S - Sale,$181.14,"-1,222","14,142",-8%,"-$221,353",,,,
3,,2021-01-27 18:48:12,2021-01-25,CLX,Reynolds Eric H,EVP - COO,S - Sale,$214.07,"-3,147","15,364",-17%,"-$673,685",,,,
4,D,2021-01-27 18:17:28,2021-01-25,CLX,Jacobsen Kevin B,EVP - CFO,S - Sale+OE,$215.00,"-35,176","18,399",-66%,"-$7,562,840",,,,
5,D,2020-12-11 16:18:05,2020-12-09,CLX,Barral Diego J,"SVP - GM, International",S - Sale+OE,$200.19,"-9,916","7,005",-59%,"-$1,985,050",,,,
6,D,2020-12-02 17:09:45,2020-11-30,CLX,Dorer Benno O,Exec Chair,S - Sale+OE,$200.92,"-417,022","170,697",-71%,"-$83,789,471",,,,
7,D,2020-11-20 17:04:12,2020-11-18,CLX,Marriner Kirsten,EVP - Chief People Officer,S - Sale+OE,$210.00,"-62,206","11,267",-85%,"-$13,063,260",,,,
8,,2020-11-19 16:46:44,2020-11-17,CLX,Reynolds Eric H,"EVP - Household, Lifestyle",S - Sale,$207.41,"-1,824","20,146",-8%,"-$378,323",,,,
9,,2020-11-17 19:35:36,2020-11-13,CLX,Barral Diego J,"SVP - GM, International",S - Sale,$207.14,"-1,443","6,529",-18%,"-$298,901",,,,
10,D,2020-11-06 18:31:04,2020-11-04,CLX,Mowery Andrew J,SVP-Chief Product Supply,S - Sale+OE,$213.52,"-27,175","15,300",-64%,"-$5,802,405",,,,
11,D,2020-11-05 18:59:08,2020-11-03,CLX,Bailey William S,SVP - Corporate Business Dev,S - Sale+OE,$212.47,"-15,114","9,349",-62%,"-$3,211,263",,,,
12,M,2020-11-05 17:39:06,2020-11-03,CLX,Stein Laura,EVP - GC,S - Sale,$214.46,"-28,000","40,325",-41%,"-$6,004,839",,,,
13,D,2020-08-10 17:42:19,2020-08-06,CLX,Mowery Andrew J,SVP-Chief Product Supply,S - Sale+OE,$235.97,"-12,932","11,634",-53%,"-$3,051,505",,,,
14,D,2020-08-07 18:22:21,2020-08-05,CLX,Bailey William S,SVP - Corporate Business Dev,S - Sale+OE,$238.50,"-11,468","7,820",-59%,"-$2,735,118",,,,
15,D,2020-08-06 20:01:46,2020-08-04,CLX,Barral Diego J,"SVP - GM, International",S - Sale+OE,$235.59,"-10,041","6,130",-62%,"-$2,365,595",,,,
16,D,2020-06-10 19:42:36,2020-06-08,CLX,Garner Denise,SVP - Chief Innovation Officer,S - Sale+OE,$197.62,"-25,832","9,167",-74%,"-$5,104,881",,,,
17,D,2020-05-15 16:34:59,2020-05-13,CLX,Jacobsen Kevin B,EVP - CFO,S - Sale+OE,$206.59,"-15,066","13,180",-53%,"-$3,112,487",,,,
18,D,2020-05-13 17:01:32,2020-05-11,CLX,Bailey William S,SVP - Corporate Business Dev,S - Sale+OE,$207.53,"-7,969","7,203",-53%,"-$1,653,820",,,,
19,D,2020-05-12 17:47:51,2020-05-08,CLX,Costello Michael R.,SVP - GM,S - Sale+OE,$203.06,"-48,124","35,975",-57%,"-$9,771,795",,,,
20,D,2020-05-12 17:46:44,2020-05-08,CLX,Baker Jeff,"VP - CAO, Corp Controller",S - Sale+OE,$203.75,"-5,158","6,188",-45%,"-$1,050,915",,,,
21,D,2020-05-12 16:18:16,2020-05-08,CLX,Barral Diego J,"SVP - GM, International",S - Sale+OE,$203.72,"-7,955","9,511",-46%,"-$1,620,560",,,,
22,D,2020-05-07 19:01:50,2020-05-05,CLX,Barral Diego J,"SVP - GM, International",S - Sale+OE,$203.61,"-11,031","9,006",-55%,"-$2,245,962",,,,
23,D,2020-03-04 19:17:41,2020-03-02,CLX,Dorer Benno O,"Chair, CEO",S - Sale+OE,$169.01,"-252,794","104,902",-71%,"-$42,724,858",,,,
24,,2020-03-04 19:14:12,2020-03-02,CLX,Garner Denise,SVP - Chief Innovation Officer,S - Sale,$170.00,-870,"8,044",-10%,"-$147,900",,,,
25,D,2020-03-04 19:13:05,2020-03-02,CLX,Costello Michael R.,SVP - GM,S - Sale+OE,$169.43,"-19,360","32,465",-37%,"-$3,280,234",,,,
26,,2020-02-11 17:40:07,2020-02-07,CLX,Barral Diego J,"SVP - GM, International",S - Sale,$165.62,"-2,086","8,247",-20%,"-$345,480",,,,
27,,2019-11-25 16:15:13,2019-11-22,CLX,Garner Denise,SVP - Chief Innovation Officer,S - Sale,$146.21,"-4,051","8,853",-31%,"-$592,281",,,,
28,D,2019-11-06 16:29:01,2019-11-04,CLX,Mowery Andrew J,SVP-Chief Product Supply,S - Sale+OE,$146.29,"-5,648","10,272",-35%,"-$826,220",,,,
29,,2019-09-09 16:52:48,2019-09-05,CLX,Barral Diego J,"SVP - GM, International",S - Sale,$161.85,"-1,002","10,333",-9%,"-$162,171",,,,
30,D,2019-09-06 16:18:09,2019-09-04,CLX,Costello Michael R.,SVP - GM,S - Sale+OE,$162.56,"-6,997","30,995",-18%,"-$1,137,399",,,,
31,DM,2019-08-22 16:26:02,2019-08-20,CLX,Costello Michael R.,SVP - GM,S - Sale+OE,$161.34,"-3,225","29,038",-10%,"-$520,315",,,,
32,D,2019-08-08 16:18:32,2019-08-06,CLX,Mackay A D David,Dir,S - Sale+OE,$154.87,"-3,400","1,600",-68%,"-$526,551",,,,
33,,2019-08-06 16:17:28,2019-08-02,CLX,Barral Diego J,"SVP - GM, International",S - Sale,$157.59,"-1,987","10,279",-16%,"-$313,130",,,,
34,D,2019-06-11 17:24:59,2019-06-07,CLX,Bailey William S,SVP - Corporate Business Dev,S - Sale+OE,$159.14,"-4,582","4,301",-52%,"-$729,160",,,,
35,DM,2019-06-10 18:50:24,2019-06-06,CLX,Garner Denise,SVP - Chief Innovation Officer,S - Sale+OE,$157.61,"-20,399","11,998",-63%,"-$3,215,035",,,,
36,D,2019-03-05 16:28:37,2019-03-01,CLX,Mowery Andrew J,SVP-Chief Product Supply,S - Sale+OE,$156.44,"-5,340","8,995",-37%,"-$835,373",,,,
37,D,2019-02-08 17:17:18,2019-02-06,CLX,Laszlo Matthew T,SVP - Chief Customer Officer,S - Sale+OE,$153.89,"-10,585","10,889",-49%,"-$1,628,883",,,,
38,D,2018-12-19 18:58:51,2018-12-17,CLX,Willoughby Dawn C,EVP-COO,S - Sale+OE,$160.68,"-25,317","19,516",-56%,"-$4,067,964",,,,
39,D,2018-12-11 16:20:31,2018-12-07,CLX,Baker Jeff,"VP - CAO, Corp Controller",S - Sale+OE,$162.56,"-3,694","3,729",-50%,"-$600,487",,,,
40,DM,2018-12-10 18:22:25,2018-12-06,CLX,Garner Denise,SVP - Chief Innovation Officer,S - Sale+OE,$163.53,"-18,366","11,092",-62%,"-$3,003,433",,,,
41,D,2018-12-07 20:23:01,2018-12-04,CLX,Willoughby Dawn C,EVP-COO,S - Sale+OE,$164.59,"-25,950","17,624",-60%,"-$4,271,201",,,,
42,D,2018-12-06 20:13:55,2018-12-04,CLX,Dorer Benno O,"COB, CEO",S - Sale+OE,$164.83,"-152,449","74,006",-67%,"-$25,128,795",,,,
43,D,2018-11-23 16:34:39,2018-11-20,CLX,Laszlo Matthew T,SVP - Chief Customer Officer,S - Sale+OE,$161.04,"-13,485","10,714",-56%,"-$2,171,655",,,,
44,D,2018-11-16 16:20:30,2018-11-15,CLX,Costello Michael R.,SVP - GM,S - Sale+OE,$160.08,"-6,882","28,894",-19%,"-$1,101,691",,,,
45,D,2018-11-08 16:26:29,2018-11-06,CLX,Willoughby Dawn C,EVP-COO,S - Sale+OE,$157.39,"-54,205","19,446",-74%,"-$8,531,092",,,,
46,D,2018-11-08 16:26:24,2018-11-06,CLX,Barral Diego J,"SVP - GM, International",S - Sale+OE,$157.98,"-12,880","12,128",-52%,"-$2,034,820",,,,
47,,2018-09-10 16:20:24,2018-09-06,CLX,Rendle Linda J,"EVP - Cleaning, Strategy",S - Sale,$148.32,-382,"6,821",-5%,"-$56,657",,,,
