,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-06-07 16:34:12,2021-06-04,CMCSA,Bacon Kenneth J,Dir,S - Sale,$56.89,"-4,031","29,580",-12%,"-$229,332",,,,
2,,2021-05-11 16:10:01,2021-05-10,CMCSA,Bacon Kenneth J,Dir,S - Sale,$58.83,"-3,966","33,611",-11%,"-$233,329",,,,
3,,2021-05-04 16:11:31,2021-05-03,CMCSA,Murdock Daniel C.,"EVP, Chief Accounting Officer",S - Sale,$56.89,"-9,800",26,-100%,"-$557,456",,,,
4,,2021-04-30 17:31:56,2021-04-30,CMCSA,Roberts Brian L,"COB, Pres, CEO",S - Sale,$55.20,"-709,673","24,529,376",-3%,"-$39,173,950",,,,
5,,2021-03-05 16:29:12,2021-03-04,CMCSA,Montiel Maritza Gomez,Dir,S - Sale,$54.24,"-6,000","6,207",-49%,"-$325,413",,,,
6,,2021-03-05 16:29:03,2021-03-04,CMCSA,Miller Adam Louis,EVP,S - Sale,$54.89,"-32,891","35,957",-48%,"-$1,805,288",,,,
7,D,2021-02-12 16:24:13,2021-02-11,CMCSA,Watson David N,Sr. EVP,S - Sale+OE,$52.75,"-181,281","904,369",-17%,"-$9,562,029",,,,
8,,2021-01-29 16:11:42,2021-01-28,CMCSA,Montiel Maritza Gomez,Dir,S - Sale,$49.97,"-2,000","12,170",-14%,"-$99,948",,,,
9,D,2020-12-03 16:43:16,2020-12-02,CMCSA,Shell Jeff,CEO - NBCUniversal,S - Sale+OE,$51.23,"-5,582","332,667",-2%,"-$285,938",,,,
10,D,2020-08-25 16:02:04,2020-08-24,CMCSA,Murdock Daniel C.,"SVP, Chief Accounting Officer",S - Sale+OE,$42.87,-848,"3,205",-21%,"-$36,354",,,,
11,D,2020-08-04 17:05:16,2020-08-03,CMCSA,Shell Jeff,CEO - NBCUniversal,S - Sale+OE,$42.91,"-99,484","332,667",-23%,"-$4,268,560",,,,
12,D,2020-06-16 16:44:32,2020-06-15,CMCSA,Murdock Daniel C.,"SVP, Chief Accounting Officer",S - Sale+OE,$38.60,"-4,536","3,205",-59%,"-$175,090",,,,
13,,2020-05-11 16:06:05,2020-05-08,CMCSA,Bonovitz Sheldon M,Dir,S - Sale,$36.47,"-15,660","156,332",-9%,"-$571,120",,,,
14,,2020-04-17 17:09:10,2020-04-16,CMCSA,Murdock Daniel C.,"SVP, Chief Accounting Officer",S - Sale,$37.53,-919,"2,654",-26%,"-$34,490",,,,
15,DM,2020-03-20 14:15:13,2020-03-18,CMCSA,Murdock Daniel C.,"SVP, Chief Accounting Officer",S - Sale+OE,$35.98,"-1,591","2,654",-37%,"-$57,245",,,,
16,D,2020-03-18 16:12:04,2020-03-16,CMCSA,Watson David N,Sr. EVP,S - Sale+OE,$37.05,"-202,782","879,239",-19%,"-$7,512,136",,,,
17,D,2020-03-18 16:10:35,2020-03-17,CMCSA,Murdock Daniel C.,"SVP, Chief Accounting Officer",S - Sale+OE,$36.55,"-1,038","3,573",-23%,"-$37,939",,,,
18,,2020-02-24 16:01:54,2020-02-20,CMCSA,Murdock Daniel C.,"SVP, Chief Accounting Officer",S - Sale,$45.80,"-1,176","2,654",-31%,"-$53,861",,,,
19,D,2020-02-07 16:22:05,2020-02-06,CMCSA,Roberts Brian L,"COB, Pres, CEO",S - Sale+OE,$44.64,"-513,706","25,080,832",-2%,"-$22,931,322",,,,
20,D,2019-12-18 16:59:08,2019-12-16,CMCSA,Watson David N,Sr. EVP,S - Sale+OE,$43.67,"-78,100","869,734",-8%,"-$3,410,861",,,,
21,D,2019-12-18 16:32:03,2019-12-16,CMCSA,Cohen David L,Sr. EVP,S - Sale+OE,$43.76,"-633,703","1,029,686",-38%,"-$27,732,656",,,,
22,,2019-10-30 16:04:03,2019-10-29,CMCSA,Bonovitz Sheldon M,Dir,S - Sale,$45.47,"-5,600","156,332",-3%,"-$254,637",,,,
23,D,2019-10-29 16:58:57,2019-10-28,CMCSA,Roberts Brian L,"COB, Pres, CEO",S - Sale+OE,$44.98,"-508,248","25,072,182",-2%,"-$22,859,979",,,,
24,,2019-09-06 16:18:44,2019-09-04,CMCSA,Bacon Kenneth J,Dir,S - Sale,$45.03,"-4,000","29,603",-12%,"-$180,136",,,,
25,D,2019-08-23 12:25:05,2019-08-22,CMCSA,Murdock Daniel C.,"SVP, Chief Accounting Officer",S - Sale+OE,$44.23,-848,"2,132",-28%,"-$37,507",,,,
26,D,2019-06-14 13:22:49,2019-06-13,CMCSA,Murdock Daniel C.,"SVP, Chief Accounting Officer",S - Sale+OE,$41.46,"-1,701","2,132",-44%,"-$70,523",,,,
27,D,2019-04-29 16:16:05,2019-04-26,CMCSA,Burke Stephen B,Sr. EVP,S - Sale+OE,$43.35,"-457,633","811,997",-36%,"-$19,836,370",,,,
28,,2019-04-24 16:21:45,2019-04-23,CMCSA,Cohen David L,Sr. EVP,S - Sale,$41.88,"-4,467","1,128,305",0%,"-$187,078",,,,
