,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-10-21 17:16:43,2021-10-19,CME,Piell Hilda Harris,"Sr MD, CHRO",S - Sale,$215.00,"-2,947","39,940",-7%,"-$633,605",,,,
2,,2021-09-13 19:37:25,2021-09-13,CME,Gepsman Martin J,Dir,S - Sale,$188.54,"-1,000","24,468",-4%,"-$188,535",,,,
3,,2021-09-08 10:40:05,2021-09-07,CME,Gepsman Martin J,Dir,S - Sale,$194.25,"-1,000","25,468",-4%,"-$194,250",,,,
4,,2021-08-30 21:10:54,2021-08-30,CME,Gepsman Martin J,Dir,S - Sale,$201.00,"-1,000","26,468",-4%,"-$201,003",,,,
5,,2021-08-26 09:38:33,2021-08-24,CME,Tully Sean,"Sr MD Global Hd Financial, OT",S - Sale,$200.20,"-5,000","23,479",-18%,"-$1,001,006",,,,
6,,2021-08-23 22:00:20,2021-08-23,CME,Gepsman Martin J,Dir,S - Sale,$201.37,"-1,000","27,468",-4%,"-$201,365",,,,
7,,2021-06-16 20:46:32,2021-06-14,CME,Siegel Howard J,Dir,S - Sale,$215.00,"-1,500","80,068",-2%,"-$322,500",,,,
8,,2021-06-16 19:07:36,2021-06-14,CME,Cronin Kathleen M,"Sr MD GC, Corp Secr",S - Sale,$215.31,"-4,092","42,481",-9%,"-$881,049",,,,
9,,2021-06-10 18:16:57,2021-06-09,CME,Cook Elizabeth A,Dir,S - Sale,$216.15,"-2,000","20,159",-9%,"-$432,296",,,,
10,,2021-06-01 17:05:44,2021-05-27,CME,Winkler Julie,Sr MD Chief Commercial Officer,S - Sale,$217.00,"-3,500","25,400",-12%,"-$759,500",,,,
11,,2021-05-21 13:13:25,2021-05-19,CME,Duffy Terrence A,"COB, CEO",S - Sale,$210.83,"-29,000","55,492",-34%,"-$6,114,070",,,,
12,,2021-05-13 21:06:49,2021-05-12,CME,Holzrichter Julie,Sr MD COO,S - Sale,$213.29,"-6,000","36,479",-14%,"-$1,279,740",,,,
13,,2021-03-12 16:57:10,2021-03-11,CME,Gepsman Martin J,Dir,S - Sale,$205.46,"-1,500","27,917",-5%,"-$308,190",,,,
