,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-09-02 13:31:11,2021-09-01,CMS,Brossoit Jean-Francois,SVP,S - Sale,$64.82,-770,"54,688",-1%,"-$49,911",,,,
2,,2021-08-25 10:13:25,2021-08-23,CMS,Barfield Jon E,Dir,S - Sale,$64.08,"-4,120","12,977",-24%,"-$264,010",,,,
3,,2021-08-12 12:05:11,2021-08-11,CMS,Rich Brian F,SVP,S - Sale,$63.14,"-3,500","75,084",-4%,"-$220,990",,,,
4,,2021-08-09 14:46:40,2021-08-09,CMS,Barba Glenn P,"VP, CAO",S - Sale,$63.10,"-12,800","27,104",-32%,"-$807,680",,,,
5,,2021-08-06 12:28:26,2021-08-05,CMS,Hendrian Catherine A,SVP,S - Sale,$62.80,"-7,991","43,856",-15%,"-$501,815",,,,
6,,2021-03-11 14:41:42,2021-03-10,CMS,Brossoit Jean-Francois,SVP,S - Sale,$57.21,"-3,010","55,660",-5%,"-$172,216",,,,
7,,2020-09-10 14:45:35,2020-09-09,CMS,Brossoit Jean-Francois,SVP,S - Sale,$62.25,"-1,600","46,070",-3%,"-$99,600",,,,
8,,2020-09-04 10:57:45,2020-09-03,CMS,Brossoit Jean-Francois,SVP,S - Sale,$61.66,"-1,620","47,670",-3%,"-$99,894",,,,
9,,2020-09-02 14:33:27,2020-09-01,CMS,Brossoit Jean-Francois,SVP,S - Sale,$60.25,"-2,460","49,290",-5%,"-$148,215",,,,
10,,2020-09-01 16:18:52,2020-08-31,CMS,Venkat Dhenuvakonda Rao,SVP,S - Sale,$60.43,-430,"32,166",-1%,"-$25,987",,,,
11,,2020-08-27 11:07:38,2020-08-25,CMS,Brossoit Jean-Francois,SVP,S - Sale,$61.00,-699,"51,548",-1%,"-$42,639",,,,
12,,2020-08-18 15:19:01,2020-08-17,CMS,Venkat Dhenuvakonda Rao,SVP,S - Sale,$61.30,-800,"32,596",-2%,"-$49,040",,,,
13,,2020-08-18 13:06:59,2020-08-14,CMS,Barfield Jon E,Dir,S - Sale,$60.96,"-4,800","14,662",-25%,"-$292,589",,,,
14,,2020-08-12 15:37:39,2020-08-11,CMS,Venkat Dhenuvakonda Rao,SVP,S - Sale,$62.80,-770,"33,396",-2%,"-$48,354",,,,
15,,2020-08-12 12:54:21,2020-08-10,CMS,Hendrian Catherine A,SVP,S - Sale,$62.78,"-1,584","41,218",-4%,"-$99,439",,,,
16,,2020-08-11 14:00:41,2020-08-07,CMS,Brossoit Jean-Francois,SVP,S - Sale,$63.00,-780,"52,247",-1%,"-$49,140",,,,
17,,2020-08-10 16:41:51,2020-08-07,CMS,Hendrian Catherine A,SVP,S - Sale,$63.07,-792,"42,802",-2%,"-$49,950",,,,
18,,2020-05-27 12:28:11,2020-05-26,CMS,Brossoit Jean-Francois,SVP,S - Sale,$56.48,"-2,671","52,819",-5%,"-$150,867",,,,
19,,2020-05-22 10:07:11,2020-05-21,CMS,Venkat Dhenuvakonda Rao,SVP,S - Sale,$55.76,-875,"34,092",-3%,"-$48,787",,,,
20,,2020-05-19 13:56:11,2020-05-18,CMS,Brossoit Jean-Francois,SVP,S - Sale,$55.56,"-2,701","55,490",-5%,"-$150,061",,,,
