,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-27 17:31:31,2021-08-26,TPR,Howard David E,"GC, Secretary",S - Sale,$42.27,"-17,061","53,741",-24%,"-$721,168",,,,
2,D,2021-08-25 16:34:08,2021-08-23,TPR,Dadlani Manesh,"VP, Controller, PAO",S - Sale+OE,$42.36,"-1,211","21,486",-5%,"-$51,304",,,,
3,D,2021-05-18 19:50:17,2021-05-17,TPR,Dunn Sarah,Global HR Officer,S - Sale+OE,$47.00,"-14,759","99,841",-13%,"-$693,673",,,,
4,D,2021-03-11 19:56:52,2021-03-09,TPR,Menezes Ivan,Dir,S - Sale+OE,$43.04,"-5,438","52,282",-9%,"-$234,058",,,,
5,D,2021-03-11 19:56:45,2021-03-10,TPR,Long Annabelle Yu,Dir,S - Sale+OE,$44.07,"-5,304",0,-100%,"-$233,741",,,,
6,D,2021-02-25 19:27:44,2021-02-24,TPR,Dadlani Manesh,"VP, Controller, PAO",S - Sale+OE,$41.47,-164,"18,417",-1%,"-$6,801",,,,
7,,2021-02-12 18:01:07,2021-02-11,TPR,Kahn Todd,"Int. CEO Coach; Pres, CAO, TPR",S - Sale,$40.06,"-20,000","206,460",-9%,"-$801,200",,,,
8,,2020-08-20 17:34:22,2020-08-19,TPR,Bilbrey John P,Dir,P - Purchase,$15.27,"+12,980","33,756",+62%,"+$198,205",,,,
9,,2020-06-12 16:08:14,2020-06-11,TPR,Bilbrey John P,Dir,P - Purchase,$14.12,"+7,100","20,776",+52%,"+$100,252",,,,
10,,2020-06-10 16:44:12,2020-06-09,TPR,Bilbrey John P,Dir,P - Purchase,$17.02,"+8,800","13,676",+180%,"+$149,776",,,,
11,,2019-12-02 18:32:45,2019-11-29,TPR,Dunn Sarah,Global HR Officer,S - Sale,$26.78,"-32,000","62,131",-34%,"-$856,960",,,,
12,,2019-06-13 18:29:54,2019-06-12,TPR,Long Annabelle Yu,Dir,S - Sale,$28.93,"-3,229",0,-100%,"-$93,415",,,,
13,,2019-05-30 16:31:00,2019-05-28,TPR,Cavens Darrell,Dir,P - Purchase,$30.01,"+7,000","10,826",+183%,"+$210,050",,,,
14,D,2018-09-13 17:38:18,2018-09-11,TPR,Satenstein Brian,"VP,Controller, PAO",S - Sale+OE,$50.00,-463,"11,944",-4%,"-$23,150",,,,
15,D,2018-09-04 19:22:32,2018-08-31,TPR,Menezes Ivan,Dir,S - Sale+OE,$50.70,"-2,068","43,721",-5%,"-$104,848",,,,
16,D,2018-08-21 17:36:52,2018-08-20,TPR,Bickley Ian,Pres Global Busines Dev.,S - Sale+OE,$52.13,"-48,071","66,952",-42%,"-$2,506,000",,,,
17,DM,2018-02-12 20:29:43,2018-02-08,TPR,Kahn Todd,"Pres, CAO, Secretary",S - Sale+OE,$49.13,"-4,357","69,190",-6%,"-$214,068",,,,
18,D,2018-02-12 20:29:39,2018-02-09,TPR,Bickley Ian,Pres Global Busines Dev.,S - Sale+OE,$48.90,"-36,747","107,546",-25%,"-$1,796,928",,,,
19,D,2018-02-09 18:21:15,2018-02-08,TPR,Dunn Sarah,Global HR Officer,S - Sale+OE,$48.23,"-6,229","63,213",-9%,"-$300,425",,,,
20,,2017-09-14 16:30:30,2017-09-12,COH,Brown Melinda,"SVP, Controller, PAO",S - Sale,$41.28,"-8,250","42,884",-16%,"-$340,560",,,,
21,,2017-08-25 16:55:26,2017-08-23,COH,Kahn Todd,"Pres, CAO, Secretary",S - Sale,$40.85,"-4,586","72,412",-6%,"-$187,338",,,,
22,D,2017-05-25 19:35:54,2017-05-24,COH,Dunn Sarah,Global HR Officer,S - Sale+OE,$46.07,"-7,595","54,136",-12%,"-$349,876",,,,
23,,2017-05-25 16:54:33,2017-05-23,COH,Cohen Andre,"Pres, NA, Glbl Mktg",S - Sale,$46.06,"-2,988","43,198",-6%,"-$137,627",,,,
24,D,2017-05-12 19:02:05,2017-05-10,COH,Kropf Susan J,Dir,S - Sale+OE,$45.99,"-4,239","22,948",-16%,"-$194,952",,,,
25,D,2017-05-12 19:02:02,2017-05-10,COH,Kahn Todd,"Pres, CAO, Secretary",S - Sale+OE,$45.45,"-19,450","64,982",-23%,"-$884,015",,,,
26,,2017-01-12 18:16:39,2017-01-10,COH,Long Annabelle Yu,Dir,S - Sale,$35.12,"-2,310","2,020",-53%,"-$81,127",0,0,+8,
27,D,2016-06-15 19:35:11,2016-06-14,COH,Zeitlin Jide James,Dir,S - Sale+OE,$37.32,"-3,206","44,856",-7%,"-$119,648",0,+6,+10,+1
28,D,2016-05-04 17:55:33,2016-05-03,COH,Kropf Susan J,Dir,S - Sale+OE,$40.81,"-5,330","20,845",-20%,"-$217,517",-2,0,-1,-10
29,D,2015-08-17 18:33:17,2015-08-13,COH,Nielsen Jane,CFO,S - Sale+OE,$31.50,"-13,194","4,944",-73%,"-$415,611",+2,-4,-7,+14
30,,2015-03-04 16:45:56,2015-03-03,COH,Dunn Sarah,Global HR Officer,S - Sale,$43.23,"-4,000","14,469",-22%,"-$172,920",0,-3,-1,-27
31,D,2015-02-26 17:53:38,2015-02-25,COH,Kahn Todd,"Global Corp.Affairs Officer, G",S - Sale+OE,$43.00,"-7,667","26,658",-22%,"-$329,681",0,-3,-6,-34
32,D,2014-01-29 17:40:48,2014-01-27,COH,Murphy Michael E,Dir,S - Sale+OE,$48.85,"-2,331","81,288",-3%,"-$113,869",+1,-5,+2,-27
33,,2013-10-24 16:03:52,2013-10-24,COH,Frankfort Lew,"COB, CEO",P - Purchase,$48.38,"+21,000","2,053,141",+1%,"+$1,015,980",+2,+4,+10,+3
34,M,2013-09-05 18:01:24,2013-09-04,COH,Krakoff Reed,"Pres, Exec Creative Dir",S - Sale,$53.41,"-92,273","38,406",-71%,"-$4,928,095",-1,+1,+2,-8
35,D,2013-08-27 17:45:53,2013-08-23,COH,Dunn Sarah,"EVP, HR",S - Sale+OE,$52.81,"-6,089","15,201",-29%,"-$321,542",+1,+2,+5,-6
