,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,D,2021-09-15 19:29:00,2021-09-15,COO,Petersmeyer Gary S,Dir,S - Sale+OE,$440.86,"-2,255","1,472",-61%,"-$994,129",,,,
2,D,2021-09-07 18:40:19,2021-09-07,COO,McBride Daniel G,"EVP, COO, Pres-CooperVision",S - Sale+OE,$450.13,"-72,624","34,235",-68%,"-$32,690,355",,,,
3,D,2021-09-07 18:34:24,2021-09-07,COO,Andrews Brian G,"EVP, CFO, Treasurer",S - Sale+OE,$453.12,"-4,963","3,277",-60%,"-$2,248,830",,,,
4,D,2021-07-12 19:29:54,2021-07-12,COO,Petersmeyer Gary S,Dir,S - Sale+OE,$412.28,-400,"1,927",-17%,"-$164,912",,,,
5,D,2021-07-06 17:03:02,2021-07-02,COO,Lindell Jody S,Dir,S - Sale+OE,$405.54,"-4,500","19,793",-19%,"-$1,824,919",,,,
6,D,2021-06-17 19:06:33,2021-06-17,COO,Ricupati Agostino,"SVP, Fin, Tax; Chief Actg Off",S - Sale+OE,$385.55,"-2,200","1,101",-67%,"-$848,217",,,,
7,D,2021-04-15 18:37:03,2021-04-15,COO,Ricupati Agostino,"SVP, Fin, Tax; Chief Actg Off",S - Sale+OE,$397.92,"-2,643","1,088",-71%,"-$1,051,699",,,,
8,D,2021-03-08 18:32:54,2021-03-08,COO,White Albert G III,"Pres, CEO",S - Sale+OE,$388.62,"-79,745","41,430",-66%,"-$30,990,533",,,,
9,,2020-10-09 20:26:45,2020-10-08,COO,Auerbach Robert D,Special Advisor to the CEO,S - Sale,$350.00,"-2,538","1,403",-64%,"-$888,300",,,,
10,D,2020-10-07 17:06:12,2020-10-06,COO,Petersmeyer Gary S,Dir,S - Sale+OE,$348.54,"-1,000","1,338",-43%,"-$348,540",,,,
11,D,2020-09-17 17:21:22,2020-09-16,COO,Lindell Jody S,Dir,S - Sale+OE,$338.69,"-6,500","37,858",-15%,"-$2,201,453",,,,
12,,2020-07-08 16:58:07,2020-07-08,COO,White Albert G III,"Pres, CEO",P - Purchase,$278.23,"+1,000","41,430",+2%,"+$278,230",,,,
13,,2020-07-08 16:57:50,2020-07-08,COO,Sheffield Holly R,"EVP, CSO",P - Purchase,$280.12,+889,"2,699",+49%,"+$249,024",,,,
14,,2020-06-15 16:43:12,2020-06-12,COO,Sheffield Holly R,"EVP, CSO",P - Purchase,$283.18,+880,"1,810",+95%,"+$249,198",,,,
15,,2020-06-15 16:39:38,2020-06-11,COO,Ricupati Agostino,"SVP, Fin, Tax; Chief Actg Off",P - Purchase,$281.47,"+1,000","1,800",+125%,"+$281,470",,,,
16,D,2020-01-07 16:57:29,2020-01-06,COO,Lindell Jody S,Dir,S - Sale+OE,$321.01,"-3,500","18,804",-16%,"-$1,123,534",,,,
17,,2020-01-07 16:54:15,2020-01-06,COO,Petersmeyer Gary S,Dir,S - Sale,$322.29,-250,"1,338",-16%,"-$80,573",,,,
18,D,2020-01-06 17:44:35,2020-01-02,COO,Kalkstein Michael,Dir,S - Sale+OE,$320.35,"-9,500","5,838",-62%,"-$3,043,319",,,,
19,M,2019-09-13 18:47:46,2019-09-11,COO,Rubenstein Allan E,Dir,S - Sale,$300.53,"-1,835","3,191",-37%,"-$551,477",,,,
20,D,2019-06-26 17:23:08,2019-06-24,COO,Lindell Jody S,Dir,S - Sale+OE,$328.29,"-3,000","18,804",-14%,"-$984,857",,,,
21,,2019-06-19 17:57:05,2019-06-19,COO,Golden Randal,"VP, GC, Sec.",S - Sale,$328.16,"-1,154","1,148",-50%,"-$378,697",,,,
22,D,2019-06-19 17:55:06,2019-06-18,COO,Ricupati Agostino,"SVP, Fin, Tax; Chief Actg Off",S - Sale+OE,$326.67,"-5,532",0,-100%,"-$1,807,155",,,,
23,,2019-06-19 17:51:59,2019-06-17,COO,Petersmeyer Gary S,Dir,S - Sale,$323.92,-355,"1,588",-18%,"-$114,992",,,,
24,D,2019-06-12 17:30:34,2019-06-10,COO,Weiss Robert S,Dir,S - Sale+OE,$323.74,"-52,156","149,272",-26%,"-$16,885,084",,,,
25,D,2019-06-07 17:46:35,2019-06-06,COO,McBride Daniel G,"EVP, COO, Pres-CooperVision",S - Sale+OE,$315.99,"-11,981","32,807",-27%,"-$3,785,838",,,,
26,D,2019-06-07 17:41:53,2019-06-06,COO,Kalkstein Michael,Dir,S - Sale+OE,$316.28,"-3,500","6,338",-36%,"-$1,106,985",,,,
27,ADM,2019-05-23 18:11:27,2019-04-01,COO,Lindell Jody S,Dir,S - Sale+OE,$296.38,"-3,380","18,804",-15%,"-$1,001,776",,,,
28,DM,2019-04-02 16:32:10,2019-04-01,COO,Lindell Jody S,Dir,S - Sale+OE,$296.38,"-3,380","18,804",-15%,"-$1,001,776",,,,
29,D,2019-04-02 16:24:04,2019-04-01,COO,Auerbach Robert D,"Pres, CSI",S - Sale+OE,$300.00,"-5,326","2,538",-68%,"-$1,597,800",,,,
30,,2019-04-02 16:22:33,2019-03-29,COO,Ricupati Agostino,"SVP, Fin, Tax; Chief Actg Off",S - Sale,$296.13,"-2,400",0,-100%,"-$710,722",,,,
31,,2019-03-27 16:41:54,2019-03-25,COO,Andrews Brian G,"SVP, CFO, Treasurer",S - Sale,$293.28,"-1,648","2,402",-41%,"-$483,325",,,,
32,D,2019-03-21 18:15:54,2019-03-19,COO,Weiss Robert S,Dir,S - Sale+OE,$291.81,"-70,902","149,003",-32%,"-$20,689,744",,,,
33,D,2019-03-14 16:05:19,2019-03-12,COO,Bender A Thomas,Dir,S - Sale+OE,$290.10,"-4,950","18,137",-21%,"-$1,435,968",,,,
34,,2019-03-14 16:03:35,2019-03-12,COO,Auerbach Robert D,"Pres, CSI",S - Sale,$292.22,"-2,272","2,538",-47%,"-$663,926",,,,
35,DM,2019-03-12 16:55:37,2019-03-11,COO,Zinberg Stanley Md,Dir,S - Sale+OE,$290.94,"-6,500","10,528",-38%,"-$1,891,082",,,,
36,,2019-03-12 16:54:23,2019-03-08,COO,Petersmeyer Gary S,Dir,S - Sale,$286.88,-799,"1,506",-35%,"-$229,217",,,,
37,,2019-03-12 16:49:51,2019-03-11,COO,Kalkstein Michael,Dir,S - Sale,$288.55,"-3,570","5,901",-38%,"-$1,030,121",,,,
38,D,2019-03-12 16:45:54,2019-03-08,COO,Lindell Jody S,Dir,S - Sale+OE,$284.59,"-7,500","21,747",-26%,"-$2,134,425",,,,
39,,2018-12-12 18:54:32,2018-12-10,COO,Rubenstein Allan E,Dir,P - Purchase,$241.59,+348,"4,624",+8%,"+$84,075",,,,
40,D,2018-10-01 19:09:32,2018-09-27,COO,Golden Randal,"VP, GC, Sec.",S - Sale+OE,$275.86,"-1,731","1,211",-59%,"-$477,510",,,,
41,D,2018-09-26 17:30:13,2018-09-24,COO,Bender A Thomas,Dir,S - Sale+OE,$269.36,"-7,150","16,871",-30%,"-$1,925,892",,,,
42,,2018-09-13 18:43:02,2018-09-13,COO,Rubenstein Allan E,Dir,S - Sale,$265.37,"-1,500","3,068",-33%,"-$398,055",,,,
43,D,2018-09-13 18:41:32,2018-09-13,COO,McBride Daniel G,"EVP, COO, Pres-CooperVision",S - Sale+OE,$264.44,"-10,310","30,515",-25%,"-$2,726,406",,,,
44,D,2018-09-10 17:47:48,2018-09-06,COO,Ricupati Agostino,"SVP, Fin, Tax; Chief Actg Off",S - Sale+OE,$261.56,"-1,575","1,154",-58%,"-$411,960",,,,
45,D,2018-09-05 18:49:52,2018-09-05,COO,Weiss Robert S,Dir,S - Sale+OE,$252.82,"-58,543","145,620",-29%,"-$14,800,989",,,,
46,D,2018-07-05 19:46:33,2018-07-05,COO,Zinberg Stanley Md,Dir,S - Sale+OE,$238.48,"-6,500","9,377",-41%,"-$1,550,101",,,,
47,,2018-07-02 17:13:05,2018-06-29,COO,McBride Daniel G,"EVP, COO, Pres-CooperVision",S - Sale,$235.13,"-2,147","30,515",-7%,"-$504,820",,,,
48,,2018-06-25 17:59:03,2018-06-22,COO,Petersmeyer Gary S,Dir,S - Sale,$234.33,-430,"1,154",-27%,"-$100,764",,,,
49,,2018-06-19 16:50:21,2018-06-15,COO,Rubenstein Allan E,Dir,S - Sale,$235.13,"-1,000","4,568",-18%,"-$235,130",,,,
50,,2018-04-12 16:34:44,2018-04-11,COO,Kalkstein Michael,Dir,S - Sale,$221.66,"-1,715","8,320",-17%,"-$380,147",,,,
51,D,2018-03-13 17:20:35,2018-03-12,COO,Weiss Robert S,"Pres, CEO",S - Sale+OE,$242.35,"-36,769","145,620",-20%,"-$8,911,100",,,,
52,D,2018-03-13 17:13:53,2018-03-12,COO,Kaufman Carol R,"EVP, Sec., Chief Gov. Officer",S - Sale+OE,$243.88,"-13,362","45,943",-23%,"-$3,258,731",,,,
53,D,2018-01-16 17:20:45,2018-01-12,COO,Rubenstein Allan E,Dir,S - Sale+OE,$228.79,"-6,450","5,568",-54%,"-$1,475,663",,,,
54,,2018-01-08 16:18:52,2018-01-05,COO,Rubenstein Allan E,Dir,S - Sale,$230.05,-500,"5,568",-8%,"-$115,025",,,,
55,D,2018-01-04 17:35:40,2018-01-04,COO,Zinberg Stanley Md,Dir,S - Sale+OE,$224.66,"-5,000","9,377",-35%,"-$1,123,279",,,,
56,,2018-01-04 17:32:57,2018-01-03,COO,Rubenstein Allan E,Dir,S - Sale,$225.00,-500,"6,090",-8%,"-$112,500",,,,
57,,2017-12-28 17:28:32,2017-12-27,COO,Rubenstein Allan E,Dir,S - Sale,$222.00,-500,"6,590",-7%,"-$111,000",,,,
58,D,2017-12-20 17:43:21,2017-12-18,COO,Bender A Thomas,Dir,S - Sale+OE,$229.17,"-9,150","16,871",-35%,"-$2,096,908",,,,
59,D,2017-12-20 17:40:01,2017-12-18,COO,Weiss Robert S,"Pres, CEO",S - Sale+OE,$224.70,"-32,500","143,064",-19%,"-$7,302,620",,,,
60,D,2017-12-19 12:41:54,2017-12-15,COO,Petersmeyer Gary S,Dir,S - Sale+OE,$229.06,-785,"1,584",-33%,"-$179,812",,,,
61,D,2017-09-14 18:52:42,2017-09-14,COO,Petersmeyer Gary S,Dir,S - Sale+OE,$244.94,"-3,977",799,-83%,"-$974,130",,,,
62,D,2017-07-14 16:21:57,2017-07-14,COO,Remmell Paul L,"Pres, CEO - CooperSurgical",S - Sale+OE,$248.46,"-9,294","1,352",-87%,"-$2,309,223",,,,
63,,2017-07-12 16:49:18,2017-07-11,COO,Golden Randal,"VP, GC",S - Sale,$243.65,"-1,621","1,731",-48%,"-$394,963",,,,
64,,2017-06-30 17:13:43,2017-06-29,COO,Petersmeyer Gary S,Dir,S - Sale,$239.78,-100,799,-11%,"-$23,978",,,,
65,D,2017-06-22 17:32:59,2017-06-21,COO,McBride Daniel G,"EVP, COO, Pres-CooperVision",S - Sale+OE,$244.24,"-6,000","30,515",-16%,"-$1,465,408",,,,
66,D,2017-06-13 16:32:50,2017-06-09,COO,Kaufman Carol R,"EVP, Sec., Chief Gov. Officer",S - Sale+OE,$240.86,"-5,408","43,919",-11%,"-$1,302,563",,,,
67,DM,2017-06-08 20:21:42,2017-06-07,COO,Kaufman Carol R,"EVP, Sec., Chief Gov. Officer",S - Sale+OE,$242.81,"-44,092","43,919",-50%,"-$10,705,916",,,,
68,,2017-06-07 17:41:06,2017-06-07,COO,Zinberg Stanley Md,Dir,S - Sale,$243.14,-816,"7,807",-9%,"-$198,400",,,,
69,,2017-04-05 16:40:31,2017-04-04,COO,Remmell Paul L,"Pres, CEO - CooperSurgical",S - Sale,$199.99,"-3,605",0,-100%,"-$720,974",0,0,+4,
70,,2017-03-27 18:21:10,2017-03-24,COO,Bender A Thomas,Dir,S - Sale,$200.94,"-1,500","17,144",-8%,"-$301,405",0,0,+1,
71,,2017-03-27 18:18:43,2017-03-24,COO,Remmell Paul L,"Pres, CEO - CooperSurgical",S - Sale,$201.40,"-1,871","3,605",-34%,"-$376,823",0,0,+1,
72,,2017-03-23 18:25:51,2017-03-23,COO,Rubenstein Allan E,Dir,S - Sale,$200.00,"-2,000","5,794",-26%,"-$400,000",0,0,0,
73,D,2017-03-20 17:24:23,2017-03-17,COO,Rubenstein Allan E,Dir,S - Sale+OE,$195.00,"-1,775","7,794",-19%,"-$346,125",0,+2,0,
74,D,2017-03-15 17:12:59,2017-03-14,COO,Lindell Jody S,Dir,S - Sale+OE,$193.38,"-5,000","19,026",-21%,"-$966,916",0,0,+1,
75,D,2017-03-13 16:41:41,2017-03-10,COO,Rubenstein Allan E,Dir,S - Sale+OE,$195.13,"-1,775","7,794",-19%,"-$346,349",0,0,+1,
76,,2017-03-10 16:54:18,2017-03-09,COO,Petersmeyer Gary S,Dir,S - Sale,$194.19,-172,899,-16%,"-$33,401",0,0,+1,
77,D,2017-03-08 19:59:26,2017-03-07,COO,Lindell Jody S,Dir,S - Sale+OE,$193.84,"-5,000","19,026",-21%,"-$969,189",0,0,+2,
78,D,2017-01-10 17:00:32,2017-01-10,COO,Zinberg Stanley Md,Dir,S - Sale+OE,$178.99,"-5,000","8,623",-37%,"-$894,950",-2,0,+4,
79,D,2017-01-10 16:45:48,2017-01-06,COO,Rubenstein Allan E,Dir,S - Sale+OE,$177.00,"-4,950","7,794",-39%,"-$876,150",-2,0,+4,
80,,2017-01-05 18:51:29,2017-01-05,COO,Petersmeyer Gary S,Dir,S - Sale,$175.97,-458,"1,071",-30%,"-$80,595",0,+1,+7,
81,D,2017-01-04 17:35:02,2017-01-03,COO,Bender A Thomas,Dir,S - Sale+OE,$175.56,"-8,250","18,644",-31%,"-$1,448,351",-1,+2,+5,
82,D,2017-01-04 17:32:14,2017-01-03,COO,Kalkstein Michael,Dir,S - Sale+OE,$175.23,"-9,000","8,715",-51%,"-$1,577,088",-1,+2,+5,
83,D,2016-12-21 19:28:12,2016-12-20,COO,McBride Daniel G,"EVP, COO, Pres-CooperVision",S - Sale+OE,$174.82,"-20,000","25,764",-44%,"-$3,496,392",-1,0,+3,
84,D,2016-09-14 18:26:06,2016-09-14,COO,White Albert G III,"EVP, Chief Strategy Officer",S - Sale+OE,$185.72,"-20,000","33,639",-37%,"-$3,714,482",+2,0,-3,+5
85,,2016-09-07 17:46:48,2016-09-06,COO,Zinberg Stanley Md,Dir,S - Sale,$187.53,"-3,000","8,623",-26%,"-$562,584",-1,-1,-6,+3
86,,2016-09-07 17:45:04,2016-09-06,COO,Petersmeyer Gary S,Dir,S - Sale,$186.50,-530,"1,529",-26%,"-$98,845",-1,-1,-6,+3
87,,2016-09-07 17:43:12,2016-09-06,COO,Kozy William A,Dir,P - Purchase,$186.69,+270,770,+54%,"+$50,406",-1,-1,-6,+3
88,,2016-09-07 17:41:28,2016-09-06,COO,Kalkstein Michael,Dir,S - Sale,$187.14,"-6,544","8,715",-43%,"-$1,224,644",-1,-1,-6,+3
89,D,2016-07-12 16:42:26,2016-07-08,COO,Kalkstein Michael,Dir,S - Sale+OE,$178.55,"-1,000","15,259",-6%,"-$178,548",0,-1,+2,0
90,D,2016-06-29 17:14:49,2016-06-29,COO,Zinberg Stanley Md,Dir,S - Sale+OE,$170.00,"-10,000","11,623",-46%,"-$1,700,000",+1,+5,+7,+5
91,,2016-06-29 17:13:37,2016-06-28,COO,Golden Randal,"VP, GC",S - Sale,$167.31,"-2,000","2,044",-49%,"-$334,616",+1,+5,+7,+5
