,X,Filing Date,Trade Date,Ticker,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,,,,,,,,,,,,,,,
1,,2021-08-13 12:14:27,2021-08-13,COST,Portera Joseph P,EVP,S - Sale,$445.50,"-3,287","8,000",-29%,"-$1,464,359",,,,
2,,2021-07-12 17:05:06,2021-07-12,COST,Vachris Roland Michael,EVP,S - Sale,$409.40,"-4,000","11,602",-26%,"-$1,637,611",,,,
3,,2021-06-29 12:46:50,2021-06-28,COST,Rose Timothy L.,EVP,S - Sale,$396.14,"-4,000","26,625",-13%,"-$1,584,560",,,,
4,,2021-06-14 18:15:18,2021-06-14,COST,Klauer James C,EVP,S - Sale,$380.53,"-5,000","51,627",-9%,"-$1,902,650",,,,
5,,2021-06-08 16:18:44,2021-06-07,COST,Callans Patrick J,EVP,S - Sale,$384.31,"-2,500","57,218",-4%,"-$960,775",,,,
6,,2021-04-30 14:28:59,2021-04-29,COST,Galanti Richard A,"EVP, CFO",S - Sale,$372.06,"-2,230","29,871",-7%,"-$829,684",,,,
7,,2021-03-23 17:10:01,2021-03-22,COST,Vachris Roland Michael,EVP,S - Sale,$334.30,"-4,300","15,602",-22%,"-$1,437,477",,,,
8,,2021-01-29 14:17:30,2021-01-27,COST,Decker Susan L,Dir,S - Sale,$363.35,-694,"18,746",-4%,"-$252,165",,,,
9,,2021-01-13 20:20:52,2021-01-13,COST,Decker Susan L,Dir,S - Sale,$366.48,"-1,199","19,440",-6%,"-$439,414",,,,
10,,2021-01-08 11:45:59,2021-01-08,COST,Moulton Paul G,EVP,S - Sale,$366.50,"-9,015","23,585",-28%,"-$3,304,025",,,,
11,,2020-12-30 17:14:55,2020-12-30,COST,Galanti Richard A,"EVP, CFO",S - Sale,$374.49,"-1,000","32,101",-3%,"-$374,494",,,,
12,,2020-12-30 17:13:09,2020-12-30,COST,Decker Susan L,Dir,S - Sale,$375.75,-861,"20,639",-4%,"-$323,521",,,,
13,,2020-12-22 09:43:20,2020-12-21,COST,Decker Susan L,Dir,S - Sale,$362.59,"-1,000","21,500",-4%,"-$362,590",,,,
14,,2020-12-14 13:41:03,2020-12-14,COST,Callans Patrick J,EVP,S - Sale,$374.65,"-2,500","59,838",-4%,"-$936,613",,,,
15,,2020-12-14 11:50:07,2020-12-14,COST,Miller Russell D,EVP,S - Sale,$377.24,"-5,000","7,172",-41%,"-$1,886,217",,,,
16,,2020-09-30 18:08:57,2020-09-30,COST,Denman Kenneth D,Dir,S - Sale,$355.69,-300,"4,433",-6%,"-$106,706",,,,
17,,2020-09-29 13:24:40,2020-09-29,COST,Portera Joseph P,EVP,S - Sale,$348.00,"-6,000","12,037",-33%,"-$2,088,000",,,,
